ETR_,ETRE.    	The French for 'to be' is 'être'.
SA_,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden. SAS is based at Stockholm Arlanda Airport located just north of the Swedish capital."
SA_,SAM.    	Samwise Gamgee is the sidekick to Frodo Baggins in Tolkien's 'The Lord of the Rings'.
NE_O,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne, the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones's Locker."
_EA,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
BR_,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but it applies to a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
L_RA,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
_OE,"MOE.    	Moe Greene is a character in Mario Puzo's novel ""The Godfather"". The character bears a resemblance to the real-life gangster Bugsy Siegel, as both Siegel and Greene are driving forces behind the development of the gambling industry in Las Vegas. In ""The Godfather"" movies, Moe Greene was played by Alex Rocco."
IG_R,"IGOR.    	In the world of movies, Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein among others. Igor is almost invariably portrayed as a hunchback."
A_RIA,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
_AO,"LAO.    	The Mekong is the twelfth longest river in the world, at over 2,700 miles in length. It rises in the Tibetan Plateau and empties into the South China Sea at the famed Mekong delta system in Vietnam."
A_R,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
_CRE,"ACRE.    	At one time, an acre was the amount of land a yoke of oxen could plow in a day."
Y_ER,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
C_A,CPA.    	Certified public accountant (CPA)
MB_,"MBA.    	Mitt Romney was born Willard Mitt Romney in 1947 in Detroit, Michigan. Romney's parents named him after J. Willard Marriott (the hotel magnate) who was the father's best friend, and after Milton 'Mitt' Romney who was the father's cousin and quarterback for the Chicago Bears."
DE_,DEA.    	Drug Enforcement Administration (DEA)
OL_O,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
_EL,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_OS,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
_RA,"BRA.    	The word ""brassière"" is French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
_MAHA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory, Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
_IRE,"EIRE.    	Blarney is a town in County Cork in the south of Ireland. Blarney is home to Blarney Castle, and inside the castle is the legendary Blarney Stone. ""Kissing the Blarney Stone"" is a ritual engaged in by oh so many tourists (indeed, I've done it myself!), but it's not a simple process. The stone is embedded in the wall of the castle, and in order to kiss it you have to sit on the edge of the parapet and lean way backwards so that your head is some two feet below your body. There is a staff member there to help you and make sure you don't fall. The Blarney Stone has been labelled as the world's most unhygienic tourist attraction! But once you've kissed it, supposedly you are endowed with the ""gift of the gab"", the ability to talk eloquently and perhaps deceptively without offending. The term 'blarney' has come to mean flattering and deceptive talk."
ELM_,"ELMO.    	St. Elmo is the patron saint of sailors. He lends his name to the electrostatic weather phenomenon (often seen at sea) known as St. Elmo's fire. The ""fire"" is actually a plasma discharge caused by air ionizing at the end of a pointed object (like the mast of a ship), something often observed during electrical storms."
ABE_,"ABEL.    	According to the Bible, Adam and Eve had several children, although only the first three are mentioned by name: Cain, Abel and Seth."
LA_A,LARA.    	The heroine of Boris Pasternak's epic novel 'Doctor Zhivago' is Lara. The Lara character was inspired by Pasternak's mistress Olga Ivinskaya.
ERL_,"ERLE.    	Erle Kenton was a film director from Norbro, Montana. Kenton directed 131 films between 1916 and 1957, including 'The Ghost of Frankenstein', 'House of Frankenstein' and 'House of Dracula'."
DS_,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
MO_,"MOE.    	Tommy Moe was the first American male skier to win two medals in a single Winter Olympics, in 1994 at Lillehammer in Norway. It was considered a surprise result, as Moe had up to that point not won a single World Cup race."
L_O,"LAO.    	Vientiane is the capital city of Laos, situated on the famous Mekong River. The city was originally called the ""city of sandalwood"" by Buddhist monks, naming after the valued trees that grew in the area. The French took the Pali words for ""city of sandalwood"" and rewrote it as the French-sounding ""Vientiane""."
OMAH_,"OMAHA.    	The insurance and financial services company called Mutual of Omaha was founded in 1909 as Mutual Benefit Health and Accident Association. Famously, Mutual of Omaha sponsored the television show 'Wild Kingdom' from 1963 to 1988. 'Mutual of Omaha's Wild Kingdom' was resurrected in 2002 and can now be seen on the Animal Planet cable channel."
A_E,"APE.    	""Galoot"" is an insulting term, meaning an awkward or boorish man, an ape. It comes from the nautical world, where it was originally a sailor's word for a soldier or marine."
EER_,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK. The list of his lesser-known, but still impressive, works includes several buildings erected on academic campuses. For example, the Chapel and Kresge Auditorium on the MIT campus, the Emma Hartman Noyes House at Vassar College, the Law School building at the University of Chicago, and Yale's David S. Ingalls Rink."
_PE,"APE.    	""Galoot"" is an insulting term meaning an awkward or boorish man, an ape. ""Galoot"" comes from the nautical world, where it was originally what a sailor might call a soldier or marine."
_TAS,ETAS.    	Expected time of arrival (ETA)
E_S,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
AH_,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
TM_,"TMI.    	The Three Mile Island accident was a meltdown of a reactor core that took place at the Three Mile Island Nuclear Generating Station just outside Harrisburg, Pennsylvania in 1979. The accident was caused by a mechanical failure, compounded by human error."
R_ESE,"REESE.    	Pee Wee Reese met Jackie Robinson after he was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days, life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
_SA,"USA.    	The G6 was a group of six industrialized nations that formed in 1975 and whose governments met on a periodic basis. The founding members were France, Germany, Italy, Japan, the UK and the US. The membership expanded in 1976 with the addition of Canada, forming the G7. Since 1997, Russia is also represented and the group is now called the G8."
RE_SE,"REESE.    	Pee Wee Reese met Jackie Robinson after Robinson was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
EY_E,"EYRE.    	""Jane Eyre"" is the celebrated novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
_TO,"ITO.    	The Meiji period in Japan ran from 1868 to 1912, with 'meiji' translating as 'enlightened rule'."
_RAT,"ERAT.    	'Esse' is the Latin for 'to be'. 'Sum' means 'I am' and 'erat' means 'he, she was'."
L_RA,"LARA.    	Lara Croft was first introduced to the world as the main character in a pretty cool video game (I thought) called ""Tomb Raider"", back in 1996. Lara Croft then moved to the big screen in 2001 and 2003, in two pretty awful movie adaptations of the game's storyline. Angelina Jolie played Croft, and did a very energetic job I thought."
ATRI_,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
BR_,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""supporting a woman's breasts"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
AHA_,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
TB_R,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device but with each J-shaped bar used by one skier at a time."
M_A,MIA.    	POW/MIA bracelets are engraved with the name and rank of an American serviceman who was captured or reported missing during the Vietnam War.
L_N,"LEN.    	Len Cariou is a Canadian actor, famous for his Broadway portrayal of 'Sweeney Todd'. I most recognize him from supporting roles in 'Flags of Our Fathers' and 'Thirteen Days', two great movies."
_BAR,"T-BAR.    	A T-bar is a type of ski lift on which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
IC_,"ICI.    	""Ici"" is the French word for ""here""."
UT_H,"UTAH.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
T_B,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
_NN,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
OM_HA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
_SNER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
RO_,RON.    	Ron Darling is former Major league Baseball pitcher. Darling now works as a color commentator for TBS.
CS_,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865."
_EO,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
_EO,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan."
NE_P,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tides, the sun and the moon's gravities act in concert causing more extreme movement of the oceans."
US_,"USA.    	The United Nations Security Council has 15 members, 5 of whom are permanent and who have veto power over any resolution. The 10 non-permanent members are elected into place, and hold their seats for two years. The UN charter requires that authorized representatives of the member nations are always present at UN headquarters so that the Security council can meet at any time. The permanent members are:"
E_AT,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED initialism stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
_HI,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
K_A,KIA.    	The Kia Optima was sold for a while in Canada and Europe as the Kia Magentis.
T_I,TMI.    	Too much information (TMI)
ELIO_,ELIOT.    	Eliot Spitzer was the Governor of New York for just over a year before he resigned when it surfaced that he had been a client of a prostitution ring.
_CRE,"ACRE.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
E_SA,"ELSA.    	Elsa's life story was told by game warden Joy Adamson, who had a very close relationship with the lioness from when she was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which told the story of Elsa and her three lion cubs. In the 1966 film ""Born Free"" Adamson is played by actress Virginia McKenna."
DT_,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
OPE_,OPEC.    	The 1973 Oil Crisis started when the Arab members of OPEC imposed an oil embargo. The action was taken as retaliation for the decision by President Nixon to resupply the Israeli military during the Yom Kippur War.
T_T,"TAT.    	The word ""tattoo"" was first used in English, as far as can be told, in the writings of Captain Cook. He was describing the marks made on the skin of Polynesian natives, and anglicized the Tahitian word ""tatau""."
_EMO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
ASN_R,"ASNER.    	And the role of course was that of Lou Grant in ""The Mary Tyler Moore Show"". And did you know that Gavin Newsom, the up and coming Mayor of San Francisco, is Asner's nephew (through his wife)?"
TBA_,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
EI_E,"EIRE.    	'Éire', is the Irish word for 'Ireland'. The related 'Erin' is an anglicized version of 'Éire' and actually corresponds to 'Éirinn', the dative case of 'Éire'."
_EO,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975, in Lansing, Michigan."
A_DA,"ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
_EL,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_TO,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training, when she was only 8 years old ..."
C_A,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
TA_,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
_ER,HER.    	Her Royal Highness.
HE_,"HER.    	Hurricanes are given names primarily to help the public keep track of dangerous systems. The names are decided ahead of the hurricane season, with the first system given a name beginning with A, the second, B etc. The names are alternated from male to female throughout the season. Also, if the first storm of the season is given a male name, then the following year a female name is chosen. For hurricanes in the North Atlantic, names are assigned for every letter, except Q, U, X, Y and Z."
ETE_,"ETES.    	""Vous êtes"" is the French for ""you are""."
_AR,EAR.    	Those would be sound waves.
_EO,"REO.    	REO was founded by Ransom E. Olds (hence the name REO) and among its most famous models were the REO Royale, and the REO Flying Cloud."
_TS,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
E_MO,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
M_SA,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the name ""mesa"", a geographic feature."
_SS,"ASS.    	The rather unsavory term 'imbecile' was formerly used by the medical community to describe someone with moderate to severe mental retardation. The term comes from the Latin 'imbecillus' meaning 'weak, feeble', which was extended to mean 'weak-minded'. Back in the early 1900s, IQ tests were used to classify those suffering from mental retardation into categories:"
NI_E,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
P_A,PDA.    	PDA is an acronym used for 'public display of affection'.
E_T,EMT.    	Emergency medical technician (EMT)
A_NER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
_AR,"EAR.    	The middle ear is the portion of the ear immediately behind the eardrum. The middle ear contains three small bones called the ossicles, the three smallest bones in the human body. The ossicles' job is to transmit sound from the outer ear to the inner ear. The shape of the bones gives rise to their common names: the hammer, anvil and stirrup."
_EA,DEA.    	Drug Enforcement Administration (DEA)
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
ER_E,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
E_LE,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
EE_O,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
EE_O,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
LE_,"LEN.    	Len Cariou is a Canadian actor, famous for his Broadway portrayal of 'Sweeney Todd'. I most recognize him from supporting roles in 'Flags of Our Fathers' and 'Thirteen Days', two great movies."
EA_L,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
T_I,TMI.    	Too Much Information.
E_I,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
EER_,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
_ON,"RON.    	Parks and Recreation' is a sitcom that started airing on NBC in 2009, and it is a show that has grown on me. It stars the ""Saturday Night Live"" alum Amy Poehler. The creators of ""Parks and Recreation"" are part of the team responsible for the American version of 'The Office', so you'll notice some similarities in the style of the two shows, and some actors that have appeared in both."
_PR,"APR.    	Eliot wrote his poem called ""The Waste Land"" in 1922. 'The Waste Land' opens with the famous line, ""April is the cruellest month ...""."
EA_L,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known simply as a countess."
AS_,ASS.    	Aesop used the ass in at least four of his fables:
DT_,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
E_T,EMT.    	Emergency medical technician (EMT)
AS_,"ASS.    	A female donkey is known as a jenny, and a male is known as a jack, or sometimes a 'jackass'."
_EO,"CEO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
TA_,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
_PA,CPA.    	Certified public accountant (CPA)
_SA,"USA.    	The FIFA Women's World Cup is a soccer tournament that has been held every four years since 1991. The US national team has won the tournament three times, more than any other nation."
_TRE,ETRE.    	The French for 'to be' is 'être'.
ET_S,"ETES.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean, ""You are here"", and you'll often see them on maps in the street."
_HI,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
IT_,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read her book ""Without a Doubt"" a few years ago, and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor by her first name ""Marcia"", while addressing the male attornies on both sides of the case with the honorific ""Mister""."
_CI,"ICI.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean ""You are here"", and you'll often see them on maps in the street."
_NN,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
US_,"USA.    	'Royal Pains' is a medical drama that has aired on the USA network since 2009. The storyline revolves around a 'concierge doctor' named Hank Lawson, a doctor who provides medical support to residents of a resort community in the Hamptons."
R_M,REM.    	Michael Stipe was the lead vocalist for the band R.E.M. that was active from 1980 through 2011.
E_RE,ETRE.    	The French for 'to be' is 'être'.
_SA,"USA.    	The G6 was a group of six industrialized nations that formed in 1975 and whose governments met on a periodic basis. The founding members were France, Germany, Italy, Japan, the UK and the US. The membership expanded in 1976 with the addition of Canada, forming the G7. Russia has been represented since 1997, and the group is now called the G8."
_YRE,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
PD_,PDA.    	PDA is an initialism that stands for 'public display of affection'.
