MO_AR,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
MFA_,"MFAS.    	The Pratt Institute is an art college in Brooklyn, New York. The school started out as an engineering college in 1887, founded by oil industry pioneer Charles Pratt. However, the engineering program was dropped in 1993 due to small enrolment numbers."
A_U,"ACU-.    	Acupressure and acupuncture are related alternative medical techniques. Both aim to clear blockages in the flow of life energy through the body's meridians. The treatment is given by stimulating 'acupoints' in the body, by applying pressure in the case of acupressure, and by applying needles in the case of acupuncture."
SAT_S,"SATES.    	""Sate"" is a variant of the older word ""satiate"". Both terms can mean either to satisfy an appetite fully, or to eat to excess."
ARA_IAN,"ARABIAN.    	The Arab (or Arabian) breed of horse takes its name from its original home, the Arabian Peninsula. Like any animal that humans have over-bred, the horse falls prey to genetic diseases, some of which are fatal and some of which require the horse to be euthanized."
EXODU_,"EXODUS.    	The Book of Exodus is the second book in the Bible, and deals with Moses leading the Hebrews out of Egypt. The name ""exodus"" comes from the Greek ""exodos"" meaning ""departure""."
W_OSE,"WHOSE.    	The English poet John Keats died in Rome in 1821, and is buried there in the Protestant Cemetery. His last wish was that his grave be marked with a tombstone bearing just the words '""Here lies One whose Name was writ in Water"", and no name nor date. Keats' friends honored his request to some extent, as the words were included on the stone and no name is given. The full epitaph reads:"
_RBACH,"ORBACH.    	Jerry Orbach was an American actor, noted for playing one of the lead detectives in 'Law & Order' on television. Orbach also provided the voice for the character Lumière in the Disney feature 'Beauty and the Beast'. He had an important role in the great movie 'Dirty Dancing', playing Dr. Jake Houseman, Baby's father."
ARI_SE,"ARIOSE.    	A tune that is 'ariose' is song-like, characterized by melody as opposed to harmony."
SSG_,SSGT.    	Staff sergeant (SSgt)
_XS,"PXS.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent store on an Air Force Base is called a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
_XLE,"AXLE.    	The drivetrain of a car is made up of the components that deliver power to the driving wheels. The drivetrain excludes the engine, which produces that power. The combination of the engine and the drivetrain is known as the powertrain."
LEM_N,"LEMON.    	A whiskey sour is made from whiskey, lemon juice and sugar, usually garnished with an orange slice and a maraschino cherry."
_RYA,"TRY A.    	Sam Cooke was a soul singer from Clarksdale, Mississippi. Cooke is considered by many to have been one of the founders of the soul genre. Cooke's impressive list of hits includes 'You Send Me', Chain Gang' and 'Twistin' the Night Away'. Cooke was only 33 years old when he died. He was shot after a drunken brawl by a motel manager in what was deemed by the courts to be a justifiable homicide."
NE_RON,"NEURON.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that is part of a neuron is called the axon."
AF_HAN,"AFGHAN.    	Kabul is the capital and largest city of Afghanistan. The city has been the site of major conflict for much of the 3,500 years that it has been in existence. In the past this conflict was mainly driven by the city's strategic location on the major trade routes of south and central Asia."
ELSO_,"EL SOL.    	The flag of Argentina is composed of three horizontal bands, light blue on the top and bottom, and white across the middle. The simpler version of the flag just has these three bands. The full version of the flag includes a sun in the center of the white band."
HOP_,"HOPE.    	Barack Obama's 2008 presidential campaign focused on the themes of hope and change. The future-president also wrote a book called 'The Audacity of Hope', which was first published in 2006."
ERI_REA,"ERITREA.    	Eritrea is a country located in the Horn of Africa, surrounded by Sudan, Ethiopia, Djibouti and the Red Sea. Some scientists believe that the area now known as Eritrea was the departure point for the anatomically modern humans who first left Africa to populate the rest of the world."
_IED,"PIED.    	Domestic cats with a white coat and patches of brown and black are called calico cats in this country. Back in Ireland, and the rest of the world I think, such cats are called tortoiseshell-and-white. ""Calico"" is not a breed of cat, simply a coloring."
DEBUSS_,"DEBUSSY.    	Claude Debussy is one of my favorite composers, one who epitomises the Romantic Era and Impressionist Movement in music. One of my favorite CDs is a collection of some ""lighter"" Debussy pieces called ""Debussy for Daydreaming"", and what an evocative collection it is. Included are ""Syrinx"", ""Maid with the Flaxen Hair"", ""Rêverie"" and everyone's favorite, ""Clair de Lune""."
_RO,"GRO.    	Scotts Miracle-Gro Company was founded in 1868 by one Orlando Scott, initially selling seed to the agricultural industry. In the early 1900s, Scotts started to sell to homeowners, mainly supplying lawn seed. The company merged with the gardening company Miracle-Gro in 1955."
_ONZ,"FONZ.    	Fonzie is a character in the sitcom 'Happy Days' that was originally aired from 1974 to 1984. The Fonz was written as a secondary character, but eventually took over the show. Fonzie is of course played by Henry Winkler."
_ONT,"MONT.    	Montana is the only US state that borders three Canadian provinces: Alberta, British Columbia and Saskatchewan."
TWEE_,"TWEET.    	I have never tweeted in my life, and have no plans to do so (but one should never say 'never'). Twitter is a microblogging service that limits any post sent to just 140 characters. In a sense, it is similar to this blog. Here I send out a post once a day containing information that I think might be useful to folks (thank you for reading!). I don't think I could send out much of interest using just 140 characters."
_EINER,"REINER.    	The multi-talented Carl Reiner is from the Bronx, New York. Reiner was married to singer Estelle Roberts. You might remember Roberts from the film 'When Harry Met Sally'directed by Carl's son, Rob Reiner. Estelle was the woman in the deli who said the famous line ' I'll have what's she's having' on seeing how excited Meg Ryan apparently was with her sandwich."
_ERIFS,"SERIFS.    	Serifs are details on the ends of characters in some typefaces. Typefaces without serifs are known as sans-serif (using the French word ""sans"" meaning ""without""). Some people say that serif fonts are easier to read on paper, whereas sans-serif fonts work better on a computer screen. I'm not so sure though ..."
SNEE_,"SNEER.    	Dudley Do-Right appeared on the Rocky and Bullwinkle Show, a cartoon that appeared on television in a couple of different versions from 1959-1964. Dudley was a bungling Mountie who struggled with his nemesis, the evil Snidely Whiplash, while pursuing the romantic intentions of Nell Fenwick (who always seemed to prefer Dudley's horse!)."
AM_NS,"AMENS.    	The word 'amen' is translated as 'so be it'. 'Amen' is said to be of Hebrew origin, but it is likely to be also influenced by Aramaic and Arabic."
STA_T,"STADT.    	""Stadt"" is the German word for ""city"" or ""town""."
ST_OE,"ST JOE.    	The city of Saint Joseph in Missouri was the westernmost point in the US that was accessible by rail after the Civil War. As such, it was a final stopping-off point as people headed out to the Wild West. The city takes its name from its founder, fur trader Joseph Robidoux. Robidoux apparently like things named after himself and his family, as eight of the main streets downtown were named after his children, and another was named for his second wife!"
_AVIE,"LA VIE.    	Picasso's Blue Period refers to his works completed between 1901 and 1904. All his paintings in the era were basically monochromatic, using different shades of blue. HIs best-known work from the period is 'The Old Guitarist', which you can see at the Art Institute of Chicago."
_EG,SEG.    	A part of a geometric (geom.) line can be called a segment (seg.).
RUI_,"RUIN.    	Our word 'bankruptcy' comes from the Italian 'banca rotta', which translates as 'broken bench'. This etymology may stem from the practice of breaking the bench or counter of moneychanger's place of business in order to signify insolvency."
LL_S,"LLDS.    	The honorary degree of Legum Doctor (LL.D.) translates from the Latin as Doctor of Laws, a plural. This practice of using the plural originated in Cambridge University in England, as one was awarded an LL.D. after having been taught both Canon Law and Civil Law."
ECLAIR_,"ECLAIRS.    	The name for the pastry known as an éclair is clearly French in origin. The French word for lightning is 'éclair', but no one seems to be too sure how it came to be used for the rather delicious bakery item."
XRAY_,X-RAYS.    	(4A. Centaurus A is one : RADIO GALAXY)
O_AY,O SAY.    	'O say can you see by the dawn's early light' us the opening line of 'The Star-Spangled Banner' by Francis Scott Key.
SER_A,"SERRA.    	Junípero Serra was a Spanish missionary, a founder of several missions out here in California. Among those associated with Serra is the Mission in Carmel, where Serra's remains are buried, and Mission San Juan Capistrano, the chapel of which is believed to be the oldest standing building in the state."
_ACS,SACS.    	Sacrifice (sac.)
_DS,JDS.    	The law degree abbreviated to J.D. stands for Juris Doctor.
_NTEATER,"ANTEATER.    	""B.C."" is a comic strip that was drawn by Johnny Hart, and now since Hart's passing, is produced by his grandson. Hart introduced ""B.C."" in 1958. One of the non-human characters in the strip is the Anteater, who sucks up ants with his sticky tongue making a ""ZOT"" sound. Hart's Anteater is the inspiration for Peter the Anteater, the team mascot for UC Irvine. Johnny Hart's other famous comic strip is the brilliant ""The Wizard of Id""."
WAY_E,"WAYNE.    	Mad Anthony Wayne was a US Army general during the Revolutionary War. Wayne's military exploits and wild personality led to him being nicknamed 'Mad'. The alter-ego of the superhero Batman is Bruce Wayne, a name that was chosen from Scottish king Robert the Bruce and Revolutionary War general Mad Anthony Wayne."
W_I,"WWI.    	Prior to the outbreak of World War II, what we now know as World War I was referred to as 'the World War' or 'the Great War'."
_AHN,"ZAHN.    	Paula Zahn has worked as a journalist and news anchor with ABC, NBC, Fox News and CNN. She is currently the host of a true crime show on the Discovery Channel called 'On the Case with Paula Zahn'. Outside of her work on television, Zahn is an accomplished cellist and has even played at Carnegie Hall with the New York Pops Orchestra."
IS_DORE,ISADORE.    	Isadore Rosenfeld is a medical doctor who has written a textbook for doctors as well as several bestselling books for the general public. Rosenfeld also serves as a medical consultant for Fox TV and appears every Sunday morning on the show 'Sunday House Calls'.
MISS_SA,"MISS USA.    	The beautiful and talented actress Halle Berry is the only African American woman to win a best Actress Oscar, which she received for her performance in the 2001 movie ""Monster's Ball"". She also won a Golden Raspberry Award for Worst Actress in 2005 for playing the title role in ""Catwoman"", and she very graciously accepted the award in person. Good for her!"
ADAG_S,"ADAGES.    	Homer was a famous poet of Ancient Greece, believed to be the author of the two classic epic poems, the ""Iliad"" and the ""Odyssey"". However, some scholars believe that Homer did not actually exist, but rather he is the personification of oral tradition that was passed down through the ages. One nice bit of advice attributed to Homer is:"
_EES,"ZEES.    	The letter named ""zed"" has been around since about 1400, and derives from the Greek letter zeta. The spelling and pronunciation of ""zee"" used in America today first popped up in the 1670s."
_CAD,"ACAD.    	The Coast Guard Academy (USCGA) is located in New London, Connecticut. The USCGA was founded in 1876 as the School of Instruction of the Revenue Cutter Service. The main training vessel used by the academy is the USCGC Eagle, a tall ship formerly known as the Horst Wessel that was received from Germany in 1946 as a war reparation."
ELID_,"ELIDE.    	'To elide' is to pass over, omit or slur a syllable when speaking."
WIS_,"WISE.    	The Greek goddess Athena is often associated with wisdom (among other attributes). In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise""."
AMY_AN,"AMY TAN.    	Amy Tan lives not too far from here, in Sausalito just north of San Francisco. Tan is an American writer of Chinese descent whose most successful work is ""The Joy Luck Club"". ""The Joy Luck Club"" was made into a movie produced by Oliver Stone in 1993. The novel and movie tell of four Chinese-American immigrant families in San Francisco who start the Joy Luck Club, a group playing Mahjong for money and eating delicious food."
JO_I,JONI.    	Joni Mitchell is a Canadian singer and songwriter from Fort MacLeod in Alberta. Mitchell is perhaps best known for her recordings 'Big Yellow Taxi' and 'Woodstock'.
B_RG,"BURG.    	'Burg' is an informal term used in the US for a smaller town, from the German word 'burg' meaning a fortified city."
MOL_TOV,"MOLOTOV.    	Vyacheslav Molotov was a prominent Soviet politician and protégé of Joseph Stalin. During the Winter War of WWII, between the Soviet Union and Finland, Molotov claimed in radio broadcasts that Finland was not being bombed, but rather that the Soviet Union was dropping food to relieve famine. With a sense of irony, the Finns started to call the Soviet bombs ""Molotov bread baskets"". The Finns also improvised incendiary bombs using bottles and a gasoline-based fuel, and called these devices ""Molotov cocktails"", a name that persists to this day."
PI_EL,"PIXEL.    	A pixel is a dot, the base element that goes to make up a digital image."
S_OSH,"SKOSH.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
E_QS,"ESQS.    	The title ""esquire"" is of British origin and is used differently today depending on whether one is in the US or the UK. Here in America the term is usually reserved for those practicing the law (both male and female). In the UK, ""esquire"" is a term of gentle respect reserved for a male who has no other title that one can use. So a mere commoner like me might receive a letter from the bank say, addressed to W. E. Butler Esq."
BM_S,"BMWS.    	The acronym BMW stands for Bayerische Motoren Werke, which translates into Bavarian Motor Works. BMW was making aircraft engines during WWI, but had to cease that activity according to the terms of the Treaty of Versailles. The company then started making motorcycles, and then moved into automobile production starting in 1928. BMW moved back into aircraft engine manufacturing during the build-up of the Luftwaffe prior to WWII."
C_SA,COSA.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. The Italian authorities established that 'Cosa Nostra' was also used in Sicily when they penetrated the Sicilian Mafia in the 1980s. The term 'Mafia' seems to be just a literary invention that has become popular with the public.
MAC_RENA,MACARENA.    	'Macarena' is a dance song in Spanish that was a huge hit worldwide for Los Del Río in 1995-1996.
_IME,"DIME.    	President Roosevelt was a major driver in the founding of the National Foundation for Infantile Paralysis. The Foundation's most successful fund raising campaign was to encourage the public to just send a dime to support the charity, so that even before the Foundation officially changed its name, the public were already calling it March of Dimes. After President Roosevelt passed away in office, Congress passed legislation calling for a new design for the dime, one featuring the image of FDR. The Roosevelt dime was introduced in 1946, on the day that would have been the President's 64th birthday."
WALES_,"WALESA.    	Lech Walesa worked as an electrician in the Gdansk Shipyards in Poland. Walesa was active in the trade union movement in the days when unions were not welcome behind the Iron Curtain. His efforts resulted in the founding of Solidarity, the first independent trade union in Soviet-controlled territory. For his work, Walesa was awarded the Nobel Peace Prize in 1983, and in 1990 he became the first democratically elected President of Poland. He has lost support in Poland in recent years, but he is a very popular booking on the international speaking circuit."
SAR_E,"SARGE.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
E_S,EFS.    	Grade point average (GPA)
IPHO_ES,"IPHONES.    	Some kind readers of the blog worked out the meaning of this clue for me. The iPhone has been a huge commercial success relative to the competing BlackBerry device. One might say that the iPhone ""routed"" the BlackBerry, was overwhelmingly successful."
A_BAS,"ABBAS.    	Mahmoud Abbas took over as Chairman of the Palestine Liberation Organization in 2004 after the death of Yasser Arafat. Abbas is also the President of the Palestinian National Authority, equivalent to ""head of state""."
LI_,"LIB.    	William Ewart Gladstone was the leader of the Liberal party and Prime Minister of Britain on four different occasions. Gladstone resigned in 1894. At the time of his resignation he was 84 years old, making him the oldest person to serve in the office."
_ITE,"KITE.    	Charlie Brown is the main character in the long-running comic strip called 'Peanuts', created by Charles Schulz. Charlie has several persistent frustrations in his life, including an inability to fly a kite. The focus of his kite-flying frustration is the dreaded Kite-Eating Tree."
_BOTE,"OBOTE.    	Milton Obote was the political leader who led Uganda to independence from British colonial rule in 1962. Oboto served as Prime Minister and then President of the country, until he was overthrown by Idi Amin in 1971."
_PM,WPM.    	Words per minute (WPM)
DIETSOD_,"DIET SODA.    	The artificial sweetener called aspartame was discovered by a chemist working for Searle in 1965, but it took 15 years for the company to be granted approval for its sale. I wonder why ...???"
BB_,BBQ.    	It is believed that our word 'barbecue' comes from the Taíno people of the Caribbean in whose language 'barbacoa' means 'sacred fire pit'.
H_XA,"HEXA-.    	The prefix 'dodeca-' indicates 12, and the prefix 'hexa-' denotes 6."
ARGO_,"ARGOS.    	Argos is one of the oldest cities in Greece, and indeed in Europe, having been continuously inhabited for over 7,000 years. In ancient times, Argos was a rival city-state to the powerful Sparta."
Y_AN,"YUAN.    	The Korean Won, the Chinese Yuan, and the Japanese Yen (all of which are Asian currencies) take their names from the Chinese written character that represents ""round shape""."
GI_A,"GIZA.    	The Great Sphinx of Giza is a huge limestone statue of a mythical creature with the body of a lion and the head of a human. It is the largest monolithic statue in the world. Famously, the Great Sphinx is missing its nose and beard."
LETSDAN_E,"LET'S DANCE.    	David Bowie's great hit ""Let's Dance"" was released in 1983, and was his only record to make it to number one on both sides of the Atlantic."
WAL_H,WALSH.    	John Walsh is the host and creator of the TV show 'America's Most Wanted'. Walsh was inspired to become an anti-crime activist after his six-year-old son Adam was brutally murdered in 1981.
MOS_,"MOST.    	It's the Most Wonderful Time of the Year"" is a Christmas song that was first recorded by Andy Williams, in 1963."
_ERBS,"SERBS.    	Serbs are an ethnic group native to the Balkans in southeastern Europe. Although Serbs exist as a minority group in many countries in the region, they are the majority ethnic group in Serbia, in Montenegro and in Bosnia and Herzegovina."
ADA_ES,"ADAGES.    	Poor Richard's Almanack was an annual publication authored by none other than Benjamin Franklin. The first edition hit the shelves in 1732, and was very, very successful, selling about 10,000 copies a year. Apparently Napoleon Bonaparte was a big fan."
HE_,HEM.    	An A-line skirt is one that fits snugly at the hips and flares toward the hem.
_OLON,"SOLON.    	Solon was an Athenian statesman and lawmaker in Ancient Greece. He gave his name to our contemporary word ""solon"" meaning ""a wise lawmaker""."
AQ_A,AQUA.    	53. See 52-Down : LUNG
NAIROB_,"NAIROBI.    	Nairobi is the capital and largest city in the African nation of Kenya. The city is named for the Nairobi River, which in turn takes its name from the Maasai 'Enkare Nairobi' meaning 'Cool Water'. Nairobi was founded in 1899 as a stop on the Kenya-Uganda railroad, at a time when the country was a British colony."
HOH_,HO HO.    	Ho Hos snack cakes were first produced in San Francisco in 1967; not the best thing to come out of the sixties I'd say ...
_HS,"VHS.    	The video standard known as VHS is more fully referred to as the Video Home System. VHS was one of many standards touted by various manufacturers in the seventies. The biggest rival to VHS was of course Betamax, but we all knew which of the two standards won the final round in that fight."
MAMMAM_A ,"MAMMA MIA!.    	The hit musical 'Mamma Mia!' was written to showcase the songs of ABBA. I'm a big fan of ABBA's music, so I've seen this show a couple of times and just love it. 'Mamma Mia!' is such a big hit on the stage that on any given day there are at least seven performances going on somewhere in the world. There is a really interesting film version of the show that was released in 2008. I think the female lead Meryl Streep is wonderful in the movie, but the male leads ... not so much! By the way, one can tell the difference between 'Mamma Mia' the ABBA song and 'Mamma Mia!' the musical, by noting the difference in the punctuation in the titles."
FA_A,FAVA.    	Fava bean is an alternative name for the broad bean.
F_IE,"FOIE.    	Pâté is a rich spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version of the paste is pâté de foie gras, made from the fattened livers of geese (""foie gras"" means ""fat liver"" in French)."
_INT,"MINT.    	The first mint in the US was established in 1792 in Philadelphia, which was the nation's capital at that time. The modern Philadelphia Mint was opened in 1969, and is the fourth building used a mint in the city. The facility can produce a million coins in the just half an hour."
GUN_,"GUNN.    	'Peter Gunn' is a crime drama about a private eye that ran on NBC and ABC in the late fifties and early sixties. The show was created by Blake Edwards, with many episodes being directed by Robert Altman."
RI_LOBO,"RIO LOBO.    	'Rio Lobo' is a Western movie that was released in 1970, starring John Wayne. 'Rio Lobo' is the third film in a trilogy that was directed by Howard Hawks, the other two films being 'Rio Bravo' (1959) and 'El Dorado' (1966). 'Rio Lobo' was the last film that Hawks directed."
SNAP_HAT,"SNAPCHAT.    	Snapchat is a messaging system that allows users to send photos and video clips to a limited list of recipients. The photos and clips, called 'snaps', can be viewed for only a few seconds before they are deleted from the recipient's device and from the Snapchat servers."
STRI_,STRIP.    	The Las Vegas Strip is a 4-mile section of Las Vegas Boulevard that is home to many hotels and casinos. Fifteen of the world's twenty-five largest hotels are located on the Las Vegas Strip.
S_AHAG,SEA HAG.    	The Little Mermaid' is a 1989 animated feature from Disney that is based on the Hans Christian Andersen fairy tale of the same name. It tells the story of a mermaid princess called Ariel who falls in love with the human Prince Eric. Ariel's father is chief merman King Triton.
HAVA_A,"HAVANA.    	Havana is the capital city of Cuba. The city was founded by the Spanish in the early 1500s after which it became a strategic location for Spain's exploration and conquest of the Americas. In particular, Havana was used as a stopping-off point for treasure-laden ships on the return journey to Spain."
I_E,-IDE.    	Oxides are usually named for the number of oxygen atoms in each molecule of the oxide. Oxides with one oxygen atom are called monoxides (as in carbon monoxide: CO). Oxides with two oxygen atoms are dioxides (as in carbon dioxide: CO2). Oxides with three oxygen atoms are trioxides (as in sulfur trioxide: SO3). Oxides with four oxygen atoms are tetroxides (as in dinitrogen tetroxide: N2O4).
C_SE,"CASE.    	'Law & Order' ran for many, many years on NBC, from 1990 to 2010. 'Law & Order' is a police drama that spawned a huge franchise of shows both here in the US and overseas. I am probably a bit biased, but my favorite is the version shown in BBC America called 'Law & Order: UK'."
O_LADI,"OB-LA-DI.    	""Ob-La-Di, Ob-La-Da"" was one of many songs credited to Lennon/McCartney that was actually written by just one of the pair. Paul McCartney wrote this one, a song that John Lennon really did not like at all. Apparently Lennon was quite obstructionist during the recording of the song and even walked out at one point."
TEA_,"TEAS.    	Sir Thomas Lipton was a grocer in Glasgow, Scotland. He founded a tea packing company in North America in 1893, in Hoboken, New Jersey. He was very successful as his blends of tea became popular in the US. Despite the Lipton roots in the UK, Lipton black tea isn't available there, so I've always thought of it as an American brand."
ERD_,"ERDE.    	In German, the Earth (Erde) is one of the planets (die Planeten)."
WES_,"WEST.    	Cornel West is a philosopher, academic and activist who was the first African American to graduate Princeton with a Ph.D. in philosophy."
ALEC_,"ALECK.    	Apparently the original ""smart Alec"" (sometimes 'Aleck') was Alec Hoag, a pimp, thief and confidence trickster who plied his trade in New York City in the 1840s."
