"To be, to Bernadette.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
Actress ___ Flynn Boyle.   		4 letters,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
"___ Greene, ""The Godfather"" gangster.   		3 letters","MOE.    	Moe Greene is a character in Mario Puzo's novel ""The Godfather"". The character bears a resemblance to the real-life gangster Bugsy Siegel, as both Siegel and Greene are driving forces behind the development of the gambling industry in Las Vegas. In ""The Godfather"" movies, Moe Greene was played by Alex Rocco."
Dr.   		4 letters,"IGOR.    	In the world of movies, Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein among others. Igor is almost invariably portrayed as a hunchback."
Pair of hearts?.   		5 letters,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
Language along the Mekong.   		3 letters,"LAO.    	The Mekong is the twelfth longest river in the world, at over 2,700 miles in length. It rises in the Tibetan Plateau and empties into the South China Sea at the famed Mekong delta system in Vietnam."
Music sheet abbr..   		3 letters,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
Plot division.   		4 letters,"ACRE.    	At one time, an acre was the amount of land a yoke of oxen could plow in a day."
W.W.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
"Expert with books, for short.   		3 letters",CPA.    	Certified public accountant (CPA)
Deg.   		3 letters,"MBA.    	Mitt Romney was born Willard Mitt Romney in 1947 in Detroit, Michigan. Romney's parents named him after J. Willard Marriott (the hotel magnate) who was the father's best friend, and after Milton 'Mitt' Romney who was the father's cousin and quarterback for the Chicago Bears."
Narcs' org.   		3 letters,DEA.    	Drug Enforcement Administration (DEA)
Goulash.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
Funny frame.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Dawn goddess.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
Supporter of a sort.   		3 letters,"BRA.    	The word ""brassière"" is French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Nebraska city or tribe.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory, Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Land of Blarney.   		4 letters,"EIRE.    	Blarney is a town in County Cork in the south of Ireland. Blarney is home to Blarney Castle, and inside the castle is the legendary Blarney Stone. ""Kissing the Blarney Stone"" is a ritual engaged in by oh so many tourists (indeed, I've done it myself!), but it's not a simple process. The stone is embedded in the wall of the castle, and in order to kiss it you have to sit on the edge of the parapet and lean way backwards so that your head is some two feet below your body. There is a staff member there to help you and make sure you don't fall. The Blarney Stone has been labelled as the world's most unhygienic tourist attraction! But once you've kissed it, supposedly you are endowed with the ""gift of the gab"", the ability to talk eloquently and perhaps deceptively without offending. The term 'blarney' has come to mean flattering and deceptive talk."
Patron saint of sailors.   		4 letters,"ELMO.    	St. Elmo is the patron saint of sailors. He lends his name to the electrostatic weather phenomenon (often seen at sea) known as St. Elmo's fire. The ""fire"" is actually a plasma discharge caused by air ionizing at the end of a pointed object (like the mast of a ship), something often observed during electrical storms."
Brother of Cain.   		4 letters,"ABEL.    	According to the Bible, Adam and Eve had several children, although only the first three are mentioned by name: Cain, Abel and Seth."
"Yuri's love in ""Doctor Zhivago"".   		4 letters",LARA.    	The heroine of Boris Pasternak's epic novel 'Doctor Zhivago' is Lara. The Lara character was inspired by Pasternak's mistress Olga Ivinskaya.
Filmmaker ___ C.   		4 letters,"ERLE.    	Erle Kenton was a film director from Norbro, Montana. Kenton directed 131 films between 1916 and 1957, including 'The Ghost of Frankenstein', 'House of Frankenstein' and 'House of Dracula'."
Internet hookup letters.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Skiing gold medalist Tommy.   		3 letters,"MOE.    	Tommy Moe was the first American male skier to win two medals in a single Winter Olympics, in 1994 at Lillehammer in Norway. It was considered a surprise result, as Moe had up to that point not won a single World Cup race."
Vientiane native.   		3 letters,"LAO.    	Vientiane is the capital city of Laos, situated on the famous Mekong River. The city was originally called the ""city of sandalwood"" by Buddhist monks, naming after the valued trees that grew in the area. The French took the Pali words for ""city of sandalwood"" and rewrote it as the French-sounding ""Vientiane""."
Mutual of ___ (insurance giant).   		5 letters,"OMAHA.    	The insurance and financial services company called Mutual of Omaha was founded in 1909 as Mutual Benefit Health and Accident Association. Famously, Mutual of Omaha sponsored the television show 'Wild Kingdom' from 1963 to 1988. 'Mutual of Omaha's Wild Kingdom' was resurrected in 2002 and can now be seen on the Animal Planet cable channel."
Galoot.   		3 letters,"APE.    	""Galoot"" is an insulting term, meaning an awkward or boorish man, an ape. It comes from the nautical world, where it was originally a sailor's word for a soldier or marine."
First name in industrial design.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK. The list of his lesser-known, but still impressive, works includes several buildings erected on academic campuses. For example, the Chapel and Kresge Auditorium on the MIT campus, the Emma Hartman Noyes House at Vassar College, the Law School building at the University of Chicago, and Yale's David S. Ingalls Rink."
Galoot.   		3 letters,"APE.    	""Galoot"" is an insulting term meaning an awkward or boorish man, an ape. ""Galoot"" comes from the nautical world, where it was originally what a sailor might call a soldier or marine."
"When flights are due in, for short.   		4 letters",ETAS.    	Expected time of arrival (ETA)
Daughter of Hyperion.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
Sushi tuna.   		3 letters,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
Pa.   		3 letters,"TMI.    	The Three Mile Island accident was a meltdown of a reactor core that took place at the Three Mile Island Nuclear Generating Station just outside Harrisburg, Pennsylvania in 1979. The accident was caused by a mechanical failure, compounded by human error."
Pee Wee who befriended Jackie Robinson.   		5 letters,"REESE.    	Pee Wee Reese met Jackie Robinson after he was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days, life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
G8 nation.   		3 letters,"USA.    	The G6 was a group of six industrialized nations that formed in 1975 and whose governments met on a periodic basis. The founding members were France, Germany, Italy, Japan, the UK and the US. The membership expanded in 1976 with the addition of Canada, forming the G7. Since 1997, Russia is also represented and the group is now called the G8."
Teammate of Robinson of the 1940s-'50s Dodgers.   		5 letters,"REESE.    	Pee Wee Reese met Jackie Robinson after Robinson was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
Orphan of British literature.   		4 letters,"EYRE.    	""Jane Eyre"" is the celebrated novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
Meiji prime minister.   		3 letters,"ITO.    	The Meiji period in Japan ran from 1868 to 1912, with 'meiji' translating as 'enlightened rule'."
"Latin ""was to be"".   		4 letters","ERAT.    	'Esse' is the Latin for 'to be'. 'Sum' means 'I am' and 'erat' means 'he, she was'."
"___ Croft, Angelina Jolie role.   		4 letters","LARA.    	Lara Croft was first introduced to the world as the main character in a pretty cool video game (I thought) called ""Tomb Raider"", back in 1996. Lara Croft then moved to the big screen in 2001 and 2003, in two pretty awful movie adaptations of the game's storyline. Angelina Jolie played Croft, and did a very energetic job I thought."
Parts of Roman homes.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Cup holder?.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""supporting a woman's breasts"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Vengeful captain.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
It can give you a lift.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device but with each J-shaped bar used by one skier at a time."
POW/___ bracelet (popular 1970s wear).   		3 letters,MIA.    	POW/MIA bracelets are engraved with the name and rank of an American serviceman who was captured or reported missing during the Vietnam War.
Actor Cariou.   		3 letters,"LEN.    	Len Cariou is a Canadian actor, famous for his Broadway portrayal of 'Sweeney Todd'. I most recognize him from supporting roles in 'Flags of Our Fathers' and 'Thirteen Days', two great movies."
It's a lift.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift on which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
"Here, to Henri.   		3 letters","ICI.    	""Ici"" is the French word for ""here""."
Pac-12 school.   		4 letters,"UTAH.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
Computer key.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
Org.   		3 letters,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
Nebraska home of Berkshire Hathaway.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Emmy-winning Ed.   		5 letters,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
Darling of baseball.   		3 letters,RON.    	Ron Darling is former Major league Baseball pitcher. Darling now works as a color commentator for TBS.
Civil War inits.   		3 letters,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865."
Fair-hiring inits.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Vintage vehicle.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan."
Certain tide.   		4 letters,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tides, the sun and the moon's gravities act in concert causing more extreme movement of the oceans."
Permanent member of the U.N.   		3 letters,"USA.    	The United Nations Security Council has 15 members, 5 of whom are permanent and who have veto power over any resolution. The 10 non-permanent members are elected into place, and hold their seats for two years. The UN charter requires that authorized representatives of the member nations are always present at UN headquarters so that the Security council can meet at any time. The permanent members are:"
"The ""E"" of Q.E.D.   		4 letters","ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED initialism stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
Hawaiian tuna.   		3 letters,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
Maker of the Optima and Sorento.   		3 letters,KIA.    	The Kia Optima was sold for a while in Canada and Europe as the Kia Magentis.
Response to an oversharer.   		3 letters,TMI.    	Too much information (TMI)
Former New York governor Spitzer.   		5 letters,ELIOT.    	Eliot Spitzer was the Governor of New York for just over a year before he resigned when it surfaced that he had been a client of a prostitution ring.
"One of 100 in a ""Winnie-the-Pooh"" wood.   		4 letters","ACRE.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
Joy Adamson's lioness.   		4 letters,"ELSA.    	Elsa's life story was told by game warden Joy Adamson, who had a very close relationship with the lioness from when she was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which told the story of Elsa and her three lion cubs. In the 1966 film ""Born Free"" Adamson is played by actress Virginia McKenna."
"Withdrawal symptom, in short.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
Source of a 1973 crisis.   		4 letters,OPEC.    	The 1973 Oil Crisis started when the Arab members of OPEC imposed an oil embargo. The action was taken as retaliation for the decision by President Nixon to resupply the Israeli military during the Yom Kippur War.
"Many a gang symbol, for short.   		3 letters","TAT.    	The word ""tattoo"" was first used in English, as far as can be told, in the writings of Captain Cook. He was describing the marks made on the skin of Polynesian natives, and anglicized the Tahitian word ""tatau""."
"Pixar's ""Finding ___"".   		4 letters","NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
Only actor to win a comedy and drama Emmy for the same character.   		5 letters,"ASNER.    	And the role of course was that of Lou Grant in ""The Mary Tyler Moore Show"". And did you know that Gavin Newsom, the up and coming Mayor of San Francisco, is Asner's nephew (through his wife)?"
Way up?.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
"Galway Bay locale, to locals.   		4 letters","EIRE.    	'Éire', is the Irish word for 'Ireland'. The related 'Erin' is an anglicized version of 'Éire' and actually corresponds to 'Éirinn', the dative case of 'Éire'."
"Flying Cloud, e.g.   		3 letters","REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975, in Lansing, Michigan."
"Senator Vinick's portrayer on ""The West Wing"".   		4 letters","ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
"Doc's image, e.g.?.   		3 letters","CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Midori on ice.   		3 letters,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training, when she was only 8 years old ..."
"It included Ga., La.   		3 letters",CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
"Fraternity ""T"".   		3 letters","TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Part of H.R.H.   		3 letters,HER.    	Her Royal Highness.
Every other hurricane.   		3 letters,"HER.    	Hurricanes are given names primarily to help the public keep track of dangerous systems. The names are decided ahead of the hurricane season, with the first system given a name beginning with A, the second, B etc. The names are alternated from male to female throughout the season. Also, if the first storm of the season is given a male name, then the following year a female name is chosen. For hurricanes in the North Atlantic, names are assigned for every letter, except Q, U, X, Y and Z."
"Verb with ""vous"".   		4 letters","ETES.    	""Vous êtes"" is the French for ""you are""."
Where waves come in?.   		3 letters,EAR.    	Those would be sound waves.
Flying Cloud automaker.   		3 letters,"REO.    	REO was founded by Ransom E. Olds (hence the name REO) and among its most famous models were the REO Royale, and the REO Flying Cloud."
"The shakes, for short.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
Muppet who speaks in a falsetto.   		4 letters,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
Tableland.   		4 letters,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the name ""mesa"", a geographic feature."
Imbecile.   		3 letters,"ASS.    	The rather unsavory term 'imbecile' was formerly used by the medical community to describe someone with moderate to severe mental retardation. The term comes from the Latin 'imbecillus' meaning 'weak, feeble', which was extended to mean 'weak-minded'. Back in the early 1900s, IQ tests were used to classify those suffering from mental retardation into categories:"
World's longest river.   		4 letters,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
"Kissing in a crowd, e.g., in brief.   		3 letters",PDA.    	PDA is an acronym used for 'public display of affection'.
"One trained in 11-Across, for short.   		3 letters",EMT.    	Emergency medical technician (EMT)
Grant portrayer on TV.   		5 letters,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
Locale for a hammer.   		3 letters,"EAR.    	The middle ear is the portion of the ear immediately behind the eardrum. The middle ear contains three small bones called the ossicles, the three smallest bones in the human body. The ossicles' job is to transmit sound from the outer ear to the inner ear. The shape of the bones gives rise to their common names: the hammer, anvil and stirrup."
Narc's org.   		3 letters,DEA.    	Drug Enforcement Administration (DEA)
Disney frame.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
"Language that gave us ""smithereens"".   		4 letters","ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
First name in mystery.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
Cariou who played Sweeney Todd.   		3 letters,"LEN.    	Len Cariou is a Canadian actor, famous for his Broadway portrayal of 'Sweeney Todd'. I most recognize him from supporting roles in 'Flags of Our Fathers' and 'Thirteen Days', two great movies."
Court figure.   		4 letters,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
"""I didn't need to know that,"" in modern lingo.   		3 letters",TMI.    	Too Much Information.
Big inits.   		3 letters,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
"Swanson on ""Parks and Recreation"".   		3 letters","RON.    	Parks and Recreation' is a sitcom that started airing on NBC in 2009, and it is a show that has grown on me. It stars the ""Saturday Night Live"" alum Amy Poehler. The creators of ""Parks and Recreation"" are part of the team responsible for the American version of 'The Office', so you'll notice some similarities in the style of the two shows, and some actors that have appeared in both."
"Eliot's ""cruellest"" mo.   		3 letters","APR.    	Eliot wrote his poem called ""The Waste Land"" in 1922. 'The Waste Land' opens with the famous line, ""April is the cruellest month ...""."
