Port in the eastern Mediterranean.   		4 letters,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
"""Four Quartets"" poet.   		5 letters","ELIOT.    	T. S. Eliot was awarded the Nobel Prize in Literature in 1948, largely due to his ""Four Quartets"", a set of four poems that Eliot himself considered to be his life's masterpiece."
Top.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
"Robert of ""The Girl Who Knew Too Much"".   		4 letters","ALDA.    	Actor Robert Alda was the father of Alan Alda. Robert Alda's most famous role was probably George Gershwin in the 1945 movie ""Rhapsody in Blue"". Robert appeared twice in ""M*A*S*H"", alongside his son."
"Camera type, briefly.   		3 letters","SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
It includes a 35-min.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Union opposer: Abbr..   		3 letters,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865."
"""The Sacred Wood"" writer.   		5 letters","ELIOT.    	""The Sacred Wood"" is a collection of essays by T. S. Eliot, first published in 1920."
Orange Pixar character.   		4 letters,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
This and that.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used when cooking the stew."
Ticklish red Muppet.   		4 letters,"ELMO.    	Tickle Me Elmo was a sensational fad in the late nineties, with stores raising prices dramatically above the recommended retail price to take advantage of demand. Reportedly, prices as high as $1500 were paid at the height of the craze. The toy's manufacturer, Tyco, originally planned to market the ""tickle"" toy as Tickle Me Tasmanian Devil (after the ""Looney Tunes"" character), but then went with ""Elmo"" after they bought the rights to use ""Sesame Street"" names."
Torque symbol.   		3 letters,"TAU.    	Torque can be thought of as a turning force, say the force needed to tighten a bolt or a nut. In physics, torque is represented by the Greek letter tau."
Southwest city founded by Mormon pioneers.   		4 letters,"MESA.    	The city of Mesa, Arizona is in effect a suburb of Phoenix. The original settlement of non-Native Americans was founded by Daniel Webster Jones who led a Mormon group from St. George, Utah. The settlement was first called Jonesville, then Fort Utah and eventually Lehi. A second group of Mormons arrived and formed a settlement on top of a nearby mesa. It was this use of a mesa that eventually gave the city its current name."
"""___ = Politics"" (TV slogan).   		3 letters","CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
Aurora's Greek counterpart.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
Monroe of the N.B.A.   		4 letters,EARL.    	Earl Monroe is a retired professional basketball player who played for the Baltimore Bullets and the New York Knicks.
Mixed bag.   		4 letters,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
"Journeyer through Grouchland, in a 1999 film.   		4 letters","ELMO.    	The Adventures of Elmo in Grouchland' is a 1999 film, the ninth in the 'Sesame Street' series of movies. It is also the ninth in the series of 'Sesame Street' films that I haven't seen ..."
"Drunk's woe, informally.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
___ Stanley Gardner.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Where a bud hangs out.   		3 letters,"EAR.    	Those would be earbuds, headphones."
Want ad abbr.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
"One denoted by a cross on the Vietnam Veterans Memorial, for short.   		3 letters",MIA.    	Missing in action (MIA)
Summers in St.-Tropez.   		4 letters,"ETES.    	Saint-Tropez is a town in southeastern France on the French Riviera. These days, Saint-Tropez is very much associated with the European and American jet set."
Apr.   		3 letters,"CPA.    	Back in 1913, 'Tax Day' was March 1st, and this was moved to March 15th in 1918. We've been filing returns by April 15th since 1955."
Mo.   		3 letters,"APR.    	Fort Sumter is a fortification lying on an artificially constructed island in Charleston Harbor in South Carolina. In December 1860, when South Carolina seceded from the Union, US Army forces relocated to Fort Sumter deeming it to be a relatively defensible location. On April 11, 1861, confederate forces demanded that the fort be surrendered. When the defenders refused to budge, confederate artillery opened fire at 4:30 in the morning of April 12, 1861, starting the American Civil War."
Filmmaker Ferrara.   		4 letters,ABEL.    	Abel Ferrara is a screenwriter and film director noted for his work on independent movies. Ferrara's best-known film is probably the 1990 crime drama 'King of New York' starring Christopher Walken.
Mai ___.   		3 letters,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
"Gibbon, e.g.   		3 letters","APE.    	Gibbons are referred to as lesser apes as they differ in size and behavior from the great apes e.g. chimpanzees, gorillas, orangutans and humans."
"Connection concerns, for short.   		4 letters",ETAS.    	Expected time of arrival (ETA)
"Palmtop, e.g., in brief.   		3 letters","PDA.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
"""What Women Want"" actor.   		4 letters","ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
One of the 12 in the Pac-12.   		4 letters,"UTAH.    	Pac-12 is an abbreviation for the Pacific-12 Conference, a college athletic conference in the western US. The Pac-12 has won more NCAA National Team Championships than any other conference. The Pac-12 was founded in 1915 as the Pacific Coast Conference (PCC). Over time as it grew, the conference went by the names Big Five, Big Six, Pacific-8, Pacific-10 and became the Pacific-12 in 2011."
Coward from England.   		4 letters,"NOEL.    	Noel Coward was the most flamboyant of personalities, a playwright, composer and actor. Coward worked in a remarkable range of genres. He wrote the wonderfully airy play ""Blithe Spirit"", as well as the Oscar-winning WWII naval drama ""In Which We Serve"". A couple of his more famous songs, many of which he performed himself in cabaret, were ""Mad Dogs and Englishmen"" and ""London Pride""."
Cartel formed in '60.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia), but isn't part of OPEC. One reason America isn't a member is that even though we are one of the big producers we import a lot more than we export. But you probably knew that already ..."
Wall St.   		3 letters,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
Nebraska's largest city.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Belgian river to the North Sea.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
Post-retirement occurrence.   		3 letters,REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours and is the period associated with one's most vivid dreams.
Actor who won comedy and drama Emmys for the same role.   		5 letters,"ASNER.    	And the role of course was that of Lou Grant in ""The Mary Tyler Moore Show"". And did you know that Gavin Newsom, the up and coming Mayor of San Francisco, is Asner's nephew (through his wife)?"
Biblical homophone of 1-Down.   		4 letters,"ABEL.    	Yep, ABEL sounds like ABLE. The story of Cain and Abel not only appears in the Bible. It also features in the Qur'an, where the brothers are named Kabil and Habil."
Composer Stravinsky.   		4 letters,"IGOR.    	Igor Stravinsky's most famous works were completed relatively early in his career, and brought him into the limelight. The three ballets ""The Firebird"", ""Petrushka"" and ""The Rite of Spring"" were published in 1910-1913, when Stravinsky was in his early thirties."
Funicular alternative.   		5 letters,"T-BAR.    	A funicular is an inclined railway, with two trams attached by a cable with one descending the slope and acting as a counterweight for the other tram as it ascends."
KLM competitor.   		3 letters,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
"""Uncle ___ wants you"".   		3 letters","SAM.    	The Uncle Sam personification of the United States was first used during the War of 1812. The 'Uncle Sam' term was so widely accepted that even the Germans used it during WWII, choosing the code word ""Samland"" for ""America"" in intelligence communiques."
Defib administrator.   		3 letters,EMT.    	Emergency medical technician (EMT)
Sigma follower.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Farrow or Hamm.   		3 letters,"MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
L.A.   		3 letters,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
Moscow Olympics boycotter.   		3 letters,"USA.    	The USA led a group of 65 countries in boycotting the 1980 Summer Olympic Games held in Moscow. The boycott was at the insistence of President Jimmy Carter, a response to the Soviet War in Afghanistan. The Soviet Union eventually retaliated, by leading a group of nations in boycotting the next Summer Olympics, held in 1984 in Los Angeles."
"Language from which ""clan"" comes.   		4 letters","ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
"___ Group (""big four"" record co.).   		3 letters","EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
Traffic control org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Sic ___ scriptum.   		4 letters,"ERAT.    	""Sic"" indicates that a quotation is written as originally found, perhaps including a typo. ""Sic"" is Latin for ""thus, like this"". The term is more completely written as 'sic erat scriptum', which translates as 'thus was it written'."
"""___ on parle français"".   		3 letters",ICI.    	Here (ici) one speaks French.
One carrying a toon?.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
"Camera type, briefly.   		3 letters","SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Multinational currency.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
Music sheet abbr.   		3 letters,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
H.R.H.   		3 letters,HER.    	Her Royal Highness (HRH).
Little of this and that.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the name of the clay pot used when cooking the stew."
Replacement for the mark and franc.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
"Howard who narrated ""Arrested Development"".   		3 letters","RON.    	Arrested Development' is a sitcom that originally aired on Fox from 2003 to 2006. Ron Howard was heavily involved in the show behind the camera, serving as executive producer and also as the show's narrator. Fifteen new episodes of 'Arrested Development' were filmed specifically for release on Netflix in 2013, and there may even be a movie on the way."
"King Kong, e.g.   		3 letters","APE.    	When RKO released the 1933 movie 'King Kong', the promotional material listed the ape's height as 50 feet. During filming, a bust was created for a 40-foot ape, as well as a full-size hand that went with a 70-foot Kong."
"Being, in Bordeaux.   		4 letters","ETRE.    	Bordeaux is perhaps the wine producing capital of the world. Wine has been produced in the area since the eighth century. Bordeaux has an administrative history too. During WWII, the French government relocated from Paris to the port city of Bordeaux when it became clear that Paris was soon to fall to the Germans. After the German's took France, the capital was famously moved to Vichy."
28-Across locale.   		4 letters,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
Starting point on a French map.   		3 letters,"ICI.    	""Ici"" is the French for ""here""."
Car from Korea.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
High-ceilinged courtyards.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
One of 100 in Winnie-the-Pooh's wood.   		4 letters,"ACRE.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
Mexican relative.   		3 letters,"TIA.    	In Spanish, a 'tia' (aunt) is a member of 'la familia' (the family)."
"Internet option, briefly.   		3 letters","DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
"Image of Homer, perhaps.   		3 letters","CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Want ad abbr..   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
Dweller along the Mekong.   		3 letters,"LAO.    	The Mekong is the twelfth longest river in the world, at over 2,700 miles in length. It rises in the Tibetan Plateau and empties into the South China Sea at the famed Mekong delta system in Vietnam."
Music sheet abbr.   		3 letters,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
Deg.   		3 letters,"MBA.    	President George Walker Bush attended Harvard Business School to earn his MBA, and is the only US president with an MBA."
Sunlit spaces.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Mai ___ (bar order).   		3 letters,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
Flaming Gorge locale.   		4 letters,"UTAH.    	Flaming Gorge in Utah was named in 1869 by explorer John Wesley Powell. He used the term 'Flaming' as the walls of the gorge are made from red sandstone. The Green River runs through Flaming Gorge, and was dammed up in 1964 to create the 91 mile long Flaming Gorge Reservoir."
"Ed of ""Elf"".   		5 letters","ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
"Servant in the ""Discworld"" novels.   		4 letters","IGOR.    	'Discworld' is a series of comic books written by Terry Pratchett. The title refers to world that is a flat disc that sits on the backs of four elephants, which in turn stand on the back of a giant turtle."
"Setting for the beginning of ""The Book of Mormon"".   		4 letters",UTAH.    	'The Book of Mormon' is a satirical musical by Trey Parker and Robert Lopez (of 'South Park' fame) and Matt Stone (of 'Avenue Q' and 'Frozen' fame). The show follows two missionaries from the Mormon Church seeking converts in a remote village in Uganda.
"Ernst & Young employee, for short.   		3 letters","CPA.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
"""Cheers"" role.   		3 letters","SAM.    	On the sitcom ""Cheers"", barman Sam Malone was played by Ted Danson. Malone was a retired relief pitcher for the Boston Red Sox, and a recovering alcoholic. Great show ..."
"Band with the multiplatinum albums ""Out of Time"" and ""Monster"".   		3 letters","REM.    	R.E.M. was a rock band from Athens, Georgia formed in 1980. The name 'R.E.M.' was chosen randomly from a dictionary, apparently."
"Sibling of Helios and Selene, in myth.   		3 letters","EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
Strong arm.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
Magazine user?.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
Part of H.M.S.   		3 letters,"HER.    	HMS stands for His or Her Majesty's Ship and is a prefix used in the navies of some monarchies, most notably the UK's Royal Navy."
"""I really didn't need to hear all that,"" in texts.   		3 letters",TMI.    	Too Much Information (TMI)!
Name on some euros.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
___ chi ch'uan.   		3 letters,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
"""Pulp Fiction"" weapon.   		3 letters","UZI.    	The first Uzi sub-machine gun was designed in the late 1940s by Major Uziel Gal, who gave his name to the gun."
Red sushi fish.   		3 letters,TAI.    	Tai is the Japanese name for sea bream.
Some coll.   		4 letters,"LSAT.    	Princeton doesn't have a law school, although once it did. It opened for business in 1847 and closed in 1852, with only seven students graduating with a law degree."
Newswoman Logan.   		4 letters,"LARA.    	Lara Logan is a South African newswoman, and is currently the Chief Foreign Affairs Correspondent for CBS News. CBS placed Logan on a forced leave of absence at the end of 2013 for comments that she made about the US Government's culpability in the Benghazi attack and for inaccuracies in her reporting of the story."
Middling noble rank.   		4 letters,"EARL.    	In the ranking of nobles an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system, and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
Exam with a max.   		4 letters,LSAT.    	The Law School Admission Test has been around since 1948.
"Itinerary data, for short.   		4 letters",ETAS.    	Expected time of arrival (ETA)
Flying Cloud of autodom.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
"Rapper with the 2008 hit ""Paper Planes"".   		3 letters",MIA.    	M.I.A. is the stage name of British rap artist Maya Arulpragasam.
"""Silas Marner"" author.   		5 letters","ELIOT.    	""Silas Marner: The Weaver of Raveloe"" is a novel written by George Eliot and first published in 1861. There's an excellent BBC TV version of the tale (shown on PBS) starring Ben Kingsley in the title role with Patsy Kensit playing Eppie, the young orphaned child that Marner takes under his wing."
Miss ___.   		3 letters,USA.    	The Miss USA beauty pageant was founded in 1952 in order to select the American candidate for the Miss Universe competition.
Obstacle for an aspiring D.A.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Actress Long.   		3 letters,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
Certain cross.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Curly rider?.   		3 letters,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe Howard, Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and he stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry had a stroke in 1970, it effectively marked the end of the act."
Camera inits.   		3 letters,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
"Cardholder's charge, for short.   		3 letters",APR.    	Annual percentage rate (APR)
Ecuador is a member of it.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But you probably knew that already ..."
Continental money.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of those 27 states. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
"BlackBerry, e.g., briefly.   		3 letters",PDA.    	The PDA known as a BlackBerry was given its name because the keyboard on the original device resembled the surface on the fruit of a blackberry.
Sushi order.   		3 letters,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
Bugs might be seen in one.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
"Bit of ink, slangily.   		3 letters","TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Skater Midori.   		3 letters,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
H.R.H.   		3 letters,HER.    	His/her Royal Highness (HRH)
On the subject of.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). It literally means ""in the matter"", and is used as ""in regard to"", or ""in the matter of""."
"Luau instrument, informally.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
