P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
Piece in early Indian chess sets.   		5 letters,"RAJAH.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""chaturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
Choreographer Lubovitch.   		3 letters,"LAR.    	Lar Lubovitch is an American choreographer noted for his stage work, but also for choreographing figure skating routines for the likes of John Curry, Peggy Fleming and Dorothy Hamill."
"Westerns, in old lingo.   		6 letters","OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
Break down.   		5 letters,"PARSE.    	The verb ""to parse"" means ""to state the parts of speech in a sentence"". ""Parse"" comes from the Latin word ""pars"" meaning ""part""."
One of 435 in D.C.   		3 letters,"REP.    	The number of seats in the US House of Representatives has been 435 since the year 1913, although there was a temporary increase to 437 seats at the time of the admission of Alaska and Hawaii to the Union. The number of representatives assigned to each state is proportional to that state's population, except that each state is guaranteed a minimum of one delegate by the US Constitution."
Org.   		4 letters,"FEMA.    	Federal emergency management has been structured for over 200 years, but what we know today as the Federal Emergency Management Agency (FEMA) was created in 1979 in an Executive Order issued by President Jimmy Carter."
Kemo ___.   		4 letters,"SABE.    	Kemosabe' is a term used by the Tonto character in the iconic radio and television program 'The Lone Ranger'. 'Kemosabe' doesn't really mean anything outside of the show, and in fact was written as 'ke-mo sah-bee' in the original radio show scripts. The term was created by longtime director of 'The Lone Ranger', Jim Jewell. To come up with the term, Jewell used the name of a boy's camp that his father-in-law established called Kamp Kee-Mo Sah-Bee."
Part of Dixie: Abbr..   		3 letters,"ALA.    	Alabama is known as the Yellowhammer State, in honor of the state bird. Alabama is also called the 'Heart of Dixie'."
Gun shows?.   		6 letters,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
R&B/pop singer Aubrey.   		5 letters,"O'DAY.    	The singer Aubrey O'Day is member of the duo band Dumblonde, and a former member of the girl group Danity Kane."
Where King Saul consulted a witch.   		5 letters,"ENDOR.    	According to the First Book of Samuel, the Witch of Endor called up the ghost of the deceased Samuel at the behest of Saul, the first King of the Israelites. Endor was a city in the land of Canaan."
Pictures of the Old West.   		6 letters,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
Hip-hop's Kendrick ___.   		5 letters,"LAMAR.    	Kendrick Lamar is a hip hop singer from Compton, California. Lamar's full name is Kendrick Lamar Duckworth, with the singer's given name in honor of Motown artist Eddie Kendricks."
Many old B films.   		6 letters,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
Minneapolis suburb.   		5 letters,"EDINA.    	Edina, Minnesota lies just southwest of Minneapolis. The town takes its name from Edinburgh, the capital city of Scotland. It was suggested by a Scottish mill owner at the time a new village was being set up in 1888."
Trash hauler.   		4 letters,"SCOW.    	A scow is a flat-bottomed boat with squared-off ends that's often used for transportation, usually pushed or pulled by a barge. Often a scow can be seen carrying junk or garbage."
"Refine, as ore.   		5 letters","SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, the ore is heated and the metal oxides within are reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting (and of course, a greenhouse gas)."
One at the U.S.   		4 letters,"UNUM.    	From 1776, ""E pluribus unum"" was the unofficial motto of the United States. 'E pluribus unum' is Latin for 'Out of many, one'. It was pushed aside in 1956 when an Act of Congress designated ""In God We Trust"" as the country's official motto."
"Totally get, in slang.   		4 letters","GROK.    	'To grok' is to understand, a slang word really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
"Italian smoker, for short.   		7 letters","MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
Bogotá bears.   		4 letters,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
Some subjects in Scheherazade's stories.   		5 letters,"ARABS.    	Scheherazade was a Persian queen of legend, and the storyteller in the wonderful ""One Thousand and One Nights""."
Sporty cars.   		3 letters,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
Chuck of NBC News.   		4 letters,TODD.    	Chuck Todd is a television journalist. Todd is the Chief White House Correspondent for NBC.
Island sometimes called El Cocodrilo.   		4 letters,"CUBA.    	The island of Cuba is sometimes known as 'El Cocodrilo', which translates as 'the crocodile'."
"The ""S"" in R.S.V.P.   		4 letters","S'IL.    	RSVP stands for ""répondez, s'il vous plaît"", which is French for ""please, answer""."
"""By yesterday"".   		3 letters",PDQ.    	Pretty darn quick (PDQ)
Eye-shaped openings.   		5 letters,"OCULI.    	Oculus (plural 'oculi') is the Latin word for ""eye"", and is used in architecture for a circular window."
"""Et tu, Brute?"" speaker.   		6 letters","CAESAR.    	It was Shakespeare who popularized the words ""Et tu, Brute?"" (And you, Brutus?), in his play ""Julius Caesar"", although the phrase had been around long before he penned his drama. It's not known what Julius Caesar actually said in real life just before he was assassinated on the steps of the Senate in Rome."
San ___.   		4 letters,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
Potter's potions professor.   		5 letters,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman on the big screen."
France's longest river.   		5 letters,"LOIRE.    	The Loire River is so long that it drains a full one-fifth of France's land mass. It rises in the southeast, in the Cevennes mountain range, then it heads north and then due west, emptying into the Bay of Biscay at the city of Nantes."
Rival for Federer.   		5 letters,"NADAL.    	Rafael Nadal is a Spanish tennis player who is noted for his expertise on clay courts, earning him the nickname ""The King of Clay""."
Milan's La ___ opera house.   		5 letters,"SCALA.    	The La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
Kind of chair.   		5 letters,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
"Reagan antimissile program, for short.   		3 letters","SDI.    	One of the positive outcomes of President Reagan's Strategic Defense Initiative (SDI) was a change in US defense strategy. The new approach was to use missiles to destroy incoming hostile weapons, rather than using missiles to destroy the nation attacking the country. The former doctrine of Mutually Assured Destruction went by the apt acronym of MAD ..."
Feature of many a Duchamp work.   		3 letters,"PUN.    	Marcel Duchamp was a French artist whose works are associated with the Dadaist and Surrealist movements. One of his most celebrated ""works"" is simply what he called ""readymade"" art, a urinal which he titled ""Fountain"". Even though this work is considered to be ""a major landmark in 20th century art"", the original that was submitted for exhibition was never actually displayed and had been lost forever. Replicas were commissioned by Duchamp, and are on display in many museums around the world. I have no further comment ..."
Arab kingdom native.   		5 letters,"SAUDI.    	The Kingdom of Saudi Arabia is the largest Arab country in the Middle East and is the world's largest oil producer, home to the world's largest oil reserves. The Saudi dynasty started in central Arabia in 1744 when the secular leader Muhammad ibn Saud joined forces with the Islamic scholar and Imam, Muhammad ibn Abd-al-Wahhab. At the time, Saud was a ruler of a town near Riyadh and he was determined to bring ""true"" Islam to the Arabian peninsula. Since 1744 the fortunes of the Saudi family have risen and fallen, but it is that same family who rules what we know today as Saudi Arabia."
Z3 maker.   		3 letters,"BMW.    	The Z3 is a relatively low-cost roadster that was made by BMW from 1995 to 2002. I am not really into cars, but I do like the look of the Z3. I rented one for a few days in Munich years ago, in the middle of a freezing and snowy winter. It was a convertible model, so it was cold and noisy. I didn't care, I still enjoyed driving it ..."
"Simone de Beauvoir's ""The Second ___"".   		3 letters","SEX.    	Simone de Beauvoir was a French philosopher and writer. de Beauvoir wrote a treatise in 1949 called 'The Second Sex' that discussed the oppression of women, which became an inspiration for the modern feminist movement. She is also known for the long-term relationship she had with fellow philosopher and writer Jean-Paul Sartre."
"Word repeated before ""pants on fire"".   		4 letters",LIAR.    	The full rhyme used by children to deride someone not telling the truth is:
Foundation leader: Abbr..   		3 letters,DIR.    	Director (dir.)
Dr.   		3 letters,"FRO.    	Julius Erving is a retired professional basketball player who was known as 'Dr. J', a nickname he picked up in high school. Dr. J was a trailblazer in many ways, being the first player associated with slam dunking and other moves above the rim."
Some Siouans.   		5 letters,"OTOES.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
Mumbai misters.   		4 letters,"SRIS.    	Mumbai is the most populous city in India, and the second most populous city in the world (after Shanghai). The name of the city was changed from Bombay to Mumbai in 1995."
What César awards honor.   		4 letters,CINE.    	'Cine' is the French for 'cinema'.
1953 Leslie Caron musical.   		4 letters,"LILI.    	'Lili' is 1953 musical film starring Leslie Caron in the title role, a naive French orphan girl. A famous song from the movie is 'Hi-Lili, Hi-Lo'."
Valletta is its capital.   		5 letters,"MALTA.    	The island state of Malta is relatively small, but its large number of inhabitants makes it one of the most densely populated countries in Europe. Malta's strategic location has made it a prized possession for the conquering empires of the world. Most recently it was part of the British Empire and was an important fleet headquarters. Malta played a crucial role for the Allies during WWII as it was located very close to the Axis shipping lanes in the Mediterranean. The Siege of Malta lasted from 1940 to 1942, a prolonged attack by the Italians and Germans on the RAF and Royal Navy, and the people of Malta. When the siege was lifted, King George VI awarded the George Cross to the people of Malta collectively in recognition of their heroism and devotion to the Allied cause. The George Cross can still be seen on the Maltese flag, even though Britain granted Malta independence in 1964."
Hymn.   		5 letters,"PAEAN.    	A paean is a poem or song that expresses triumph or thanksgiving. 'Paean' comes from the ancient Greek 'paian' meaning ""song of triumph'."
"Greenlanders, by citizenship.   		5 letters","DANES.    	Greenland is the largest island in the world. Geographically, Greenland is part of the continent of North America, but culturally and politically is considered part of Europe. The island became a Danish colony in 1815, and joined the European Economic Community (EEC) with Denmark. Greenland withdrew from the EEC after a referendum in 1983. Since 2009, Greenland has been relatively autonomous, with the Danish government retaining control of foreign affairs, defence and the judicial system."
Architectural style named after a British royal family.   		5 letters,"TUDOR.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII, and so began the Tudor dynasty. Henry Tudor united the rival houses by marrying his cousin Elizabeth of York. Henry VII had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. Henry VIII ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue. When Elizabeth died, the Scottish King James VI succeeded to the throne as James I of England and Ireland. James I was the first English monarch of the House of Stuart."
Common cotton swab.   		5 letters,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
African land whose capital is N'Djamena.   		4 letters,"CHAD.    	The landlocked African country called Chad takes its name from the second largest wetland on the continent, which is known as Lake Chad."
First lady Barbara's Russian counterpart.   		5 letters,RAISA.    	Raisa Gorbachova was the wife of Soviet leader Mikhail Gorbachev. There's no doubt that Raisa's charm and personality helped her husband as he worked to change the image of the Soviet Union.
Co.   		3 letters,"DHL.    	Back in the sixties, Larry Hillblom was making pocket money as a Berkeley law student by doing courier runs between San Francisco and Los Angeles. After law school, Hillblom decided to parlay his experience into his own business and set up a courier service flying bills of lading ahead of freight from San Francisco to Honolulu. He brought in two buddies, Adrian Dalsey and Robert Lynn, as partners and the three were soon hopping on and off commercial flights and gradually making more and more money. And DHL was born ... D (for Dalsey) H (for Hillblom) L (for Lynn)."
New York City theater where CinemaScope debuted.   		4 letters,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest and best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him. As Rothafel's nickname was Roxy, that's the name the owners used."
Furniture designer Charles.   		5 letters,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
Maurice Chevalier musical.   		4 letters,"GIGI.    	In the lovely musical film ""Gigi"", released in 1958, the title song is sung by Louis Jourdan who plays Gaston. My favorite number though, has to be ""Thank Heaven for Little Girls"" sung by Maurice Chevalier. Many say that 'Gigi' is the last in the long line of great MGM musicals. It won a record 9 Academy Awards, a record that only lasted one year. Twelve months later 'Ben Hur' won 11 Oscars. In the 1958 film, Gigi was played by the lovely Leslie Caron. A few years earlier, 'Gigi' was a successful stage play on Broadway. Chosen for the title role on stage was the then-unknown Audrey Hepburn."
"Moriarty, to Holmes.   		3 letters","FOE.    	Professor James Moriarty was the main villain who crossed swords with Sir Arthur Conan Doyle's' 'Sherlock Holmes'. Moriarty is always cropping up in Sherlock Holmes television and radio plays and in movies, but if you go back to the original stories he isn't around very much. He only turns up directly in two of the narratives, and was primarily introduced by Conan Doyle in order to 'kill off' Sherlock Holmes in a brawl at the top of the Reichenbach Falls in Switzerland. Both Holmes and Moriarty fell to their deaths. Well ... public pressure on the author caused Conan Doyle to resurrect Holmes in 'The Hound of the Baskervilles'."
Bell town in a Longfellow poem.   		4 letters,"ATRI.    	Henry Wadsworth Longfellow wrote ""The Sicilian's Tale; The Bell of Atri"", a narrative poem set in the small town of Atri in the Abruzzo region of Italy."
65-Across's title: Abbr..   		3 letters,DET.    	Detective (Det.)
Classic computer game set on an island.   		4 letters,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully-designed (for its day) interactive world."
Bearded ___ (reedling).   		3 letters,"TIT.    	The Bearded Tit is more usually known as the Bearded Reedling. The bird doesn't actually have a ""beard"", although the male has black marks around the bill that resemble a mustache."
"""Cosmos"" subj.   		4 letters",ASTR.    	Astronomy (astr.)
Neighbor of four Great Lakes.   		7 letters,ONTARIO.    	The Canadian province of Ontario is bordered by five US states:
Beatles record label.   		5 letters,"APPLE.    	The Beatles founded their own record label in 1968, Apple Records. When singles were released, the A-side had the image of a Granny Smith apple on the label, with the B-side label showing the midsection of the same apple cut in half. Cute ..."
Indian ___.   		5 letters,"OCEAN.    	The Indian Ocean is the third largest of the world's oceans, and was named for the country of India that forms much of its northern boundary."
Morning hrs.   		3 letters,"AMS.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
"Sloth, for one.   		3 letters",SIN.    	The cardinal sins of Christian ethics are also known as the seven deadly sins. The seven deadly sins are:
Many Astounding Stories cover subjects.   		6 letters,"ALIENS.    	The science fiction magazine called 'Astounding Stories' was first published in 1930. It has been renamed a few times but is still around today, issued under the title 'Analog Science Fiction and Fact'."
Last name of three Indianapolis 500 winners.   		5 letters,"UNSER.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 on four occasions. Al's brother Jerry was the first of the Unsers to compete at Indianapolis. Al's other brother Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
Best-selling PC game before The Sims.   		4 letters,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully-designed (for its day) interactive world."
Atlantic or Pacific.   		5 letters,OCEAN.    	The earliest known mention of the name 'Atlantic' for the world's second-largest ocean was in Ancient Greece. The Greeks called the ocean 'the Sea of Atlas' or 'Atlantis thalassa'.
"Mary Lincoln, nee ___.   		4 letters","TODD.    	Mary Todd moved in the best of the social circles in Springfield, Illinois and there met the successful lawyer, Abraham Lincoln. The path to their marriage wasn't exactly smooth, as the engagement was broken once but reinstated, with the couple eventually marrying in 1842."
"TV's ""Oscars"".   		5 letters","EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
