ET_E,"ETRE.    	Toulouse is the fourth largest city in France, and is located in the southwest of the country. These days, Toulouse is noted as home to the Airbus headquarters and is known as the center of the European aerospace industry."
_EMO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
_IA,"NIA.    	Not only was the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history that didn't make it to number one. That record I think reflects the fact that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched, ""My Big Fat Greek Life"". It ran for only 7 episodes."
_ST,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
ATR_A,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
_AM,"SAM.    	The movie ""Casablanca"" was released in January of 1943, timed to coincide with the Casablanca Conference, the high-level meeting between Roosevelt and Churchill. The film wasn't a box-office hit, but gained critical acclaim, winning three Oscars including Best Picture. The signature song ""As Time Goes By"" was written many years earlier for a 1931 Broadway musical called ""Everybody's Welcome"", and was a hit in 1931 for Rudy Vallee. But today we all remember the Casablanca version, sung by Dooley Wilson (""Sam"" in the film). Poor Dooley didn't get to record it as a single, due to a musician's strike in 1943, so the 1931 Rudy Vallee version was re-released that year and became an even bigger hit second time round."
EL_OT,"ELIOT.    	The author T. S. Eliot was the son of Henry Ware Eliot and Charlotte Champe Stearns, so his full name was Thomas Stearns Eliot (TSE)."
EIR_,"EIRE.    	'Éire', is the Irish word for 'Ireland'. The related 'Erin' is an anglicized version of 'Éire' and actually corresponds to 'Éirinn', the dative case of 'Éire'."
ACM_,"ACME.    	""Ne plus ultra"" is French for ""no more beyond"", and means just that in English, the high-point."
SL_,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
_SAT,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
D_L,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
_EAP,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the lesser gravitational effect of the sun cancels out some of the moon's effect. At spring tides, the sun and the moon's gravities act in concert causing more extreme movement of the oceans."
E_AS,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H"". Originally denoting a consonant, eta was used as a long vowel in Ancient Greek."
U_E,UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
S_M,"SAM.    	The delightful sitcom 'Bewitched' originally ran on ABC from 1964 to 1972. The lead character in the show is Samantha Stephens, played by the lovely Elizabeth Montgomery. Elizabeth was the daughter of Hollywood star Robert Montgomery."
ETA_,ETAS.    	Estimated time of arrival (ETA)
_AS,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
AH_B,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
T_B,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to 'jump' across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
_GOR,"IGOR.    	'Prince Igor' is an opera by the Russian composer, Alexander Borodin. Borodin died before he had finished 'Prince Igor', so it was completed by Nikolai Rimsky-Korsakov and Alexander Glazunov. Music from 'Prince Igor', and other Borodin works, was used in the American musical 'Kismet'."
_PE,"APE.    	The scientific community doesn't really embrace the concept of a ""missing link"" anymore. The idea that the there is or was an ""ape man"" that links the human species with ""lower animals"" has fallen by the wayside."
_RR,ARR.    	Arrival (arr.)
T_U,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) were symbolically associated with the cross."
RE_,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
YS_R,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a natural barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
H_R,"HER.    	The great musician Stevie Wonder signed up with Motown Records when he was just 11-years-old. He has been remarkably loyal to the label and is still recording with Motown some 50 years later. The level of Stevie Wonder's success is illustrated by his 22 Grammy Awards, the most Grammys awarded to a male solo artist. Wonder was born 6 weeks prematurely, and incomplete development of blood vessels in his eyes caused the retinas to detach leaving him blind soon after birth. He recorded a hit single called 'I Was Made to Love Her' in 1967, and one of his co-writers was his mother, Lula Mae Hardaway."
EL_O,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
TI_,"TIA.    	Tia Maria is a coffee liqueur that was invented just after WWII in Jamaica, using Jamaican coffee beans, Jamaican rum, vanilla and sugar. The drink's name translates to 'Aunt Maria'."
ET_S,"ETES.    	The Côte d'Azur is on the Mediterranean coast of France and stretches from Saint Tropez in the west and to the Italian border in the east. In English we often refer to the area as the French Riviera. It's a little crowded for me (okay, expensive), especially in the summer (été in French)."
D_S,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
RE_,REO.    	The REO Speed Wagon (note the space) is the vehicle. REO Speedwagon is the American rock band.
_EM,REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours and is the period associated with one's most vivid dreams.
PD_,"PDA.    	A device like perhaps an iPhone or Treo, can be termed a Personal Digital Assistant (PDA)."
ETE_,"ETES.    	The French for 'to be' is 'être', and for 'you are' is 'vous êtes'."
T_B,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
AR_,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
TD_,TDS.    	The Arizona Cardinals were founded in 1898 as the Chicago Cardinals. That makes the Cardinals the oldest continuously-run professional football team in the whole country.
_EO,CEO.    	Chief Executive Officer (CEO)
_AO,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
_EN,"LEN.    	I used to walk my dog right past author Len Deighton's house years ago, as we lived in the same village in Ireland (probably my only claim to fame!). Deighton wrote the excellent espionage thriller ""The IPCRESS File"", made into a 1965 movie starring Michael Caine."
_HE,"SHE.    	Does she...or doesn't she? Only her hairdresser knows for sure"" was the catchphrase for Miss Clairol Hair Color Bath. Clairol had been around since 1931 selling hair coloring products to salons, and then hit the big time with the introduction of a one-step hair coloring product for use at home. As famous as the product was the ""does she ... doesn't she"" advertising campign. Six years after the launch of the campaign, 70% of women in the US were coloring their hair."
_EMO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
U_AH,"UTAH.    	The Great Salt Lake in Utah is extremely shallow, and so the area of the lake fluctuates greatly with the changing volume of water. Back in 1963 the lake shrunk to 950 square miles, whereas in 1988 the area was measured at a whopping 3,300 square miles."
ET_S,"ETES.    	The French for 'to be' is 'être', and for 'you are' is 'vous êtes'."
_DA,"PDA.    	Personal Digital Assistants (PDAs) are mobile devices used to manage personal information. PDAs largely went out of style as smartphones took over the the same functions, while offering a lot more functions to boot."
EER_,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK. The list of his lesser-known, but still impressive, works includes several buildings erected on academic campuses. For example, the Chapel and Kresge Auditorium on the MIT campus, the Emma Hartman Noyes House at Vassar College, the Law School building at the University of Chicago, and Yale's David S. Ingalls Rink."
_ON,"RON.    	Ron Paul is a celebrated Republican Congressman from Texas. Paul is a libertarian, and actually ran for president in 1988 as a Libertarian Party candidate. He ran for the Republican nomination for President in 2008 as a member of the Liberty Caucus of the party, meaning that he values a federal government that is limited in size and scope."
SH_,"SHE.    	""She Believes in Me"" was a big crossover hit for Kenny Rogers in 1978, a country song that made it big in the pop charts. It appears on his album ""The Gambler""."
_IA,"NIA.    	Not only was the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history that didn't make it to number one. That record I think reflects the fact that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched, ""My Big Fat Greek Life"". It ran for only 7 episodes."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
C_N,"CNN.    	Wolf Blitzer is the son of Jewish refugees from Poland. He was born in Augsburg in Germany and was given the name 'Wolf' in honor of his maternal grandfather. Wolf came with his family to live in the US, and he was raised in Buffalo, New York."
_DA,PDA.    	PDA is an abbreviation for 'public display of affection'.
_HE,"CHE.    	""Evita"" was the followup musical to ""Jesus Christ Superstar"" for Andrew Lloyd Weber and Time Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). For the original album's cast they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play ""Che"", the narrator of the piece."
SL_,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
RE_,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975, in Lansing, Michigan."
T_T,"TAT.    	'I tawt I taw a puddy tat!' is a famous line uttered by Tweety Bird, the yellow canary in the 'Looney Tunes' and 'Merrie Melodies' cartoons who is constantly stalked by various cats."
OM_HA,"OMAHA.    	The Union Pacific Railroad is the largest railroad in the US. Union Pacific operates over 8,000 locomotives, and all of that rolling stock operates west of Chicago and New Orleans."
_MI,TMI.    	Too much information! (TMI)
_EO,REO.    	REO was founded by Ransom E. Olds (hence the name REO).
EER_,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in America for his unique designs for public buildings, such as Dulles International Airport Terminal, and the TWA building at JFK."
E_AS,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H"". Originally denoting a consonant, eta was used as a long vowel in Ancient Greek."
TA_,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to 'jump' across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
AT_IA,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
_TS,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
_HE,"SHE.    	Talking Heads was a New Wave band from New York City, formed in 1974 and active until 1991. I couldn't name one of their songs to be honest, well, I guess I now know that they sang 'And She Was' ..."
EL_O,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
SA_,"SAM.    	The Uncle Sam personification of the United States was first used during the War of 1812. The 'Uncle Sam' term was so widely accepted that even the Germans used it during WWII, choosing the code word ""Samland"" for ""America"" in intelligence communiques."
D_A,DEA.    	The Drug Enforcement Administration was set up in 1973 under the Nixon administration.
M_E,"MOE.    	Moe Szyslak is the surly bartender in ""The Simpson"" animated TV show. I don't really care for ""The Simpsons"", but Hank Azaria who supplies the voice for the character ... him I like."
YS_R,"YSER.    	The Yser river originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
_EA,"DEA.    	The Controlled Substances Act (CSA) was signed into law in 1970, an initiative of President Richard Nixon. The CSA combined existing federal drug laws, expanded the scope of federal drug law and also expanded the power of federal law enforcement agencies."
DE_,DEA.    	Drug Enforcement Administration (DEA)
T_T,"TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
_TO,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
_MT,EMT.    	Emergency Medical Technician.
TA_,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
ERL_,"ERLE.    	Erle P. Halliburton was a businessman who made his fortune in the oil business. Halliburton founded the New Method Oil Well Cementing Company in 1919, which changed its name after his death to Halliburton Company."
S_E,"SHE.    	Talking Heads was a New Wave band from New York City, formed in 1974 and active until 1991. I couldn't name one of their songs to be honest, well, I guess I now know that they sang 'And She Was' ..."
_CI,ICI.    	'Ici' is French for 'here'.
C_O,CEO.    	Chief Executive Officer (CEO)
E_I,"EMI.    	EMI was a British music company, with the initialism originally standing for Electric and Musical Industries."
_DA,"PDA.    	A device like perhaps an iPhone or Treo, can be termed a Personal Digital Assistant (PDA)."
EAR_,"EARL.    	Meats placed between slices of bread was first called a sandwich in the 18th century, named after the Fourth Earl of Sandwich. The Earl was fond of eating ""sandwiches"" while playing cards at his club."
EL_OT,"ELIOT.    	George Eliot was the pen name of English novelist Mary Anne Evans. As one might think, Evans chose a male pen name in order that her work might be best appreciated in the Victorian era. Eliot wrote seven novels including 'Adam Bede' (1859), 'The Mill on the Floss' (1860), 'Silas Marner' (1861) and 'Middlemarch' (1871-72)."
_EMO,NEMO.    	NEMO/OMEN
SA_,"SAM.    	Sam Cooke was a soul singer from Clarksdale, Mississippi. Cooke is considered by many to have been one of the founders of the soul genre. Cooke's impressive list of hits includes 'You Send Me', Chain Gang' and 'Twistin' the Night Away'. Cooke was only 33 years old when he died. He was shot after a drunken brawl by a motel manager in what was deemed by the courts to be a justifiable homicide."
_OS,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
AP_,APR.    	Annual percentage rate (APR)
ET_E,ETRE.    	The French for 'to be' is 'être'.
_HE,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
EE_,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
AHA_,"AHAB.    	Ahab was a King of Israel, but the power behind his throne was his wife Jezebel, a Phoenician princess. Jezebel's god was Ba'al, and she used her influence to get temples of Ba'al built in Israel. Jezebel's name is still associated with the worship of false prophets."
NE_O,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar, winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time, and until 2010's ""Toy Story 3"", it was the highest-grossing G-rated movie."
ETR_,ETRE.    	The verb 'to be' is 'ser' in Spanish and 'être' in French.
_ILE,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
O_EC,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960, and has been headquartered in Vienna since 1965."
_EMO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar, winner of the Oscar that year for Best Animated Feature. Believe it or not, it is the best selling DVD of all time, and until 2010's ""Toy Story 3"", it was the highest grossing G-rated movie of all time."
_SAT,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
_SER,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium, across France in a ""race to the sea"". But the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
TI_,"TIA.    	In Spanish, the 'hermana' (sister) of your 'padre' (father) is your 'tia' (aunt)."
AC_E,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
EE_O,EERO.    	The Finnish athlete Eero Lehtonen won the Olympic gold in the pentathlon in both the 1920 and 1924 Summer Games.
A_S,"ASS.    	A female donkey is known as a jenny, and a male is known as a jack, or sometimes a 'jackass'."
_SA,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
ALD_,"ALDA.    	Alan Alda had a great television career, especially of course on ""M*A*S*H"". But when it comes to the big screen, my favorite of his movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
_BA,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
_ER,"HER.    	2003's 'Her' is a rather unusual film. It stars Joaquin Phoenix as a man who develops a relationship with a computer operating system called 'Samantha', which is voiced by Scarlett Johansson."
M_A,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
_LDA,"ALDA.    	Hawkeye Pierce is the lead character in the 'M*A*S*H' novel, movie and TV series. Hawkeye was originally portrayed by Donald Sutherland in the film, and then by Alan Alda in the television show. Pierce is the only character appearing in all 250 episodes of the groundbreaking TV series."
E_AT,"ERAT.    	'Quod erat faciendum' (QEF) is similar to the phrase 'quod erat demonstrandum' (QED), both of which were used by Euclid in his theorems. 'Quod erat faciendum' means 'what was to have been done', and is used at the end of a proposition that was not intended as a proof, but rather as a construction."
_EESE,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
E_AS,ETAS.    	Estimated time of arrival (ETA)
ETR_,ETRE.    	The French for 'to be' is 'être'.
NE_O,"NEMO.    	In the 2003 animated feature 'Finding Nemo', a clownfish named Marlin is searching for his son Nemo who has been captured by a SCUBA diver."
KI_,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai. In recent years, Kia has focused on sales into Europe and has been remarkably successful."
_SS,"ASS.    	The word ""nincompoop"" meaning an ""ass"" seems to have been around for quite a while, since the 1670s, but no one appears to know its origins."
T_AR,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
U_A,USA.    	The Miss USA beauty pageant was founded in 1952 in order to select the American candidate for the Miss Universe competition.
CE_,CEO.    	'Fast Company' is a business and technology magazine that was launched in 1995.
_PE,"APE.    	Aldous Huxley was a writer from England whose best-known work is the novel 'Brave New World'. Huxley was noted for his interest in parapsychology and mysticism, as well as for his promotion of the idea of taking psychedelic drugs 'in a search for enlightenment'."
CP_,CPA.    	Certified public accountant (CPA)
N_EL,"NOEL.    	Noel is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name from a Christmas carol."
AR_,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
_OEL,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
_AB,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the space bar and the backspace key. So a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this lever was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
REE_E,REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
ET_E,ETRE.    	The French for 'to be' is 'être'.
