MS_,MSS.    	Editors work with manuscripts.
DEER_,"DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of ""stickiness""."
A_INO,"AMINO.    	Amino acids are essential to life in many ways, not least of which is their use as the building blocks of proteins."
L_MA,"LAMA.    	'Lama' is a Tibetan word, meaning 'chief' or 'high priest'."
AS_P,"ASAP.    	Pretty darn quick (PDQ) or, as soon as possible (ASAP)."
_PART,"OP ART.    	Op art is also known as optical art, and puts optical illusions to great effect."
AM_,"AMI.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
IH_P,"IHOP.    	The International House of Pancakes (IHOP) was founded back in 1958. IHOP was originally intended to be called IHOE, the International House of Eggs, but that name didn't do too well in marketing tests ..."
H_O,HBO.    	'Veep' is a political satire sitcom on HBO that is a remake of the British show 'The Thick of It'. 'Veep' is set in the office of a fictional Vice President of the United States played by Julia Louis-Dreyfus.
_BM,"IBM.    	IBM was founded as the Tabulating Machine Company in 1896. The company changed its name to the Computing Tabulating Recording Corporation (CTR) in 1911 and was listed on the New York Stock Exchange in 1916. The name of International Business Machines (IBM) was given first to the company's Canadian subsidiary, and then its South American subsidiary. In 1924, it was decided to adopt the International Business Machines name for the whole company. Good choice ..."
PL_,"PLO.    	After the 1948 Arab-Israeli War, the boundaries of the strip of land on the Mediterranean around Gaza were fixed in the Israel-Egypt Armistice Agreement. The boundaries were specifically defined but were not to be recognized as an international border. From 1948, the Gaza Strip was occupied and administered by Egypt, until 1967 when Israel took over occupation following the Six-Day War. In 1993, Israel and the PLO signed the Oslo Accords which handed over administration to the Palestinian Authority, but with Israel retaining control of the Gaza Strip's airspace, some land borders and its territorial waters. The intent was to further this agreement, but discussions between the parties broke down. Israel withdrew from Gaza in 2005."
_TOM,ATOM.    	The nucleus of an unstable atom might emit particles of ionizing radiation in the process known as 'radioactive decay'. Such a material is termed 'radioactive'.
A_S,"ARS.    	'Ars antiqua' is a term used to describe European music of the Middle Ages between c.1170 and 1310. The term 'ars nova' applies to the music that followed, between the years c.1310 and 1377."
O_M,"OHM.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every schoolkid knows as Ohm's Law."
T_SLA,"TESLA.    	Tesla Motors is a manufacturer of electric vehicles based in Palo Alto, California. Tesla is noted for producing the first electric sports car, called the Tesla Roadster. The current base price of a roadster is about $100,000, should you be interested ..."
_RS,"ARS.    	The full name of Horace's work is ""Ars Poetica, Epistula ad Pisones"" (The Art of Poetry, Letters to Piso). The work describes the technical aspects of poetry in Ancient Rome, and the term ""ars poetica"" has come to mean the poetry of that period."
HO_A,"HORA.    	The hora is a circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional, Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings. Sometimes the honoree at an event is raised on a chair during the hora."
DI_R,"DIOR.    	Christian Dior was a French fashion designer. As WWII approached, Dior was called up by the French military, drawing a temporary halt to his career in fashion. He left the army in 1942 and for the duration of the war designed clothes for wives of Nazi officers and French collaborators. After the war his designs became so popular that he helped reestablish Paris as the fashion center of the world."
O_R,"OAR.    	Oarlocks are swivelling braces on the sides of a rowing boat that hold the oars as the boat is being propelled. Back in Ireland, we call them 'rowlocks' (pronounced 'rollox'). I love the word 'rowlocks' ..."
_EAM,"REAM.    	A ream is 500 sheets of paper. As there were 24 sheets in a quire, and 20 quires made up a ream, there used to be 480 sheets in a ream. Ever since the standard was changed to 500, a 480-sheet packet of paper has been called a ""short ream""."
MIS_,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
MAL_,"MALI.    	The Republic of Mali is a landlocked country in western Africa, south of Algeria. The country's most famous city is more famous than the country itself, namely the city of Timbuktu."
GI_,"GIS.    	Dogface is a slang term used for a GI, common back in WWII."
ORON_,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
MIS_,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
OS_,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency that was chartered by the National Security Act of 1947."
URD_,"URDU.    	Urdu is one of the two official languages of Pakistan (the other being English), and is one of 22 scheduled languages in India. Urdu partly developed from Persian and is written from right to left."
UA_,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
_HAH,"SHAH.    	'Chess' came into English from the Old French 'esches' meaning 'chessmen', which is the plural of 'eschec', the Old French name for the game (the modern name is 'échecs'). In turn, the Old French 'eschec' comes from the name for the king, the principal piece on the board, which is 'shah' in Persian."
M_N,"MSN.    	MSN was originally called The Microsoft Network, introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (the 9th most visited site on the Internet)."
_SU,"ASU.    	Arizona State University (ASU) has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885. The athletic teams of ASU used to be known as the Normals, then the Bulldogs, and since 1946 they've been called the Sun Devils."
LI_,"LIN.    	Maya Lin is a Chinese American born in Athens Ohio, and is an artist and architect. Her most famous work is the moving Vietnam Veterans Memorial in Washington, D.C. Lin was only 21-years-old when she won a public design competition in 1981 to create the memorial. Although her design is very fitting, sadly Lin was not a popular choice for the work given her Asian heritage. As she said herself, she probably would not have been picked had the competition been judged with the knowledge of who was behind each submission."
GE_E,"GENE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
_SARS,"TSARS.    	The Grand Prince of Moscow, Ivan IV, became known as Ivan the Terrible. The name ""terrible"" is a translation from Russian, and perhaps creates the wrong impression about the man. The Russian word is ""Grozny"", which is more akin to ""strict"" and ""powerful"" rather than ""cruel"" or ""abominable""."
_MINO,"AMINO.    	Para-aminobenzoic acid (PABA), or now its derivatives, is the ""active"" ingredient in sunscreens in that it absorbs UV radiation. PABA derivatives are used today as PABA itself fell out of favor due to its tendency to stain clothes and to cause an allergic reaction in some users."
ERN_,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
SHA_,"SHAH.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
_SS,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency that was chartered by the National Security Act of 1947."
ALB_,"ALBA.    	Alba Longa was an ancient Italian city, located southeast the area that became Rome. Legend is that the supposed founders of Rome, Romulus and Remus, were from the royal dynasty of Alba Longa."
B_N,"BEN.    	Ben Bernanke has been Chairman of the Federal Reserve since 2006, appointed by President George W. Bush. Bernanke and his wife have a 30-year fixed rate mortgage with a rate of just over 5%, and one car, a Ford Focus. Modest enough ..."
_STES,"ESTES.    	Eleanor Estes started writing children's books when she was bedridden, recovering from tuberculosis. By the time she died in 1988, she had written 20 books, including one novel for adults. Her most lauded title is ""Ginger Pye"" published in 1951."
R_N,REN.    	The Ren and Stimpy Show ran on Nickelodeon from 1991 to 1996. Not my cup of tea ...
H_O,"HBO.    	""Def Comedy Jam"" ran on HBO from 1992-97, and returned in 2006. I think it is a stand-up comedy show."
A_U,"ASU.    	Arizona State University (ASU) has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885. The athletic teams of ASU used to be known as the Normals, then the Bulldogs, and since 1946 they've been called the Sun Devils."
EN_,"ENA.    	Ena was Bambi's aunt in the 1942 Disney film of the same name. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, published in 1923."
_HOP,"IHOP.    	The International House of Pancakes (IHOP) was founded back in 1958. IHOP was originally intended to be called IHOE, the International House of Eggs, but that name didn't do too well in marketing tests ..."
AS_,"ASU.    	Arizona State University has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885."
N_N,"NON.    	Driven by the Parti Québécois, there was a referendum held in 1995 on the proposal that Quebec should secede from Canada. The vote was extremely close, with only 50.6% of the electorate voting against sovereignty."
TA_,TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in 1990 in Atlantic City.
LIR_,"LIRA.    	The word ""lira"" is used in a number of countries for currency. ""Lira"" comes from the Latin for ""pound"" and is derived from a British pound sterling, the value of a Troy pound of silver. For example, the lira (plural 'lire') was the official currency of Italy before the country changed over to the euro in 2002."
LC_,LCD.    	Liquid crystal display (LCD)
ANI_A,ANITA.    	(45D. See 112-Across : O'DAY)
URD_,"URDU.    	Urdu is one of the two official languages of Pakistan (the other being English), and is one of 22 scheduled languages in India. Urdu partly developed from Persian and is written from right to left."
E_Y,"ELY.    	Ely Culbertson was a great personality in the world of contract bridge (the greatest card game known to man!). He wrote an autobiography called ""The Strange Lives of One Man"" which is supposed to be an extraordinary read. I will have to put it on my Christmas wish list ..."
ID_L,"IDOL.    	'Entertainment Weekly' (EW) is a magazine focused on entertainment media news and reviews of movies, television, books, etc. 'EW' was launched in 1990."
A_INO,"AMINO.    	Amino acids are essential to life in many ways, not least of which is their use as the building blocks of proteins."
IDO_,"IDOL.    	""American Idol"" is a spin-off show that was created after the amazing success of the British television show ""Pop Idol"". I can't abide either program(me) ..."
ENT_,"ENTS.    	The branch of medicine known as ""ear, nose and throat"" is more correctly called otolaryngology."
R_AM,"REAM.    	A 'quire' is a measure of paper quantity. There are usually 25 sheets in a quire, and 20 quires (500 sheets) in a ream. However, a quire sometimes only contains 15, 18 or 20 sheets, depending on the type of paper."
_AE,NAE.    	The Scottish Highlands are that part of the country that is not classified as the Lowlands. The Highlands make up the north and west of Scotland.
AE_NA,"AETNA.    	When the healthcare management and insurance company known as Aetna was founded, the name was chosen to evoke images of Mt. Etna, the European volcano."
_DES,"ODES.    	Pablo Neruda was initially a pen name, and eventually the legal name, used by Chilean writer Neftali Ricardo Reyes Basoalto. He chose the name as a homage to Czech poet Jan Neruda."
IB_,"IBM.    	The origin of the IBM nickname ""Big Blue"" seems to have been lost in the mists of time. That said, maybe it has something to do with the fact that the IBM logo is blue, and almost every mainframe they produced was painted blue. I remember visiting IBM on business a few times in my career, and back then we were encouraged to wear white shirts and blue suits to ""fit in"" with our client's culture."
T_J,"TAJ.    	In my mind, the ""National Lampoon's Van Wilder"" movies ""let down"" what is a great film tradition. The likes of ""Animal House"" and the ""Vacation"" series were really excellent entertainment, but then someone lost the plot, I guess ..."
AS_N,"ASSN.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
AM_NA,"AMANA.    	The Amana Corporation takes its name from the location of its original headquarters, in Middle Amana, Iowa."
_EN,REN.    	'The Ren and Stimpy Show' ran on Nickelodeon from 1991 to 1996. Not my cup of tea ...
N_E,"NYE.    	That would be ""Bill Nye the Science Guy"". Bill's show ran on Disney for 4 years from 1993-97. I was surprised to learn that Bill Nye was married briefly to Blair Tindall, the author of ""Mozart in the Jungle"". That's a great book, if anyone is interested ..."
AR_,ARS.    	'Ars' is Latin for 'art'.
A_ANA,"AMANA.    	The Amana Corporation takes its name from the location of its original headquarters, in Middle Amana, Iowa."
EA_T,"EAST.    	The East River is a strait in New York City connecting Upper New York Bay to Long Island Sound, separating Manhattan Island from Long Island. As it connects to Long Island Sound, the East River was once known as the Sound River."
IS_A,"ISLA.    	Isla is the Spanish for ""island""."
AR_,"ARP.    	Hans Arp was a French artist renowned for his work with torn and pasted paper, although that wasn't the only medium he used. Arp was the son of a French mother and German father and spoke both languages fluently. When he was speaking German he gave his name as Hans Arp, but when speaking French he called himself Jean Arp. Both ""Hans"" and ""Jean"" translate into English as ""John"". In WWI Arp moved to Switzerland to avoid being called up to fight, taking advantage of Swiss neutrality. Eventually he was told to report to the German Consulate and fill out paperwork for the draft. In order to get out of fighting, Arp messed up the paperwork by writing the date in every blank space on the forms. Then he took off all of his clothes and walked with his papers over to the officials in charge. Arp was sent home ..."
AD_,"ADO.    	""Foofaraw"" is excessive or flashy ornamentation, or a fuss over something that is unimportant."
L_D,"LTD.    	In Britain and Ireland the most common type of business (my perception anyway) is one with private shareholders (not publicly traded) and the liability of the shareholders is limited by law to the value of their investment. Such a company is known as a private limited company, and has the letters ""Ltd"" after the name. If the shares are publicly traded, then the company is a public limited company, and has the letter ""plc"" after the name."
N_E,"NAE.    	Rob Roy's full name was Robert Roy McGregor, itself an Anglicization of the Scottish Raibeart Ruadh."
IS_A,"ISLA.    	The Balearic Islands ('Baleares' in Spanish) form an archipelago in the western Mediterranean of the east coast of Spain. The Balearics are made up up four main islands: Ibiza and Formentera (aka 'the Pine Islands'), Majorca and Minorca."
ANK_,"ANKA.    	The song 'My Way' has lyrics that were written by Paul Anka in 1969, but the tune itself was composed two years earlier by Claude François and Jacques Revaux. The song had been released with completely different lyrics in France as 'Comme d'habitude' ('As Usual'). When Anka heard the song on television in Paris he sought out and obtained the rights to use it himself, for free. Supposedly, 'Comme d'habitude' has been recorded in more languages, by more artists, than any other song in the contemporary repertoire."
RI_A,"RITA.    	""Lovely Rita"" is a Beatles song on the ""Sgt. Pepper's Lonely Hearts Club Band"" album. When the album was released in 1967, the term ""meter maid"" wasn't used in the UK, although it was a slang term used in the US. The song helped spread the usage of ""meter maid"" all around the English-speaking world. Apparently the inspiration for the song was McCartney getting a parking ticket one day outside the Abbey Road recording studios. He accepted the ticket with good grace, from a warden named Meta Davis. McCartney felt that Meta ""looked like a Rita"", so that was the name she was given in the song."
AS_N,ASSN.    	National Rifle Association (NRA)
_OVA,"NOVA.    	A nova is basically a star that suddenly gets much brighter, gradually returning to its original state weeks or even years later. The increased brightness of a nova is due to increased nuclear activity causing the star to pick up extra hydrogen from a neighboring celestial body. A supernova is very different from a nova. A supernova is a very bright burst of light and energy created when most of the material in a star explodes. The bright burst of a supernova is very short-lived compared to the sustained brightness of a nova."
TS_RS,"TSARS.    	The term czar (also tsar) is a Slavic word that was first used as a title by Simeon I of Bulgaria in 913 AD. ""Czar"" is derived from the word ""Caesar"", which was synonymous with ""emperor"" at that time."
DOR_,DORA.    	Dora the Explorer' is a cartoon series shown on Nickelodeon. Part of Dora's remit is to introduce the show's young viewers to some Spanish words and phrases.
ELAIN_,"ELAINE.    	When President George W. Bush appointed Elaine Chao as Secretary of Labor, he made a bit of history as Chao then became the first Chinese American in history to hold a cabinet post. It turned out that Chao became the only cabinet member to hold her post for President Bush's full eight years in office. In 1993, Chao married Mitch McConnell, the Republican Leader of the US Senate."
B_T,"BLT.    	The BLT (bacon, lettuce and tomato) is the second most popular sandwich in the US, after the plain old ham sandwich."
AC/D_,"AC/DC.    	Heavy Metal band AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
_BM,"IBM.    	Watson is a program still in development at IBM. Watson is designed to answer questions that are posed in natural language, so that it should be able to interpret questions just as you and I would, no matter how the question is phrased. The program is named after the founder of IBM, Thomas J. Watson. Today's Watson competed in a few memorable episodes of ""Jeopardy!"" in 2011 taking out two of the best players of the quiz show. That made for fun television ..."
_AE,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
_ESS,"NESS.    	The Loch Ness monster has been talked about for centuries, but modern interest started in 1933 when a spate of sightings that year were reported. They don't seem to have stopped since, with photographs really sparking the imagination."
UA_,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
_ARA,"TARA.    	Rhett Butler hung out with Scarlett O'Hara at the Tara plantation in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
RI_A,"RITA.    	As well as being appointed to the position of Poet Laureate in 1993, American poet and author Rita Dove was the second African-American to win the Pulitzer Prize for Poetry."
R_P,"RAP.    	Jay-Z, as well as being a successful and very rich rap artist, is married to singer Beyonce."
_EINE,"SEINE.    	There's a famous scene in the musical version of ""Les Miserables"", when Javert commits suicide by jumping into the River Seine. In the days of ""special effects"" in musical theater, it's quite clever ..."
O_ARA,"O'HARA.    	As casting proceeded for the movie version of ""Gone With the Wind"", Clark Gable was a shoo-in from day one. The role of Scarlett was considered very desirable in the acting community, with Bette Davis on the short list, and Katherine Hepburn demanding an appointment with producer David O. Selznick to discuss the role. Vivien Leigh was an unlikely contender, an English actress for the definitive Southern belle role. Selznick was adamant though, and stuck by his choice despite a lot of protests."
_AV,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a lavatory became a washroom, and in the 1920s a toilet."
ES_ES,"ESTES.    	Estes Industries was founded by Vernon Estes in 1958, and is the country's biggest manufacturer of rocket engines for model rockets."
E_NE,"EINE.    	Mozart's Serenade No. 13 for strings in G major, is better known as ""Eine Kleine Nachtmusik"", which translates into ""a little serenade"", but the more literal English translation of ""a little night music"" is often used. It is a delightful piece in four, very recognizable movements, although there is much debate about a ""lost"" fifth movement."
THO_,"THOR.    	The Avengers are a team of superheroes in the Marvel Comics universe. The original lineup, which dates back to 1963, consisted of Ant-Man, Hulk, Iron Man, Thor and the Wasp. Soon after their formation, the Avengers rescued Captain America trapped in ice, and thereafter he joined the team. There is a 2012 movie called 'The Avengers' that features Iron Man, Captain America, Hulk and Thor."
_AV,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a lavatory was a washroom, in the 1920s a toilet."
ASS_,"ASSN.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
RA_,"RAP.    	At a seance, a spirit might respond with a rap on the table. Scary ..."
AMO_,"AMOK.    	The phrase ""to run amok"" has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun, to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
E_Y,"ELY.    	Ely Cathedral is a famous and beautiful church in the city of Ely in the county of Cambridgeshire. There is a Gothic door on the north face of the cathedral that was designed by Sir Christopher Wren, the man famous as the architect of St. Paul's Cathedral in London. Christopher Wren had a personal link to the church, as his uncle was the Bishop of Ely."
O_R,OAR.    	A scull is a boat used for competitive rowing. The main hull of the boat is often referred to as a shell. Crew members who row the boat can be referred to as 'oars'.
A_AP,ASAP.    	As soon as possible (ASAP)
_HOR,"THOR.    	The 2011 movie 'Thor' is yet another film based on a comic book hero. Even though I won't be seeing it (I don't do comics), I must admit it does have an impressive cast. Chris Hemsworth plays Thor, supported by Natalie Portman, Rene Russo and Anthony Hopkins. And to crown it all, Kenneth Branagh is the director."
I_OL,IDOL.    	Singer Taylor Swift had one of her first gigs at the US Open tennis tournament when she was in her early teens. There she sang the national anthem and received a lot of favorable attention for the performance.
T_E,"TAE.    	Tae Bo isn't an ancient martial art, and rather was developed as a form of aerobic exercise in the 1990s. The discipline was introduced by taekwondo expert Billy Blanks who gave it the name Tae Bo, a melding of ""taekwondo"" and ""boxing""."
AC_I,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years as its juice is a very fashionable addition to juice mixes and smoothies.
TE_,"TEE.    	A 'souvenir' is a memento, a token of remembrance. We imported the word from French, in which language it has the same meaning. The term comes from the Latin 'subvenire' meaning 'to come to mind', or literally 'to come up'."
_DES,"ODES.    	The great English poet William Wordsworth is intrinsically linked with the Lake District in the north of England, where he lived from much of his life. The Lake District is a beautiful part of the country, and I've been fortunate enough to visit Dove Cottage in Grasmere a couple of times, where Wordsworth lived with his wife Dorothy ..."
AT_,ATT.    	The original AT&T Corporation was known as the American Telephone and Telegraph Company.
LI_,"LIN.    	Maya Lin is a Chinese American, born in Athens Ohio, and is an artist and architect. Her most famous work is the moving Vietnam Veterans Memorial in Washington, D.C. Lin was only 21-years-old when she won a public design competition in 1981 to create the memorial. Although her design, I think, is very fitting, sadly, Lin was not a popular choice for the work, given her Asian heritage. As she said herself, she probably would not have been picked had not the competition been judged without the knowledge of who the submissions were from."
_AE,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
STA_,"STAT.    	Topps was a relaunch of an older company called American Leaf Tobacco, with the Topps name used from 1938. The earlier company was in trouble because it could not get supplies of its Turkish tobacco, so it moved into another chewy industry, making bubblegum."
_AE,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
OS_,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. Within a few years of the end of the war, the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
_OWA,"IOWA.    	""The Bridges of Madison County"" is a novel by Robert James Waller, and a movie directed by and starring Clint Eastwood. Both book and film are about an Italian woman living in sixties Madison County, Iowa who has an affair with a photographer from out of state. The lead roles are played by Meryl Streep and Clint Eastwood in the movie."
A_I,"AMI.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
P_E,"POE.    	The poem 'Al Aaraaf' is one of Edgar Allan Poe's earliest, published in 1829 when Poe was just 20 years of age. 'Al Aaraaf' is also Poe's longest poem. As 'Al Aaraaf' was not well received by the public, Poe later adopted the position that poems should be kept short."
