_RE,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
AR_L,"ARAL.    	The Aral Sea is a great example of how man can have a devastating effect on his environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
_TRA,"ATRA.    	Fortunately for crossword setters, Gillette introduced the Atra razor in 1977."
_PA,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
AJA_,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
_NA,"DNA.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
O_TO,"OTTO.    	Otto Mann drives the school bus on ""The Simpsons"". He is voiced by Harry Shearer. Otto is a Germanic character, and his name is a play on the Ottoman Empire. When Bart sees him, he greets him with ""Otto, man!"""
R_E,"RTE.    	The American Automobile Association is a not-for-profit organization, focused on lobbying, provision of automobile servicing, and selling of automobile insurance. It was founded in 1902 in Chicago, and published the first of its celebrated hotel guides back in 1917."
P_I,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
IS_E,"ISLE.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as 'Capriotes'."
E_L,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
SP_,"SPA.    	The word ""spa"" comes to us from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
UN_,"UNO.    	Uno, dos, tres, cuatro!"
RT_,"RTE.    	The US Postal Service (USPS) is a remarkable agency in many ways. For starters, the government&#8217;s right and responsibility to establish the Post Office is specifically called out in Article One of the US constitution. Also, the first postmaster general was none other than Benjamin Franklin. And, the USPS operates over 200,000 vehicles, which is the largest vehicle fleet in the world."
E_TA,"ETTA.    	Etta James is best known for her beautiful rendition of the song ""At Last"". Sadly, as she discloses in her autobiography, James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
AR_,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
O_TO,OTTO.    	Otto Harbach was a very successful librettist and lyricist. He was responsible for the words of many celebrated songs including 'Smoke Gets in Your Eyes' and 'Indian Love Call'.
IR_S,"IRIS.    	The iris is the colored part of the eye, which has an aperture in the center that can open or close depending on the level of light hitting the eye."
RE_,"REA.    	Stephen Rea is an actor from Belfast in Northern Ireland. Rea's big break in movies came with his role in the 1992 film 'The Crying Game', a role for which he was nominated for the Best Actor Oscar."
IRI_,"IRIS.    	In Greek mythology the goddess Iris was viewed as the link between the gods and humanity, a messenger. She was also the goddess of the rainbow. In Virgil's 'Aeneid', Iris takes the form of a Trojan woman and incites other Trojan mothers to set fire to Aeneas' ships, preventing them from leaving Sicily."
_SI,PSI.    	Pounds Per Square Inch (PSI) is a measure of pressure.
A_HE,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth he found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African America player to be so honored. He continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993, due to complications from AIDS."
TS_,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
A_EC,"ALEC.    	'New Moon' is the second in the 'Twilight' series of novels by Stephenie Meyer. ""The Twilight Saga"" is a series of films based on the books. The novels and films are about vampires. I don't do vampires ..."
_HIO,"OHIO.    	The Ohio is the largest tributary of the Mississippi by volume. In fact where the two rivers meet, in Cairo, Illinois, the Ohio is actually the larger of the pair."
_ES,NES.    	The abbreviation Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
O_EA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
ST_T,"STET.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change and then underscoring the change with a line of dots (or dashes)."
T_AR,"TSAR.    	At the second party congress of the Marxist Russian Social Democratic Labour Party in 1903, a split developed. The faction with the most support was led by Vladimir Lenin, and as they were in the majority, they became known as the Bolsheviks, derived from the Russian word for ""more"" or ""majority""."
_NNA,"ANNA.    	I have to admit to not having read the Tolstoy's ""Anna Karenina"", but I did see the excellent 1977 British television adaptation starring Nicola Pagett. In the stroyline, Anna Karenina's lover is Count Alexei Vronsky."
OT_O,"OTTO.    	Otto Mann drives the school bus on the TV show ""The Simpsons"". Otto is a Germanic character voiced by Harry Shearer, and his name is a play on ""Ottoman Empire"". Whenever Bart sees him, he greets Otto with the words ""Otto, man!"""
A_EC,"ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think his big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin is making a name for himself these days playing Jack Donaghy on ""30 Rock"", opposite Tina Fey. He has also hosted the sketch show 'Saturday Night Live' more times than anyone else (16 times)."
TSA_,"TSAR.    	The term czar (also tsar) is a Slavic word that was first used as a title by Simeon I of Bulgaria in 913 AD. ""Czar"" is derived from the word ""Caesar"", which was synonymous with ""emperor"" at that time."
I_LE,"ISLE.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as Capriotes."
ESS_,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
AM_,AMA.    	American Medical Association (AMA)
LA_,"LAS.    	Las Vegas, Nevada was founded as a city in 1905. It became a stop-off point for pioneers travelling west, and eventually a railroad town, although with the coming of the railroad, growth halted as folks began to bypass Las Vegas. The city's tourism industry took off in 1935 when the nearby Hoover Dam was completed, and visitors to Vegas take tours of the dam to this day. But then gambling was legalized, and the things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the state line that would service the vast population of Los Angeles. As a result, Las Vegas became the most populous US city founded in the 20th century, an honor that went to Chicago in the 19th century."
_MA,"AMA.    	The American Medical Association was founded in 1847, at the Academy of Natural Sciences in Philadelphia. The first female member was allowed to join in 1868, but the first African American members weren't admitted until one hundred years later, in 1968."
O_ERA,"OPERA.    	The five Mark Brothers were born to ""Minnie"" and ""Frenchy"" Marx in New York City. The more famous, three older boys were Chico, Harpo and Groucho. The youngest brother, Zeppo, appeared in the early Marx Brothers movies, but the fifth son Gummo, he went off to pursue his own career off the stage."
_SI,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork. The resemblance to a trident is probably why the letter psi is the symbol for the planet Neptune. Neptune was the Roman god of the sea and is often depicted carrying a trident.
E_T,"ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
A_OE,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
_TE,RTE.    	Some maps show routes.
_OO,"ROO.    	Kanga is a friend of Winnie-the-Pooh, a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
_AS,"LAS.    	Gran Canaria, or Grand Canary Island, may be grand but it isn't quite as big as Tenerife, the largest island of the group and the most populated. The capital of Gran Canaria is Las Palmas, which was a port of call for Christopher Columbus in 1492 on his way to the Americas."
S_L,"SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaing the introduction of the fast-moving engine-powered barges. The first line is ""I've got an old mule and her name is Sal""."
_NYA,"ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career, eventually becoming Ireland's best-selling solo musician. And, she sure does turn up a lot in crosswords!"
_RLO,"ARLO.    	""Alice's Restaurant Masacree"" is the name of the Arlo Guthrie song, all 18m 48s of it, that takes up one whole side of the album ""Alice's Restaurant""."
A_A,"AMA.    	The icon known as the caduceus is a staff around which are twisted two serpents and which has two wings at the top. The caduceus was carried by the Greek god Hermes. The traditional symbol for the medical profession was the rod of Asclepius, a Greek god associated with healing and medicine. The rod of Asclepius is similar to the caduceus, being a staff with a single serpent-entwined. Some medical organizations use the caduceus as a symbol, apparently due to confusion that dates by to the its mistaken use by the US Army Medical Corps in 1902."
_SHE,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth, Ashe found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African American player to be so honored. Ashe continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow-up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993 due to complications from AIDS. Shortly afterwards, Ashe was posthumously awarded the Presidential Medal of Freedom by President Bill Clinton."
_RA,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
N_A,"NEA.    	The National Education Association (NEA) is the largest labor union in the country, and mainly represents public school teachers."
_SLE,"ISLE.    	Tahiti is the most populous island in French Polynesia, which is located in the central Southern Pacific. Although Captain Cook landed in Tahiti in 1769, he wasn't the first European to do so. However, Cook's visit was the most significant in that it heralded a whole spate of European visitors, who brought with them prostitution, venereal disease and alcohol. Paradoxically, they also brought Christianity. Included among the subsequent visitors was the famous HMS Bounty under the charge of Captain Bligh."
EN_S,ENOS.    	Enos Slaughter has a remarkable playing record in Major League Baseball over a 19-year career. Slaughter's record is particularly remarkable given that he left baseball for three years to serve in the military during WWII.
_PA,"SPA.    	Évian-les-Bains (or simply Évian) is in the very east of France on the shores of Lake Geneva, directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
T_AR,"TSAR.    	The term czar (also tsar) is a Slavic word, and was first used as a title by Simeon I of Bulgaria in 913 A.D. It is derived from the word Caesar, which was synonymous with emperor at that time."
OR_,"ORO.    	Oro y Plata means ""gold and silver"", and is the state motto of Montana. The motto was written in Spanish, purely because ""it had a nice ring to it""."
_RA,"ARA.    	Ara Parseghian coached Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
RE_,"REA.    	""Mens rea"" is Latin for ""guilty mind"" and is a central concept in criminal law. The concept is expanded to ""actus non facit reum nisi mens sit rea"" meaning ""the act does not make a person guilty unless the mind be also guilty"". In other words, a someone should not be deemed guilty of an act, unless he or she had a ""guilty mind"", intended to do wrong."
ASH_,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth he found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African America player to be so honored. He continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993, due to complications from AIDS."
OBO_,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance, you'll note (pun intended!) the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A"". Oh, and if you want to read a fun book (almost an ""exposé"") about life playing the oboe, you might try ""Mozart in the Jungle"" by oboist Blair Tindall."
ASH_,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
O_EA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
A_RA,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
DR_,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
E_T,"ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
A_ES,"ARES.    	Wrath of the Titans"" is a 2012 fantasy adventure film, a sequel to 2010's 'Clash of the Titans'."
ES_,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
UN_,"UNO.    	'One, two, three' in Italian is ""uno, due, tre""."
EN_S,"ENOS.    	Enos Strate (played by Sonny Shroyer) was the small-town deputy in the television sitcom 'The Dukes of Hazzard', and the success of his character merited a follow-on show. The spinoff ""Enos"" only ran for 18 episodes though."
ES_,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
_RE,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as for producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
ED_,EDS.    	An editor (ed.) might receive a manuscript (MS) with a self-addressed stamped envelope (SASE).
E_S,EDS.    	Editors (eds.) might read a manuscript (MS.) are 'Ms.' magazine.
OH_O,"OHIO.    	There are two states that have the nickname 'Mother of Presidents' ... Ohio and Virginia, although sometimes Ohio is known as 'Modern Mother of Presidents'. Eight presidents were born in Virginia, from George Washington to Woodrow Wilson. Ohio was the birthplace of seven presidents, from Ulysses S. Grant to Warren G. Harding. Additionally, eight presidents hailed from Ohio at the time of their elections."
P_I,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
_DA,"IDA.    	Pawel Pawlikowski is a filmmaker based in Paris who was born and grew up in Warsaw, Poland. Pawlikowski's most famous films are 'Last Resort' (2000), which he both wrote and directed, and the intriguing 'My Summer of Love' (2004) that stars Natalie Press and Emily Blunt."
S_ET,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
ES_O,"ESSO.    	Imperial Oil is a Canadian company with a majority ownership by Exxon Mobil. Imperial produces a lot of crude oil and natural gas, and also operates service stations with brand name ESSO."
ATR_,"ATRA.    	Fortunately for crossword constructors, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
_PA,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
S_A,SPA.    	Manicure & pedicure (mani-pedi)
_NO,"UNO.    	The Uno is a subcompact that was produced for many years by Fiat, from 1983 until 1995, and it is still being produced in other countries around the world."
E_YA,"ENYA.    	Enya's real name is Eithne Patricia Ni Braonain, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
EL_E,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she"". 'Elle' is published monthly worldwide, although you can pick up a weekly edition if you live in France."
A_A,"ARA.    	The Ara Pacis Augustae, the Altar of Augustan Peace, is often just called the 'Ara' or 'Ara Pacis'. It is an altar that was commissioned by the Roman Senate to honor the return of Caesar Augustus after his conquests in Hispania and Gaul. It stood at the northern outskirts of Rome, and over the centuries was covered by silt as it was located in the floodplain of the river Tiber. The Ara was excavated and much of the altar recovered over recent centuries, although as usual, parts of the altar have found their way into the major museums around the world. Much of the altar was reconstructed and placed inside a protective building under the orders of dictator Benito Mussolini in 1938. A new building was built to house the altar in 2006."
STE_,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
ETT_,"ETTA.    	Etta James is best known for her rendition of ""At Last"". Sadly, she discloses in her autobiography, Etta James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
S_O,SRO.    	Standing Room Only
AL_C,"ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin made a name for himself in recent times playing Jack Donaghy on ""30 Rock"", opposite Tina Fey. He has also hosted the sketch show 'Saturday Night Live' on more occasions than anyone else (16 times)."
_SS,"ESS.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Mosher Butts. Butts determined how many tiles of each letter, and the point value of each tile, by analyzing letter distributions in publications like 'The New York Times'."
AL_E,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
E_S,ESS.    	Ess (the letter S) is the last letter in the word 'Mohicans'.
UN_,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
ID_,"IDA.    	Boise, Idaho is the largest metropolitan area in the state by far. There are a number of stories pertaining to the etymology of the name 'Boise'. One is that French trappers named the tree-lined river that ran through the area 'la rivière boisée', meaning 'the wooded river'. "
_CRU,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
AN_A,"ANNA.    	Anna Gunn is an actress from Santa Fe, New Mexico. She is best known for playing Skyler White on the TV show 'Breaking Bad'."
LA_,"LAS.    	Las Cruces (Spanish for 'the crosses') is the second largest city in the state of New Mexico, and is the home of New Mexico State University."
_LEC,"ALEC.    	Alec Baldwin is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin is making a name for himself these days playing Jack Donaghy on ""30 Rock"", opposite Tina Fey."
ELA_,"ELAN.    	Our word ""élan"" was imported from French, in which it has a similar meaning, ""style"" or ""flair""."
NE_,NEA.    	The National Endowment for the Arts is an agency funded by the federal government that offers support and funding for artistic projects. It was created by an Act of Congress in 1965.
ENO_,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam and Eve."
_PA,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
TS_,"TSA.    	The Transportation Security Administration was of course created in 2001, soon after the 9/11 attacks."
DR_,"DRE.    	'Forgot About Dre' is a single recorded by rap artist Dr. Dre, 'featuring Eminem'."
T_AR,"TSAR.    	The last ruler of Imperial Russia was Tsar Nicholas II (of the House of Romanov). Famously, the Tsar and his family were murdered in 1918 in the basement of a house in Yekaterinburg, Russia by members of the Bolshevik secret police. The Tsar's youngest daughter was 16-year-old Anastasia and rumors of her escape have persisted for years. The rumors grew with the help of numerous women who claimed to be Anastasia. In 2009, DNA testing finally proved that the remains of all of the Tsar's immediate family, including Anastasia, have been found and identified."
IRE_E,"IRENE.    	""Goodnight, Irene"", also known as ""Irene, Goodnight"" is a lovely American folk song, that was first recorded commercially back in 1932 by blues singer, Lead Belly. The song made it number one in the charts for the Weavers in 1950, and for Frank Sinatra the same year."
_SI,"PSI.    	The science of quantum mechanics (or quantum physics) pulls together mathematically, the fact that energy and matter sometimes behave like waves, and sometimes particles. In general, the laws of classical mechanics break down as ""things"" get smaller, on the atomic and subatomic scale."
SA_,"SAL.    	The actor Sal Mineo's most famous role was John 'Plato' Crawford, the kid who was in awe of the James Dean character in 'Rebel Without a Cause'. Sadly, Mineo was murdered in 1976 when he was just 37 years old. He was attacked in the alley behind his Los Angeles apartment and stabbed through the heart. When an arrest was made it was discovered that the murderer had no idea that his victim was a celebrity, and that his plan was just to rob anyone who came along."
LA_,"LAS.    	'Las Noticias' is a Hispanic publication serving the Latino community in Kingston, New York."
_TET,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
A_EE,"AGEE.    	James Agee was a noted American film critic. He wrote an autobiographical novel ""A Death in the Family"" that won him his Pulitzer in 1958, albeit posthumously."
S_ET,"STET.    	Stet is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change, and then underscoring the change with a line of dots (or dashes)."
T_AR,"TSAR.    	The term czar (also tsar) is a Slavic word that was first used as a title by Simeon I of Bulgaria in 913 AD. ""Czar"" is derived from the word ""Caesar"", which was synonymous with ""emperor"" at that time."
ECR_,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
_NOS,ENOS.    	Enos was the son of Seth and the grandson of Adam and Eve.
_RE,DRE.    	Beats by Dre is a brand of audio products that was founded by rapper Dr. Dre.
_TTA,"ETTA.    	Etta James is best known for her beautiful rendition of the song ""At Last"". Sadly, as she discloses in her autobiography, James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
ES_O,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of Standard and Oil (ESS-O). The Esso brand was replaced by Exxon in the US, but it is still used all over the rest of the world."
_NNA,"ANNA.    	The King and I' is a Rodgers and Hammerstein musical based on a book by Margaret Landon called 'Anna and the King of Siam' first published in 1944. Landon's book is based on a true story, told in the memoirs of Anna Leonowens. Leonowens was the governess of the children of King Mongkut of Siam in the 1860s, and she also taught the king's wives."
_LLE,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
T_E,"TRE.    	In Italian, one can find the number 'tre' (three) on 'un orologio' (a clock)."
U_O,"UNO.    	In my youth I remember being taught a great card game by a German acquaintance of mine called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
_RA,"ARA.    	The constellation of Ara takes its name from the Latin word for ""altar""."
E_TA,"ETTA.    	Etta James was best known for her beautiful rendition of the song ""At Last"". Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
_NEA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System. In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
_BOE,"OBOE.    	A heckelphone is a musical instrument like an oboe, but pitched an octave lower. The heckelphone was invented in 1904 by a manufacturer of woodwind instruments in Germany called Wilhelm Heckel."
