Sautéed seafood dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
"Putting one's foot in one's mouth, e.g.   		5 letters","GAFFE.    	Our word ""gaffe"" , meaning a social blunder, comes from the French word ""gaffe"" meaning ""clumsy remark"", although it originally was (and still is) the word for ""boat hook"". The exact connection between a boat hook and a blunder seems to be unclear."
Prize won by Obama and Carter.   		5 letters,"NOBEL.    	The Peace Prize is the most famous of the five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine and Literature. There is also a Nobel Prize in Economics, awarded along with the original five, but it is funded separately and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
Madrid royal.   		3 letters,REY.    	'Rey' is the Spanish word for 'king'.
Willy Wonka Candy Company brand.   		5 letters,"NERDS.    	The Willy Wonka Candy Company brand is owned by Nestle, and operates using licensed materials from the Roald Dahl book ""Charlie & the Chocolate Factory"". The brand is getting a resurgence in sales bolstered by a marketing tie-in with the 2005 film adaptation starring Johnny Depp. Nerds is a name on a whole line of candy's produced within the brand's portfolio."
"Pyramid schemes, e.g.   		5 letters","SCAMS.    	A pyramid scheme is considered to be fraud in many countries, including the United States. The basic idea behind such a scheme is that participants get paid for enrolling other people in the scheme, rather than providing any real service or product. As money is made only when others join the scheme, the business model is only sustainable as more and more people are enrolled. Once the number of people in the scheme stabilizes, money stops flowing, with the person at the ""top"" of the pyramid having made the most cash. He or she is then free to make a run for it, and set up another scheme."
Philosopher who tutored Nero.   		6 letters,"SENECA.    	Seneca the Younger was a tutor and advisor to the Emperor Nero of Ancient Rome. Although maybe innocent, Seneca was forced to commit suicide by Nero as it was alleged that Seneca participated in a plot to kill the emperor. To kill himself, Seneca cut into a number of veins in order to bleed to death."
Something to chew on.   		3 letters,"CUD.    	Ruminants are animals that 'chew the cud'. Ruminants eat vegetable matter but cannot extract any nutritional value from cellulose without the help of microbes in the gut. Ruminants collect roughage in the first part of the alimentary canal, allowing microbes to work on it. The partially digested material (the cud) is regurgitated into the mouth so that the ruminant can chew the food more completely exposing more surface area for microbes to do their work."
"Suleiman the Magnificent, for one.   		7 letters","OTTOMAN.    	Suleiman the Magnificent was the longest-reigning leader of the Ottoman Empire, in power from 1520 to 1566. Suleiman extended the Ottoman Empire by conquest of territories. He also presided over the Golden Age of the empire as he was a great patron of the arts."
Clingy wrap.   		5 letters,"SARAN.    	What's known as plastic wrap in America, we call cling-film in Ireland. Plastic wrap was one of those unintended inventions, a byproduct of a development program to create a hard plastic cover for cars."
European black thrush.   		4 letters,"MERL.    	A merl (or merle) is often called a blackbird over in Europe. The male merl is completely black, with a yellow beak."
Mold's origin.   		5 letters,"SPORE.    	Spores are produced by many bacteria, fungi and non-flowering plants. A spore is a reproductive body encased in protective shell that is highly resistant to damage, and to heat in particular."
Tackle-to-mast rope on a ship.   		3 letters,"TYE.    	A tye can be either a chain or a rope, and is used to hoist a spar up a mast."
Foil alternative.   		5 letters,"SARAN.    	What's known as plastic wrap in America, we call cling-film in Ireland. Plastic wrap was one of those unintended inventions, a byproduct of a development program to create a hard plastic cover for cars."
Stiller's partner in comedy.   		5 letters,"MEARA.    	Jerry Stiller and Anne Meara are a husband and wife comedy duo, and parents of Ben Stiller (and Amy Stiller). Stiller and Meara met while appearing with the Compass Players (later to become Second City), and have been married since 1954."
"Peck, e.g.: Abbr..   		3 letters","AMT.    	A peck is a unit of dry volume, equivalent to two gallons. Four pecks then make up a bushel."
Highlander.   		4 letters,"GAEL.    	A highlander would be someone from the highlands of Scotland, and would qualify as a Gael. To me a Gael is anyone who speaks one of the Erse tongues."
Neighbor of Turk.   		3 letters,SYR.    	Syria is a neighbor of Turkey.
Actress Blake.   		6 letters,"AMANDA.    	Amanda Lake was the actress who played 'Miss Kitty', the saloon proprietor on the television show 'Gunsmoke'."
Fictional writer in a John Irving best seller.   		4 letters,"GARP.    	John Irvine's 1978 novel ""The World According to Garp"" is somewhat biographical. In fact, Irvine's mother found parts of the novel difficult to read, recognizing elements of herself in Garp's mother."
Ham helper.   		3 letters,CUE.    	A ham actor might need help from a cue.
7 a.m.   		3 letters,"GMA.    	Good Morning America' (GMA) is ABC's morning show, and has been since 1975. There was even a spinoff show called 'Good Afternoon America', although it only lasted for a few months in 2012."
Senators Kennedy and Stevens.   		4 letters,"TEDS.    	Ted Kennedy was the youngest boy in the family that included his older brothers Joseph Jr. (killed in action in WWII), John (assassinated) and Robert (assassinated). Ted Kennedy went into the US Senate in 1962, in a special election held after his brother became US President. He remained in the Senate until he passed away in 2009, making him the fourth-longest-serving Senator in history."
Option for a H.S.   		3 letters,"GED.    	The General Education Diploma (GED) is a substitute for a high school diploma, available perhaps for high school dropouts or students that are homeschooled."
"Daughter in ""The Cherry Orchard"".   		4 letters","ANYA.    	""The Cherry Orchard"" was Anton Chekhov's last play. Chekhov wrote the play as a comedy, but when it was first staged in Moscow in 1904 it was directed as a tragedy!"
"Embroidered word, at times.   		3 letters",HIS.    	The word's 'his' and 'hers' are often embroidered on sets of towels.
Dwarf planet whose moons include Charon and 12-Down.   		5 letters,"PLUTO.    	Pluto was discovered in 1930, and was welcomed as the ninth planet in our solar system. Pluto is relatively small in size, just one fifth of the mass of our own moon. In the seventies, astronomers began to discover more large objects in the solar system, including Eris, a ""scattered disc object"" at the outer reaches. Given that Eris is actually bigger than Pluto, and other objects really aren't that much smaller, Pluto's status as a planet was drawn into question. In 2006 there was a scientific definition for a ""planet"" agreed for the first time, resulting in Pluto being relegated to the status of ""dwarf planet"", along with Eris."
German chancellor Merkel.   		6 letters,"ANGELA.    	The formidable politician Angela Merkel is the current Chancellor of Germany, the country's head of state. Merkel is the first female German Chancellor, and when she chaired the G8 in 2007 she became only the second woman to do so, after the UK's Margaret Thatcher. Merkel grew up in East Germany under Communist rule."
Old Testament prophet.   		6 letters,"ISAIAH.    	The Book of Isaiah is part of the Hebrew Bible and the Christian Old Testament. Isaiah is not mentioned in the Qur'an, but many Muslim scholars consider Isaiah a prophet."
Like Brahms's Piano Trio No.   		4 letters,"IN B.    	Johannes Brahms was a leading German composer from the Romantic period. He is one of the ""Three Bs"", often grouped with Johann Sebastian Bach and Ludwig van Beethoven."
"""Author! Author!"" star, 1982.   		9 letters","AL PACINO.    	Al Pacino seems to be best known for playing characters on either side of the law. His big break in movies came when he played Michael Corleone in 'The Godfather', a role that grew for him as the series of films progressed. But his Oscar winning role was that of a blind ex-military officer in 'Scent of a Woman'."
Sauce thickener.   		4 letters,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions of roux are being used more and more these days."
Neighbor of Victoria: Abbr..   		3 letters,"NSW.    	New South Wales (NSW) is the most populous state in Australia and is home to Sydney, the most populous city in the country. New South Wales was founded in 1788. When the British took over New Zealand in 1840, for a while New Zealand was actually governed as part of New South Wales."
City known for its Heat.   		5 letters,"MIAMI.    	When Miami was given permission to form a team for the NBA, two names were tossed out for consideration. A survey was taken in the area and the Miami Heat name was favored over the Miami Vice ..."
Job largely automated these days: Abbr..   		4 letters,OPER.    	I think the reference is to a telephone operator&#8217;s job &#8230;
One of three stars in the Summer Triangle.   		5 letters,"DENEB.    	Deneb is the brightest star in the constellation called Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning 'tail', as it lies at the tail of the swan."
Means to ease withdrawals.   		4 letters,"ATMS.    	ATMs are Automated Teller Machines, called ""cashpoints"" in back in Ireland. Well, as students we also called them ""drink links"", for obvious reasons."
Kahn of Broadway.   		3 letters,"GUS.    	Gus Kahn was a songwriter who was very successful on Broadway and in Hollywood. Songs that he penned include ""I'll See You in My Dreams"", ""It Had to Be You"" and ""Makin' Whoopee!"""
Item of sports equipment worn on the wrist.   		5 letters,CESTA.    	A cesta is the wicker scoop work on the hand that is used for catching and throwing the ball in jai alai.
"Around-the-house footwear, for short.   		4 letters",MOCS.    	The moccasin is a traditional form of footwear worn by many Native American tribes.
Pronoun for Miss Piggy.   		3 letters,"MOI.    	The Muppet called Miss Piggy has a pretentious air, and so refers to herself as 'moi'. In 1998, Miss Piggy even released her own perfume called 'Moi'."
"""Music for the Royal Fireworks"" composer.   		6 letters","HANDEL.    	Music for the Royal Fireworks' is a suite composed by George Frideric Handel in 1749. The suite was created for a royal fireworks display on the River Thames in London that was staged to celebrate the end of the War of the Austrian Succession. The music was a big hit, but the firework display ... not so much. The fireworks caused a fire in the building in which the musicians were playing."
The constellation Ara.   		5 letters,"ALTAR.    	The constellation of Ara takes its name from the Latin word for ""altar""."
Black ___.   		5 letters,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake that used to be responsible for a great number of fatalities before anti-venoms became available. Mamba venom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart so a bite, if left untreated, causes the lungs and the heart to shut down."
Japanese beer.   		5 letters,"ASAHI.    	Asahi is a beer, and the name of the brewery that produces it. ""Asahi"" is Japanese for ""morning sun"". Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed the brewery to the number one spot in terms of beer production in Japan, with Sapporo close behind."
Tony's relatives.   		5 letters,"OBIES.    	The Obies are the ""Off-Broadway Theater Awards"". The Obies are presented annually, and the recipients are chosen by ""The Village Voice"" newspaper."
Messengers at Hogwarts.   		4 letters,"OWLS.    	Hogwarts is of course the boarding school in the ""Harry Potter"" books."
"When tripled, a W.W.   		4 letters","TORA.    	The pre-determined code word to be used by the Japanese if they managed to achieve surprise in their attack on Pearl Harbor was tiger, or ""tora"" in Japanese. This gave the name to the excellent 1970 movie ""Tora! Tora! Tora!""."
"Mushroom grower, for short?.   		6 letters",A-TEST.    	Tests of atom bombs in the atmosphere give rise to large mushroom clouds.
"One of the seven ""deadly"" things.   		3 letters",SIN.    	The cardinal sins of Christian ethics are also known as the seven deadly sins. The seven deadly sins are:
Japanese volcano.   		3 letters,"ASO.    	Mount Aso is the largest active volcano in Japan, and is found on the island of Kyushu."
"Not final, in law.   		4 letters","NISI.    	A decree nisi is a court order, one that only comes into force when certain specified conditions are met. At the point where the conditions are met, it becomes a decree absolute and is binding. 'Nisi' is Latin for 'unless'."
"""The Merry Widow"" composer.   		5 letters","LEHAR.    	""The Merry Widow"" is an operetta composed by Franz Lehar. It was first performed in 1905 and has been popular ever since. Franz Lehar was a Hungarian who had a difficult relationship with the Nazi regime after it took control of his country. His wife was born Jewish, but converted to Catholicism. Fortunately, Hitler enjoyed Lehar's music and as a result Goebbels intervened and made Sophie Lehar ""an honorary Aryan by marriage""."
"Banned event, informally.   		6 letters","A-TEST.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. In an atomic bomb, uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. Fusion devices are also called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy than a fission reaction."
Graffiti signature.   		3 letters,"TAG.    	""Graffiti"" is the plural of ""graffito"", the Italian for ""a scribbling"". The word was first used to describe ancient inscriptions on the walls in the ruins of Pompeii."
Deck wood.   		4 letters,"TEAK.    	Teak is a hardwood tree in the mint family, commonly found in monsoon forests of Asia."
"Lopez of ""Extra"".   		5 letters","MARIO.    	Mario Lopez is an actor and television host from San Diego, California. Lopez came in second on the third season of 'Dancing with the Stars'. Lopez ended up romantically involved with his partner in the show, professional dancer Karina Smirnoff."
Forearm bones.   		5 letters,"RADII.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
TV monitor.   		3 letters,"FCC.    	TV broadcasting is monitored by the Federal Communications Commission. The FCC has been around since 1934, when it replaced the Federal Radio Commission."
Pinup feature.   		3 letters,"GAM.    	The American slang term ""gams"" is used for a woman's legs, but the term goes back to the 18th century ""gamb"" meaning the leg of an animal on a coat of arms."
___ noire.   		4 letters,"BETE.    	""Bête noire"" translates from French as ""the black beast"" and is used in English for something or someone that is disliked."
"Lead singer on ""Octopus's Garden"".   		5 letters","RINGO.    	Octopus's Garden' is a song released by the Beatles in 1969, one that was written and performed by drummer Ringo Starr. This was only Ringo's second musical composition and he gets sole credit for the writing, even though it is well established that George Harrison gave him quite a bit of ""help"". The idea for the song came to Ringo while he was on holiday with his family in Sardinia. The captain of the boat on which they were staying told Ringo that an octopus would spend its time traveling the seabed collecting shiny objects with which to make itself a garden. I don't know how true that is, but Ringo seemed to find it inspiring."
Big name in plastic.   		4 letters,VISA.    	Did you know that Visa doesn't issue any credit cards? Visa just sells the electronic systems and infrastructure to banks who then put the Visa logo on their own cards so that the customer and merchant know to use the VISA system when making a transaction.
Wonder Woman's weapon.   		5 letters,"LASSO.    	Wonder Woman first appeared in print in 1941, published by DC Comics. As she was created during WWII, Wonder Woman's first foes were the axis powers. In the less realistic world her biggest foe was and still is Ares, named for the Greek mythological figure."
TV monitor?.   		3 letters,"FCC.    	TV broadcasting is monitored by the Federal Communications Commission. The FCC has been around since 1934, when it replaced the Federal Radio Commission."
Venus de ___.   		4 letters,"MILO.    	The famous ""Venus de Milo"" is so named as she was discovered in the ruins of the ancient city of Milos, on the Aegean island of the same name. I've been lucky enough to see the statue, in the Louvre in Paris, and was surprised at how large it is (6 ft 8 in tall)."
Preserver of bugs.   		5 letters,"RESIN.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft sticky tree resin but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this material can sometimes remain virtually intact inside the amber fossil giving us a unique gift from the past."
"He wrote ""No human thing is of serious importance"".   		5 letters","PLATO.    	Plato was a Greek philosopher and mathematician. He was a student of the equally famous and respected Socrates, and Plato in turn was the teacher and mentor of the celebrated Aristotle."
"Mont Blanc, e.g., to locals.   		4 letters","ALPE.    	Mont Blanc is the highest mountain in the Alps. The name ""Mont Blanc"" translates from French into ""white mountain"". The mountain lies on the border between France and Italy, and it has been generally accepted for decades that the summit lies within French territory. However, there have been official claims that the summit does in fact fall within the borders of Italy."
Naldi of film.   		4 letters,"NITA.    	Nita Naldi was an American silent film actress who usually played a ""femme fatale"" type of role."
"""C'est ___"" (""Camelot"" song).   		3 letters",MOI.    	'Camelot' is a Lerner and Loewe musical based on the legend of King Arthur. The show was first shown on Broadway in 1960 and ran for 873 performances. 'Camelot' was made into a very successful film version that was released in 1967 starring Richard Harris as King Arthur.
Remove.   		4 letters,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off""."
V as in Versailles.   		4 letters,"CINQ.    	In Versailles in France, the number V (five) is ""cinq""."
"One bringing a speaker onstage, maybe.   		6 letters","ROADIE.    	A ""roadie"" is someone who loads, unloads and sets up equipment for musicians on tour, on the road."
"Mushroom maker, briefly.   		6 letters","A-TEST.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. Uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. These devices are called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy."
Wall St.   		3 letters,"ARB.    	""Arb"" is short for an arbitrageur, one who profits from the purchase of securities in one market and the subsequent sale in another, hence taking advantage of price discrepancies across markets."
Oz creator.   		4 letters,"BAUM.    	L. Frank Baum (the 'L' is for Lyman) was of course famous for writing 'The Wonderful Wizard of Oz'. Writing at the turn of the century, Baum actually described in his books things that had yet to be invented, like television, laptop computers and wireless telephones."
Pringles alternative.   		4 letters,"STAX.    	Stax is a brand name of potato snack made by Lay's. Stax are similar to its famous competitor, Pringles."
Small drum.   		5 letters,"TABOR.    	A tabor is a portable snare drum, played with one hand. It is usually suspended by a strap from one arm, with the other hand free to beat the drum. It is often played as an accompaniment for a fife or other small flutes. The word ""tabor"" comes from the Welsh name for the drum, ""tabwrdd""."
Dexterous.   		6 letters,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
German river whose valley is known for wine.   		5 letters,"RHINE.    	Most German wine is produced in the valley surrounding the River Rhine or its tributaries. German wines are mainly white, and the most prestigious labels use the Riesling grape."
___ Dame.   		5 letters,"NOTRE.    	Notre Dame: ""Our Lady"" in French."
Lethal cousin of the cobra.   		5 letters,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake, that used to be responsible for a great number of fatalities, before anti-venoms became available. Mamba enom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart, so a bite if untreated causes the lungs and the heart to shut down."
Like Chopin's Mazurka Op.   		4 letters,IN B.    	A mazurka is a Polish folk dance. The great French-Polish composer Frédéric Chopin was known for writing many mazurkas for solo piano.
U.C.L.A.   		5 letters,"BRUIN.    	The UCLA Bruins mascots are Joe and Josephine Bruin, characters that have evolved over the years. There used to be ""mean"" Bruin mascots but they weren't very popular with the fans, so now there are only ""happy"" Bruin mascots at the games."
Right triangle ratios.   		5 letters,"SINES.    	The most familiar trigonometric functions are sine (sin), cosine (cos) and tangent (tan). Each of these is a ratio, a ratio of two sides of a right-angled triangle. The reciprocal of these three functions are cosecant, secant, and cotangent. The reciprocal functions are simply the inverted ratios, the inverted sine (cosec = 1/sin), cosine (sec = 1/cos) and tangent (cot = 1/tan)."
Country music's Paisley.   		4 letters,BRAD.    	Brad Paisley is a country singer whose music has some rock influences.
Des Moines native.   		5 letters,"IOWAN.    	The city of Des Moines is the capital of Iowa, and takes its name from the Des Moines River. The river in turn takes its name from the French ""Riviere des Moines"" meaning ""River of the Monks"". It looks like there isn't any ""monkish"" connection to the city's name per se. ""Des Moines"" was just the name given by French traders who corrupted ""Moingona"", the name of a group of Illinois Native Americans who lived by the river. However, others do contend that French Trappist monks, who lived a full 200 miles from the river, somehow influenced the name."
Empathic counselor of sci-fi.   		4 letters,"TROI.    	Deanna Troi, the character on ""Star Trek: The Next Generation"", is played by the lovely Marina Sirtis. Although Sirtis is a naturalized American citizen, and has what I would call a soft, American accent on the show, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
"Offenbach's ""Belle nuit, ô nuit d'amour,"" e.g.   		4 letters","DUET.    	'Belle nuit, ô nuit d'amour' is a duet in the opera 'The Tales of Hoffmann' by Jacques Offenbach. The piece is a very popular melody, and is usually referred to as 'the Barcarolle'."
Pop's ___ Tuesday.   		3 letters,TIL.    	Til Tuesday was a New Wave band from Boston that performed and recorded from 1982 to 1988.
"Actor Cage, informally.   		3 letters","NIC.    	Nic Cage was born Nicolas Coppola. Cage is the nephew of director Francis Ford Coppola and actress Talia Shire, both of whom are his father's siblings."
Shetland Islands sight.   		4 letters,LOCH.    	'Loch' is the Scottish Gaelic word for 'lake'.
"Alphabetically last animal in a zoo, usually.   		5 letters","ZEBRA.    	The name 'zebra' comes from an old Portuguese word 'zevra' meaning 'wild ass'. Studies of zebra embryos show that zebras are basically black in color, with white stripes that develop with growth. Before this finding, it was believed they were white, with black stripes."
TV pitchman David.   		5 letters,"ORECK.    	The Oreck Corporation was named after founder David Oreck, and makes vacuum cleaners and air purifiers. The company started out selling vacuum cleaners by mail, a new concept in 1963. David Oreck appears regularly as a spokesman in the companies ads and infomercials."
Hit group?.   		5 letters,MAFIA.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. It was established that 'Cosa Nostra' was also used in Sicily when Italian authorities penetrated the Sicilian Mafia in the 1980s. The name 'mafia' seems to be just a literary invention that has become popular with the public.
Italian bread.   		4 letters,"PANE.    	Pane ... Italian for ""bread""."
One of the Fitzgeralds.   		5 letters,"ZELDA.    	Zelda Fitzgerald, the wife of F. Scott Fitzgerald, was a novelist in her own right. Her one and only novel is ""Save Me the Waltz"", a semi-autobiographical account of her life and marriage."
Singer Jones.   		5 letters,"NORAH.    	The beguiling Norah Jones, the daughter of famous sitar virtuoso Ravi Shankar, is one of my favorite singers. If you haven't heard her sing ""Come Away with Me"", you just haven't lived ..."
"When doubled, a 19-Across.   		4 letters","BORA.    	Bora Bora is one of the Society Islands of French Polynesia. The name Bora Bora is imitative of the Tahitian name for the island and should really be pronounced ""pora pora"". It means ""first born""."
Prefix with -gramme.   		4 letters,"AERO.    	An aerogram is like a very thin letter with no envelope, designed to be light to facilitate transit via airmail. An aerogram is usually a custom-made piece of lightweight paper that is folded in a specific way and sealed with gum on the paper, in such a way that an envelope is not required."
