ED_,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
LE_,LET.    	An umpire might call 'let' in a game of tennis.
_EV,"NEV.    	When the magnificent Hoover Dam was completed in 1936, it was the largest hydroelectric plant in the world as well as being the world's largest concrete structure. The dam is named after Herbert Hoover for his role in having the dam built when he was Secretary of Commerce and his later support as US President. When the dam was finally put into service in 1936, the project was two years ahead of schedule. Those were the days ..."
C_BC,"CNBC.    	The television show ""Mad Money"" started airing in 2005, and is hosted by the ebullient Jim Cramer. Cramer recommends that essential funds, such as those reserved for retirement, be safely locked away in conservative investment vehicles. Any money left over (still looking for that here!) is classed as ""Mad Money"" and can be invested in more risky stocks."
TORE_O,"TORERO.    	'Matador' is a Spanish word used in English for a bullfighter, although the term isn't used in the same way in Spanish. The equivalent in Spanish is ""torero"". ""Matador"" translates aptly enough as 'killer'."
MILN_,"MILNE.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
N_TA,"NOTA.    	Nota bene is the Latin for ""note well"""
RA_TT,"RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
S_U,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
ARS_NAL,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
_ND,"IND.    	Gary, Indiana is just 25 miles from Chicago. It is the home of pop music's Jackson Family."
N_VE,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the congregation are seated."
PSA_,PSAS.    	Public service announcement (PSA)
_CU,"TCU.    	Texas Christian University (TCU) is a private school in Fort Worth, Texas. TCU used to be called AddRan Male & Female, named after an AddRan Clark, the son of Addison Clark who died at the age of 3-years-old from diphtheria. Poor young AddRan was named after his father and his brother, Addison and Randolph."
BA_R,"BARR.    	Before Bob Barr joined the Libertarian party, he served as one of Georgia's Republican Representatives in the US House. Barr came to prominence during the Clinton administration when he was one of the leaders of the movement to impeach the President, and the first representative to call for the President's resignation after the Monica Lewinsky scandal broke."
E_G,"EKG.    	An EKG measures electrical activity in the heart. Back in my homeland of Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
_NIT,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
_ITI,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. Ziti is a particularly large and long tube, with square-cut ends."
_RAPAHO,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
NADE_,"NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
ATH_NA,"ATHENA.    	The Greek goddess Athena is often associated with wisdom (among other attributes). In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise""."
E_N,"E'EN.    	'Gloaming' is an alternative word for twilight or dusk, and is often used poetically. The word is particularly associated with Scottish poetry, and notably the work of Robert Burns."
_SNA,"USNA.    	The United States Naval Academy (USNA) is located in Annapolis, Maryland. The USNA was founded in 1845 and educates officers for the US Navy and the US Marine Corps. The motto of the USNA is 'Ex Scientia Tridens', which translates as 'From Knowledge, Sea Power'."
K_S,"KTS.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""chaturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
MP_,MPS.    	Member of Parliament (MP)
STU_,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"", which described a whole herd of horses."
_CH,ACH.    	Clever misdirection ... 'Dieter' is a German name for a male.
A_LER,"ADLER.    	Alfred Adler was one of the group of medical professionals that founded the psychoanalytic movement. Today Adler is less famous than his colleague, Sigmund Freud."
KNE_,"KNEE.    	Muay Thai is a combat sport that originated in Thailand. It is also known as 'the art of eight limbs', a reference to the combined use of the fist, elbows, knees and shins."
ZIO_,"ZION.    	The name 'Zion' first turns up in the Book of Solomon in the Bible. Zion is commonly used to refer to Jerusalem, and sometimes the Biblical land of Israel."
AR_S,ARTS.    	Bachelor of Arts (BA)
OS_IE,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. One of Davis's better known performances was in the 1993 movie 'Grumpy Old Men', in which he played the owner of the bait shop by the lake."
E_S,"EPS.    	An extended-play record, CD or download (EP) contains more music than a single, but less than an LP."
A_BEE,"ALBEE.    	Edward Albee's most famous play is ""Who's Afraid of Virginia Woolf?"" Albee's first play, a one-acter, was ""The Zoo Story""."
_DAS,RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII and are a set of recommendations for the standard daily allowances of specific nutrients. RDAs were effectively absorbed into a broader set of dietary guidelines in 1997 called Recommended Daily Intakes (RDIs). RDIs are used to determine the Daily Values (DV) of foods that are printed on nutrition fact labels on most food that we purchase.
U_URA,"UHURA.    	Lt. Nyota Uhura was the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role was significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
_ION,"ZION.    	The name 'Zion' first turns up in the Book of Solomon in the Bible. Zion is commonly used to refer to Jerusalem, and sometimes the Biblical land of Israel."
E_S,"EIS.    	In German, ice (Eis) is frozen water (Wasser)."
C_B,"CAB.    	We call cabs 'taxis', a word derived from 'taximeter cabs' that were introduced in London in 1907. A taximeter was an automated meter designed to record distance travelled and fare to be charged. The term 'taximeter' evolved from 'taxameter', with 'taxa' being Latin for 'tax, charge'."
BYT_,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix mega- stands for 10 to the power of 6, so a megabyte (meg) is 1,000,000 bytes. And the prefix giga- means 10 to the power of 9, so a gigabyte (gig) is 1,000,000,000 bytes. Well, those are the SI definitions of megabyte and kilobyte. The purists still use 2 to the power of 20 for a megabyte (i.e. 1,048,576), and 2 to the power of 30 for a gigabyte."
GENO_,"GENOA.    	Genoa is a seaport in the very north of Italy, in the region known as Liguria. One of Genoa's most famous sons was Christopher Columbus."
KA_,"KAN.    	Fort Dodge was in Kansas, on the Santa Fe Trail (connecting Missouri with Santa Fe, New Mexico). The fort was named after Major General Grenville M. Dodge who was in charge of the army presence in the area. The fort gave its name to Dodge City, Kansas that grew up nearby the fort."
O_IS,OBIS.    	The sash worn as part of traditional Japanese dress is known as an obi. The obi can be tied in what is called a butterfly knot.
I_F,IN F.    	The six beautiful Brandenburg Concertos were composed by Johann Sebastian Bach and presented to the Margrave of Brandenburg-Schwedt in 1721.
HO_,"HOI.    	""Hoi polloi"" is a Greek term, literally meaning ""the majority, the many"". In English, ""hoi polloi"" has come to mean ""the masses"" and is often used in a derogatory sense."
CAS_E,"CASTE.    	Many creatures organize themselves into a social structure, a phenomenon known as ""eusociality"". Examples of such creatures would be ants, bees and wasps, where there are queens, workers and soldiers. The groups within such a hierarchical structure are known as castes. The word ""caste"" was borrowed from the class divisions in Indian society (although the word ""caste"" and hierarchical concept was actually introduced by the Portuguese)."
SU_DE,"SUEDE.    	Suede is leather made from the underside of the skin, mainly from a lamb. As such it is very soft, although not as durable as leather made from the exterior skin. The soft leather was, and is still used for making gloves. Back in 1859 these gloves were called ""gants de Suede"" in France, or ""gloves of Sweden"". So, the name ""suede"" comes from the French word for Sweden."
D_I,"DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
CNB_,CNBC.    	'The Kudlow Report' is a business and politics show aired in the evening on CNBC and hosted by Lawrence Kudlow.
O_K,"OAK.    	The oak depicted on the Connecticut quarter is the Charter Oak. The tree earned its name from the legend that the original Royal Charter for the colony was hidden in a cavity of the tree for a while. The tree no longer exists, as it went down in a storm in the early 1800s."
_ENY,"EENY.    	Eeny, meeny, miny, moe,"
UN_,"UNI.    	Sea urchins are globular, spiny creatures found just about everywhere in the ocean. The 'roe' of a sea urchin is eaten as a delicacy in several cuisines around the world. In a sushi restaurant, the sea urchin roe is called 'uni'. The term 'roe' normally means 'fish eggs', but in the case of the sea urchin it refers to the gonads of both the male and female."
_RETE,"CRETE.    	Heraklion (also 'Iraklion') is the largest city on the Greek island of Crete. Heraklion is situated near to the ruins of Knossos, which is deemed to be Europe's oldest city."
IP_DS,"IPODS.    	The iPod Touch is a portable media player, personal digital assistant and gaming console with a WiFi capability. Essentially, I think it's a stripped-down version of an iPhone."
_IX,"SIX.    	Kevin Bacon is an actor from Philadelphia who appeared first on the big screen in the 1978 comedy 'National Lampoon's Animal House'. That wasn't to be the big break that Bacon needed though, which came with 'Footloose' in 1984. A fun fact about him is that he is the subject of a popular trivia game called 'Six Degrees of Kevin Bacon' in which players have to show that a particular actor can be related to Kevin Bacon in fewer than six links, with each link being a movie in which two actors appear together."
TC_,"TCU.    	The athletic teams of Texas Christian University go by the name TCU Horned Frogs. The Texas horned lizard is known colloquially as the ""horned frog"". "
OBE_ON,"OBERON.    	Oberon and Titania are the King and Queen of the fairies in Shakespeare's ""A Midsummer Night's Dream""."
H_J,"HAJ.    	A Haji is the term used for someone who has made a pilgrimage to Mecca, and it is sometimes also used as a form of address for such a person. The journey itself goes by the name ""haj""."
B_TE,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix giga- means 10 to the power of 9, so a gigabyte is 1,000,000,000 bytes."
SE_,"SEP.    	International Talk Like a Pirate Day is September 19th every year, a 'holiday' that was created in 1995. The event started out as an inside joke between John Baur and Mark Summers of Albany, Oregon, but when they shared the notion with the columnist Dave Barry, he promoted the idea and it took off."
LIR_S,"LIRAS.    	The currency of Turkey is the Turkish lira, which is divided into 100 kuruş."
TO_,"TOT.    	Playskool is a company headquartered in Pawtucket, Rhode Island that makes educational toys and games for children. Playskool was started in 1901 as a subsidiary of a lumber company, with the first products being wooden toys used as teaching aids in the classroom."
OBI_,OBIS.    	The sash worn as part of traditional Japanese dress is known as an obi. The obi can be tied in what is called a butterfly knot.
ROE_,"ROEG.    	Nicolas Roeg is film director from England with quite the pedigree when it comes to association with great movies. He contributed to 1962's 'Lawrence of Arabia', and he himself directed noted films like 'Walkabout' (1972), 'Don't Look Now' (1973) and 'The Man Who Fell to Earth' (1976)."
_FOS,UFOS.    	Unidentified flying object (UFO)
E_IRS,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, 'emir' can also be written as 'amir' and 'ameer' (watch out for those spellings in crosswords!)."
D_ANO,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
_ET,"LET.    	In tennis, a let service is one in which the balls lands fairly but after hitting the top of the net. A let service is retaken."
_ET,LET.    	A 'let' is a shot that must be replayed in the sport of tennis.
REN_,"RENT.    	The street names in the US version of Monopoly are locations in or around Atlantic City, New Jersey."
ARSE_AL,"ARSENAL.    	Arsenal Football Club is one of the most famous and successful soccer teams in England. Arsenal play their home matches in North London, and take their name from an old armory called Royal Arsenal where many of the original players were employed."
CAN_O,"CANTO.    	A canto is a section of a long poem, and is a term first used by the Italian poet Dante. 'Canto' is the Italian for 'song'."
CA_,"CAB.    	Hackney is a location in London, and it probably gave it's name to a ""hackney"", an ordinary type of horse around 1300. By 1700 a ""hackney"" was a person hired to do routine work, and ""hackneyed"" meant ""kept for hire"". This morphed into a hackney carriage, a carriage or car for hire."
_ZONE,"OZONE.    	Ozone gets its name from the Greek word ozein, meaning ""to smell"". It was given this name as ozone's formation during lightning storms was detected by the gas's distinctive smell. Famously, there is a relatively high concentration of the gas in the 'ozone layer' in the Earth's stratosphere. This ozone layer provides a vital function for animal life on the planet as it absorbs most of the sun's UV radiation. A molecule of ozone is made up of three oxygen atoms, whereas a 'normal' oxygen has just two atoms."
RO_IE,"ROSIE.    	On 'The Jetsons' animated TV show, the character Rosie the Robot was voiced by Jean Vander Pyl. Vander Pyl was also the voice actress behind Wilma Flintstone in 'The Flintstone in 'The Flintstones'"
_STO,"ESTO.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
MET_,"META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of the very same movie could also be described as meta."
N_T,"NIT.    	The NCAA holds two National Invitation Tournaments (NIT) each season, both being men's college basketball events."
SNI_,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
SALAM_,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
SMO_E,"S'MORE.    	S'mores are a treat peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called ""Tramping and Trailing with the Girl Scouts"". Girl Scouts always did corner the market on cookies and the like!"
TTOP_,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the car above the driver.
_FT,"AFT.    	""Aft"" really means ""back there"" on a boat, or ""behind"". The back of a boat is of course ""the stern""."
C_PO,"CAPO.    	A capo is a clamp-like device that is placed around the neck of a guitar to shorten the strings, and hence raise the pitch. The full name, rarely used these days, is ""capo tasto"", which is Italian for ""head tie""."
ABRA_,"ABRAM.    	James Abram Garfield, the 20th President, was of course assassinated in office. He was shot twice, and one bullet could not be found (it was lodged in his spine). The inventor Alexander Graham Bell developed a metal detector in an attempt to locate the bullet, but apparently he was unsuccessful because of interference from the metal bed frame on which the president lay. Garfield died two months after being shot."
_OYA,"GOYA.    	Francisco Goya was a Spanish painter, often called the last of the Old Masters and the first of the moderns. Two of Goya's most famous works are ""The Nude Maja"" and ""The Clothed Maja""."
_ELT,"DELT.    	The deltoid muscle is actually a group of muscles, the ones that cover the shoulder and create the roundness under the skin. The deltoid muscle is triangular in shape, resembling the Greek letter delta, hence the name."
CL_F,"CLEF.    	Clef is the French word for ""key"". In music, a clef is used to indicate the pitch of the notes written on the stave. The bass clef is also known as the F-clef, and the treble clef is the G-clef."
_RIO,"BRIO.    	Brio is borrowed from the Italian, in which language it also means vigor and vivacity. ""Con brio"" is a musical direction often found on a score, instructing that the musicians play ""with energy, vigor""."
E_RO,EBRO.    	The mighty Ebro flows into the Mediterranean across northeast Spain.
_ND,"UND.    	'Sturm und Drang' translates from the German into ""Storm and Stress"" or perhaps ""Storm and Impulse"". 'Sturm und Drang' was the name given to a movement in German literature and music in the latter half of the 18th century. The writer Johann Goethe was a major proponent of the movement, which took its name from a play by Maximilian Klinger."
ADLE_,"ADLER.    	Alfred Adler was one of the group of medical professionals that founded the psychoanalytic movement. Today Adler is less famous than his colleague, Sigmund Freud."
UT_P,"UTEP.    	The University of Texas at El Paso was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mineshaft on the campus."
NADE_,"NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
_ORERO,"TORERO.    	""Toreador"" is an old Spanish word for a bullfighter, but it's a term not used any more in Spain nor in Latin America. In English we use the term ""toreador"", but in Spanish a bullfighter is a ""torero"". A female bullfighter in a 'torera'."
AUT_,"AUTO.    	VW stands for Volkswagen, which translates from German into ""people's car"". The original Volkswagen design was the Beetle and was built under a directive from Adolf Hitler, who wanted a cheap car built that ordinary people could afford to purchase. He awarded the contract to engineer Ferdinand Porsche, whose name (paradoxically) would forever be associated with high performance, expensive cars. The Beetle was the official name of the VW model released in North America, but it was usually referred to as a ""Bug"" here in the US, and a ""Beetle"" elsewhere in the world."
F_IC,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
NA_E,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the faithful are seated."
ES_O,"ESTO.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
_ION,LION.    	The Cowardly Lion is a character in the 1939 movie 'The Wizard of Oz'.
SPO_,"SPOT.    	In the 'Dick and Jane' series of book for children, Spot was a cat back in the thirties, but then became a dog in later editions."
DEP_,"DEPP.    	Johnny Depp got his big break as an actor on television, in the eighties television show '21 Jump Street'. Depp's first film success came when he played the title role in 1990's 'Edward Scissorhands'. He has twice been named Sexiest Man Alive by 'People' magazine."
S_AR,"SCAR.    	Among the group of lions at the center of 'The Lion King' story, young Simba is the heir apparent, the lion cub destined to take over as leader of the pride. His uncle is jealous of Simba, and plots with a trio of hyenas to kill Simba, so that he can take his position. The uncle was originally named Taka (according to books) but he was given the name Scar after being injured by a buffalo. The trio of hyenas are called Shenzi, Banzai and Ed."
O_IGAMI,ORIGAMI.    	Origami is the traditional Japanese art form of paper folding. The best-known example of the craft is the paper crane. The word 'origami' is derived from 'ori' (folding) and 'kami' (paper).
SCI_N,SCION.    	Scion is a brand name of automobile introduced for the North American market by Toyota. The brand is targeted at younger drivers.
ZI_N,"ZION.    	I must admit that I don't really understand Rastafarianism. I do know that a Rasta, like Bob Marley, is a follower of the movement. Some say it is a religion, some not. It does involve the worship of Emperor Haile Selassie I of Ethiopia. In the Rastafari movement, the term 'Zion' is used to represent a place of unity, peace and freedom. The term 'Babylon' represents an oppressive place of evil."
_IP,RIP.    	Ripping' is the process of copying audio or video onto a hard disk. Ripping isn't the same as direct copying as the process involves changing the format of the audio or video content.
C_EF,"CLEF.    	Clef is the French word for ""key"". In music, a clef is used to indicate the pitch of the notes written on the stave. The bass clef is also known as the F-clef, and the treble clef is the G-clef."
U_I,UNI.    	In Australia (Down Under) and in the British Isles the term 'Uni' is routinely used for 'university'.
AS_DA,"ASADA.    	'Carne Asada' translates from Spanish as ""roasted meat""."
J_TLI,"JET LI.    	Jet Li's real name is Li Jian Jie, a martial artist and international film star from Beijing, China. He played a villain in ""Lethal Weapon 4"", and had a leading role in the 2000 movie ""Romeo Must Die""."
KA_N,"KAHN.    	Louis Kahn was a celebrated architect based in Philadelphia. Among his list of works is the Yale University Art Gallery and the First Unitarian Church in Rochester, New York."
_MU,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
LD_PA,"L-DOPA.    	The name of the drug L-3,4-DihydrOxyPhenylAlanine can be shortened, thankfully, to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
ADH_C,"AD HOC.    	The Latin phrase ""ad hoc"" means ""for this purpose""."
CA_TE,"CASTE.    	Many creatures organize themselves into a social structure, a phenomenon known as ""eusociality"". Examples of such creatures would be ants, bees and wasps, where there are queens, workers and soldiers. The groups within such a hierarchical structure are known as castes. The word ""caste"" was borrowed from the class divisions in Indian society (although the word ""caste"" and hierarchical concept was actually introduced by the Portuguese)."
ZI_N,"ZION.    	The name 'Zion' first turns up in the Book of Solomon in the Bible. Zion is commonly used to refer to Jerusalem, and sometimes the Biblical land of Israel."
FO_SE,"FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight. He also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
_EPE,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
I_F,IN F.    	Beethoven's Symphony No. 6 is also known as the Pastoral Symphony.
_FOS,"UFOS.    	In 1952, the USAF revived its studies of reports of UFO sightings, in a program called Project Blue Book. There were two prior USAF studies of the UFO phenomenon, namely Project Sign and Project Grudge. Project Blue Book ran from 1952 until it was shut down in 1969, concluding that there was no threat to national security, and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
ALBE_,"ALBEE.    	Edward Albee's most famous play is ""Who's Afraid of Virginia Woolf?"" Albee's first play, a one-acter, was ""The Zoo Story""."
AD_OC,"AD HOC.    	The Latin phrase ""ad hoc"" means ""for this purpose""."
DE_P,"DEPP.    	Johnny Depp had his big break as an actor on television, in the eighties television show '21 Jump Street'. Depp's first film success came when he played the title role in 1990's 'Edward Scissorhands'. He has twice been named Sexiest Man Alive by 'People' magazine. I don't see it myself ..."
REN_,"RENT.    	The commercial game of Monopoly is supposedly a remake of 'The Landlord's Game' created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
SS_,SSS.    	Selective Service System(SSS)
ANT_Y,"ANTSY.    	The word ""antsy"" embodies the concept of ""having ants in one's pants"", meaning being nervous and fidgety. However, ""antsy"" has been used in English since the 1830s, whereas ""ants in the pants"" originated a century later."
K_S,"KTS.    	A karat (also 'carat', the spelling outside North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold. "
TETO_,TETON.    	Teton Sioux is alternative name for the Lakota language.
AB_AM,"ABRAM.    	James Abram Garfield, the 20th President, was assassinated in office. Garfield was shot twice, and one bullet could not be found (it was lodged in his spine). The inventor Alexander Graham Bell developed a metal detector in an attempt to locate the bullet, but apparently he was unsuccessful because of interference from the metal bed frame on which the president lay. Garfield died two months after being shot."
