Part of P.D.A.: Abbr..   		4 letters,ASST.    	Personal Digital Assistant (PDA)
Big roll?.   		3 letters,"SIX.    	The numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. There are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
His wife could eat no lean.   		4 letters,AMEX.    	Amex is short for American Express. There are more transactions conducted in the US (in dollar terms) using the Amex card than any other.
"""Few love it unless in themselves,"" per Lord Chesterfield.   		3 letters","WIT.    	Philip Stanhope, 4th Earl of Chesterfield was an English statesman and man of wit. He is often quoted, with a few examples being:"
Mideast chiefs.   		5 letters,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, emir can also be written as emeer, amir and ameer (watch out for those spellings in crosswords!)."
"Fifth-century pope called ""the Great"".   		6 letters",ST LEO.    	The first pope named Leo is now known as Pope Saint Leo the Great. Leo I is famous for meeting with the feared Attila the Hun and persuading him to turn back his invading force that was threatening to overrun Western Europe.
Stinky Le Pew.   		4 letters,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
"Hebrew for ""good"".   		3 letters","TOV.    	'Tov' is the Hebrew word for 'good', as in 'mozel tov', meaning 'good luck'."
Mich./Minn.   		3 letters,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary Father Jacques Marquette recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' ... 'oui'. In the early 1800s this was anglicized to 'Wisconsin'."
"""Luncheon of the Boating Party"" painter.   		6 letters","RENOIR.    	Pierre-Auguste Renoir was a French painter, very much at the forefront of the Impressionist movement. Renoir was a prolific artist, with several thousand works attributed to him. The largest collection of Renoirs is actually in the United States. You can see 181 of his paintings at the Barnes Foundation just outside Philadelphia."
Spain's longest river.   		4 letters,"EBRO.    	The Ebro is the longest, and also the most voluminous river in Spain."
Lee and Laurel.   		5 letters,"STANS.    	Stan Lee did just about everything at 'Marvel Comics' over the years, from writing to being president and chairman of the board."
Word often written in red.   		4 letters,DELE.    	Dele is the editorial instruction to delete something from a document.
Wild mountain goat.   		4 letters,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
Noisy counters.   		5 letters,"ABACI.    	The abacus was used as a counting frame long before man had invented a numerical numbering system. It is a remarkable invention, particularly when one notes that it is still widely used today across Africa and Asia."
His name was lengthened by God at age 99.   		5 letters,"ABRAM.    	According to the Book of Genesis, God said to Abram:"
Part of GPS: Abbr..   		4 letters,"SYST.    	GPS stands for Global Positioning System. The US military have been working on the satellite technology used in GPS since the days of the first Russian satellite in space, Sputnik. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS available to the public for the common good. He was moved to do this after the Soviet Union shot down KAL flight 007 carrying 269 people, when it accidentally strayed into Soviet airspace."
Doorframe part.   		4 letters,"JAMB.    	A door jamb is the vertical portion of a door frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
Deck (out).   		3 letters,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"", the garment worn in Ancient Rome. ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
"""The Pearl Fishers"" soprano.   		5 letters","LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era."
Rodeo rope.   		5 letters,"REATA.    	'Reata' is the Spanish word for 'lasso'. We tend to use the spelling 'riata' in English, but sometimes can use the original Spanish word."
Greek peak.   		4 letters,"OSSA.    	Mt. Ossa in Greece is located between Mt. Pelion in the south, and the famed Mt. Olympus in the north. Mount Ossa is also known as Kissavos."
Name on 1952 campaign buttons.   		5 letters,"ADLAI.    	Adlai Stevenson ran unsuccessfully against Eisenhower in 1952. Some years later he served under President Kennedy as Ambassador to the United Nations. He was always noted for his eloquence, and had a famous exchange in a Security Council meeting during the Cuban missile crisis. ""I am prepared to wait for my answer until Hell freezes over!"""
Monopoly expense.   		4 letters,"RENT.    	The commercial game of Monopoly is supposedly a remake of 'The Landlord's Game' created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
Chicken ___.   		4 letters,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
T*T.   		5 letters,"NITRO.    	Trinitrotoluene (TNT) was first produced in 1863 by the German chemist Joseph Wilbrand, who developed it for use as a yellow dye. TNT is relatively difficult to detonate so it was on the market as a dye for some years before its more explosive properties were discovered."
Symbol of England.   		4 letters,"LION.    	Apparently the lion became associated with English royal family when Eleanor of Aquitaine married Henry II. The lion appears on the coat of arms of the Eleanor's family, the Duchy of Aquitaine. The lion most famously came to the fore with Richard I, also known as Richard the Lionheart. Richard was Henry and Eleanor's son."
"Greene who wrote ""Summer of My German Soldier"".   		5 letters","BETTE.    	Bette Greene is an American author, a writer of books for children and young adults. ""Summer of My German Soldier"" was published in 1973, and is a novel based on her own life growing up as a Jewish girl in the South during WWII. The German soldier in the title is an escaped POW that she befriends and protects."
Triatomic oxygen molecule.   		5 letters,"OZONE.    	Ozone gets its name from the Greek word ozein, meaning ""to smell"". It was given this name as ozone's formation during lightning storms was detected by the gas's distinctive smell. Famously, there is a relatively high concentration of the gas in the 'ozone layer' in the Earth's stratosphere. This ozone layer provides a vital function for animal life on the planet as it absorbs most of the sun's UV radiation."
"Sports Illustrated's 2015 Sportsperson of the Year, to fans.   		6 letters",SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
Onetime big name in daytime talk.   		5 letters,ROSIE.    	We don't get to see Rosie O'Donnell on the screen very much these days. She had a very successful chat show that ran from 1996 to 2002. My favorite performance of hers on the big screen is in a supporting role to Meg Ryan in the 1993 movie 'Sleepless in Seattle'.
"Ed Wood player in ""Ed Wood"".   		4 letters","DEPP.    	Johnny Depp had his big break as an actor on television, in the eighties television show '21 Jump Street'. Depp's first film success came when he played the title role in 1990's 'Edward Scissorhands'. He has twice been named Sexiest Man Alive by 'People' magazine."
Great Plains Indian.   		7 letters,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
Verizon subsidiary.   		3 letters,"MCI.    	MCI was a giant telecom company that suffered a similar fate to Enron, and around about the same time. MCI's stock price fell in 2000 and in maneuvers designed to protect the price, the company committed illegal acts. The larger-than-life CEO back then, Bernie Ebbers, is now serving a 25-year sentence in Louisiana."
Freud contemporary Alfred.   		5 letters,"ADLER.    	Alfred Adler was one of the group of medical professionals that founded the psychoanalytic movement. Today Adler is less famous than his colleague, Sigmund Freud."
___ bene.   		4 letters,"NOTA.    	'Nota bene' is the Latin for ""note well"""
Fate.   		5 letters,"KARMA.    	Karma is religious concept with its basis in Indian faiths. Karma embraces the concept of cause and effect. Good deeds have good consequences at some later point in one's life, or future life, or afterlife, and vice versa."
Spanish irregular verb.   		3 letters,"SER.    	There are two verbs in Spanish that translate into English as 'to be': 'ser' and 'estar'. I'm not a Spanish speaker, and couldn't explain the difference until a kind blog reader from Texas contacted me. ""Ser"" is used for ""to be"" when describing permanent status, as in ""I am Irish"". ""Estar"" is used for temporary status, as in ""I am thirsty"". I wonder which form of the verb I should use for ""I am overweight"" ...?"
Social level.   		5 letters,"CASTE.    	Many creatures organize themselves into a social structure, a phenomenon known as ""eusociality"". Examples of such creatures would be ants, bees and wasps, where there are queens, workers and soldiers. The groups within such a hierarchical structure are known as castes. The word ""caste"" was borrowed from the class divisions in Indian society (although the word ""caste"" and hierarchical concept was actually introduced by the Portuguese)."
N.   		3 letters,"ALG.    	Algeria is a huge country, the second largest in Africa (only Sudan is larger), and the largest country on the Mediterranean. The capital of Algeria is Algiers, and the country takes its name from the city."
"They're longer than singles, briefly.   		3 letters","EPS.    	An extended play record (EP) contains more music than a single, but less than an LP."
Bermuda hrs.   		3 letters,"AST.    	Atlantic Standard Time is four hours behind Greenwich Mean Time, and one hour ahead of Eastern Standard Time. It makes sense that Bermuda should fall in the Atlantic Standard Time Zone, as Bermuda lies just over 600 miles east of North Carolina. I've visited it, and it is a lovely spot. Bermuda is the oldest remaining overseas territory that Britain has left, and it is the most populous."
Gold units: Abbr..   		3 letters,"KTS.    	A karat (also 'carat', the spelling outside of North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold. "
Capital in 2004-05's Orange Revolution.   		4 letters,"KIEV.    	The Orange Revolution of 2004/2005 was a series of protests that followed a supposedly corrupt election in Ukraine. Largely as a result of the civil upheaval there was a revote, which international observers deemed to be fair. The result remained unchanged, with Viktor Yushchenko being elected Ukrainian president for another term."
"Bonnie who sang ""Nick of Time"".   		5 letters","RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
"""Baa, Baa, Black Sheep"" figure.   		4 letters","DAME.    	The old English nursery rhyme 'Baa, Baa, Black Sheep' is usually sung as:"
Flamenco cheers.   		4 letters,"OLES.    	Flamenco is a style of Spanish music and dance. The origin of the word ""flamenco"" isn't clearly understood, but the explanation that seems most credible to me is that it comes from Flanders in Northern Europe. Given that ""flamenco"" is the Spanish word for ""Flemish"" and Flanders is home to the Flemish people it makes perfect sense, doesn't it?"
Title brat of kid-lit.   		6 letters,"ELOISE.    	Kay Thompson wrote the ""Eloise"" series of children's books. Kay Thompson actually lived at the Plaza Hotel in New York, the setting she would choose for her ""Eloise"" stories. Eloise started out as a hit song for Thompson, a success that she parlayed into the book franchise."
"Davis of ""I'm Not Rappaport"".   		5 letters","OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist."
Latin land.   		5 letters,"TERRA.    	'Terra' is the Latin for 'land, ground'."
Winter hazard on the autobahn.   		3 letters,EIS.    	'Eis' is the German word for 'ice'.
French city once held by William the Conqueror.   		4 letters,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
Pasta often baked with tomato sauce.   		4 letters,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, ziti is a particularly large and long tube with square-cut ends."
Pre-A.D.   		3 letters,BCE.    	BCE can stand for:
Cartesian conclusion.   		4 letters,"I AM.    	Anything pertaining the philosophy of the great Rene Descartes can be given the adjective ""Cartesian"". He made the famous statement, in Latin, ""Cogito ergo sum"" ... ""I think, therefore I am""."
Apple products since 2001.   		5 letters,"IPODS.    	The iPod is Apple's signature line of portable media players. The iPod first hit the market in 2001 with a hard drive-based device, now known as the iPod Classic. Later models all use flash memory, allowing a smaller form factor. The smallest of the flash-based models is the iPod Shuffle, which was introduced in 2005."
All-American Soap Box Derby city.   		5 letters,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name ""Akron"" comes from the Greek word meaning ""summit"". Indeed, Akron is the county seat of Summit County."
Candidate of 1992 and 1996.   		5 letters,"PEROT.    	Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Back in 1992, Perot ran as an independent candidate for US president. He founded the Reform Party in 1995, and ran as the Reform Party candidate for president in 1996."
Hall-of-Fame outfielder Roush.   		3 letters,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
Ballet and others.   		4 letters,ARTS.    	The term 'ballet' came into English via French from the Latin 'ballare' meaning 'to dance'.
Cholesterol abbr.   		3 letters,"HDL.    	HDL (high-density lipoprotein) is a compound that is used to transport fats around the body. When HDL is combined with (is transporting) cholesterol, it is often called ""good cholesterol"". This is because HDL seems to remove cholesterol from where it should not be, say on the wall of arteries, and transports it to the liver for re-use or disposal. Important stuff ..."
Wassail.   		5 letters,"CAROL.    	'Wassail' is ale or mulled wine used for toasting at festivals, especially Christmas. The term 'wassail' comes from Old Norse 'ves heill' meaning 'be healthy'. The term can also be used to describe a Christmas carol that is sung while 'wassailing', drinking wassail during the December festival."
Also-ran of 1992 and 1996.   		5 letters,"PEROT.    	Henry Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Ross Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Perot ran as an independent candidate in the US Presidential elections of 1992 and 1996."
OPEC dignitaries.   		5 letters,"EMIRS.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But we all probably knew that already ..."
___ splints (jogger's woe).   		4 letters,SHIN.    	Pain along the inner edge of the tibia (shinbone) is referred to as 'shin splints'. It is a common injury incurred by runners.
News agency for a 57-Down.   		4 letters,"TASS.    	(57D. Kazakhstan, once: Abbr. : SSR)"
Sporty auto options.   		6 letters,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
Grand ___ National Park.   		5 letters,"TETON.    	Grand Teton National Park is located just south of Yellowstone NP, and a must-see if you are visiting the latter. The park is named after the tallest peak in the magnificent Teton Range known as Grand Teton. The origins of the name ""Teton"" is not very clear, although my favorite story is that it was named by French trappers, as the word ""tetons"" in French means ""breasts""!"
Snack with a chewy center.   		6 letters,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called ""Tramping and Trailing with the Girl Scouts"". Girl Scouts always did corner the market on cookies and the like!"
2008 Libertarian presidential candidate.   		4 letters,"BARR.    	Before Bob Barr joined the Libertarian party, he served as one of Georgia's Republican Representatives in the US House. Barr came to prominence during the Clinton administration when he was one of the leaders of the movement to impeach the President, and the first representative to call for the President's resignation after the Monica Lewinsky scandal broke."
"""The Naked Maja"" or ""The Clothed Maja"".   		4 letters","GOYA.    	Francisco Goya was a Spanish painter, often called the last of the Old Masters and the first of the moderns. Two of Goya's most famous works are ""The Nude Maja"" and ""The Clothed Maja""."
Some 'Vette roofs.   		6 letters,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
Beijing's river basin.   		3 letters,"HAI.    	The Hai River that flows through Beijing is known in Chinese as the 'Hai He', literally 'Sea River'."
"""Educating Rita"" star.   		5 letters","CAINE.    	""Educating Rita"" is a stage play by the great Willy Russel. It opened in 1980, starring Julie Walters as the female lead. Three years later, the play was made into a film of the same name, again starring Julie Walters, playing a working class young lady trying to better herself by studying literature. Michael Caine plays the male lead in the film, the professor. The film and play is set in Liverpool in England, but was actually shot in the famous Trinity College, in Dublin, with some scenes shot on the campus of University College Dublin, my old school. In fact, a friend of mine made some extra cash for herself as an extra. See if you can spot her in the movie, riding her bicycle ..."
2022 World Cup city.   		4 letters,"DOHA.    	Doha is the capital city of the state of Qatar located on the Persian Gulf. The name ""Doha"" translates from Arabic as ""the big tree""."
Bank window letters.   		4 letters,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
Mount of Greek myth.   		4 letters,"OSSA.    	Mount Ossa in Greece is located between Mt. Pelion in the south, and the famed Mt. Olympus in the north. Mount Ossa is also known as Kissavos."
Alternative to Mega Millions.   		5 letters,"LOTTO.    	Originally ""Lotto"" was a type of card game, with ""lotto"" being the Italian for ""a lot"". We've used ""lotto"" to mean a gambling game since the late 1700s."
"Name attached to some 1836 ""Sketches"".   		3 letters","BOZ.    	Charles Dickens used the pen-name Boz early in his career. He had already established himself as the most famous novelist of the Victorian Era when he came to visit America in 1842. He was honored by 3,000 of New York's elite at a ""Boz Ball"" in the Park Theater."
"Stridex target, informally.   		3 letters","ZIT.    	The slang term 'zit', meaning ""pimple"", came into the language in 1966, but no one seems to know its exact derivation."
Cut.   		4 letters,"DELE.    	Dele is the editorial instruction to delete something from a document, and is often written in red."
Filth.   		4 letters,"SMUT.    	'Smut' means 'dirt, smudge' and more recently 'pornographic material'. The term comes from the Yiddish 'schmutz', which is a slang word used in English for dirt, as in 'dirt on one's face'."
40 winks.   		3 letters,"NAP.    	Back in the early 1800s, folks took 'nine winks' when getting a few minutes of sleep during the day. Dr. William Kitchiner extended this concept in his 1821 self-help book 'The Art of Invigorating and Prolonging Life'. He suggested 'A Forty Winks Nap', which we seem to have been taking ever since. Mind you, I'm up to about eighty winks most days ..."
G.I.   		3 letters,PFC.    	Private First Class (PFC).
Old Italian dough.   		5 letters,"LIRAS.    	The word ""lira"" is used in a number of countries for currency. ""Lira"" comes from the Latin for ""pound"" and is derived from a British pound sterling, the value of a Troy pound of silver. For example, the lira (plural 'lire') was the official currency of Italy before the country changed over to the euro."
Court proceedings.   		4 letters,"ACTA.    	Actum (plural ""acta"") is the Latin word for ""deed"". ""Acta"" is used in English to describe many official records, including minutes, proceedings etc."
"In verse, ""His cheeks were like roses, his nose like a cherry!"".   		5 letters","SANTA.    	'His cheeks were like roses, his nose like a cherry!"" is a line from 'A Visit from St. Nicholas'."
Carne ___ (burrito filler).   		5 letters,"ASADA.    	The name of the dish called 'Carne Asada' translates from Spanish as ""roasted meat""."
Jackson or Winslet.   		4 letters,"KATE.    	Kate Jackson is known for playing one of the original ""Charlie's Angels"", Sabrina Duncan (she was always my favorite Angel!). The shooting schedule for the show prevented her from taking other roles, including one that was taken instead by Meryl Streep, the title role in ""Kramer vs Kramer"" released in 1979."
"Set of seven countries, informally.   		5 letters","STANS.    	The suffix '-stan' in many place names is Persian for 'place of'. One example is 'Pakistan', the Place of the Pure. 'Pakistan' is a relatively recent name, first coined in 1933. It comes from the abbreviation PAKSTAN, standing for Punjab - Afghan Province - Kashmir - Sindh - BaluchisTAN, all regions in the north of India. The 'I' was added to Pakistan to make it easier to pronounce, and to fit the translation 'Land of the Pure'."
Statue in the Parthenon.   		6 letters,"ATHENA.    	The Athena Parthenos ('Athena the Virgin' in English) was a massive statue of the goddess Athena made from gold, silver and ivory, which stood in the Parthenon in Athens. It was created by the sculptor Phidias around 447 BC. About 150 years later, the gold was stripped from the statue to pay troops. It was finally removed by the Romans in the 5th century AD. There is a replica of Athena in the city of Nashville, Tennessee that stands over 40 feet tall."
Draft org.   		3 letters,"SSS.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System (SSS). In the event that a draft is held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objectors available for noncombatant service), 4-A (registrants who have completed military service) and 4-D (ministers of religion)."
Friends of Florence.   		5 letters,"AMICI.    	Amici is the Italian word for ""friends"" (singular ""amico"")."
N.   		3 letters,"ALG.    	Algeria is a huge country, the second largest in Africa (only Sudan is larger), and the largest country on the Mediterranean. The capital of Algeria is Algiers, and the country takes its name from the city."
Doorframe's vertical part.   		4 letters,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
Location of the Labyrinth of Minos.   		5 letters,"CRETE.    	Minos was the King of Crete in Greek mythology, and the son of Zeus and Europa. Minos had an elaborate labyrinth built under the island, designed by the architect Daedalus and his son Icarus (who famously died trying to escape from the island by ""flying"" away). In the labyrinth, King Minos kept the Minotaur, a dreadful creature with the head of a bull on the body of a man."
Air when it's cold outside?.   		5 letters,"CAROL.    	The word 'carol' came into English via the Old French word 'carole', which was a 'dance in a ring'. When 'carol' made it into English, about 1300 AD, the term was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
It was a dark period for Poe.   		4 letters,"E'EN.    	Using poetic terminology, morn's (morning's) counterpart is e'en (evening)."
Rap's ___ Wayne.   		3 letters,"LIL.    	Rapper Lil Wayne's real name is ... Dwayne Carter, Jr."
Actor Davis.   		5 letters,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
Macho guy.   		4 letters,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"", which described a whole herd of horses."
Slowly.   		5 letters,LENTO.    	A lento passage is a piece of music that has a slow tempo.
