Reggae/dancehall artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
Drink often served chilled.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" (as in 'eggnog') comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
Rice or Curry.   		3 letters,"TIM.    	Tim Rice is most famous as a lyricist, with his most celebrated collaborations being with Andrew Lloyd Webber. Lloyd Webber and Rice together wrote the hit musicals 'Joseph and the Amazing Technicolor Dreamcoat', 'Jesus Christ Superstar' and 'Evita'."
Tara's owner.   		6 letters,"O'HARA.    	Rhett Butler hung out with Scarlett O'Hara at the Tara plantation in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
Oslo Accords grp.   		3 letters,"PLO.    	The Oslo Accords grew out of secret negotiations between the Palestinian Liberation Organization (PLO) and Israel in a residence in Oslo in the early nineties. The delegates shared the same house while they conducted 14 meetings. While eating all their meals together at the same table, the negotiators came to respect one another and apparently friendships developed."
Pago Pago's locale.   		5 letters,"SAMOA.    	Pago Pago is the capital of American Samoa in the South Pacific. The island was used by the US Navy during WWII and it managed to escape most of the conflict. The only military incident of consequence was the shelling of the city's harbor by a Japanese submarine. A more devastating event was the tsunami that hit Pago Pago and surrounding areas in 2009, causing widespread damage and numerous deaths."
"Fashion designer Knowles, mother of Beyoncé.   		4 letters","TINA.    	Beyoncé Knowles established herself in the entertainment industry as the lead singer with the R&B group Destiny's Child. She launched her solo singing career in 2003, two years after making her first appearance as an actor. In 2006 she played the lead in the very successful movie adaptation of the Broadway musical ""Dreamgirls"". Beyoncé is married to rap star Jay-Z."
Glad-handing sort.   		3 letters,POL.    	Politician (pol)
Home to L.A.   		3 letters,CAL.    	California (Cal.) is home to Los Angeles (L.A.) and San Francisco (S.F.).
Ciudad del ___ (second-largest city in Paraguay).   		4 letters,"ESTE.    	Ciudad del Este is the second largest city in Paraguay (after the capital, Asunción). As the name suggests (""City of the East"" in Spanish), Ciudad del Este is on the Eastern border of the country. It is connected to the city of Foz do Iguaçu in Brazil by what is called the Friendship Bridge over the Paraná River. The bridge is extremely busy, as the majority of Paraguay's imports and exports pass over it."
"Air traffic watchdog, for short.   		3 letters","FAA.    	The Federal Aviation Administration (FAA) was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
"""Fear of Fifty"" writer Jong.   		5 letters","ERICA.    	The author Erica Jong's most famous work is her first, 'Fear of Flying', a novel published in 1973. Over twenty years later she wrote 'Fear of Fifty: a midlife memoir', published in 1994."
"Satyajit Ray's ""The ___ Trilogy"".   		3 letters","APU.    	Satyajit Ray was a Bengali filmmaker, famous for directing ""The Apu Trilogy"". These were three Bengali films that were released between 1955 and 1959. They featured music composed by Ravi Shankar, and are considered to be some of the greatest movies of all times by international critics, yet they were filmed on tiny budgets."
1959 Kingston Trio hit.   		3 letters,"MTA.    	""M.T.A."" was a 1958 hit for the Kingston Trio. The song tells of a man called Charlie who is stuck on board an MTA subway car in Boston. His problem is that ""exit fares"" had been introduced on the system to supplement ""entrance fares"" (true story!), and the man didn't have the extra nickel needed to get off the train. The Massachusetts Bay Transportation Authority (MTBA) started issuing smart cards for use as tickets in 2006, called them 'Charlie Cards' in honor of 'Charlie on the MTA'."
Antioxidant-rich berry.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
"Dudley's love, in cartoons.   		4 letters","NELL.    	Dudley Do-Right appeared on the Rocky and Bullwinkle Show, a cartoon that appeared on television in a couple of different versions from 1959-1964. Dudley was a bungling Mountie who struggled with his nemesis, the evil Snidely Whiplash, Dudley also spent a lot of time wooing Nell Fenwick (who always seemed to prefer Dudley's horse!)."
"""___ Man,"" Emilio Estevez film.   		4 letters","REPO.    	'Repo Man' is a 1984 sci-fi comedy film starring Emilio Estevez and Harry Dean Stanton. I tried watching this film, but had to give up. That said, 'Repo Man' is considered a great film by those in the know ..."
"Bert of ""The Wizard of Oz"".   		4 letters","LAHR.    	Bert Lahr's most famous role was the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Lahr also starred in the first US production of Samuel Beckett's play 'Waiting for Godot', alongside Tom Ewell."
Comic actress Catherine.   		6 letters,"O'HARA.    	Catherine O'Hara is an actress and comedienne from Toronto, Ontario. One of O'Hara's more famous film roles is the mother in the Christmas classic 'Home Alone'."
B&O and others.   		3 letters,RRS.    	The Baltimore and Ohio Railroad (B&O) was one of the oldest in the country. Construction started on the railroad in 1828 in order to offer a method of transportation inland from Baltimore. This was deemed necessary as the port city was losing business to New York City after the completion of the Erie Canal (which cheaply and efficiently moved goods inland).
Pueblo cooker.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
"Toward the Atlantic, in Mexico.   		4 letters",ESTE.    	'Este' is the Spanish word for 'east'.
Kind of milk.   		3 letters,"OAT.    	Oat milk is one of the alternatives to cow's milk, and is lactose free."
Family name in the Old West.   		4 letters,"EARP.    	The famous Earp brothers of the Wild West were Wyatt, Virgil and Morgan. All three brothers participated in what has to be the most celebrated gunfight in the history of the Old West, the Gunfight at the O.K. Corral in Tombstone, Arizona. Strangely enough, the fight didn't happen at the O.K. Corral, but took place six doors down the street in a vacant lot next to a photography studio."
You get one for a sac fly.   		3 letters,RBI.    	Run batted in (RBI)
"With 4-Down, MgSO4.7H2O.   		5 letters",EPSOM.    	(4. See 87-Down : SALTS)
Slush for eds.   		3 letters,MSS.    	An editor (ed.) has to wade his or her way through a manuscript (MS) that has been submitted.
Community leader?.   		3 letters,CEE.    	The leading letter in the word 'community' is the letter C (cee).
Baseball's Ripken.   		3 letters,"CAL.    	Cal Ripken played his entire, 20-year professional baseball career for the Baltimore Orioles. Ripken was known as the ""Iron Man"" because he showed up for work every day, come rain or shine. He played 2,632 straight games, blowing past the previous 2,130-game record held by Lou Gehrig."
Poet exiled by Augustus.   		4 letters,"OVID.    	It's not really clear why Ovid was exiled, but it happened at a time when Augustus was actively promoting monogamy, while Ovid was writing poetry that openly discussed adultery."
"El océano, por ejemplo.   		4 letters","AGUA.    	In Spanish, the ocean (El océano), for example (por ejemplo), is water (agua)."
Soupçon.   		3 letters,"TAD.    	Soupçon translates literally from French into English as ""suspicion"", and can be used in the sense that a ""suspicion"" of something is a just a hint, a crumb."
Young's partner in accounting.   		5 letters,"ERNST.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
Chemistry suffix.   		4 letters,"-ENE.    	An alkene is an organic compound made up of carbon and hydrogen atoms. It differs from an alkane in that it has at least one C=C double bond. The simplest alkene is the gas ethylene, a major raw material used in the manufacture of plastics (like polyethylene)."
Where lavalava skirts are worn.   		5 letters,"SAMOA.    	A lava-lava is a skirt worn by both men and women in many of the Polynesian Islands, with the term 'lava-lava' being a Samoan word."
Some Monopoly properties: Abbr..   		3 letters,"RRS.    	The property names in the US version of Monopoly are locations in or around Atlantic City, New Jersey. Two of the four railroad properties on the board actually served Atlantic City, and two did not. The B&O Railroad never served Atlantic City, and the Short Line Railroad is a fictional facility."
Villa d'___.   		4 letters,"ESTE.    	The Villa d'Este is a beautiful villa close to Tivoli near Rome, Italy."
"Fey of ""30 Rock"".   		4 letters","TINA.    	I was shocked to read that Tina Fey has a scar on her face, a few inches long on her left cheek, the result of a childhood ""slashing"" incident. When she was just five years old, playing in the front yard of her house, someone just came up to her and slashed her with a knife. How despicable!"
Mahmoud Abbas's grp.   		3 letters,"PLO.    	Mahmoud Abbas took over as Chairman of the Palestine Liberation Organization (PLO) in 2004 after the death of Yasser Arafat. Abbas is also the President of the Palestinian National Authority, equivalent to ""head of state""."
Old Olds.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
"2008 greatest hits album that includes the song ""Proud Mary"".   		4 letters","TINA.    	Tina Turner is actually a stage name, used by Anna Mae Bullock, the ""Queen of Rock 'n' Roll. Turner has always loved Europe, and moved there in the eighties. She now splits her time between her homes in England, France and Switzerland."
Ballpark fig.   		3 letters,RBI.    	Run batted in (RBI)
Old Mideast inits.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Spirit in a sling.   		3 letters,"GIN.    	A sling is a cocktail made of brandy, whiskey or gin, sweetened and flavored with lemon. The most famous version of the sling is the Singapore Sling, invented by a bartender at the Raffles Hotel in Singapore. I am proud to report that I once had a Singapore Sling in Raffles Hotel, many moons ago ..."
Common feature in Roman statuary.   		4 letters,"TOGA.    	In Ancient Rome the classical attire known as a toga (plural 'togae') was usually worn over a tunic. The tunic was made from linen, and the toga itself was a piece of cloth about twenty feet long made from wool. The toga could only be worn by men, and only if those men were Roman citizens. The female equivalent of the toga was called a ""stola""."
Salinger heroine.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Last new Olds.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
Pasta eaten with a spoon.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
Mideast grp.   		3 letters,"PLO.    	The Palestine Liberation Organization was founded in 1964. Its early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923."
Actress Jessica.   		4 letters,"ALBA.    	Actress Jessica Alba got her big break when she was cast in the Fox science fiction show 'Dark Angel'. Alba had a tough life growing up as she spent a lot of time in hospital and so found it difficult to develop friendships. As a youngster she twice had a collapsed lung, frequently caught pneumonia, suffered from asthma, had a ruptured appendix and a tonsillar cyst. On top of all that she acknowledges that she suffered from obsessive-compulsive disorder as a child. It seems that she has really turned her life around ..."
___-de-Marne (French department).   		3 letters,VAL.    	Val-de-Marne is department of France located southeast of Paris that takes its name from the Marne river.
"""The House of the Seven Gables"" locale.   		5 letters","SALEM.    	I had the pleasure of visiting the charming House of Seven Gables not so long ago in Salem, Massachusetts. The core of the house was built in 1668, for one Captain John Turner, and overlooks Salem Harbor. After a couple of generations, the house had to be sold by the Turners and it was purchased by the Ingersoll family. The author Nathaniel Hawthorne was a relative of the Ingersolls and often visited the house growing up. It was of course this house that gave Hawthorn the title for his famous Gothic novel 'The House of the Seven Gables'."
Starting or ending point for a commuter: Abbr..   		3 letters,STA.    	Station (sta.)
Houston baseballer.   		5 letters,ASTRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
Monopoly quartet: Abbr..   		3 letters,RRS.    	The four railroad properties in the Monopoly board game are:
Long intro?.   		3 letters,"ERE.    	Erelong ... before long, soon."
Fictional braggart.   		4 letters,"HARE.    	""The Tortoise and the Hare"" is perhaps the most famous fable attributed to Aesop. The cocky hare takes a nap during a race against the tortoise, and the tortoise sneaks past the finish line for the win while his speedier friend is sleeping."
___ 51 (conspiracy theory subject).   		4 letters,"AREA.    	The famed Area 51 is a remote base in the USAF Nevada Test and Training Range. There's no question that Area 51 is an unusual base in that frontline operational units are not deployed there. It seems that it is used for developing and testing new and classified weapons facilities for the US Military and other US agencies like the CIA. The government did not even acknowledge that Area 51 existed until 1995, and this official position fuelled a theory that the base is home to UFOs that landed on Earth."
Shellac finish?.   		3 letters,CEE.    	The word 'shellac' finishes with the letter C (cee).
Classic muscle car.   		3 letters,GTO.    	The acronym GTO stands for Gran Turismo Omologato.
Creamy concoction.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
Monk's title.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
Mama Judd.   		5 letters,NAOMI.    	The Judds were a country music singing duo made up of Naomi Judd and her daughter Wynonna.
Heel.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
"With 103-Down, ""Hurlyburly"" star.   		4 letters",SEAN.    	(103D. See 44-Down : PENN)
Head.   		3 letters,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
Lawman Wyatt.   		4 letters,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
Italian title.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
Kids' detective ___ the Great.   		4 letters,"NATE.    	The 'Nate the Great' series of children's novels was written (mainly) by Marjorie Sharmat. Nate is like a young Sherlock Holmes, with a dog for a sidekick called Sludge. Some of the books have been adapted for television."
Cousin of cumin and coriander.   		5 letters,"ANISE.    	Liquorice (also licorice) and aniseed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
Roman poet who wrote about 33-Across.   		4 letters,"OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets, namely Horace and Virgil."
Deep blue dye.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue. The main coloring agent in indigo dye is a crystalline powder called indigotin."
Animal with horns.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, an antelope that is native to Africa. Wildebeest is actually the Dutch word for 'wild beast'."
"The Rams, on scoreboards.   		3 letters","STL.    	The St. Louis Rams have only won the Super Bowl once, in 1999, against the Tennessee Titans. The Rams were based in Cleveland from 1936-45, Los Angeles from 1946-94 and St. Louis from 1995 to the present day."
Collagist Max.   		5 letters,"ERNST.    	Max Ernst was born near Cologne in Germany in 1891. He had to fight in WWI, as did most young men. In his autobiography he writes, ""Max Ernst died the 1st of August, 1914"" a statement about his experiences in the war. Actually, he lived to the ripe old age in 85, dying in 1976."
___ palm.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
Photographer Goldin.   		3 letters,"NAN.    	Nan Goldin is an American photographer who is based in New York, Berlin and Paris."
Old Mideast grp.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria formed in 1958. The UAR was dissolved in 1961 when Syria pulled out of the arrangement.
"Free TV spot, for short.   		3 letters",PSA.    	Public service announcement (PSA)
"""2 Broke Girls"" actress Dennings.   		3 letters","KAT.    	Kat Dennings is the stage name of actress Katherine Litwack, noted today for her co-starring role on CBS's sitcom '2 Broke Girls'. Dennings is an avid blogger, and you can check out her video blog on YouTube."
Gaza grp.   		3 letters,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO was granted observer status (i.e. no voting rights) at the United Nations in 1974."
Absinthe flavor.   		5 letters,"ANISE.    	Absinthe is an alcoholic spirit that is distilled from various plants and herbs, including 'wormwood'. Absinthe was banned in the US in 1915 as it was deemed to be an addictive psychoactive drug. However, the accepted opinion today seems to be that absinthe is no more addictive or dangerous than any other spirit."
"O'Brien who wrote ""The Things They Carried,"" 1990.   		3 letters",TIM.    	The Things They Carried' is a 1990 novel based on the experiences of author Tim O'Brien as a soldier during the Vietnam War.
Swift composition.   		5 letters,"ESSAY.    	Jonathan Swift was an Irish author and cleric. Swift is most famous perhaps for his 1726 novel ""Gulliver's Travels"", but we Irishmen also remember him also as the Dean of St. Patrick's Cathedral in Dublin. Swift was renowned for his wit and satire."
Only non-U.S.   		3 letters,"TOR.    	The Toronto Blue Jays baseball franchise was founded in 1977. The Blue Jays are the only team based outside the US to have won a World Series, doing so in 1992 and 1993. And since the Montreal Expos relocated to Washington, the Blue Jays are the only Major League Baseball team now headquartered outside of the US."
"""America's most innovative company"" prior to its bankruptcy in 2001.   		5 letters","ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
Classico competitor.   		4 letters,"RAGU.    	The Ragú brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the sauce on the supermarket shelf it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
New model of 1999.   		5 letters,"ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand, and was produced from 1999 to 2004."
Football's Roethlisberger.   		3 letters,BEN.    	Ben Roethlisberger plays quarterback for the Pittsburgh Steelers.
Iris holder.   		4 letters,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
Fr.   		3 letters,MME.    	Madame (Mme.)
"The Browns, on a ticker.   		3 letters","CLE.    	The Cleveland Browns football team was a charter member of the All-American Football Conference, formed in 1946. Cleveland is the only NFL city that has never hosted nor sent a team to the Super Bowl."
"""Money"" novelist, 1984.   		4 letters","AMIS.    	I suppose the successful English novelist Martin Amis must have writing in his blood. He is the son of the respected author Kingsley Amis, a Booker Prize winner."
Police dept.   		3 letters,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Edinburgh native.   		4 letters,"SCOT.    	Edinburgh is the capital of Scotland, a beautiful city. In days gone by it might not have been quite so beautiful though. Like many cities, plumes of smoke hung over Edinburgh when coal and wood fires weren't regulated. To this day, the city has the nickname ""Auld Reekie"", Scots for ""Old Smoky""."
