ACR_,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
IGO_,"IGOR.    	Igor Stravinsky's most famous works were completed relatively early in his career, and brought him into the limelight. The three ballets ""The Firebird"", ""Petrushka"" and ""The Rite of Spring"" were published in 1910-1913, when Stravinsky was in his early thirties."
TB_R,"T-BAR.    	A funicular is an inclined railway, with two trams attached by a cable with one descending the slope and acting as a counterweight for the other tram as it ascends."
_AS,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
S_M,"SAM.    	The Uncle Sam personification of the United States was first used during the War of 1812. The 'Uncle Sam' term was so widely accepted that even the Germans used it during WWII, choosing the code word ""Samland"" for ""America"" in intelligence communiques."
_MT,EMT.    	Emergency medical technician (EMT)
T_U,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
MI_,"MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
IT_,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
_SA,"USA.    	The USA led a group of 65 countries in boycotting the 1980 Summer Olympic Games held in Moscow. The boycott was at the insistence of President Jimmy Carter, a response to the Soviet War in Afghanistan. The Soviet Union eventually retaliated, by leading a group of nations in boycotting the next Summer Olympics, held in 1984 in Los Angeles."
ERS_,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
EM_,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
D_A,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
E_AT,"ERAT.    	""Sic"" indicates that a quotation is written as originally found, perhaps including a typo. ""Sic"" is Latin for ""thus, like this"". The term is more completely written as 'sic erat scriptum', which translates as 'thus was it written'."
_CI,ICI.    	Here (ici) one speaks French.
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
SL_,"SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
EU_O,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
A_R,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
HE_,HER.    	Her Royal Highness (HRH).
OL_O,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the name of the clay pot used when cooking the stew."
E_RO,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
_ON,"RON.    	Arrested Development' is a sitcom that originally aired on Fox from 2003 to 2006. Ron Howard was heavily involved in the show behind the camera, serving as executive producer and also as the show's narrator. Fifteen new episodes of 'Arrested Development' were filmed specifically for release on Netflix in 2013, and there may even be a movie on the way."
AP_,"APE.    	When RKO released the 1933 movie 'King Kong', the promotional material listed the ape's height as 50 feet. During filming, a bust was created for a 40-foot ape, as well as a full-size hand that went with a 70-foot Kong."
ETR_,"ETRE.    	Bordeaux is perhaps the wine producing capital of the world. Wine has been produced in the area since the eighth century. Bordeaux has an administrative history too. During WWII, the French government relocated from Paris to the port city of Bordeaux when it became clear that Paris was soon to fall to the Germans. After the German's took France, the capital was famously moved to Vichy."
NI_E,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
_CI,"ICI.    	""Ici"" is the French for ""here""."
KI_,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
ATRI_,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
A_RE,"ACRE.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
_IA,"TIA.    	In Spanish, a 'tia' (aunt) is a member of 'la familia' (the family)."
D_L,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_EO,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
_ERO,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
LA_,"LAO.    	The Mekong is the twelfth longest river in the world, at over 2,700 miles in length. It rises in the Tibetan Plateau and empties into the South China Sea at the famed Mekong delta system in Vietnam."
_RR,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
MB_,"MBA.    	President George Walker Bush attended Harvard Business School to earn his MBA, and is the only US president with an MBA."
_TRIA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
TA_,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
UTA_,"UTAH.    	Flaming Gorge in Utah was named in 1869 by explorer John Wesley Powell. He used the term 'Flaming' as the walls of the gorge are made from red sandstone. The Green River runs through Flaming Gorge, and was dammed up in 1964 to create the 91 mile long Flaming Gorge Reservoir."
A_NER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
IGO_,"IGOR.    	'Discworld' is a series of comic books written by Terry Pratchett. The title refers to world that is a flat disc that sits on the backs of four elephants, which in turn stand on the back of a giant turtle."
_TAH,UTAH.    	'The Book of Mormon' is a satirical musical by Trey Parker and Robert Lopez (of 'South Park' fame) and Matt Stone (of 'Avenue Q' and 'Frozen' fame). The show follows two missionaries from the Mormon Church seeking converts in a remote village in Uganda.
_PA,"CPA.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
SA_,"SAM.    	On the sitcom ""Cheers"", barman Sam Malone was played by Ted Danson. Malone was a retired relief pitcher for the Boston Red Sox, and a recovering alcoholic. Great show ..."
RE_,"REM.    	R.E.M. was a rock band from Athens, Georgia formed in 1980. The name 'R.E.M.' was chosen randomly from a dictionary, apparently."
EO_,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
UZ_,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
_ZI,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
H_R,"HER.    	HMS stands for His or Her Majesty's Ship and is a prefix used in the navies of some monarchies, most notably the UK's Royal Navy."
TM_,TMI.    	Too Much Information (TMI)!
EIR_,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
_AI,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
_ZI,"UZI.    	The first Uzi sub-machine gun was designed in the late 1940s by Major Uziel Gal, who gave his name to the gun."
TA_,TAI.    	Tai is the Japanese name for sea bream.
LS_T,"LSAT.    	Princeton doesn't have a law school, although once it did. It opened for business in 1847 and closed in 1852, with only seven students graduating with a law degree."
_ARA,"LARA.    	Lara Logan is a South African newswoman, and is currently the Chief Foreign Affairs Correspondent for CBS News. CBS placed Logan on a forced leave of absence at the end of 2013 for comments that she made about the US Government's culpability in the Benghazi attack and for inaccuracies in her reporting of the story."
EAR_,"EARL.    	In the ranking of nobles an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system, and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
LS_T,LSAT.    	The Law School Admission Test has been around since 1948.
E_AS,ETAS.    	Expected time of arrival (ETA)
R_O,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
MI_,MIA.    	M.I.A. is the stage name of British rap artist Maya Arulpragasam.
E_IOT,"ELIOT.    	""Silas Marner: The Weaver of Raveloe"" is a novel written by George Eliot and first published in 1861. There's an excellent BBC TV version of the tale (shown on PBS) starring Ben Kingsley in the title role with Patsy Kensit playing Eppie, the young orphaned child that Marner takes under his wing."
U_A,USA.    	The Miss USA beauty pageant was founded in 1952 in order to select the American candidate for the Miss Universe competition.
L_AT,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
NI_,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
_OE,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe Howard, Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and he stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry had a stroke in 1970, it effectively marked the end of the act."
_LR,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
AP_,APR.    	Annual percentage rate (APR)
O_EC,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But you probably knew that already ..."
E_RO,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of those 27 states. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
_DA,PDA.    	The PDA known as a BlackBerry was given its name because the keyboard on the original device resembled the surface on the fruit of a blackberry.
A_I,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
C_L,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
TA_,"TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
IT_,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
H_R,HER.    	His/her Royal Highness (HRH)
I_RE,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). It literally means ""in the matter"", and is used as ""in regard to"", or ""in the matter of""."
U_E,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
_TAH,"UTAH.    	In the 2012 US presidential election, the state that most leaned towards Republican candidate Mitt Romney was Utah, giving him 73% of the vote. The state that most leaned towards Democratic candidate Barack Obama was Hawaii, giving him 71% of the vote. Also, President Obama won 91% of the vote in the District of Columbia."
DE_,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
EUR_,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone."
SA_,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden. SAS is based at Stockholm Arlanda Airport located just north of the Swedish capital."
_AO,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
AR_,ARR.    	Arr: Arrival time.
_TRIA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
A_R,ARR.    	Arrival (arr.) times
YSE_,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
P_A,"PDA.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
REE_E,REESE.    	Reese is not actually Ms. Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
PD_,PDA.    	Personal digital assistant (PDA)
KI_,"KIA.    	The Kia Soul is a compact car produced in South Korea, although it was designed by Kia here in Irvine, California. Yep, the Kia Soul is made in Seoul ..."
TA_,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to 'jump' across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
E_RL,"EARL.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII and united the two Houses by marrying his cousin, Elizabeth of York. Henry had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. He ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue."
LSA_,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
