NAI_,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
SWA_,"SWAG.    	'Swag' is 'loot, stolen property', a term that started out as criminal slang in England in the 1830s. Swag is also the name given to the promotional freebies available at some events."
S_DERS,SEDERS.    	The Passover Seder is a ritual feast that marks the beginning of the Jewish passover holiday.
NATT_,NATTY.    	A natty dresser is one who dresses smartly and neatly.
CU_IE,"CURIE.    	Marie Curie lived a life of firsts. She was the first female professor at the University of Paris, the first woman to win a Nobel Prize, and indeed was the first person to win two Nobel prizes (in 1903 and 1911). Most of Curie's work was in the field of radioactivity, and was carried out in the days when the impact of excessive radiation on the human body was not understood. She died from aplastic anemia, caused by high exposure to radiation. To this day, Curie's personal papers are kept preserved in lead-lined boxes as they are highly radioactive, even her personal cookbook."
_NAVE,"KNAVE.    	We've been using 'knave' to mean a cad since about 1200, and as an alternative name for the jack in a deck of cards since the mid-1500s. 'Knave' comes from the Old English word 'cnafa', a 'boy, male servant'."
CO_LER,"COOLER.    	""Hoosegow"" (and ""the cooler"") is a slang term for ""jail"". It is a mispronunciation of the Mexican Spanish word ""juzgao"" meaning ""court"" or ""tribunal""."
E_PANOL,ESPANOL.    	Wikipedia is published in almost 300 different languages. Impressive ...
P_ES,"PRES.    	The President, the ultra, very, important person."
D_F,"DIF.    	What's the 'dif', what's the difference?"
_YPO,TYPO.    	Nice one ...
SP_NK,"SPUNK.    	We've been using the word 'spunk' to mean 'pluck, courage' since the late 1700s. Prior to that it was a Scottish word meaning 'spark', a word that we absorbed into English."
P_MAS,"PUMAS.    	Puma is a German company that sells athletic shoes worldwide, but is famous for soccer boots. Nike is the world's leading seller of athletic shoes, based in Beaverton, Oregon, just outside Portland."
ENZ_MES,"ENZYMES.    	Enzymes are basically catalysts, chemicals that act to increase the rate of a particular chemical reaction. So, for example, starches will break down in to sugars over time, especially under the right conditions. However, in the presence of the enzyme amylase (found in saliva, say) this production of sugar happens very, very quickly."
OLEANN_,"OLEANNA.    	I've never seen it, but ""Oleanna"" sounds like a powerful play to me. Written by David Mamet, it was first performed in 1992. It's a two-person piece, the tale of a university professor and a female student who accuses him of sexual exploitation. Mimet got many of the themes of the play from the Clarence Thomas confirmation hearings in which Anita Hill accused the future Supreme Court justice of sexual harassment."
TWI_,"TWIN.    	According to tradition, Rome was founded by the twin brothers Romulus and Remus. The pair had a heated argument about who should be allowed to name the city and Romulus hit Remus with a shovel, killing him. And so, 'Rome' was born, perhaps instead of ""Reme""!"
MA_JONGG,MAHJONGG.    	Mahjong (also mahjongg) is the Chinese word for sparrow.
L_FT,"LEFT.    	The concept of left-right politics started in France during the French Revolution. When members of France's National Assembly convened in 1789, supporters of the King sat to the President's right, and supporters of the revolution to the President's left. The political terms ""left"" and ""right"" were then coined in the local media and have been used ever since."
_TTU?,"ET TU?.    	It was Shakespeare who popularized the words ""Et tu, Brute?"" (And you, Brutus?), in his play ""Julius Caesar"", although the phrase had been around long before he penned his drama. It's not known what Julius Caesar actually said in real life just before he was assassinated on the steps of the Senate in Rome."
RE_ON,RECON.    	One intelligence mission is reconnoiter.
SNO_TY,"SNOOTY.    	""Snoot"" is a variant of ""snout"" and is a word that originated in Scotland. The idea is that someone who is 'snooty', or snouty, tends to look down his or her nose at the rest of the world."
E.C_LI,"E. COLI.    	Escherichia coli (E. coli) are usually harmless bacteria, found in the human gut, working away quite happily. However, there are some strains that can produce lethal toxins. These strains can make there way into the food chain from fecal matter that comes into contact with food designated for human consumption."
ME_S,"MEN'S.    	Men's Health' is most popular men's magazine sold in the US today. 'Men's Health' started out in 1987 focused on health, but has broadened and is now described as a lifestyle magazine."
_EASEL,WEASEL.    	To weasel out of something is to back away from a prior commitment. The association of 'weasels' with the concept of not being trusted might have arisen from the behavior in which a weasel sucks out the contents of an egg while leaving the shell virtually intact.
LU_E,LUPE.    	Lupe Fiasco is the stage name of rap artist Wasalu Muhammad Jaco. Jaco uses his real name when performing with rock band Japanese Cartoon.
MEG_,"MEGS.    	A megabyte varies in number depending on the context. A megabyte of computer memory is 1,048,576 bytes (1,024 x 1,024). A megabyte of computer storage (usually) is 1,000,000 bytes (1,000 x 1,000)."
_DREP,"AD REP.    	Madison Avenue became the center of advertising in the US in the twenties, and serves as the backdrop to the great TV drama 'Mad Men'. There aren't many advertising agencies left on Madison Avenue these days though, as most have moved to other parts of New York City."
FOND_,"FONDA.    	Actor Henry Fonda had already started his Hollywood career when along came WWII. Fonda enlisted in the Navy, and served for three years on the destroyer USS Satterlee. Then he served as a Lieutenant Junior Grade in Air Combat Intelligence in the Pacific, earning the Bronze Star."
C_OT,"CLOT.    	A blood clot is a very necessary response to an injury and is intended to prevent bleeding. Also called a 'thrombus', the clot comprises aggregated blood platelets trapped in a mesh made from fibrin, a fibrous protein. If a thrombus forms in a healthy blood vessel, restricting blood flow, that condition is known as thrombosis."
SE_IO,"SERIO-.    	Something described as ""seriocomic"" has both serious and comical elements, but generally the comic side predominates."
_ELUISE,"DELUISE.    	Dom DeLuise was of course a talented comic actor, bet he was also an avid cook. He wrote several books on cooking and appeared regularly on radio cooking shows. He also wrote a few children's books."
D_RE,"DARE.    	The first Bungee jump using the modern latex cord was from the Clifton Suspension Bridge in Bristol, England. It was an illegal jump, with all five jumpers getting arrested soon after ""hitting"" the ground."
I_ON,"IS ON.    	""The Heat is On"" is a great song, written especially for the soundtrack of the 1984 film ""Beverly Hills Cop"". I was recorded by Glenn Frey, one of the founding members of the Eagles."
LIS_ON,"LISBON.    	Vasco da Gama left on is first voyage of discovery in 1497, leaving Lisbon with four ships. He journied around the Cape of Good Hope, the southern most tip of Africa, and across the Indian Ocean making landfall in India. Landing in India, his fleet became the first expedition to sail directly from Europe to the sub-continent."
NOM_D,"NOMAD.    	Bedouin tribes are Arab ethnic groups that predominately live in the Middle East, in desert areas. Bedouin tribes tend to be nomadic, not settling permanently in one location."
RA_S,"RATS.    	The characters in the cartoon series ""Peanuts"" were largely drawn from Charles Schultz's own life, with shy and withdrawn Charlie Brown representing Schultz himself."
_CP,PCP.    	Phencyclidine is a recreational drug usually referred to on the street as PCP or 'angel dust'.
V_ODOO,VOODOO.    	Voodoo Economics was a derogatory term used to describe the economic policies of the Reagan administration. Four major decisions stood behind the policy:
EN_ASSE,"EN MASSE.    	""En masse"" is of course a French term best translated as, ""as a group""."
SEA_S,"SEARS.    	Richard Sears was a station agent on the railroad. In the late 1800s, he bought up a shipment of unwanted watches that was left at his depot and sold the watches to other agents up and down the line. He was so successful that he ordered more watches and then came up with the idea of using a catalog to promote more sales. The catalog idea caught on, and his success allowed Sears to open retail locations in 1925. By the mid 1900s, Sears was the biggest retailer in the whole country."
O_ED,ODED.    	Overdose (OD)
OOL_NG,"OOLONG.    	The name for the Chinese tea ""oolong"" translates into English as ""black dragon""."
_UDD,"BUDD.    	""Billy Budd"" is a novella by American author Herman Melville, although he didn't have time to finish it before he died in 1891."
C_W,"CAW.    	""Avis"" is the Latin word for a bird."
MAT_N,"MATIN.    	In France, après-midi (afternoon) follows matin (morning)."
ODOREAT_R,"ODOR EATER.    	Odor Eater insoles were first introduced in the early seventies, and are manufactured by Combe. Combe sponsors a national contest held every year in Montpelier, Vermont, called ""The Odor Eaters Rotten Sneakers Contest"". Very pleasant ..."
LOU_E,"LOUIE.    	Danny DeVito's big break as an actor came with the role of Louie De Palma on the sitcom 'Taxi'. After parlaying his success on television into some major comic roles on the big screen, DeVito turned to producing. He co-founded the production company Jersey Films which made hit movies such as 'Pulp Fiction' and 'Garden State'. DeVito has been married to actress Rhea Perlman for over 30 years, recently reconciling with her after an announcement that they planned to divorce."
NO_Y,"NOSY.    	A ""quidnunc"" is a nosy person. The term comes from the Latin ""quid nunc?"" which means ""what now?"""
PU_NTE,"PUENTE.    	After serving in the navy in WWII for three years, the musician Tito Puente studied at Juilliard, where he got a great grounding in conducting, orchestration and theory. Puente parlayed this education into a career in Latin Jazz and Mambo. He was known as 'El Rey' as well as 'The King of Latin Music'."
_ARDEN,"GARDEN.    	""The SECRET GARDEN""."
PHL_X,PHLOX.    	Phlox is a genus of 67 species of plants found mainly in North America. There is one species found in Siberia!
L_HI,LEHI.    	(61D. See 59-Down : UTAH)
TAHI_I,"TAHINI.    	""Tahini"" is the Arabic name for the paste made from ground sesame seeds. Tahini is a major ingredient in hummus, one of my favorite dishes."
A_UB,"A TUB.    	The nursery rhyme ""Rub-a-Dub-Dub"" dates back to at least 1798 when it was first published in London:"
PA_K,"PARK.    	Washington Square Park in New York City is largely surrounded by buildings belonging to New York University. The park's most prominent feature in the park is the magnificent Washington Square Arch, a triumphal marble arch erected in 1892 to celebrate the centennial of George Washington's inauguration as the nation's first president in 1789."
N_SH,"NOSH.    	Our word ""nosh"" has been around since the late fifties, when it was imported from the Yiddish word ""nashn"" meaning ""to nibble""."
RIT_AID,"RITE AID.    	What we know today as Rite Aid started out as one store in Scranton, Pennsylvania in 1962. Rite Aid is now the biggest chain of drugstores on the East Coast of the United States and has operations all over the country."
MO_,"MOW.    	On a golf course, one has to mow the grass quite often."
HU_,"HUT.    	The quarterback (QB) starts each play in football with a 'snap' (also called a 'hike'). He announces to his teammates the exact moment of the snap by calling out signals, usually including the word 'hut' one or more times in a prearranged sequence."
O_IC,"ODIC.    	A Horatian Ode is an ode with a specific structure, designed to resemble the odes of the Roman poet, Horace."
_TEN,"D-TEN.    	Battleship was a game that we used to play as kids using pencil and paper. The game had been around at least since WWI, and was eventually turned into a board game by Milton Bradley in 1967."
_EARLE,"SEARLE.    	NutraSweet is a brand name for the artificial sweetener aspartame. Aspartame was discovered by a chemist working for Searle in 1965, but it took 15 years for the company to be granted approval for its sale. I wonder why ...???"
_ATINO,"LATINO.    	The DREAM Act is proposed legislation that has been floating Washington around since 2001. The bill provides permanent residency to some immigrants who are deemed to be of good character and who have fulfilled certain conditions mainly related to education or to public service. The acronym DREAM stands for 'Development, Relief, and Education for Alien Minors'."
LAV_,"LAVE.    	""To lave"" is to ""to wash, bathe"", from the Latin ""lavare"" meaning ""to wash""."
KE_T,"KETT.    	'Etta Kett' was a comic strip that first ran in 1925. The strip ceased to be published in 1974, when creator Paul Robinson passed away. The initial intent was to offer tips to teenagers on manners and social graces, hence the name of the title character Etta Kett (sounds like 'etiquette')."
RAGLA_,"RAGLAN.    	Actually I think the Raglan title is Baron. The hereditary title was created in 1852 as a reward for Lord Fitzroy Somerset for his service commanding the British troops during the Crimean War. It's the raglan sleeve that gives the name to the raglan coat. A raglan sleeve extends right to the collar of the garment, a design used to fit the first Baron Raglan who had lost his arm at the Battle of Waterloo."
_ED,"WED.    	(63A. All but the outer columns, typically : WEEKDAYS)"
CHA_,"CHAO.    	When President George W. Bush appointed Elaine Chao as Secretary of Labor, he made a bit of history as Chao then became the first Chinese American in history to hold a cabinet post. It turned out that Chao became the only cabinet member to hold her post for President Bush's full eight years in office. In 1993, Chao married Mitch McConnell, the Republican Leader of the US Senate."
B_YS,"BOYS.    	The world-famous Eton College is just a brisk walk from Windsor Castle, which itself is just outside London. Eton is noted for producing many British leaders including UK prime minister David Cameron. The list of Old Etonians also includes Princes William and Harry, the Duke of Wellington, George Orwell, and the creator of James Bond, Ian Fleming (as well as 007 himself as described in the Fleming novels)."
DECA_S,"DECALS.    	A decal is a decorative sticker, short for 'decalcomania'. The term is derived from the French 'décalquer', the practice of tracing a pattern from paper onto glass or perhaps porcelain."
SE_HORA,SEPHORA.    	SEP-HORA
_ARA,"HARA.    	""Harakiri"" translates from Japanese into ""cutting the belly"", and is a form of ritual suicide. Harakiri is the term used in speech which is equivalent to ""seppuku"", the term used in writing for the same ritual suicide. The act is carried out by plunging a short blade into the belly and moving it from left to right, slicing through the organs within the abdomen."
EMO_I,"EMOJI.    	An emoji is a character found on many cell phones now that is much like an emoticon, but more elaborate."
N_UE,"NEUE.    	The Neue Zürcher Zeitung is one of the oldest newspapers that is still published, first appearing in 1780. The name translates to the ""New Zurich Newspaper""."
L_DES,"LADES.    	A stevedore, or longshoreman, is someone employed in the loading and unloading of ships at a port. The word ""stevedore"" comes from the Spanish ""estibador"", meaning ""one who loads cargo""."
ETHE_E,"ETHENE.    	Ethylene (also called ethene) has a gazillion uses, including as an anesthetic and an aid to hastening the ripening of fruit. It's most common use though is as a major raw material in the manufacture of plastics (like polyethylene)."
H_VE,"HIVE.    	Drone bees and ants are fertile males of the species, whose sole role in life seems to be to mate with a queen."
PAP_,"PAPP.    	Joseph Papp founded the Public Theater in 1967, when he got access to the decaying Astor Library Building on Lafayette Street in New York, for a rent of just one dollar a year from the City of New York. The theater's most successful original production was ""A Chorus Line"" which opened in 1975. When Papp died in 1991, the Public Theater was renamed the Joseph Papp Public Theater."
AT_HE,"AT THE.    	""At the Zoo"" was written by Paul Simon, and released by Simon and Garfunkel in 1967. The song is a homage to the Central Park Zoo in Simon's native city of New York. He released a children's book in 1991 that uses the lyrics of the song as a text, with detailed illustrations. Simon made some changes, dropping the drug references in consideration of his audience ..."
AMI_OR,"A MINOR.    	""Fur Elise"" is a beautiful piece of music by Beethoven, also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly, no one knows the identity of the mysterious Elise."
YESE_,"YESES.    	RSVP stands for ""répondez s'il vous plaît"", which is French for ""please, answer""."
S_EED,"STEED.    	The Arab (or Arabian) breed of horse takes its name from its original home, the Arabian Peninsula. Like any animal that humans have bred though, the horse falls prey to genetic diseases, some of which are fatal, and some of which require the horse to be euthanized."
_TEER,STEER.    	A steer is a male bovine that was castrated when young and is then raised for beef. The term comes from the Old English 'steor' meaning 'bullock'.
ST_,STO.    	The traditional Polish song 'Slo lat' (meaning 'One Hundred Years') is commonly sung to wish someone a happy birthday. A rough English translation of the lyrics is:
_SSA,"ESSA.    	The city of Venice in northeast Italy is built in a saltwater lagoon on the Adriatic Coast, on 117 small islands. The classic transportation along the waterways is the gondola, but this is really only used for tourists these days, as well as on ceremonial occasions. The locals rely on the motorized water-buses."
LI_DT,LINDT.    	The delicious Swiss chocolate sold under the Lindt brand name has its origins in a small confectionery store in Zurich in the 1840s. Lindt purchased our local chocolate company here in San Francisco (Ghirardelli) back in 1998.
L_P,LAP.    	You've got to sit down to 'create' a lap.
HU_,HUT.    	The traditional dwellings built by the Navajo people are known as hogans. 'Hogan' is the anglicization of a Navajo word meaning 'the home place'.
E_RAS,"EZRAS.    	Ezra Pound was an American poet who spent much of his life wandering the world, spending years in each of London, Paris, and Italy. In Italy, his work and sympathies for Mussolini's regime led to his arrest at the end of the war. His major work was the epic, albeit incomplete ""The Cantos"". The poem is divided into 120 sections, each known as a canto."
RETIN_,"RETINA.    	The retina is the name given to the tissue that lines the inside of the eye, the tissue that is light-sensitive. There are (mainly) two types of cell in the retina that are sensitive to light: the rods and the cones. Rods are cells that best function in very dim light and only provide black-and-white vision. Cones on the other hand function in brighter light and can perceive color."
AR_MAS,"AROMAS.    	Bouquet comes from the French word for a ""bunch"" in the sense of bunch of flowers. In French the term was derived from an older word describing a little wood, or a small grove of trees."
AT_LIER,"ATELIER.    	An atelier is an artist's studio, with ""atelier"" being the French word for ""studio"" or ""workshop""."
AL_G,"A LEG.    	The phrase ""shake a leg"" has been used as slang for ""dance"", at least since 1881."
Y_S,YRS.    	A wine's vintage is the year in which the grapes used were grown and harvested. A non-vintage wine is one that is usually a blend of finished wines across a number of years.
_CC,"CCC.    	In Roman numerals, 6 x 'L' (50) is 'CCC' (300)."
_YME,"LYME.    	Lyme disease is an infectious disease that is becoming more and more common. The condition takes its name from the town of Lyme, Connecticut where several cases were diagnosed in 1975. Humans catch the disease when bitten by infected ticks. If caught early enough, the disease is usually successfully treated with antibiotics."
