Lollapalooza.   		4 letters,"ONER.    	A lollapalooza is something outstanding, one of a kind."
"Dom ___, ""Inception"" hero.   		4 letters","COBB.    	I haven't seen ""Inception"" yet, a 2010 sci-fi movie starring Leonardo DiCaprio as Dom Cobb, a professional thief who infiltrates people's dreams for gain. I hear it is great ..."
Dodgers manager before Mattingly.   		5 letters,"TORRE.    	As manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American, born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
Symbol for Aries.   		3 letters,RAM.    	The constellation of Aries has come to represent the ram that yielded the Golden Fleece of Greek mythology.
Big Cup brand.   		7 letters,"REESE'S.    	Hershey's produces three sizes of peanut butter cup now. Alongside 'standard', we can buy 'mini' and 'big cup'."
Line from Penn Sta.   		4 letters,"LIRR.    	The Long Island Rail Road (LIRR) is the commuter rail service that runs all over Long Island, New York, with 124 stations and 700 miles of track. More people use the LIRR than any other commuter railroad in the US. It is also the only commuter railroad in the country that operates 24 hours a day, 7 days a week."
W.W.   		4 letters,"LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels with doors at either ends, from which tanks and other vehicles could roll off onto beaches. The concept persists to this day, in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
They're in the vicinity: Abbr..   		4 letters,ESTS.    	Estimates are often in the vicinity of the final number.
High/low cards.   		4 letters,"ACES.    	In the card game called Blackjack, an ace has the point value of one or eleven. When one of the two cards dealt to a player is an ace, the hand is called 'soft'. This means that the player cannot go bust by taking another card, as the ace can be revalued at 'one' if necessary in order to stay under 21."
Only nonsentient zodiac symbol.   		5 letters,"LIBRA.    	The constellation of Libra is named for the scales held by the goddess of justice, and is the only sign of the zodiac that isn't named for a living creature."
"Fossey who was ""in the mist"".   		4 letters","DIAN.    	Dian Fossey carried out her famous study of gorilla populations in the mountain forests of Rwanda (NB: it was Jane Goodall that worked with chimpanzees). Sadly, Fossey was found dead in her cabin in Rwanda in 1986, murdered in her bedroom, her skull split open by a machete. The crime was never solved."
"Jersey Shore county, appropriately.   		5 letters","OCEAN.    	Ocean County, New Jersey lies on the Atlantic coast between New York City and Atlantic City. Ocean County is actually part of the New York metropolitan area."
Plant bristle.   		3 letters,"AWN.    	Awns are hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
Flanged fastener.   		5 letters,T-NUT.    	A T-nut is so called because it has a t-shape when viewed from the side.
Capital near Aden.   		4 letters,"SANA.    	Sana (also Sanaa) is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
Half of a popular 1960s singing duo.   		3 letters,"JAN.    	Jan and Dean were a rock and roll duo. They were part of the ""surf scene"" along with the Beach Boys. A couple of their memorable hits were ""Surf City"" and ""The Little Old lady from Pasadena"". Tragically, in 1966 was in a car accident and received severe head injuries. He was partially paralyzed and suffered brain damage. Despite the worst prognosis, he managed to walk again, and years later he even worked his way back into the music business."
Cannon shot in Hollywood.   		4 letters,"DYAN.    	The actress Dyan Cannon is perhaps best known for playing Alice in the 1969 film 'Bob & Carol & Ted & Alice', for which she received a Best Actress Oscar nomination. Cannon is also famous for having been on Cary Grant's long list of wives, from 1965 to 1968 (and he was 33 years her senior)."
Gen ___.   		3 letters,"XER.    	The term Generation X originated in the UK where it was the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
Pierre's state: Abbr..   		5 letters,"S DAK.    	Here's an old chestnut of a trivia question for you ... what's the only state capital in the Union in which the name of the capital and the name of its state share no common letters? You guessed it ... Pierre, South Dakota ..."
Bird with a two-pointed tail.   		4 letters,"TERN.    	Terns are seabirds that are found all over the world. The Arctic Tern makes a very long-distance migration. One Arctic Tern that was tagged as a chick in Great Britain in the summer of 1982, was spotted in Melbourne, Australia just three months later. The bird had traveled over 14,000 miles in over those three months, an average of about 150 miles a day. Remarkable ..."
Asian appetizer.   		4 letters,"SATE.    	The dish known as 'satay' originated in Java, Indonesia and is marinated pieces of meat served on a skewer in a sauce, often a spicy peanut sauce. 'Satay' is the Indonesian spelling, and 'sate' is the Malay spelling."
"Its coat of arms has a cross, but no falcon.   		5 letters","MALTA.    	The ""falcon"" reference in this clue is the Dashiell Hammett novel ""The Maltese Falcon""."
Completely gratify.   		4 letters,"SATE.    	""Sate"" is a variant of the older word ""satiate"". Both terms can mean either to satisfy an appetite fully, or to eat to excess."
"""___ geht's?"" (German ""How are you?"").   		3 letters","WIE.    	The literal translation of ""Wie geht's?"" from German is, ""How goes it?""."
Forest Whitaker's Oscar-winning role.   		4 letters,"AMIN.    	""The Last King of Scotland"" is a 2006 film adaptation of a 1998 novel of the same name by Giles Foden. The story tells of a Scottish doctor (played by James McAvoy) who was employed by Idi Amin (played by Forest Whitaker). The title of the piece comes from the fact that Idi Amin offered his services as King of Scotland, should he ever be needed."
Suffix with schnozz.   		4 letters,"-OLA.    	'Schnoz' is a slang term for a nose, particularly a large one."
Certain commando.   		4 letters,"SEAL.    	SEAL is an acronym, used by the US Navy's SEa, Air and Land teams. The SEALs were born out of the Navy's special warfare groups from WWII, like the Underwater Demolition Teams and the Motor Torpedo Boat Squadrons. The Navy SEAL unit was established soon after President Kennedy's speech in which he announced the plan to put a man on the moon, as in the same speech the president allocated $100m of funding to strengthen special operations forces. The Navy used some of this money to set up guerrilla and counter-guerrilla units, which soon became the SEALs."
W.W.   		3 letters,"RAF.    	The Royal Air Force's (RAF's) No. 617 Squadron earned the nickname 'Dam Busters' after they used 'bouncing bombs' in an audacious attack on several dams in Germany during WWII. The raid was codenamed Operation Chastise, and resulted in the catastrophic flooding of the Ruhr Valley with about 1,600 people drowned."
"Dallas player, for short.   		3 letters","MAV.    	The Mavericks is the name of the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was prompted by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
Explorer Richard Byrd's plane.   		7 letters,"AMERICA.    	Rear Admiral Richard Byrd was an officer in the US Navy, famous as an aviator and explorer of the polar regions. Byrd was the first person to cross the South Pole by air, in 1929. Three years earlier, Byrd claimed he had flown over the North Pole, and would have been the first person to have done so if this was true. But whether or not Byrd actually made it over the North Pole continues to be the subject of much debate."
Eins und zwei.   		4 letters,"DREI.    	In German, one and two = three ... eins und zwei = drei."
Pizazz.   		4 letters,"BRIO.    	'Brio' is borrowed from Italian, in which language it means vigor and vivacity. ""Con brio"" is a musical direction often found on a score, instructing the musicians to play ""with energy, vigor""."
"1/, 2/, 3/, etc.   		3 letters","MOS.    	In the US, dates are often written in the format MM/DD/YYYY."
Astronomer Sagan.   		4 letters,"CARL.    	Carl Sagan was a brilliant astrophysicist, and a great communicator. He was famous for presenting obscure concepts about the cosmos in such a way that we mere mortals could appreciate. He also wrote the novel ""Contact"" which was adapted into a fascinating 1997 film of the same name starring Jodie Foster."
River that drains more than 20% of France.   		5 letters,"LOIRE.    	The Loire River is so long that it drains a full one-fifth of France's land mass. It rises in the southeast, in the Cevennes mountain range, then it heads north and then due east, emptying into the Bay of Biscay at the city of Nantes."
Lanai's county.   		4 letters,"MAUI.    	Maui County is pretty unusual. It is made up of four islands: Maui, Kahoolawe, Lanai and Molokai (well, most of Molokai)."
Director Polanski.   		5 letters,"ROMAN.    	Roman Polanski is a Polish film director, and an Oscar winner for directing the 2002 movie ""The Pianist"". Polanski has had an eventful life. His pregnant wife, Sharon Tate, was murdered by the Manson family in 1969. In 1977, Polanksi was arrested in Los Angeles for sexual assault of 13-year-old girl, and pleaded guilty to having sex with a minor. He fled the country to avoid sentencing, and is now awaiting extradition to the US from Switzerland after the US requested his transfer in 2009."
"Banned pollutants, briefly.   		4 letters","PCBS.    	Polychlorinated biphenyls were banned with good reason. Apart from their link to cancer and other disorders in humans and animals, they are extremely persistent in the environment once contamination has occurred. Among other things, PCBs were used as coolants and insulating fluids in electrical gear such as transformers and large capacitors."
Outs.   		6 letters,"ALIBIS.    	""Alibi"" is the Latin word for ""elsewhere"", as in I was ""elsewhere"" when the crime was committed ... I have an ""alibi""."
Units of cream: Abbr..   		3 letters,PTS.    	Pints of cream. Seems like a lot to me ...
Org.   		4 letters,"PETA.    	People for the Ethical Treatment of Animals (PETA) is famous for ad campaigns featuring implied nudity, often with celebrities appearing front and center. Networks showing the Super Bowl have been known to ban such ads."
Part of the New Haven landscape.   		4 letters,"ELMS.    	The city of New Haven, Connecticut had the first public tree-planting program in the country. That first planting included a whole bunch of elms, earning New Haven the nickname ""The Elm City""."
"""Twin Peaks"" actor Jack.   		5 letters","NANCE.    	Jack Nance was an American actor who worked a lot with director David Lynch. He was won of the stars of the TV series ""Twin Peaks"", playing Pete Martell, a henpecked lumberjack. Coincidentally, the Log Lady in ""Twin Peaks"" was played by Catherine E. Coulson, one-time wife of Nance."
Certain Buddhist.   		3 letters,NUN.    	In the Buddhist tradition there are lots of monks and nuns ...
Awards at which 51-Across was finally a winner in 1999.   		5 letters,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
Cos.   		4 letters,"ISPS.    	An Internet Service Provider (ISP) is just what its name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way that the end users are connected to the ISPs network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
Longtime Disney name.   		6 letters,"EISNER.    	Michael Eisner took over as CEO of the Walt Disney Company in 1984. He has been attributed with turning Disney around, as the company had been floundering since 1966 when Walt Disney died. He had a good run but ran afoul of Walt Disney's nephew Roy Disney, who led a revolt by board members that resulted in Eisner's resignation in 2005."
Heads overseas?.   		5 letters,TETES.    	'Tête' is French for 'head'.
Tic-tac-toe victory.   		3 letters,"OOO.    	When I was growing up in Ireland, we played ""noughts and crosses"" ... our name for tic-tac-toe."
Taxis.   		4 letters,"CABS.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The 'cab' in the name is short for 'cabriolet', an earlier design of carriage on which the hansom was based. It's from 'hansom cab' that we get our modern term 'cab'."
"""The Godfather"" actor.   		4 letters","CAAN.    	James Caan is an actor from The Bronx, New York City. He is noted for his appearances in some very big movies such as 'The Godfather', 'Misery', 'A Bridge Too Far', 'Rollerball' and more recently 'Elf'. Caan is quite the sportsman. He plays golf with an 8 handicap, and is a 6-Dan Black Belt Master of Gosoku Karate."
Slanted columns.   		6 letters,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
Spa spot.   		5 letters,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
Oodles.   		5 letters,"A LOT.    	It's thought that the term ""oodles"" comes from ""kit and caboodle""."
Fraternity letters.   		3 letters,"NUS.    	The Latin equivalent of the Greek letter 'nu' is ""N"". An uppercase nu looks just like the Latin capital N, however, the lowercase nu looks like our lowercase ""v"". Very confusing ..."
"Rocker with the 1976 album ""Live Bullet"".   		5 letters","SEGER.    	Bob Seger struggled as a performing artist right through the sixties and early seventies before becoming a commercial success in 1976 with the release of his album ""Night Moves"". Since then, Seger has recorded songs that have become classics like, ""We've Got Tonight"" and ""Old Time Rock & Roll""."
Rio Grande city.   		7 letters,"EL PASO.    	Although there have been human settlements in the El Paso area for thousands of years, the first European settlement was founded in 1659 by the Spanish. That first community was on the south bank of the Rio Grande, and was called El Paso del Norte (the North Pass). Most of the urban development under Spanish rule took place on the south side of the river, with El Paso del Norte acting as the center of governance for the Spanish for the territory of New Mexico. The Rio Grande was chosen as the border between Mexico and the US in 1848, so most of the city of El Paso del Norte became part of the Mexican state of Chihuahua (and is now called Cuidad Juarez), while the area north of the river developed as a US military post, eventually becoming the modern city of El Paso, Texas."
Do-it-yourself relocation rental.   		6 letters,"U-HAUL.    	U-Haul was started by married couple Leonard Shoen and Anna Mary Carty in Ridgefield, Washington in 1945. The Shoens used $5,000 of seed money to build trailers in their garage, and then cleverly recruited gas station owners as franchisees with whom they would split the rental revenue. There are now about 15,000 U-Hail dealers across the country."
Language with only 14 letters.   		6 letters,"SAMOAN.    	Samoan is one of the two official languages of the Samoan Islands, the other being English. Samoan is the first language of most natives in the islands, and there are estimated to be almost 400,000 speakers worldwide."
Yorkshire river.   		4 letters,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water."
Feds.   		5 letters,"G-MEN.    	The nickname 'G-men' is short for ""Government Men"" and refers to agents of the Federal Bureau of Investigation."
Reactor safety org.   		3 letters,NRC.    	The Nuclear Regulatory Commission (NRC) oversees most aspects of the safety of nuclear power plants and nuclear fuel in the US.
Pay termination?.   		4 letters,"-OLA.    	'Payola' is the illegal practice of paying radio stations or disk jockeys to repeatedly play a particular piece of music. The impetus behind the crime is that the more often a song is played, the more likely it is to sell. The term 'payola' comes from the words 'pay' and 'Victrola', an RCA brand name for an early phonograph."
"""24"" actress Cuthbert.   		6 letters","ELISHA.    	Elisha Cuthbert is a Canadian actress who came to world attention playing Kim Bauer, Jack Bauer's daughter on TV's '24'. You can see her now on the sitcom 'Happy Endings'."
"""___ Malala"" (2013 best-selling autobiography).   		4 letters","I AM.    	I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban' is a memoir co-written by Malala Yousafzai and British journalist Christina Lamb. The title tells the essence of her Malala's story. She started a blog when she was 11 or 12, outlining her life in northwest Pakistan under occupation by the Taliban. As the Pakistani military regained control of the area, Malala's story was told in a documentary and she was frequently giving interviews. One day a gunman came looking for her, and found her on her schoolbus. He shot Malala three times, with one bullet going into her forehead. She survived, and was taken to England to recuperate. She was a co-recipient of the Nobel Peace Prize in 2014 at the age of 17, making her the youngest ever Nobel laureate."
"Hamlet and Ophelia, by nationality.   		5 letters","DANES.    	The full title of William Shakespeare's play that we tend to call ""Hamlet"" is ""The Tragedy of Hamlet, Prince of Denmark"". It is the most performed of all Shakespeare's plays and it is also his longest, comprising a full five acts."
"""___ mio"".   		6 letters","O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
March composer.   		5 letters,"SOUSA.    	John Philip Sousa was a composer and conductor from Washington, D.C. Sousa was well known for his patriotic marches and earned himself the nickname 'The American March King'. He served as a member of the US Marine Band from 1868 to 1875, and after leaving the Marines learned to conduct and compose. One of the Sousa compositions that is well-known around the world is called 'The Liberty Bell', a tune used as the musical theme for BBC Television's 'Monty Python's Flying Circus'. Sousa also wrote 'Semper Fidelis', which is the official march of the US Marine Corps."
Blackmore heroine.   		5 letters,"LORNA.    	Lorna Doone was written by Richard Doddridge Blackmore. R. D. Blackmore was an English novelist, very celebrated and in demand in his day (the late 1800s). His romantic story ""Lorna Doone"" was be no means a favorite of his, and yet it is the only one of his works still in print."
"Plenty, to a poet.   		4 letters","ENOW.    	Enow is an archaic form of the word ""enough""."
"Style of Duchamp's ""Fountain"".   		4 letters","DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland, started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe."
1922 Physics Nobelist.   		4 letters,"BOHR.    	Niels Bohr was a Danish physicist who won his 1922 Nobel Prize for his work on quantum mechanics and atomic structure. Later in his life he was part of the team working on the Manhattan Project, developing the first atomic bomb."
Prefix with disestablishmentarianism.   		5 letters,"ANTI-.    	Disestablishment is the process by which a church is removed from a privileged position, creating a secular state. Opponents to such a move, supporters of retaining an established church, are known as antidisestablishmentarians. 'Antidisestablishmentarianism' is one of the longest words in the English language."
What a bandoleer holds.   		4 letters,"AMMO.    	A 'bandolier' (also 'bandoleer') is a belt with small pockets that hold ammunition. A bandolier is usually worn over the shoulders, rather than around the waist. The term derives from the Spanish 'banda' meaning 'scarf, sash'."
Saint often depicted with a lamb.   		5 letters,AGNES.    	Saint Agnes is the patron saint of young girls. John Keats wrote a poem called 'The Eve of Saint Agnes' which refers to the superstition that young women should practice certain rituals on Saint Agnes's Eve in order to identify their future husbands.
Designer Pucci.   		6 letters,EMILIO.    	Emilio Pucci was an Italian fashion designer from Florence.
Squat.   		4 letters,"NONE.    	The word ""squat"" has been used to mean ""nothing at all"" since 1934. Its most likely etymology is somewhat distasteful."
Prefix with Germanic.   		5 letters,INDO-.    	Indo-Germanic' is a term used to describe a specific group of languages and is synonymous with the term 'Indo-European'.
Submarine near the Gulf Coast.   		7 letters,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
Bog youngsters.   		4 letters,"EFTS.    	Newts wouldn't be my favorite animals in the world. They are found all over the world, living on land or in the water depending on the species, but always associated with water, even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start of as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
Brand discontinued by Keebler.   		5 letters,"HI-HO.    	Sunshine Biscuits was an independent producer of cookies and crackers. In 1996 it was absorbed by the Keebler Company and among brands that were discontinued because of the merger, was Hi-Ho Crackers."
Xerox rival.   		5 letters,RICOH.    	Ricoh is a Japanese company that started out in 1936 and by the year 2000 was the biggest manufacturer of copiers in the world. The company is also well known as a supplier of cameras.
"""Two for me.   		4 letters","TWIX.    	I remember Twix bars from way back in 1967 when they were introduced in the British Isles. Twix bars made it to the US over a decade later, in 1979."
Tart fruits.   		5 letters,"SLOES.    	The sloe is the fruit of the blackthorn bush, and is the flavoring that gives gin its distinctive taste."
Classic theater name.   		4 letters,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him, and as his nickname was Roxy Rothafel, that's the name they used."
U.K. decoration: Abbr..   		3 letters,"DSO.    	The Distinguished Service Order (DSO) is a British military award, usually awarded to officers with the rank of Major or higher."
Run amok.   		4 letters,"RIOT.    	The phrase ""to run amok"" has been around since the 1670s, and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was then was also used as a noun, to describe Malay natives who were ""frenzied"". They probably had good reason for that frenzy ..."
"""Little red"" animal in a children's tale.   		3 letters","HEN.    	'The Little Red Hen' is an old folk tale, probably from Russia. In the story, the little red hen finds a grain of wheat and asks for help to plant it. 'Not I' is the response she gets, repeatedly. She does the work herself, eventually baking bread from the harvested grain. She asks for help in eating the bread, and gets lots of volunteers. But, the hen decides to save the bread for herself and her chicks, seeing as no one would help her plant the wheat in the first place."
Cousin of an ax.   		4 letters,"ADZE.    	An adze (also adz) is similar to an axe, but different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
Husband of Pompeia.   		6 letters,"CAESAR.    	Pompeia Sulla was the second wife of Julius Caesar, whom she married in 67 BC. Caesar's first wife was Cornelia, and she had died one year before the second marriage. Caesar divorced her a few years later as there were unfounded allegations that she was having an affair. Caesar stated at the time that ""my wife ought not even to be under suspicion"", giving rise to the proverb ""Caesar's wife must be above suspicion""."
E.P.A.   		4 letters,PCBS.    	Polychlorinated biphenyl (PCB) ...
Old Olds.   		5 letters,CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996. The Ciera was the brand name's most successful model.
Fool on the ice.   		4 letters,"DEKE.    	A deke, also known as a dangle, is a technique used to get past an opponent in ice hockey. ""Deke"" is a colloquial shortening of the word ""decoy""."
Chichi.   		4 letters,TONY.    	Something described as 'tony' is elegant or exclusive. The term derives from 'high-toned'.
"Red card issuer, for short.   		3 letters","REF.    	A series of colored penalty cards is used by referees and umpires in several sports, most notably in soccer. The cards were first used in the 1970 FIFA World Cup in Mexico, after language difficulties created confusion during the prior competition in 1966. The main cards used are a yellow card indicating a caution, and a red card indicating expulsion from the game."
Actress Rogers.   		4 letters,"MIMI.    	Mimi Rogers is a favorite actress of mine, although she hasn't really had the starring roles in the big movies. Off screen she is famous for her association with her second husband, Tom Cruise, and it was Mimi who introduced Tom to Scientology. Mimi Rogers can also be seen playing a lot of so-called ""celebrity poker"", and she is on the board of directors of the World Poker Tour."
What often produces passing thoughts?.   		4 letters,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
Canine command.   		7 letters,"SIC 'EM.    	Sic 'em is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
___ letter (college app part).   		3 letters,REC.    	Recommendation (rec.)
V-8 sound.   		4 letters,"ROAR.    	The engine known as a V8 is configured with two rows of four cylinders mounted on a crankcase. The rows of cylinders are offset from each other around the crankshaft at right angles, or perhaps a little less. This arrangement of eight cylinders in a V-shape gives rise to the name 'V8'."
Warrior monk of sci-fi.   		4 letters,"JEDI.    	The Jedi are the 'good guys' in the 'Star Wars' series of movies. The most famous Jedi knights from the films are Obi-Wan Kenobi (played by Alec Guinness, and later Ewan McGregor) and Yoda (voiced by Frank Oz). Well, they're my favorites anyway ..."
New Orleans sandwich.   		7 letters,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
Big name in 1950s presidential campaigning.   		5 letters,"ADLAI.    	Adlai Stevenson (AES) ran for president unsuccessfully against Dwight D. Eisenhower (DDE) in 1952 and in 1956. Some years after his second defeat, Stevenson served under President Kennedy as Ambassador to the United Nations. Stevenson was always noted for his eloquence and he had a famous exchange in a UN Security Council meeting during the Cuban missile crisis. Stevenson bluntly demanded that the Soviet representative on the council tell the world if the USSR was installing nuclear weapons in Cuba. His famous words were ""Don't wait for the translation, answer 'yes' or 'no'!"" followed by ""I am prepared to wait for my answer until Hell freezes over!"""
Paradigm of happiness.   		4 letters,"CLAM.    	Our phrase 'happy as a clam' dates back to the mid-1600s, when it was a more lengthy expression 'happy as a clam in the mud at high tide'. The idea was that a clam would be happy in its muddy home at high tide, because no one from land could get to it and eat it."
Tums targets.   		5 letters,"ACIDS.    	The main ingredient in Tums antacid, made by GlaxoSmithKline, is calcium carbonate. Tums have been on the market since 1930. If you want to save a few pennies, Target brand antacid is identical to Tums, so I hear ..."
2010 Olympic ice dancing gold medalist ___ Virtue.   		5 letters,TESSA.    	Tessa Virtue is a Canadian ice dancer who won the 2010 Olympic championship along with her partner Scott Moir.
W.W.   		3 letters,"WAC.    	The Women's Army Auxiliary Corps (WAAC) was formed in 1942, and the unit was converted to full status the following year to become the Women's Army Corps (WAC). Famously, General Douglas MacArthur referred to the WACs as his ""best soldiers"", saying they worked harder, complained less and were better disciplined than men. The WACs were disbanded in 1978 and the serving members were integrated into the rest of the army."
Common craps roll.   		5 letters,"SEVEN.    	If one considers earlier versions of craps, then the game has been around for a very long time and probably dates back to the Crusades. Craps may be derived from an old English game called ""hazard"", also played with two dice and which was mentioned in Geoffrey Chaucer's ""Canterbury Tales"" from the 1300s. The American version of the game came here courtesy of the French and first set root in New Orleans where it was given the name ""crapaud"", a French word meaning ""toad""."
13th-century composition.   		4 letters,EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology.
"Bikini blast, briefly.   		6 letters","N-TEST.    	The testing of US nuclear weapons by the US at Bikini Atoll in the middle of 1946 went by the codename ""Operation Crossroads"". The tests used A-bombs and were designed to measure the effect of blasts on navy vessels. There were three tests planned, but the third had to be cancelled as the Navy couldn't decontaminate the ships used in the second test."
Indy 500 legend.   		5 letters,"UNSER.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 four times. Al's brother, Jerry, was the first of the Unsers to compete at Indianapolis. Al's other brother, Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
One for two of four.   		4 letters,SEMI.    	I think the idea is that the four teams or players in the final rounds of a tournament are paired off in two semis (semifinals).
Relief.   		4 letters,"DOLE.    	The word ""dole"" meaning ""financial relief"" originated as the Old English word ""dal"", the state of sharing, giving out. Our term ""on the dole"", relating to institutional relief, dates back to the twenties."
