One-sixth of diciotto.   		3 letters,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
Folkie who sang of Alice.   		4 letters,"ARLO.    	""Alice's Restaurant Masacree"" is the name of the Arlo Guthrie song, all 18m 48s of it, that takes up one whole side of the album ""Alice's Restaurant""."
Grp.   		3 letters,"AMA.    	The icon known as the caduceus is a staff around which are twisted two serpents and which has two wings at the top. The caduceus was carried by the Greek god Hermes. The traditional symbol for the medical profession was the rod of Asclepius, a Greek god associated with healing and medicine. The rod of Asclepius is similar to the caduceus, being a staff with a single serpent-entwined. Some medical organizations use the caduceus as a symbol, apparently due to confusion that dates by to the its mistaken use by the US Army Medical Corps in 1902."
Arthur of tennis.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth, Ashe found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African American player to be so honored. Ashe continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow-up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993 due to complications from AIDS. Shortly afterwards, Ashe was posthumously awarded the Presidential Medal of Freedom by President Bill Clinton."
Notre Dame coach Parseghian.   		3 letters,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
Grp.   		3 letters,"NEA.    	The National Education Association (NEA) is the largest labor union in the country, and mainly represents public school teachers."
"Tahiti, for one.   		4 letters","ISLE.    	Tahiti is the most populous island in French Polynesia, which is located in the central Southern Pacific. Although Captain Cook landed in Tahiti in 1769, he wasn't the first European to do so. However, Cook's visit was the most significant in that it heralded a whole spate of European visitors, who brought with them prostitution, venereal disease and alcohol. Paradoxically, they also brought Christianity. Included among the subsequent visitors was the famous HMS Bounty under the charge of Captain Bligh."
Slaughter in baseball.   		4 letters,ENOS.    	Enos Slaughter has a remarkable playing record in Major League Baseball over a 19-year career. Slaughter's record is particularly remarkable given that he left baseball for three years to serve in the military during WWII.
"Évian, for one.   		3 letters","SPA.    	Évian-les-Bains (or simply Évian) is in the very east of France on the shores of Lake Geneva, directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
Former Russian royal.   		4 letters,"TSAR.    	The term czar (also tsar) is a Slavic word, and was first used as a title by Simeon I of Bulgaria in 913 A.D. It is derived from the word Caesar, which was synonymous with emperor at that time."
Plata's partner.   		3 letters,"ORO.    	Oro y Plata means ""gold and silver"", and is the state motto of Montana. The motto was written in Spanish, purely because ""it had a nice ring to it""."
Coach Parseghian.   		3 letters,"ARA.    	Ara Parseghian coached Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
Mens ___ (criminal intent).   		3 letters,"REA.    	""Mens rea"" is Latin for ""guilty mind"" and is a central concept in criminal law. The concept is expanded to ""actus non facit reum nisi mens sit rea"" meaning ""the act does not make a person guilty unless the mind be also guilty"". In other words, a someone should not be deemed guilty of an act, unless he or she had a ""guilty mind"", intended to do wrong."
1975 Wimbledon winner.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth he found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African America player to be so honored. He continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993, due to complications from AIDS."
A reed.   		4 letters,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance, you'll note (pun intended!) the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A"". Oh, and if you want to read a fun book (almost an ""exposé"") about life playing the oboe, you might try ""Mozart in the Jungle"" by oboist Blair Tindall."
Tennis's Arthur ___ Stadium.   		4 letters,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
"Required to serve, maybe.   		5 letters","ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Razor handle?.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Dr.   		3 letters,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
"""The Lord of the Rings"" creature.   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"""Wrath of the Titans"" antagonist.   		4 letters","ARES.    	Wrath of the Titans"" is a 2012 fantasy adventure film, a sequel to 2010's 'Clash of the Titans'."
Subj.   		3 letters,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Tre minus due.   		3 letters,"UNO.    	'One, two, three' in Italian is ""uno, due, tre""."
"Deputy sheriff in ""The Dukes of Hazzard"".   		4 letters","ENOS.    	Enos Strate (played by Sonny Shroyer) was the small-town deputy in the television sitcom 'The Dukes of Hazzard', and the success of his character merited a follow-on show. The spinoff ""Enos"" only ran for 18 episodes though."
Night school subj.   		3 letters,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Hip-hop's Dr.   		3 letters,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as for producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
MS.   		3 letters,EDS.    	An editor (ed.) might receive a manuscript (MS) with a self-addressed stamped envelope (SASE).
MS.   		3 letters,EDS.    	Editors (eds.) might read a manuscript (MS.) are 'Ms.' magazine.
So-called Mother of Presidents.   		4 letters,"OHIO.    	There are two states that have the nickname 'Mother of Presidents' ... Ohio and Virginia, although sometimes Ohio is known as 'Modern Mother of Presidents'. Eight presidents were born in Virginia, from George Washington to Woodrow Wilson. Ohio was the birthplace of seven presidents, from Ulysses S. Grant to Warren G. Harding. Additionally, eight presidents hailed from Ohio at the time of their elections."
Next-to-last Greek letter.   		3 letters,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
2013 Pawel Pawlikowski film set in post-W.W.   		3 letters,"IDA.    	Pawel Pawlikowski is a filmmaker based in Paris who was born and grew up in Warsaw, Poland. Pawlikowski's most famous films are 'Last Resort' (2000), which he both wrote and directed, and the intriguing 'My Summer of Love' (2004) that stars Natalie Press and Emily Blunt."
"Proofer's ""oops"".   		4 letters","STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
Brand operated by Imperial.   		4 letters,"ESSO.    	Imperial Oil is a Canadian company with a majority ownership by Exxon Mobil. Imperial produces a lot of crude oil and natural gas, and also operates service stations with brand name ESSO."
Relative of the Contour Plus.   		4 letters,"ATRA.    	Fortunately for crossword constructors, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Place to get a mudbath or massage.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
Mani-pedi spot.   		3 letters,SPA.    	Manicure & pedicure (mani-pedi)
Classic Fiat model.   		3 letters,"UNO.    	The Uno is a subcompact that was produced for many years by Fiat, from 1983 until 1995, and it is still being produced in other countries around the world."
"""And Winter Came ..."" singer.   		4 letters","ENYA.    	Enya's real name is Eithne Patricia Ni Braonain, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
Palindromic magazine title.   		4 letters,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she"". 'Elle' is published monthly worldwide, although you can pick up a weekly edition if you live in France."
___ Pacis (Roman monument).   		3 letters,"ARA.    	The Ara Pacis Augustae, the Altar of Augustan Peace, is often just called the 'Ara' or 'Ara Pacis'. It is an altar that was commissioned by the Roman Senate to honor the return of Caesar Augustus after his conquests in Hispania and Gaul. It stood at the northern outskirts of Rome, and over the centuries was covered by silt as it was located in the floodplain of the river Tiber. The Ara was excavated and much of the altar recovered over recent centuries, although as usual, parts of the altar have found their way into the major museums around the world. Much of the altar was reconstructed and placed inside a protective building under the orders of dictator Benito Mussolini in 1938. A new building was built to house the altar in 2006."
Proofer's mark.   		4 letters,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
"""At Last"" singer James.   		4 letters","ETTA.    	Etta James is best known for her rendition of ""At Last"". Sadly, she discloses in her autobiography, Etta James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
B'way success sign.   		3 letters,SRO.    	Standing Room Only
"Baldwin of ""30 Rock"".   		4 letters","ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin made a name for himself in recent times playing Jack Donaghy on ""30 Rock"", opposite Tina Fey. He has also hosted the sketch show 'Saturday Night Live' on more occasions than anyone else (16 times)."
Important Scrabble tile.   		3 letters,"ESS.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Mosher Butts. Butts determined how many tiles of each letter, and the point value of each tile, by analyzing letter distributions in publications like 'The New York Times'."
Natural pain reliever.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Last of the Mohicans?.   		3 letters,ESS.    	Ess (the letter S) is the last letter in the word 'Mohicans'.
Kid-friendly card game.   		3 letters,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
Boise's state: Abbr..   		3 letters,"IDA.    	Boise, Idaho is the largest metropolitan area in the state by far. There are a number of stories pertaining to the etymology of the name 'Boise'. One is that French trappers named the tree-lined river that ran through the area 'la rivière boisée', meaning 'the wooded river'. "
Cream-toned.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
"Actress Gunn of ""Breaking Bad"".   		4 letters","ANNA.    	Anna Gunn is an actress from Santa Fe, New Mexico. She is best known for playing Skyler White on the TV show 'Breaking Bad'."
"___ Cruces, N.M.   		3 letters","LAS.    	Las Cruces (Spanish for 'the crosses') is the second largest city in the state of New Mexico, and is the home of New Mexico State University."
One of the Baldwins.   		4 letters,"ALEC.    	Alec Baldwin is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin is making a name for himself these days playing Jack Donaghy on ""30 Rock"", opposite Tina Fey."
Sparkle.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which it has a similar meaning, ""style"" or ""flair""."
PBS funder.   		3 letters,NEA.    	The National Endowment for the Arts is an agency funded by the federal government that offers support and funding for artistic projects. It was created by an Act of Congress in 1965.
Grandson of 47-Across and 37-Down.   		4 letters,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam and Eve."
Pampering place.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
Screen grp.?.   		3 letters,"TSA.    	The Transportation Security Administration was of course created in 2001, soon after the 9/11 attacks."
"""Forgot About ___"" (2000 Grammy-winning rap).   		3 letters","DRE.    	'Forgot About Dre' is a single recorded by rap artist Dr. Dre, 'featuring Eminem'."
Bygone monarch.   		4 letters,"TSAR.    	The last ruler of Imperial Russia was Tsar Nicholas II (of the House of Romanov). Famously, the Tsar and his family were murdered in 1918 in the basement of a house in Yekaterinburg, Russia by members of the Bolshevik secret police. The Tsar's youngest daughter was 16-year-old Anastasia and rumors of her escape have persisted for years. The rumors grew with the help of numerous women who claimed to be Anastasia. In 2009, DNA testing finally proved that the remains of all of the Tsar's immediate family, including Anastasia, have been found and identified."
"""Goodnight"" girl of old song.   		5 letters","IRENE.    	""Goodnight, Irene"", also known as ""Irene, Goodnight"" is a lovely American folk song, that was first recorded commercially back in 1932 by blues singer, Lead Belly. The song made it number one in the charts for the Weavers in 1950, and for Frank Sinatra the same year."
Wave function symbol in quantum mechanics.   		3 letters,"PSI.    	The science of quantum mechanics (or quantum physics) pulls together mathematically, the fact that energy and matter sometimes behave like waves, and sometimes particles. In general, the laws of classical mechanics break down as ""things"" get smaller, on the atomic and subatomic scale."
