ERN_T,ERNST.    	(61A. See 13-Down : MACH)
GT_,"GTO.    	The Pontiac GTO was produced by GM from 1964 to 1974, and again by a GM subsidiary in Australia from 2004 to 2006. The original GTO's design is credited to Pontiac chief engineer at the time John DeLorean, who later was found the DeLorean Motor Company."
F_A,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
_ALEM,"SALEM.    	Salem is a seaport on the Massachusetts coast. It is noted as the location of the Salem Witch Trials of 1692, an event that the city commemorates during the run-up to Halloween every year in October."
HM_,HMO.    	Health Maintenance Organization (HMO)
SASH_,"SASHA.    	Sasha is the younger of the two Obama children, born in 2001. She is the youngest child to reside in the White House since John F. Kennedy, Jr. moved in with his parents as a small infant. Sasha's Secret Service code name is ""Rosebud"", and her older sister, Malia, has the code name ""Radiance""."
R_M,"RPM.    	The first standard set for rotational speed of gramophone records was 78 rpm, but like so many things it seems, the US version of ""78"" was slightly different from that for the rest of the world. The US record was designed to play at 78.26 rpm, whereas the standard in the rest of the world was 77.92 rpm. So, imported records played on American equipment didn't sound quite as they were intended."
MM_,MME.    	The equivalent of 'Mrs.' in French is 'Mme.' (Madame) and in Spanish is 'Sra.' (Señora).
_AD,"TAD.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
TARO_,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Hanged Man and the Lovers."
AB_,"ABC.    	""ABC"" topped the charts for the Jackson 5 in 1970, and might perhaps be called the Jackson 5's signature tune."
OV_D,"OVID.    	Ovid and Virgil were poets who lived in Ancient Rome about the same time, although they apparently met only a few times."
R_TC,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of the new school's curriculum."
KA_,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
R_I,RBI.    	Run batted in (RBI)
I_O,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
_OR,"TOR.    	The Toronto Blue Jays baseball franchise was founded in 1977. The Blue Jays are the only team based outside the US to have won a World Series, doing so in 1992 and 1993. And since the Montreal Expos relocated to Washington, the Blue Jays are the only Major League Baseball team now headquartered outside of the US."
ASTR_,ASTRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
U_R,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
AP_,"APU.    	The fictional store, Kwik-E-Mart, is operated by Apu Nahasapeemapetilon, on ""The Simpsons"" TV show. The convenience store owner doesn't seem to be making much use of his Ph. D. in computer science that he earned in the US. His undergraduate degree is from Caltech (the Calcutta Technical Institute), where he graduated top of his class ... of seven million students ..."
E_SEX,"ESSEX.    	The Home Counties are the counties that surround the city of London, and don't include London itself. It's not an official designation and has been in use since the 1800s."
RA_A,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar was perhaps the most famous raga virtuoso (to us Westerners)."
LA_,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
_AMOA,"SAMOA.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
_PB,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
R_SE,ROSE.    	Rose of Sharon is a name given to several species of flowering plants.
SAM_A,"SAMOA.    	The official name for the South Pacific country is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
ESSA_,"ESSAY.    	The English philosopher and statesman Francis Bacon wrote a celebrated and respected collection of essays called 'The Essayes', first published in 1597. My favorite of these essays is 'Of Simulation and Dissimulation', which observes:"
YS_,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. Saint-Laurent started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together and started his own fashion house. A remarkable story ..."
ST_,"STL.    	The St. Louis Cardinals were originally called the 'Brown Stockings', changing their name to the 'Perfectos' in 1899. That obviously didn&#8217;t go down well with the locals, as the owners changed it one year later to the Cardinals."
_SME,ESME.    	Esmé Squalor is an antagonist in the series of children's books called 'A Series of Unfortunate Events' by Lemony Snicket.
O_ID,OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
NE_L,"NEIL.    	Neil Simon is one of my favorite playwrights. Simon has written over thirty plays and about thirty screenplays. He has received more nominations for Oscars and Tony Awards than any other writer. My favorite play penned by Simon has to be 'Brighton Beach Memoirs', but the list of his great stage works seems endless and includes 'Barefoot in the Park', 'The Odd Couple', 'Sweet Charity', 'Plaza Suite', 'California Suite', 'Biloxi Blues' and 'The Goodbye Girl'."
O_LA,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
_CAI,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
IW_,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there ever since."
SA_OA,"SAMOA.    	Depending on which bakery makes the particular variety of Girl Scout cookie, the name can vary. For example, Little Brownie Bakers makes the Samoa cookies, while ABC Bakers uses the same recipe and calls the cookies Caramel Delites. The assumption is that these cookies have the exotic name of ""Samoa"" because they contain the tropical ingredients of coconut and cocoa."
AS_RO,ASTRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
P_I,"PHI.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for ""philosophia biou kybernētēs"", which translates into ""philosophy is the guide of life"". The symbol of the Phi Beta Kappa Society is a golden key."
ENT_,"ENTS.    	Ear, Nose and Throat specialist (ENT)"
_AV,LAV.    	Really ...?
ED_S,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
_ENA,"XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the title role."
G_U,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
ERN_,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
_IN,"NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
_LBA,ALBA.    	The alba is a old type of love song or poem from southern France. It specifically deals with the longing and frustration felt by lovers who must separate for fear of being discovered by their spouses. Naughty stuff ...
ES_,"ESO.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
NEL_,"NELL.    	""The Old Curiosity Shop"" by Charles Dickens tells the story of little 14-year-old Nell Trent and her grandfather who live in the Old Curiosity Shop in London. If you visit London, there actually is an ""Old Curiosity Shop"", in Westminster. It is an establishment selling odds and ends, old curiosities, and is believed to have been the inspiration for the shop in the Dickens story. The building has been around since the 1500s, but the name ""The Old Curiosity Shop"" was added after the book was published."
_AN,"DAN.    	Actor John Goodman will forever be remembered as Dan Conner, the on-screen husband of Roseanne Barr in the sitcom ""Roseanne"". Goodman went to Missouri State University where he studied drama and was a compatriot of Kathleen Turner. The role that I most enjoyed played by Goodman was Speaker of the House Glen Allen Walken on the great show 'The West Wing'."
_MIS,"AMIS.    	Bordeaux is perhaps the wine producing capital of the world. Wine has been produced in the area since the eighth century. Bordeaux has an administrative history too. During WWII, the French government relocated from Paris to the port city of Bordeaux when it became clear that Paris was soon to fall to the Germans. After the German's took France, the capital was famously moved to Vichy."
AV_A,"AVIA.    	The Avia brand name for athletic shoes was chosen as it it is the Latin word for ""to fly"", and suggested the concept of aviation."
SCO_,"SCOT.    	Macduff eventually kills Macbeth, at the end of Shakespeare's play."
_GRE,"OGRE.    	An ogre is a monster of mythology and folktales that has the appearance of a man, and which eats human beings. The term 'ogre' comes to us via French from the name of the Etruscan god Orcus, who feasted on the flesh of humans."
AV_A,"AVIA.    	The Avia brand name for athletic shoes was chosen as it it is the Latin word for ""to fly"", and suggested the concept of aviation."
EV_N,"EVAN.    	Steve Carell's movie ""Evan Almighty"" was actually a sequel, to Jim Carrey's ""Bruce Almighty"". ""Evan Almighty"" is a cute enough film, with Evan mutating into a Noah character who goes as far as building an ark in his front yard."
_NE,"UNE.    	Amiens is a city in the north of France, in the region known as Picardy."
N_SS,"NESS.    	Eliot Ness was the Treasury agent charged with the task of bringing down the notorious Chicago gangster Al Capone. When Ness took on the job in 1930, Chicago law-enforcement agents were renowned for being corrupt, for being on the take. Ness handpicked 50 prohibition agents who he thought he could rely on, later reducing the group to a cadre of 15 and ultimately just 11 trusted men. That group of 11 earned the nickname ""The Untouchables"", the agents who couldn't be bought."
S_L,"STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
RA_I,"RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is most famous for his sitar playing."
TI_,TIM.    	Tim Lincecum is pitcher for the San Francisco Giants baseball team. Lencecum won the National League's Cy Young Award in 2008 and again in 2009.
CL_,"CLE.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970."
O_T,"OAT.    	""Muesli"" is a Swiss-German term describing a breakfast serving of oats, nuts, fruit and milk. Delicious ..."
_AN,DAN.    	Dan Savage is an author and journalist who is famous for writing a sex advice column under the title 'Savage Love'. 'Savage Love' is directed towards the gay community and is syndicated in several dozen newspapers across the world.
N_SS,"NESS.    	Loch Ness is one of the two most famous lakes in Scotland. Loch Ness is famous for its 'monster', and Loch Lomond is famous for the lovely song 'The Bonnie Banks o' Loch Lomond'. Oh, ye'll tak' the high road, and I'll tak' the low road ..."
M_N,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
A_ISH,"AMISH.    	The Amish are a group of Christian churches, a subgroup of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
ROS_,"ROSE.    	Rose Fitzgerald Kennedy was the mother of President John F. Kennedy, and eight other children.She lived to a very ripe old age, passing away in 1995 when she was 104 years old."
TA_OT,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment in games. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
E_YS,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
_AR,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
_HI,CHI.    	The Greek letter 'chi' is the one that looks like our 'X'.
B_N,"BEN.    	Big Ben is the name commonly used for the large bell in the Clock Tower of the Palace of Westminster (aka the Houses of Parliament). Big Ben's official name is the Great Bell, and there is some debate about the origins of the nickname. It may be named after Sir Benjamin Hall who oversaw the bell's installation, or perhaps the English heavyweight champion of the day Benjamin Caunt."
_LO,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
P_A,PSA.    	Public service announcement (PSA).
O_T,"OAT.    	The Quaker Oats Company was founded in 1901 when four oat mills merged, including the Quaker Mill Company of Ravenna, Ohio. Quaker Mill's owner Henry Parsons Crowell played the key role in the new company and remained at the helm until 1943."
IZ_D,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
EN_ON,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
N_IL,NEIL.    	Neil deGrasse Tyson is an astrophysicist who is noted for his ability to communicate science to the masses. Tyson is well known for his appearances on the great PBS show 'Nova'.
E_RON,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
_TL,"STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That name change obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
EAR_,"EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
DA_,"DAN.    	Steely Dan's heyday was in the seventies, when they toured for a couple of years, but mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993, and they are still going strong today."
E_ME,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
UA_,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
U_E,"UNE.    	Champagne is a historic province in the northeast of France, famous of course for its sparkling white wine."
EL_,"ELY.    	The Isle of Ely in England isn't an island as we would usually know it, and instead is the name of the area surrounding the city of Ely. Centuries ago however, the region was in fact an island surrounded by a fen, a type of swamp. The name is said to derive from 'Island of Eels', a reference to the large number of eels caught in the area's rivers."
LO_,"LON.    	Lon Chaney, Sr. played a lot of crazed-looking characters in the days of silent movies. He did much of his own make-up work, developing the grotesque appearances that became his trademark, and earning himself the nickname ""the man of a thousand faces"". Most famous of all was his portrayal of ""The Phantom of the Opera"" in 1925."
E_RP,"EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
N_N,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979. The title characters were two sets of fraternal twins, one called Bert and Nan (who were 12) and the other called Flossie and Freddie (who were 6)."
_IN,"GIN.    	The name ""martini"" probably takes it name from the ""Martini & Rossi"" brand of dry vermouth, although no one seems to be completely sure. What is clear, is that despite the Martini name originating in Italy, the martini drink originated in the US."
SE_NE,"SEINE.    	The famous 'Left Bank' ('La Rive Gauche') of the River Seine in Paris is the river's southern bank. The area south of the river was traditionally quite affluent and was home to artists, students and intellectuals."
IM_M,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
_VID,OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
_SN,"MSN.    	The Microsoft Network (MSN) used to be an Internet service provider (ISP). These days, MSN is mainly a web portal."
_AVI,"RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is noted for his sitar playing. Also, Shankar is the father of the beautiful pop singer Norah Jones."
_AR,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
S_AM,"SPAM.    	Apparently the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
NYE_,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
GT_,"GTO.    	The Monkeemobile was designed in 1966 for the TV show 'The Monkees'. Two of the vehicles were constructed, both modified Pontiac GTOs."
RA_U,"RAGU.    	The Ragú brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
CR_,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
OH_RA,"O'HARA.    	BUtterfield 8' (note the capitalization of both the 'B' and the 'U') is a film released in 1960 starring Elizabeth Taylor and Laurence Harvey. The title of the movie, and of the John O'Hara novel on which the film is based, is actually a telephone number. Up to the mid-sixties, telephone exchanges were given names rather than numbers. BUtterfield 8 was an exchange in the wealthy Upper East Side of Manhattan, and dialling of BU-8 was equivalent to 28-8, the first three digits of a 7-digit phone number."
