E_UC,EDUC.    	Parent-Teacher Association (PTA)
C_AD,"CHAD.    	The landlocked African country called Chad takes its name from the second largest wetland on the continent, which is known as Lake Chad."
SA_ES,SASES.    	A self-addressed stamped envelope (SASE) might be an enclosure (enc.) sent with a letter.
SAT_EN,"SATEEN.    	Sateen is a cotton fabric, with a weave that is ""four over, one under"" meaning that most of the threads come to the surface giving it a softer feel."
GRO_,"GROK.    	'To grok' is to understand, a slang word really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
ID_L,"IDYL.    	An ""idyll"" (also ""idyl"") is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
_HEX,"CHEX.    	The original Chex cereal was introduced in 1937 by Ralston Purina. Ralston Purina had a logo with a checkerboard square on it, which gave the pattern to the cereal as well as its name. Chex used characters from the ""Peanuts"" comic strip in its advertising for many years."
F_AK,"FLAK.    	""Flak"" was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism as in ""to take flak""."
A_UMNA,"ALUMNA.    	Mount Holyoke College is a private school for women located in South Hadley, Massachusetts. It was founded as Mount Holyoke Female Seminary in 1834 as the sister school to Andover Seminary."
_ADA,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe."
HIH_,HI-HO.    	'Heigh-Ho' is one of the best known songs in the classic Disney animated feature 'Snow White and the Seven Dwarfs'. 'Heigh-Ho' is sung by the seven dwarfs as they head off to mine diamonds and rubies.
EDD_,"EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology. Both Eddas were written in the 13th century, in Iceland."
IL_NE,"ILENE.    	Ilene Graff is an American actress, probably best known for playing Marsha Owens, the wife of George in the TV series ""Mr. Belvedere""."
O_T,"ORT.    	Orts are small scraps of food left after a meal. 'Ort' comes from Middle English, and originally described scraps left by animals."
IND_,"INDY.    	The first Indy 500 race was held on Memorial Day in 1911. The winner that day was one Ray Harroun. Harroun had seen someone using a rear view mirror on a horse-drawn vehicle, and decided to fit one on his Marmon ""Wasp"" motor car. Supposedly that was the first ever use of a rear view mirror on a motor vehicle."
C_BB,"COBB.    	Ty Cobb was one of the richest baseball players of all times. When he retired, Cobb was a major stockholder of the Coca-Cola Corporation. By the time he passed away in 1961, Cobb had an even bigger investment in General Electric. He left an estate after his death worth about $86m (in 2008 dollars)."
QT_P,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
M_ETNA,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
_MSK,OMSK.    	Omsk is a city in southwest Siberia. It is located over 1400 miles from Moscow and was chosen as the destination for many internal exiles in the mid-1900s. Perhaps the most famous of these exiles was the author Fyodor Dostoyevsky.
ATO_AL,"ATONAL.    	Atonal music is not written in any particular key, and therefore does not have a key signature."
DCO_,D-CON.    	'd-Con' is a line of rodent control products that has been around for over 50 years.
IS_S,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
BE_NE,"BEENE.    	Geoffrey Beene was an American fashion designer. He had an impressive list of clients that included First Ladies Lady Bird Johnson, Pat Nixon and Nancy Reagan."
_SOLE,O SOLE.    	12. See 55-Down : MIO
BBG_N,"BB GUN.    	A BB gun is an air pistol or rifle that shoots birdshot known as BBs. Birdshot comes in a number of different sizes, from size 9 (0.080"" in diameter) to size FF (.23""). 0.180"" diameter birdshot is size BB, which gives the airgun its name."
OR_,ORG.    	The .org domain was one of the six original generic top-level domains specified. The complete original list is:
SAT_EN,"SATEEN.    	Sateen is a cotton fabric, with a weave that is ""four over, one under"" meaning that most of the threads come to the surface giving it a softer feel."
KAN_,"KANE.    	""Citizen Kane"" was the first film made by Orson Welles, one considered by many to be the finest film ever made. It's a remarkable achievement by Welles, as he played the lead, and also produced and directed. Despite all the accolades for ""Citizen Kane"" over the decades, the movie was far from a commercial success in its early run and actually lost money at the box office."
AT_,ATP.    	The Association of Tennis Professionals (ATP) is an organization that looks out for the interests of male tennis professionals. The equivalent organization for women is the Women's Tennis Association (WTA).
SO_A,"SODA.    	'Bicarb' is a familiar term for sodium bicarbonate. Another name for the same compound is 'baking soda'. When sodium carbonate is added to a batter, it reacts with acids and releases carbon dioxide which gives baked goods texture, all those ""holes""."
_DQ,PDQ.    	Pretty darn quick (PDQ)
END_R,"ENDOR.    	In the 'Star Wars' universe, the moon of Endor is home to the Ewoks. The Ewoks are creatures who first appear in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly little guys that look like teddy bears."
_RIX,"TRIX.    	Trix is a corn-based breakfast cereal that has been around since 1954, produced by General Mills. Ads for the cereal featured Trix Rabbit, who would try hard to get hold of bowls of the cereal. He would always get caught though, and be admonished with, ""Silly rabbit, Trix are for kids!"" With 46% sugar content, the rabbit probably wouldn't have liked it anyway ..."
AU_EN,"AUDEN.    	The noted poet W. H. Auden was born and raised in England, but eventually became a US citizen. As well as hundreds of poems, Auden also wrote librettos for operas, including Igor Stravinsky's 'The Rake's Progress'."
TITA_,"TITAN.    	The Titans were a group of twelve older deities in Greek mythology. In the celebrated Battle of the Titans, they were overthrown by the Olympians, who were twelve younger gods."
K_NE,"KANE.    	""Citizen Kane"" was the first film made by Orson Welles, one considered by many to be the finest film ever made. It's a remarkable achievement by Wells, as he played the lead, and also produced and directed. Despite all the accolades for ""Citizen Kane"" over the decades, the movie was far from a commercial success in its early run and actually lost money at the box office."
_EATS,"YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923 for ""inspired poetry"" that gave ""expression to a whole nation"". Yeats was Ireland's first Nobel laureate."
B_CA,"BOCA.    	The name of the city of Boca Raton in Florida translates from Spanish as 'Mouse Mouth'. There doesn't seem to be a definitive etymology of the name but one plausible explanation is a nautical one. 'Boca', as well as meaning 'mouth' can mean 'inlet'. 'Ratón', as well as meaning 'mouse' was also used to describe rocks that chewed away at a ship's anchor cable. So possibly Boca Raton was named for a rocky inlet."
ATTIL_,"ATTILA.    	In his day, Attila the Hun was the most feared enemy of the Roman Empire, until he died in 453 AD. Attila was the leader of the Hunnic Empire of central Europe and was famous for invading much of the continent. However, he never directly attacked Rome. Attila was called 'Attila, Flagelum Dei', Latin for 'Attila, Scourge of God'."
_SENET,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
_AJAH,"RAJAH.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""chaturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
LA_,"LAR.    	Lar Lubovitch is an American choreographer noted for his stage work, but also for choreographing figure skating routines for the likes of John Curry, Peggy Fleming and Dorothy Hamill."
_ATERS,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
P_RSE,"PARSE.    	The verb ""to parse"" means ""to state the parts of speech in a sentence"". ""Parse"" comes from the Latin word ""pars"" meaning ""part""."
R_P,"REP.    	The number of seats in the US House of Representatives has been 435 since the year 1913, although there was a temporary increase to 437 seats at the time of the admission of Alaska and Hawaii to the Union. The number of representatives assigned to each state is proportional to that state's population, except that each state is guaranteed a minimum of one delegate by the US Constitution."
FE_A,"FEMA.    	Federal emergency management has been structured for over 200 years, but what we know today as the Federal Emergency Management Agency (FEMA) was created in 1979 in an Executive Order issued by President Jimmy Carter."
SAB_,"SABE.    	Kemosabe' is a term used by the Tonto character in the iconic radio and television program 'The Lone Ranger'. 'Kemosabe' doesn't really mean anything outside of the show, and in fact was written as 'ke-mo sah-bee' in the original radio show scripts. The term was created by longtime director of 'The Lone Ranger', Jim Jewell. To come up with the term, Jewell used the name of a boy's camp that his father-in-law established called Kamp Kee-Mo Sah-Bee."
A_A,"ALA.    	Alabama is known as the Yellowhammer State, in honor of the state bird. Alabama is also called the 'Heart of Dixie'."
OATE_S,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
O_AY,"O'DAY.    	The singer Aubrey O'Day is member of the duo band Dumblonde, and a former member of the girl group Danity Kane."
EN_OR,"ENDOR.    	According to the First Book of Samuel, the Witch of Endor called up the ghost of the deceased Samuel at the behest of Saul, the first King of the Israelites. Endor was a city in the land of Canaan."
_ATERS,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
LAM_R,"LAMAR.    	Kendrick Lamar is a hip hop singer from Compton, California. Lamar's full name is Kendrick Lamar Duckworth, with the singer's given name in honor of Motown artist Eddie Kendricks."
OATER_,"OATERS.    	The term ""oater"" that is used for a western movie comes from the number of horses seen, as horses love oats!"
EDI_A,"EDINA.    	Edina, Minnesota lies just southwest of Minneapolis. The town takes its name from Edinburgh, the capital city of Scotland. It was suggested by a Scottish mill owner at the time a new village was being set up in 1888."
SC_W,"SCOW.    	A scow is a flat-bottomed boat with squared-off ends that's often used for transportation, usually pushed or pulled by a barge. Often a scow can be seen carrying junk or garbage."
_MELT,"SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, the ore is heated and the metal oxides within are reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting (and of course, a greenhouse gas)."
UN_M,"UNUM.    	From 1776, ""E pluribus unum"" was the unofficial motto of the United States. 'E pluribus unum' is Latin for 'Out of many, one'. It was pushed aside in 1956 when an Act of Congress designated ""In God We Trust"" as the country's official motto."
_ROK,"GROK.    	'To grok' is to understand, a slang word really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
MT_TNA,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
OS_S,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
AR_BS,"ARABS.    	Scheherazade was a Persian queen of legend, and the storyteller in the wonderful ""One Thousand and One Nights""."
G_S,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
TOD_,TODD.    	Chuck Todd is a television journalist. Todd is the Chief White House Correspondent for NBC.
CUB_,"CUBA.    	The island of Cuba is sometimes known as 'El Cocodrilo', which translates as 'the crocodile'."
SI_,"S'IL.    	RSVP stands for ""répondez, s'il vous plaît"", which is French for ""please, answer""."
P_Q,PDQ.    	Pretty darn quick (PDQ)
OC_LI,"OCULI.    	Oculus (plural 'oculi') is the Latin word for ""eye"", and is used in architecture for a circular window."
C_ESAR,"CAESAR.    	It was Shakespeare who popularized the words ""Et tu, Brute?"" (And you, Brutus?), in his play ""Julius Caesar"", although the phrase had been around long before he penned his drama. It's not known what Julius Caesar actually said in real life just before he was assassinated on the steps of the Senate in Rome."
R_MO,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
SN_PE,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman on the big screen."
LO_RE,"LOIRE.    	The Loire River is so long that it drains a full one-fifth of France's land mass. It rises in the southeast, in the Cevennes mountain range, then it heads north and then due west, emptying into the Bay of Biscay at the city of Nantes."
NADA_,"NADAL.    	Rafael Nadal is a Spanish tennis player who is noted for his expertise on clay courts, earning him the nickname ""The King of Clay""."
S_ALA,"SCALA.    	The La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
E_MES,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
_DI,"SDI.    	One of the positive outcomes of President Reagan's Strategic Defense Initiative (SDI) was a change in US defense strategy. The new approach was to use missiles to destroy incoming hostile weapons, rather than using missiles to destroy the nation attacking the country. The former doctrine of Mutually Assured Destruction went by the apt acronym of MAD ..."
PU_,"PUN.    	Marcel Duchamp was a French artist whose works are associated with the Dadaist and Surrealist movements. One of his most celebrated ""works"" is simply what he called ""readymade"" art, a urinal which he titled ""Fountain"". Even though this work is considered to be ""a major landmark in 20th century art"", the original that was submitted for exhibition was never actually displayed and had been lost forever. Replicas were commissioned by Duchamp, and are on display in many museums around the world. I have no further comment ..."
SAUD_,"SAUDI.    	The Kingdom of Saudi Arabia is the largest Arab country in the Middle East and is the world's largest oil producer, home to the world's largest oil reserves. The Saudi dynasty started in central Arabia in 1744 when the secular leader Muhammad ibn Saud joined forces with the Islamic scholar and Imam, Muhammad ibn Abd-al-Wahhab. At the time, Saud was a ruler of a town near Riyadh and he was determined to bring ""true"" Islam to the Arabian peninsula. Since 1744 the fortunes of the Saudi family have risen and fallen, but it is that same family who rules what we know today as Saudi Arabia."
B_W,"BMW.    	The Z3 is a relatively low-cost roadster that was made by BMW from 1995 to 2002. I am not really into cars, but I do like the look of the Z3. I rented one for a few days in Munich years ago, in the middle of a freezing and snowy winter. It was a convertible model, so it was cold and noisy. I didn't care, I still enjoyed driving it ..."
_EX,"SEX.    	Simone de Beauvoir was a French philosopher and writer. de Beauvoir wrote a treatise in 1949 called 'The Second Sex' that discussed the oppression of women, which became an inspiration for the modern feminist movement. She is also known for the long-term relationship she had with fellow philosopher and writer Jean-Paul Sartre."
L_AR,LIAR.    	The full rhyme used by children to deride someone not telling the truth is:
DI_,DIR.    	Director (dir.)
F_O,"FRO.    	Julius Erving is a retired professional basketball player who was known as 'Dr. J', a nickname he picked up in high school. Dr. J was a trailblazer in many ways, being the first player associated with slam dunking and other moves above the rim."
OTO_S,"OTOES.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
SRI_,"SRIS.    	Mumbai is the most populous city in India, and the second most populous city in the world (after Shanghai). The name of the city was changed from Bombay to Mumbai in 1995."
CI_E,CINE.    	'Cine' is the French for 'cinema'.
_ILI,"LILI.    	'Lili' is 1953 musical film starring Leslie Caron in the title role, a naive French orphan girl. A famous song from the movie is 'Hi-Lili, Hi-Lo'."
MAL_A,"MALTA.    	The island state of Malta is relatively small, but its large number of inhabitants makes it one of the most densely populated countries in Europe. Malta's strategic location has made it a prized possession for the conquering empires of the world. Most recently it was part of the British Empire and was an important fleet headquarters. Malta played a crucial role for the Allies during WWII as it was located very close to the Axis shipping lanes in the Mediterranean. The Siege of Malta lasted from 1940 to 1942, a prolonged attack by the Italians and Germans on the RAF and Royal Navy, and the people of Malta. When the siege was lifted, King George VI awarded the George Cross to the people of Malta collectively in recognition of their heroism and devotion to the Allied cause. The George Cross can still be seen on the Maltese flag, even though Britain granted Malta independence in 1964."
PAE_N,"PAEAN.    	A paean is a poem or song that expresses triumph or thanksgiving. 'Paean' comes from the ancient Greek 'paian' meaning ""song of triumph'."
D_NES,"DANES.    	Greenland is the largest island in the world. Geographically, Greenland is part of the continent of North America, but culturally and politically is considered part of Europe. The island became a Danish colony in 1815, and joined the European Economic Community (EEC) with Denmark. Greenland withdrew from the EEC after a referendum in 1983. Since 2009, Greenland has been relatively autonomous, with the Danish government retaining control of foreign affairs, defence and the judicial system."
TUD_R,"TUDOR.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII, and so began the Tudor dynasty. Henry Tudor united the rival houses by marrying his cousin Elizabeth of York. Henry VII had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. Henry VIII ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue. When Elizabeth died, the Scottish King James VI succeeded to the throne as James I of England and Ireland. James I was the first English monarch of the House of Stuart."
QTI_,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
_HAD,"CHAD.    	The landlocked African country called Chad takes its name from the second largest wetland on the continent, which is known as Lake Chad."
R_ISA,RAISA.    	Raisa Gorbachova was the wife of Soviet leader Mikhail Gorbachev. There's no doubt that Raisa's charm and personality helped her husband as he worked to change the image of the Soviet Union.
_HL,"DHL.    	Back in the sixties, Larry Hillblom was making pocket money as a Berkeley law student by doing courier runs between San Francisco and Los Angeles. After law school, Hillblom decided to parlay his experience into his own business and set up a courier service flying bills of lading ahead of freight from San Francisco to Honolulu. He brought in two buddies, Adrian Dalsey and Robert Lynn, as partners and the three were soon hopping on and off commercial flights and gradually making more and more money. And DHL was born ... D (for Dalsey) H (for Hillblom) L (for Lynn)."
R_XY,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest and best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him. As Rothafel's nickname was Roxy, that's the name the owners used."
E_MES,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
GIG_,"GIGI.    	In the lovely musical film ""Gigi"", released in 1958, the title song is sung by Louis Jourdan who plays Gaston. My favorite number though, has to be ""Thank Heaven for Little Girls"" sung by Maurice Chevalier. Many say that 'Gigi' is the last in the long line of great MGM musicals. It won a record 9 Academy Awards, a record that only lasted one year. Twelve months later 'Ben Hur' won 11 Oscars. In the 1958 film, Gigi was played by the lovely Leslie Caron. A few years earlier, 'Gigi' was a successful stage play on Broadway. Chosen for the title role on stage was the then-unknown Audrey Hepburn."
_OE,"FOE.    	Professor James Moriarty was the main villain who crossed swords with Sir Arthur Conan Doyle's' 'Sherlock Holmes'. Moriarty is always cropping up in Sherlock Holmes television and radio plays and in movies, but if you go back to the original stories he isn't around very much. He only turns up directly in two of the narratives, and was primarily introduced by Conan Doyle in order to 'kill off' Sherlock Holmes in a brawl at the top of the Reichenbach Falls in Switzerland. Both Holmes and Moriarty fell to their deaths. Well ... public pressure on the author caused Conan Doyle to resurrect Holmes in 'The Hound of the Baskervilles'."
A_RI,"ATRI.    	Henry Wadsworth Longfellow wrote ""The Sicilian's Tale; The Bell of Atri"", a narrative poem set in the small town of Atri in the Abruzzo region of Italy."
D_T,DET.    	Detective (Det.)
MYS_,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully-designed (for its day) interactive world."
T_T,"TIT.    	The Bearded Tit is more usually known as the Bearded Reedling. The bird doesn't actually have a ""beard"", although the male has black marks around the bill that resemble a mustache."
AS_R,ASTR.    	Astronomy (astr.)
ONT_RIO,ONTARIO.    	The Canadian province of Ontario is bordered by five US states:
APPL_,"APPLE.    	The Beatles founded their own record label in 1968, Apple Records. When singles were released, the A-side had the image of a Granny Smith apple on the label, with the B-side label showing the midsection of the same apple cut in half. Cute ..."
_CEAN,"OCEAN.    	The Indian Ocean is the third largest of the world's oceans, and was named for the country of India that forms much of its northern boundary."
_MS,"AMS.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
_IN,SIN.    	The cardinal sins of Christian ethics are also known as the seven deadly sins. The seven deadly sins are:
ALIEN_,"ALIENS.    	The science fiction magazine called 'Astounding Stories' was first published in 1930. It has been renamed a few times but is still around today, issued under the title 'Analog Science Fiction and Fact'."
UNS_R,"UNSER.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 on four occasions. Al's brother Jerry was the first of the Unsers to compete at Indianapolis. Al's other brother Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
MYS_,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully-designed (for its day) interactive world."
OCEA_,OCEAN.    	The earliest known mention of the name 'Atlantic' for the world's second-largest ocean was in Ancient Greece. The Greeks called the ocean 'the Sea of Atlas' or 'Atlantis thalassa'.
TO_D,"TODD.    	Mary Todd moved in the best of the social circles in Springfield, Illinois and there met the successful lawyer, Abraham Lincoln. The path to their marriage wasn't exactly smooth, as the engagement was broken once but reinstated, with the couple eventually marrying in 1842."
_MMYS,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
YET_S,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. ""Yeti"" is a Tibetan term, and the beast is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot, also known as Sasquatch. The study of animals whose existence have not yet been substantiated is called cryptozoology."
HA_H,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
C_ESS,"CHESS.    	In the game of chess, a 'fork' is a tactic in which a piece attacks two or more opposing pieces at the same time."
BSI_E,"B-SIDE.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
BL_U,BLEU.    	'Bleu' is French for 'blue'.
_TEELE,"STEELE.    	Richard Steele was an Irish writer, the co-founder of the magazine 'The Spectator' along with Joseph Addison. Steele also founded 'The Tatler' magazine, for which he wrote 188 essays."
_RYN,"BRYN.    	I used to live not far from Bryn-mawr (also ""Brynmwar"") in Wales, the town with the highest elevation in the country. Appropriately enough, ""bryn mawr"" is Welsh for ""big hill"". There is also a Bryn Mawr in Pennsylvania (note the different capitalization) that is named after its Welsh counterpart. At the Pennsylvania location there's a Bryn Mawr college, a private women's school that was the first American university to offer graduate degrees to women."
ORC_S,"ORCAS.    	The taxonomic name for the killer whale is Orcinus orca. The use of the name ""orca"", rather than ""killer whale"", is becoming more and more common. The Latin word ""Orcinus"" means ""belonging to Orcus"", with Orcus being the name for the Kingdom of the Dead."
H_HAT,"HI-HAT.    	In a drum kit, a hi-hat is that pairing of cymbals that sits on a stand and is played by using a foot pedal. The top cymbal is raised and lowered by the foot, hence creating a crashing sound."
E_INA,"EDINA.    	Edina, Minnesota lies just southwest of Minneapolis. The town takes its name from Edinburgh, the capital city of Scotland. It was suggested by a Scottish mill owner at the time a new village was being set up in 1888."
GAE_,"GAEA.    	The Greek goddess personifying the earth was Gaea (meaning ""land"" or ""earth"" in Greek). The Roman equivalent goddess was Terra Mater, ""Mother Earth"". Gaea was the wife of Uranus (Father Sky). Gaea and Uranus were the parents of the twelve Titans."
E_AN,"EGAN.    	Richard Egan was an actor from San Francisco. One of Egan's more famous roles was playing Elvis Presley's older brother in 'Love Me Tender'. Rod Serling eventually chose to narrate his epic 'The Twilight Zone' series himself, but his first choice for narrator had been Richard Egan. It was perhaps lucky that Egan couldn't do the 'The Twilight Zone' gig due to other contractual obligations, as Serling's commentary added so much to the show."
_ONE,BONE.    	The English nursery rhyme 'Old Mother Hubbard' was first printed in 1805:
A_OEBA,"AMOEBA.    	An ameba (or ""amoeba"", as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
OXI_E,OXIDE.    	Ethylene oxide is a colorless gas with mildly sweet odor that is very flammable. It is used as an important raw material in the manufacture of many industrial chemicals.
