SCAM_I,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
SEN_CA,"SENECA.    	Seneca the Younger was a tutor and advisor to the Emperor Nero of Ancient Rome. Although maybe innocent, Seneca was forced to commit suicide by Nero as it was alleged that Seneca participated in a plot to kill the emperor. To kill himself, Seneca cut into a number of veins in order to bleed to death."
C_D,"CUD.    	Ruminants are animals that 'chew the cud'. Ruminants eat vegetable matter but cannot extract any nutritional value from cellulose without the help of microbes in the gut. Ruminants collect roughage in the first part of the alimentary canal, allowing microbes to work on it. The partially digested material (the cud) is regurgitated into the mouth so that the ruminant can chew the food more completely exposing more surface area for microbes to do their work."
OTTOM_N,"OTTOMAN.    	Suleiman the Magnificent was the longest-reigning leader of the Ottoman Empire, in power from 1520 to 1566. Suleiman extended the Ottoman Empire by conquest of territories. He also presided over the Golden Age of the empire as he was a great patron of the arts."
SAR_N,"SARAN.    	What's known as plastic wrap in America, we call cling-film in Ireland. Plastic wrap was one of those unintended inventions, a byproduct of a development program to create a hard plastic cover for cars."
MER_,"MERL.    	A merl (or merle) is often called a blackbird over in Europe. The male merl is completely black, with a yellow beak."
_PORE,"SPORE.    	Spores are produced by many bacteria, fungi and non-flowering plants. A spore is a reproductive body encased in protective shell that is highly resistant to damage, and to heat in particular."
TY_,"TYE.    	A tye can be either a chain or a rope, and is used to hoist a spar up a mast."
SARA_,"SARAN.    	What's known as plastic wrap in America, we call cling-film in Ireland. Plastic wrap was one of those unintended inventions, a byproduct of a development program to create a hard plastic cover for cars."
MEA_A,"MEARA.    	Jerry Stiller and Anne Meara are a husband and wife comedy duo, and parents of Ben Stiller (and Amy Stiller). Stiller and Meara met while appearing with the Compass Players (later to become Second City), and have been married since 1954."
AM_,"AMT.    	A peck is a unit of dry volume, equivalent to two gallons. Four pecks then make up a bushel."
GA_L,"GAEL.    	A highlander would be someone from the highlands of Scotland, and would qualify as a Gael. To me a Gael is anyone who speaks one of the Erse tongues."
S_R,SYR.    	Syria is a neighbor of Turkey.
AMAN_A,"AMANDA.    	Amanda Lake was the actress who played 'Miss Kitty', the saloon proprietor on the television show 'Gunsmoke'."
GAR_,"GARP.    	John Irvine's 1978 novel ""The World According to Garp"" is somewhat biographical. In fact, Irvine's mother found parts of the novel difficult to read, recognizing elements of herself in Garp's mother."
C_E,CUE.    	A ham actor might need help from a cue.
_MA,"GMA.    	Good Morning America' (GMA) is ABC's morning show, and has been since 1975. There was even a spinoff show called 'Good Afternoon America', although it only lasted for a few months in 2012."
_EDS,"TEDS.    	Ted Kennedy was the youngest boy in the family that included his older brothers Joseph Jr. (killed in action in WWII), John (assassinated) and Robert (assassinated). Ted Kennedy went into the US Senate in 1962, in a special election held after his brother became US President. He remained in the Senate until he passed away in 2009, making him the fourth-longest-serving Senator in history."
G_D,"GED.    	The General Education Diploma (GED) is a substitute for a high school diploma, available perhaps for high school dropouts or students that are homeschooled."
_NYA,"ANYA.    	""The Cherry Orchard"" was Anton Chekhov's last play. Chekhov wrote the play as a comedy, but when it was first staged in Moscow in 1904 it was directed as a tragedy!"
H_S,HIS.    	The word's 'his' and 'hers' are often embroidered on sets of towels.
PLUT_,"PLUTO.    	Pluto was discovered in 1930, and was welcomed as the ninth planet in our solar system. Pluto is relatively small in size, just one fifth of the mass of our own moon. In the seventies, astronomers began to discover more large objects in the solar system, including Eris, a ""scattered disc object"" at the outer reaches. Given that Eris is actually bigger than Pluto, and other objects really aren't that much smaller, Pluto's status as a planet was drawn into question. In 2006 there was a scientific definition for a ""planet"" agreed for the first time, resulting in Pluto being relegated to the status of ""dwarf planet"", along with Eris."
ANG_LA,"ANGELA.    	The formidable politician Angela Merkel is the current Chancellor of Germany, the country's head of state. Merkel is the first female German Chancellor, and when she chaired the G8 in 2007 she became only the second woman to do so, after the UK's Margaret Thatcher. Merkel grew up in East Germany under Communist rule."
IS_IAH,"ISAIAH.    	The Book of Isaiah is part of the Hebrew Bible and the Christian Old Testament. Isaiah is not mentioned in the Qur'an, but many Muslim scholars consider Isaiah a prophet."
I_B,"IN B.    	Johannes Brahms was a leading German composer from the Romantic period. He is one of the ""Three Bs"", often grouped with Johann Sebastian Bach and Ludwig van Beethoven."
ALPA_INO,"AL PACINO.    	Al Pacino seems to be best known for playing characters on either side of the law. His big break in movies came when he played Michael Corleone in 'The Godfather', a role that grew for him as the series of films progressed. But his Oscar winning role was that of a blind ex-military officer in 'Scent of a Woman'."
_OUX,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions of roux are being used more and more these days."
N_W,"NSW.    	New South Wales (NSW) is the most populous state in Australia and is home to Sydney, the most populous city in the country. New South Wales was founded in 1788. When the British took over New Zealand in 1840, for a while New Zealand was actually governed as part of New South Wales."
MI_MI,"MIAMI.    	When Miami was given permission to form a team for the NBA, two names were tossed out for consideration. A survey was taken in the area and the Miami Heat name was favored over the Miami Vice ..."
O_ER,OPER.    	I think the reference is to a telephone operator&#8217;s job &#8230;
D_NEB,"DENEB.    	Deneb is the brightest star in the constellation called Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning 'tail', as it lies at the tail of the swan."
ATM_,"ATMS.    	ATMs are Automated Teller Machines, called ""cashpoints"" in back in Ireland. Well, as students we also called them ""drink links"", for obvious reasons."
G_S,"GUS.    	Gus Kahn was a songwriter who was very successful on Broadway and in Hollywood. Songs that he penned include ""I'll See You in My Dreams"", ""It Had to Be You"" and ""Makin' Whoopee!"""
CE_TA,CESTA.    	A cesta is the wicker scoop work on the hand that is used for catching and throwing the ball in jai alai.
_OCS,MOCS.    	The moccasin is a traditional form of footwear worn by many Native American tribes.
_OI,"MOI.    	The Muppet called Miss Piggy has a pretentious air, and so refers to herself as 'moi'. In 1998, Miss Piggy even released her own perfume called 'Moi'."
HAN_EL,"HANDEL.    	Music for the Royal Fireworks' is a suite composed by George Frideric Handel in 1749. The suite was created for a royal fireworks display on the River Thames in London that was staged to celebrate the end of the War of the Austrian Succession. The music was a big hit, but the firework display ... not so much. The fireworks caused a fire in the building in which the musicians were playing."
AL_AR,"ALTAR.    	The constellation of Ara takes its name from the Latin word for ""altar""."
M_MBA,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake that used to be responsible for a great number of fatalities before anti-venoms became available. Mamba venom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart so a bite, if left untreated, causes the lungs and the heart to shut down."
AS_HI,"ASAHI.    	Asahi is a beer, and the name of the brewery that produces it. ""Asahi"" is Japanese for ""morning sun"". Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed the brewery to the number one spot in terms of beer production in Japan, with Sapporo close behind."
OBI_S,"OBIES.    	The Obies are the ""Off-Broadway Theater Awards"". The Obies are presented annually, and the recipients are chosen by ""The Village Voice"" newspaper."
OWL_,"OWLS.    	Hogwarts is of course the boarding school in the ""Harry Potter"" books."
TO_A,"TORA.    	The pre-determined code word to be used by the Japanese if they managed to achieve surprise in their attack on Pearl Harbor was tiger, or ""tora"" in Japanese. This gave the name to the excellent 1970 movie ""Tora! Tora! Tora!""."
ATES_,A-TEST.    	Tests of atom bombs in the atmosphere give rise to large mushroom clouds.
SI_,SIN.    	The cardinal sins of Christian ethics are also known as the seven deadly sins. The seven deadly sins are:
AS_,"ASO.    	Mount Aso is the largest active volcano in Japan, and is found on the island of Kyushu."
NIS_,"NISI.    	A decree nisi is a court order, one that only comes into force when certain specified conditions are met. At the point where the conditions are met, it becomes a decree absolute and is binding. 'Nisi' is Latin for 'unless'."
LE_AR,"LEHAR.    	""The Merry Widow"" is an operetta composed by Franz Lehar. It was first performed in 1905 and has been popular ever since. Franz Lehar was a Hungarian who had a difficult relationship with the Nazi regime after it took control of his country. His wife was born Jewish, but converted to Catholicism. Fortunately, Hitler enjoyed Lehar's music and as a result Goebbels intervened and made Sophie Lehar ""an honorary Aryan by marriage""."
ATE_T,"A-TEST.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. In an atomic bomb, uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. Fusion devices are also called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy than a fission reaction."
T_G,"TAG.    	""Graffiti"" is the plural of ""graffito"", the Italian for ""a scribbling"". The word was first used to describe ancient inscriptions on the walls in the ruins of Pompeii."
TEA_,"TEAK.    	Teak is a hardwood tree in the mint family, commonly found in monsoon forests of Asia."
MA_IO,"MARIO.    	Mario Lopez is an actor and television host from San Diego, California. Lopez came in second on the third season of 'Dancing with the Stars'. Lopez ended up romantically involved with his partner in the show, professional dancer Karina Smirnoff."
RAD_I,"RADII.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
FC_,"FCC.    	TV broadcasting is monitored by the Federal Communications Commission. The FCC has been around since 1934, when it replaced the Federal Radio Commission."
GA_,"GAM.    	The American slang term ""gams"" is used for a woman's legs, but the term goes back to the 18th century ""gamb"" meaning the leg of an animal on a coat of arms."
BE_E,"BETE.    	""Bête noire"" translates from French as ""the black beast"" and is used in English for something or someone that is disliked."
RI_GO,"RINGO.    	Octopus's Garden' is a song released by the Beatles in 1969, one that was written and performed by drummer Ringo Starr. This was only Ringo's second musical composition and he gets sole credit for the writing, even though it is well established that George Harrison gave him quite a bit of ""help"". The idea for the song came to Ringo while he was on holiday with his family in Sardinia. The captain of the boat on which they were staying told Ringo that an octopus would spend its time traveling the seabed collecting shiny objects with which to make itself a garden. I don't know how true that is, but Ringo seemed to find it inspiring."
V_SA,VISA.    	Did you know that Visa doesn't issue any credit cards? Visa just sells the electronic systems and infrastructure to banks who then put the Visa logo on their own cards so that the customer and merchant know to use the VISA system when making a transaction.
_ASSO,"LASSO.    	Wonder Woman first appeared in print in 1941, published by DC Comics. As she was created during WWII, Wonder Woman's first foes were the axis powers. In the less realistic world her biggest foe was and still is Ares, named for the Greek mythological figure."
F_C,"FCC.    	TV broadcasting is monitored by the Federal Communications Commission. The FCC has been around since 1934, when it replaced the Federal Radio Commission."
MI_O,"MILO.    	The famous ""Venus de Milo"" is so named as she was discovered in the ruins of the ancient city of Milos, on the Aegean island of the same name. I've been lucky enough to see the statue, in the Louvre in Paris, and was surprised at how large it is (6 ft 8 in tall)."
RES_N,"RESIN.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft sticky tree resin but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this material can sometimes remain virtually intact inside the amber fossil giving us a unique gift from the past."
PLA_O,"PLATO.    	Plato was a Greek philosopher and mathematician. He was a student of the equally famous and respected Socrates, and Plato in turn was the teacher and mentor of the celebrated Aristotle."
AL_E,"ALPE.    	Mont Blanc is the highest mountain in the Alps. The name ""Mont Blanc"" translates from French into ""white mountain"". The mountain lies on the border between France and Italy, and it has been generally accepted for decades that the summit lies within French territory. However, there have been official claims that the summit does in fact fall within the borders of Italy."
NI_A,"NITA.    	Nita Naldi was an American silent film actress who usually played a ""femme fatale"" type of role."
M_I,MOI.    	'Camelot' is a Lerner and Loewe musical based on the legend of King Arthur. The show was first shown on Broadway in 1960 and ran for 873 performances. 'Camelot' was made into a very successful film version that was released in 1967 starring Richard Harris as King Arthur.
DO_F,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off""."
_INQ,"CINQ.    	In Versailles in France, the number V (five) is ""cinq""."
ROAD_E,"ROADIE.    	A ""roadie"" is someone who loads, unloads and sets up equipment for musicians on tour, on the road."
_TEST,"A-TEST.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. Uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. These devices are called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy."
_RB,"ARB.    	""Arb"" is short for an arbitrageur, one who profits from the purchase of securities in one market and the subsequent sale in another, hence taking advantage of price discrepancies across markets."
_AUM,"BAUM.    	L. Frank Baum (the 'L' is for Lyman) was of course famous for writing 'The Wonderful Wizard of Oz'. Writing at the turn of the century, Baum actually described in his books things that had yet to be invented, like television, laptop computers and wireless telephones."
_TAX,"STAX.    	Stax is a brand name of potato snack made by Lay's. Stax are similar to its famous competitor, Pringles."
_ABOR,"TABOR.    	A tabor is a portable snare drum, played with one hand. It is usually suspended by a strap from one arm, with the other hand free to beat the drum. It is often played as an accompaniment for a fife or other small flutes. The word ""tabor"" comes from the Welsh name for the drum, ""tabwrdd""."
A_ROIT,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
_HINE,"RHINE.    	Most German wine is produced in the valley surrounding the River Rhine or its tributaries. German wines are mainly white, and the most prestigious labels use the Riesling grape."
NO_RE,"NOTRE.    	Notre Dame: ""Our Lady"" in French."
M_MBA,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake, that used to be responsible for a great number of fatalities, before anti-venoms became available. Mamba enom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart, so a bite if untreated causes the lungs and the heart to shut down."
_NB,IN B.    	A mazurka is a Polish folk dance. The great French-Polish composer Frédéric Chopin was known for writing many mazurkas for solo piano.
_RUIN,"BRUIN.    	The UCLA Bruins mascots are Joe and Josephine Bruin, characters that have evolved over the years. There used to be ""mean"" Bruin mascots but they weren't very popular with the fans, so now there are only ""happy"" Bruin mascots at the games."
S_NES,"SINES.    	The most familiar trigonometric functions are sine (sin), cosine (cos) and tangent (tan). Each of these is a ratio, a ratio of two sides of a right-angled triangle. The reciprocal of these three functions are cosecant, secant, and cotangent. The reciprocal functions are simply the inverted ratios, the inverted sine (cosec = 1/sin), cosine (sec = 1/cos) and tangent (cot = 1/tan)."
B_AD,BRAD.    	Brad Paisley is a country singer whose music has some rock influences.
IOW_N,"IOWAN.    	The city of Des Moines is the capital of Iowa, and takes its name from the Des Moines River. The river in turn takes its name from the French ""Riviere des Moines"" meaning ""River of the Monks"". It looks like there isn't any ""monkish"" connection to the city's name per se. ""Des Moines"" was just the name given by French traders who corrupted ""Moingona"", the name of a group of Illinois Native Americans who lived by the river. However, others do contend that French Trappist monks, who lived a full 200 miles from the river, somehow influenced the name."
_ROI,"TROI.    	Deanna Troi, the character on ""Star Trek: The Next Generation"", is played by the lovely Marina Sirtis. Although Sirtis is a naturalized American citizen, and has what I would call a soft, American accent on the show, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
DUE_,"DUET.    	'Belle nuit, ô nuit d'amour' is a duet in the opera 'The Tales of Hoffmann' by Jacques Offenbach. The piece is a very popular melody, and is usually referred to as 'the Barcarolle'."
TI_,TIL.    	Til Tuesday was a New Wave band from Boston that performed and recorded from 1982 to 1988.
N_C,"NIC.    	Nic Cage was born Nicolas Coppola. Cage is the nephew of director Francis Ford Coppola and actress Talia Shire, both of whom are his father's siblings."
LO_H,LOCH.    	'Loch' is the Scottish Gaelic word for 'lake'.
Z_BRA,"ZEBRA.    	The name 'zebra' comes from an old Portuguese word 'zevra' meaning 'wild ass'. Studies of zebra embryos show that zebras are basically black in color, with white stripes that develop with growth. Before this finding, it was believed they were white, with black stripes."
_RECK,"ORECK.    	The Oreck Corporation was named after founder David Oreck, and makes vacuum cleaners and air purifiers. The company started out selling vacuum cleaners by mail, a new concept in 1963. David Oreck appears regularly as a spokesman in the companies ads and infomercials."
M_FIA,MAFIA.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. It was established that 'Cosa Nostra' was also used in Sicily when Italian authorities penetrated the Sicilian Mafia in the 1980s. The name 'mafia' seems to be just a literary invention that has become popular with the public.
PA_E,"PANE.    	Pane ... Italian for ""bread""."
ZEL_A,"ZELDA.    	Zelda Fitzgerald, the wife of F. Scott Fitzgerald, was a novelist in her own right. Her one and only novel is ""Save Me the Waltz"", a semi-autobiographical account of her life and marriage."
NOR_H,"NORAH.    	The beguiling Norah Jones, the daughter of famous sitar virtuoso Ravi Shankar, is one of my favorite singers. If you haven't heard her sing ""Come Away with Me"", you just haven't lived ..."
B_RA,"BORA.    	Bora Bora is one of the Society Islands of French Polynesia. The name Bora Bora is imitative of the Tahitian name for the island and should really be pronounced ""pora pora"". It means ""first born""."
AER_,"AERO.    	An aerogram is like a very thin letter with no envelope, designed to be light to facilitate transit via airmail. An aerogram is usually a custom-made piece of lightweight paper that is folded in a specific way and sealed with gum on the paper, in such a way that an envelope is not required."
CAR_E,CARTE.    	Carte is a word sometimes used in French for a menu.
_OT,"LOT.    	Lot is a character appearing in the Book of Genesis. At one point Lot had to flee the doomed city of Sodom with his wife. God gave instructions that the couple should not look back as they left the city, but Lot's wife disobeyed and she was turned into a pillar of salt."
E_RTH,"EARTH.    	In 192, the astronauts of Apollo 17, the last manned mission to the Moon, took a beautiful photograph of the Earth from space. The photograph is unusual in that the whole planet is illuminated (the sun was behind the spacecraft). The astronauts remarked that Earth looked like a marble, giving the photo its name, ""Blue Marble""."
ARYA_,ARYAN.    	The term Aryan can be used to describe the Indo-European languages or the peoples who speak them. The underlying assumption in this grouping is that Indian languages (based on Sanskrit) and the major European languages have the same root.
KE_NU,"KEANU.    	Keanu Reeves is a Canadian actor whose most celebrated roles were a metalhead in ""Bill & Ted's Excellent Adventure"" (1989), a cop in ""Speed"" (1994) and the main antagonist in ""The Matrix"" series of films. Although Reeves is a Canadian national, he was born in Beirut, Lebanon. Reeves has some Hawaiian descent and the name ""Keanu"" is Hawaiian for ""the coldness""."
V_S,"VWS.    	VW stands for Volkswagen, which translates from German into ""people's car"". The original ""Volkswagen"" was built under a directive from Adolf Hitler, who wanted a cheap car built that ordinary people could afford to purchase. He awarded the contract to engineer Ferdinand Porsche, whose name (paradoxically) would forever be associated with high performance, expensive cars."
MIMOS_,"MIMOSA.    	Where I come from, the cocktail known in North America as a mimosa is called a Buck's Fizz, named after the club where it was introduced in 1921. The mimosa came along a few years later, apparently first being served in the Paris Ritz. If you want to make one, it's a 50-50 mix of champagne and orange juice, and is very tasty ..."
ENO_H,"ENOCH.    	Enoch Light was a classical violinist, and a bandleader. He was also quite the recording engineer and went to great lengths (starting as early as the late fifties) to get the best sound experience for listeners to his recordings. In particular he was one of the first to use stereo effects to create an apparent spatial separation between instruments Unfortunately, he didn't get much air time on the radio, as AM stations only broadcast in mono back then."
M_LO,"MILO.    	Milo Minderbinder is the mess officer in Joseph Heller's 1961 novel ""Catch-22"". In the 1970 film adaptation of the book, the Minderbinder character is played by Jon Voight."
SO_,"SON.    	In the Christian tradition, the Father, Son and Holy Spirit are three persons in One Divine Being, the Holy Trinity."
TE_,"TEK.    	The 'Tekwar' series of science-fiction novels was co-authored by Ron Goulart and the actor William Shatner, although it's only Shatner's name who appears on the covers. The stories center around the microchip 'drug' called 'tek' which dominates the Tekwar universe."
TAT_,"TATS.    	The word ""tattoo"" was first used in English, as far as can be told, in the writings of Captain Cook. In his descriptions of the marks made on the skin of Polynesian natives, he anglicized the Tahitian word ""tatau"" into ""tattoo""."
RO_ER,"ROGER.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radiotelephony. The British military used a phonetic alphabet in the fifties that included ""Roger"" to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
_PROPOS,APROPOS.    	APR-OPOS
RA_II,"RADII.    	""Radius"" is a Latin word, as one might expect, for the ""spoke of a wheel"". Makes sense, huh?"
_ACE,"PACE.    	The marathon is run over 26 miles and 385 yards, and of course commemorates the legendary messenger run by Pheidippides from the site of the Battle of Marathon back to Athens. The distance run today was decided in 1921, and matches the route of the modern-day Marathon-Athens highway."
