O_ER,"ONER.    	A lollapalooza is something outstanding, one of a kind."
S_TE,"SATE.    	""Sate"" is a variant of the older word ""satiate"". Both terms can mean either to satisfy an appetite fully, or to eat to excess."
WI_,"WIE.    	The literal translation of ""Wie geht's?"" from German is, ""How goes it?""."
AMI_,"AMIN.    	""The Last King of Scotland"" is a 2006 film adaptation of a 1998 novel of the same name by Giles Foden. The story tells of a Scottish doctor (played by James McAvoy) who was employed by Idi Amin (played by Forest Whitaker). The title of the piece comes from the fact that Idi Amin offered his services as King of Scotland, should he ever be needed."
OL_,"-OLA.    	'Schnoz' is a slang term for a nose, particularly a large one."
S_AL,"SEAL.    	SEAL is an acronym, used by the US Navy's SEa, Air and Land teams. The SEALs were born out of the Navy's special warfare groups from WWII, like the Underwater Demolition Teams and the Motor Torpedo Boat Squadrons. The Navy SEAL unit was established soon after President Kennedy's speech in which he announced the plan to put a man on the moon, as in the same speech the president allocated $100m of funding to strengthen special operations forces. The Navy used some of this money to set up guerrilla and counter-guerrilla units, which soon became the SEALs."
_AF,"RAF.    	The Royal Air Force's (RAF's) No. 617 Squadron earned the nickname 'Dam Busters' after they used 'bouncing bombs' in an audacious attack on several dams in Germany during WWII. The raid was codenamed Operation Chastise, and resulted in the catastrophic flooding of the Ruhr Valley with about 1,600 people drowned."
M_V,"MAV.    	The Mavericks is the name of the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was prompted by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
AMER_CA,"AMERICA.    	Rear Admiral Richard Byrd was an officer in the US Navy, famous as an aviator and explorer of the polar regions. Byrd was the first person to cross the South Pole by air, in 1929. Three years earlier, Byrd claimed he had flown over the North Pole, and would have been the first person to have done so if this was true. But whether or not Byrd actually made it over the North Pole continues to be the subject of much debate."
DRE_,"DREI.    	In German, one and two = three ... eins und zwei = drei."
_RIO,"BRIO.    	'Brio' is borrowed from Italian, in which language it means vigor and vivacity. ""Con brio"" is a musical direction often found on a score, instructing the musicians to play ""with energy, vigor""."
MO_,"MOS.    	In the US, dates are often written in the format MM/DD/YYYY."
CA_L,"CARL.    	Carl Sagan was a brilliant astrophysicist, and a great communicator. He was famous for presenting obscure concepts about the cosmos in such a way that we mere mortals could appreciate. He also wrote the novel ""Contact"" which was adapted into a fascinating 1997 film of the same name starring Jodie Foster."
L_IRE,"LOIRE.    	The Loire River is so long that it drains a full one-fifth of France's land mass. It rises in the southeast, in the Cevennes mountain range, then it heads north and then due east, emptying into the Bay of Biscay at the city of Nantes."
MA_I,"MAUI.    	Maui County is pretty unusual. It is made up of four islands: Maui, Kahoolawe, Lanai and Molokai (well, most of Molokai)."
ROM_N,"ROMAN.    	Roman Polanski is a Polish film director, and an Oscar winner for directing the 2002 movie ""The Pianist"". Polanski has had an eventful life. His pregnant wife, Sharon Tate, was murdered by the Manson family in 1969. In 1977, Polanksi was arrested in Los Angeles for sexual assault of 13-year-old girl, and pleaded guilty to having sex with a minor. He fled the country to avoid sentencing, and is now awaiting extradition to the US from Switzerland after the US requested his transfer in 2009."
PC_S,"PCBS.    	Polychlorinated biphenyls were banned with good reason. Apart from their link to cancer and other disorders in humans and animals, they are extremely persistent in the environment once contamination has occurred. Among other things, PCBs were used as coolants and insulating fluids in electrical gear such as transformers and large capacitors."
ALI_IS,"ALIBIS.    	""Alibi"" is the Latin word for ""elsewhere"", as in I was ""elsewhere"" when the crime was committed ... I have an ""alibi""."
P_S,PTS.    	Pints of cream. Seems like a lot to me ...
_ETA,"PETA.    	People for the Ethical Treatment of Animals (PETA) is famous for ad campaigns featuring implied nudity, often with celebrities appearing front and center. Networks showing the Super Bowl have been known to ban such ads."
ELM_,"ELMS.    	The city of New Haven, Connecticut had the first public tree-planting program in the country. That first planting included a whole bunch of elms, earning New Haven the nickname ""The Elm City""."
NA_CE,"NANCE.    	Jack Nance was an American actor who worked a lot with director David Lynch. He was won of the stars of the TV series ""Twin Peaks"", playing Pete Martell, a henpecked lumberjack. Coincidentally, the Log Lady in ""Twin Peaks"" was played by Catherine E. Coulson, one-time wife of Nance."
N_N,NUN.    	In the Buddhist tradition there are lots of monks and nuns ...
E_MYS,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
ISP_,"ISPS.    	An Internet Service Provider (ISP) is just what its name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way that the end users are connected to the ISPs network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
_ISNER,"EISNER.    	Michael Eisner took over as CEO of the Walt Disney Company in 1984. He has been attributed with turning Disney around, as the company had been floundering since 1966 when Walt Disney died. He had a good run but ran afoul of Walt Disney's nephew Roy Disney, who led a revolt by board members that resulted in Eisner's resignation in 2005."
T_TES,TETES.    	'Tête' is French for 'head'.
O_O,"OOO.    	When I was growing up in Ireland, we played ""noughts and crosses"" ... our name for tic-tac-toe."
CA_S,"CABS.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The 'cab' in the name is short for 'cabriolet', an earlier design of carriage on which the hansom was based. It's from 'hansom cab' that we get our modern term 'cab'."
_AAN,"CAAN.    	James Caan is an actor from The Bronx, New York City. He is noted for his appearances in some very big movies such as 'The Godfather', 'Misery', 'A Bridge Too Far', 'Rollerball' and more recently 'Elf'. Caan is quite the sportsman. He plays golf with an 8 handicap, and is a 6-Dan Black Belt Master of Gosoku Karate."
OPED_,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
_AUNA,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
_LOT,"A LOT.    	It's thought that the term ""oodles"" comes from ""kit and caboodle""."
N_S,"NUS.    	The Latin equivalent of the Greek letter 'nu' is ""N"". An uppercase nu looks just like the Latin capital N, however, the lowercase nu looks like our lowercase ""v"". Very confusing ..."
SEGE_,"SEGER.    	Bob Seger struggled as a performing artist right through the sixties and early seventies before becoming a commercial success in 1976 with the release of his album ""Night Moves"". Since then, Seger has recorded songs that have become classics like, ""We've Got Tonight"" and ""Old Time Rock & Roll""."
ELPAS_,"EL PASO.    	Although there have been human settlements in the El Paso area for thousands of years, the first European settlement was founded in 1659 by the Spanish. That first community was on the south bank of the Rio Grande, and was called El Paso del Norte (the North Pass). Most of the urban development under Spanish rule took place on the south side of the river, with El Paso del Norte acting as the center of governance for the Spanish for the territory of New Mexico. The Rio Grande was chosen as the border between Mexico and the US in 1848, so most of the city of El Paso del Norte became part of the Mexican state of Chihuahua (and is now called Cuidad Juarez), while the area north of the river developed as a US military post, eventually becoming the modern city of El Paso, Texas."
UHA_L,"U-HAUL.    	U-Haul was started by married couple Leonard Shoen and Anna Mary Carty in Ridgefield, Washington in 1945. The Shoens used $5,000 of seed money to build trailers in their garage, and then cleverly recruited gas station owners as franchisees with whom they would split the rental revenue. There are now about 15,000 U-Hail dealers across the country."
SA_OAN,"SAMOAN.    	Samoan is one of the two official languages of the Samoan Islands, the other being English. Samoan is the first language of most natives in the islands, and there are estimated to be almost 400,000 speakers worldwide."
_USE,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water."
GM_N,"G-MEN.    	The nickname 'G-men' is short for ""Government Men"" and refers to agents of the Federal Bureau of Investigation."
_RC,NRC.    	The Nuclear Regulatory Commission (NRC) oversees most aspects of the safety of nuclear power plants and nuclear fuel in the US.
_LA,"-OLA.    	'Payola' is the illegal practice of paying radio stations or disk jockeys to repeatedly play a particular piece of music. The impetus behind the crime is that the more often a song is played, the more likely it is to sell. The term 'payola' comes from the words 'pay' and 'Victrola', an RCA brand name for an early phonograph."
ELISH_,"ELISHA.    	Elisha Cuthbert is a Canadian actress who came to world attention playing Kim Bauer, Jack Bauer's daughter on TV's '24'. You can see her now on the sitcom 'Happy Endings'."
I_M,"I AM.    	I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban' is a memoir co-written by Malala Yousafzai and British journalist Christina Lamb. The title tells the essence of her Malala's story. She started a blog when she was 11 or 12, outlining her life in northwest Pakistan under occupation by the Taliban. As the Pakistani military regained control of the area, Malala's story was told in a documentary and she was frequently giving interviews. One day a gunman came looking for her, and found her on her schoolbus. He shot Malala three times, with one bullet going into her forehead. She survived, and was taken to England to recuperate. She was a co-recipient of the Nobel Peace Prize in 2014 at the age of 17, making her the youngest ever Nobel laureate."
D_NES,"DANES.    	The full title of William Shakespeare's play that we tend to call ""Hamlet"" is ""The Tragedy of Hamlet, Prince of Denmark"". It is the most performed of all Shakespeare's plays and it is also his longest, comprising a full five acts."
_SOLE,"O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
S_USA,"SOUSA.    	John Philip Sousa was a composer and conductor from Washington, D.C. Sousa was well known for his patriotic marches and earned himself the nickname 'The American March King'. He served as a member of the US Marine Band from 1868 to 1875, and after leaving the Marines learned to conduct and compose. One of the Sousa compositions that is well-known around the world is called 'The Liberty Bell', a tune used as the musical theme for BBC Television's 'Monty Python's Flying Circus'. Sousa also wrote 'Semper Fidelis', which is the official march of the US Marine Corps."
_ORNA,"LORNA.    	Lorna Doone was written by Richard Doddridge Blackmore. R. D. Blackmore was an English novelist, very celebrated and in demand in his day (the late 1800s). His romantic story ""Lorna Doone"" was be no means a favorite of his, and yet it is the only one of his works still in print."
EN_W,"ENOW.    	Enow is an archaic form of the word ""enough""."
D_DA,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland, started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe."
BOH_,"BOHR.    	Niels Bohr was a Danish physicist who won his 1922 Nobel Prize for his work on quantum mechanics and atomic structure. Later in his life he was part of the team working on the Manhattan Project, developing the first atomic bomb."
A_TI,"ANTI-.    	Disestablishment is the process by which a church is removed from a privileged position, creating a secular state. Opponents to such a move, supporters of retaining an established church, are known as antidisestablishmentarians. 'Antidisestablishmentarianism' is one of the longest words in the English language."
A_MO,"AMMO.    	A 'bandolier' (also 'bandoleer') is a belt with small pockets that hold ammunition. A bandolier is usually worn over the shoulders, rather than around the waist. The term derives from the Spanish 'banda' meaning 'scarf, sash'."
AG_ES,AGNES.    	Saint Agnes is the patron saint of young girls. John Keats wrote a poem called 'The Eve of Saint Agnes' which refers to the superstition that young women should practice certain rituals on Saint Agnes's Eve in order to identify their future husbands.
EMIL_O,EMILIO.    	Emilio Pucci was an Italian fashion designer from Florence.
N_NE,"NONE.    	The word ""squat"" has been used to mean ""nothing at all"" since 1934. Its most likely etymology is somewhat distasteful."
_NDO,INDO-.    	Indo-Germanic' is a term used to describe a specific group of languages and is synonymous with the term 'Indo-European'.
P_BOY,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
_FTS,"EFTS.    	Newts wouldn't be my favorite animals in the world. They are found all over the world, living on land or in the water depending on the species, but always associated with water, even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start of as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
H_HO,"HI-HO.    	Sunshine Biscuits was an independent producer of cookies and crackers. In 1996 it was absorbed by the Keebler Company and among brands that were discontinued because of the merger, was Hi-Ho Crackers."
RIC_H,RICOH.    	Ricoh is a Japanese company that started out in 1936 and by the year 2000 was the biggest manufacturer of copiers in the world. The company is also well known as a supplier of cameras.
TW_X,"TWIX.    	I remember Twix bars from way back in 1967 when they were introduced in the British Isles. Twix bars made it to the US over a decade later, in 1979."
S_OES,"SLOES.    	The sloe is the fruit of the blackthorn bush, and is the flavoring that gives gin its distinctive taste."
_OXY,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him, and as his nickname was Roxy Rothafel, that's the name they used."
D_O,"DSO.    	The Distinguished Service Order (DSO) is a British military award, usually awarded to officers with the rank of Major or higher."
RI_T,"RIOT.    	The phrase ""to run amok"" has been around since the 1670s, and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was then was also used as a noun, to describe Malay natives who were ""frenzied"". They probably had good reason for that frenzy ..."
H_N,"HEN.    	'The Little Red Hen' is an old folk tale, probably from Russia. In the story, the little red hen finds a grain of wheat and asks for help to plant it. 'Not I' is the response she gets, repeatedly. She does the work herself, eventually baking bread from the harvested grain. She asks for help in eating the bread, and gets lots of volunteers. But, the hen decides to save the bread for herself and her chicks, seeing as no one would help her plant the wheat in the first place."
ADZ_,"ADZE.    	An adze (also adz) is similar to an axe, but different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
CAE_AR,"CAESAR.    	Pompeia Sulla was the second wife of Julius Caesar, whom she married in 67 BC. Caesar's first wife was Cornelia, and she had died one year before the second marriage. Caesar divorced her a few years later as there were unfounded allegations that she was having an affair. Caesar stated at the time that ""my wife ought not even to be under suspicion"", giving rise to the proverb ""Caesar's wife must be above suspicion""."
PC_S,PCBS.    	Polychlorinated biphenyl (PCB) ...
C_ERA,CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996. The Ciera was the brand name's most successful model.
_EKE,"DEKE.    	A deke, also known as a dangle, is a technique used to get past an opponent in ice hockey. ""Deke"" is a colloquial shortening of the word ""decoy""."
TO_Y,TONY.    	Something described as 'tony' is elegant or exclusive. The term derives from 'high-toned'.
_EF,"REF.    	A series of colored penalty cards is used by referees and umpires in several sports, most notably in soccer. The cards were first used in the 1970 FIFA World Cup in Mexico, after language difficulties created confusion during the prior competition in 1966. The main cards used are a yellow card indicating a caution, and a red card indicating expulsion from the game."
MIM_,"MIMI.    	Mimi Rogers is a favorite actress of mine, although she hasn't really had the starring roles in the big movies. Off screen she is famous for her association with her second husband, Tom Cruise, and it was Mimi who introduced Tom to Scientology. Mimi Rogers can also be seen playing a lot of so-called ""celebrity poker"", and she is on the board of directors of the World Poker Tour."
SE_I,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
_ICEM,"SIC 'EM.    	Sic 'em is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
_EC,REC.    	Recommendation (rec.)
ROA_,"ROAR.    	The engine known as a V8 is configured with two rows of four cylinders mounted on a crankcase. The rows of cylinders are offset from each other around the crankshaft at right angles, or perhaps a little less. This arrangement of eight cylinders in a V-shape gives rise to the name 'V8'."
JE_I,"JEDI.    	The Jedi are the 'good guys' in the 'Star Wars' series of movies. The most famous Jedi knights from the films are Obi-Wan Kenobi (played by Alec Guinness, and later Ewan McGregor) and Yoda (voiced by Frank Oz). Well, they're my favorites anyway ..."
POBO_,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
ADL_I,"ADLAI.    	Adlai Stevenson (AES) ran for president unsuccessfully against Dwight D. Eisenhower (DDE) in 1952 and in 1956. Some years after his second defeat, Stevenson served under President Kennedy as Ambassador to the United Nations. Stevenson was always noted for his eloquence and he had a famous exchange in a UN Security Council meeting during the Cuban missile crisis. Stevenson bluntly demanded that the Soviet representative on the council tell the world if the USSR was installing nuclear weapons in Cuba. His famous words were ""Don't wait for the translation, answer 'yes' or 'no'!"" followed by ""I am prepared to wait for my answer until Hell freezes over!"""
CLA_,"CLAM.    	Our phrase 'happy as a clam' dates back to the mid-1600s, when it was a more lengthy expression 'happy as a clam in the mud at high tide'. The idea was that a clam would be happy in its muddy home at high tide, because no one from land could get to it and eat it."
AC_DS,"ACIDS.    	The main ingredient in Tums antacid, made by GlaxoSmithKline, is calcium carbonate. Tums have been on the market since 1930. If you want to save a few pennies, Target brand antacid is identical to Tums, so I hear ..."
TES_A,TESSA.    	Tessa Virtue is a Canadian ice dancer who won the 2010 Olympic championship along with her partner Scott Moir.
_AC,"WAC.    	The Women's Army Auxiliary Corps (WAAC) was formed in 1942, and the unit was converted to full status the following year to become the Women's Army Corps (WAC). Famously, General Douglas MacArthur referred to the WACs as his ""best soldiers"", saying they worked harder, complained less and were better disciplined than men. The WACs were disbanded in 1978 and the serving members were integrated into the rest of the army."
SEVE_,"SEVEN.    	If one considers earlier versions of craps, then the game has been around for a very long time and probably dates back to the Crusades. Craps may be derived from an old English game called ""hazard"", also played with two dice and which was mentioned in Geoffrey Chaucer's ""Canterbury Tales"" from the 1300s. The American version of the game came here courtesy of the French and first set root in New Orleans where it was given the name ""crapaud"", a French word meaning ""toad""."
_DDA,EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology.
NTE_T,"N-TEST.    	The testing of US nuclear weapons by the US at Bikini Atoll in the middle of 1946 went by the codename ""Operation Crossroads"". The tests used A-bombs and were designed to measure the effect of blasts on navy vessels. There were three tests planned, but the third had to be cancelled as the Navy couldn't decontaminate the ships used in the second test."
U_SER,"UNSER.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 four times. Al's brother, Jerry, was the first of the Unsers to compete at Indianapolis. Al's other brother, Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
S_MI,SEMI.    	I think the idea is that the four teams or players in the final rounds of a tournament are paired off in two semis (semifinals).
D_LE,"DOLE.    	The word ""dole"" meaning ""financial relief"" originated as the Old English word ""dal"", the state of sharing, giving out. Our term ""on the dole"", relating to institutional relief, dates back to the twenties."
G_SSO,GESSO.    	Gesso is the Italian word for 'chalk' and gives its name to the powdered calcium carbonate that is used as a primer coat under artistic panel paintings. The gesso is mixed with a glue and applied to wood so that it acts as an absorbent surface for paint.
IDY_,"IDYL.    	An idyl is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
OL_N,"O-LAN.    	Pearl S. Buck's novel ""The Good Earth"" won a Pulitzer in 1932, and helped Buck win the Nobel Prize for literature a few years later. The story tells of life in a Chinese village, and follows the fortunes of Wang Lung and his wife O-Lan. Although ""The Good Earth"" has been around a while, it hit the best seller list again in 2004 when it was picked by Oprah's Book Club."
O_TARIO,"ONTARIO.    	The Canadian province of Ontario takes its name from the Great Lake. In turn, Lake Ontario's name is thought to be derived from ""Ontari:io"", a Huron word meaning ""great lake"". Ontario is home to the nation's capital, Ottawa, as well as Toronto, Canada's most populous city (and capital of the province)."
REES_S,"REESE'S.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
Z_TA,"ZETA.    	The Riemann zeta function has a significant place in mathematics, primarily (pun!) due to its relation to the distribution of prime numbers. The function was introduced by Leonhard Euler, but was extended by Bernhard Riemann after whom the function is named."
M_DE,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-claimed ""king of all media""!)."
OLSO_,"OLSON.    	Johnny Olson was the announcer on ""The Price is Right"" from day one in 1972, until he passed away in 1985."
LI_O,"LIDO.    	The Lido di Venezia is a famous sandbar, about 11 km long, in Venice, Italy. It may be a sandbar, but it is home to about 20,000 residents, as well as the Venice Film Festival that takes place there every September. The Lido is also the setting for Thomas Mann's famous novel ""Death in Venice"". The name 'lido' has become a term for any fashionable beach resort."
UMA_I,"UMAMI.    	Umami is one of the five basic tastes, along with sweet, sour, bitter and salty. 'Umami' is a Japanese word used to describe ""a pleasant savory taste'. Umami was proposed as a basic taste in 1908, but it wasn't until 1985 that the scientific community finally accepted it as such."
_CALA,"SCALA.    	Giuseppe Verdi's opera ""Otello"" was first performed in 1887 at the La Scala Theater in Milan. It is based on Shakespeare's ""Othello"" and is considered by many to be Verdi's greatest work."
L_L,"LIL'.    	Lil' Kim is the stage name of rap artist Kimberly Denise Jones from Brooklyn, New York. Lil' Kim spent a year in jail in 2005 for lying to a jury in a case about a shooting."
NA_CP,"NAACP.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
