API_N,APIAN.    	'Apis' is the Latin for 'bee'.
AST_,ASTR.    	Astronomy is studied in a physics department at a university.
S_NY,SONY.    	Sony was founded by Akio Morita and Masaru Ibuka as Tokyo Tsushin Kogyo (Tokyo Telecommunications Engineering Corporation). The two partners met in the Japanese Navy during WWII.
GE_SO,"GESSO.    	Gesso is the Italian word for ""chalk"" and gives its name to the powdered calcium carbonate that is used as a primer coat under artistic panel paintings. The gesso is mixed with a glue and applied to wood so that it acts as an absorbent surface for paint."
MEES_,"MEESE.    	Ed Meese was born in Oakland, California just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service he earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
MA_,"MAY.    	The first Indy 500 race was held on Memorial Day in 1911. The winner that day was one Ray Harroun. He had seen someone using a rear view mirror on a horse-drawn vehicle, and decided to fit one on his Marmon ""Wasp"" motor car. Supposedly that was the first ever use of a rear view mirror on a motor vehicle."
A_DEN,"AUDEN.    	The noted poet W. H. Auden was born and raised in England, but eventually became a US citizen. As well as hundreds of poems, Auden also wrote librettos for operas, including Igor Stravinsky's 'The Rake's Progress'."
SPIR_,"SPIRO.    	Spiro Agnew served as Vice-President under Richard Nixon, before becoming the only VP in American history to resign because of criminal charges (there was a bribery scandal). Agnew was also the first Greek-American to serve as US Vice-President as he was the son of a Greek immigrant who had shortened the family name from Anagnostopoulos."
_ANA,"BANA.    	Eric Bana is an Australian actor, who enjoyed a successful career in his home country before breaking into Hollywood playing an American Delta Force sergeant in ""Black Hawk Down"". A couple of years later he played the lead in Ang Lee's 2003 movie ""The Hulk"", the role of Dr Bruce Banner."
IND_,"INDO-.    	The Indo-European languages are a large group that includes most of the major languages of Europe, the Iranian plateau and South Asia. It is the largest grouping of languages in the world."
PS_,"PSY.    	PSY is the stage name of South Korean rapper Park Jae-sang. PSY became an international star when his 2102 music video 'Gangnam Style' went viral on YouTube. That video had over 1 billion views on YouTube in about six months, making it the most viewed YouTube video clip of all time. I am not one of that billion ..."
KA_MA,"KARMA.    	Karma is religious concept with its basis in Indian faiths. Karma embraces the notion of cause and effect. Good deeds have good consequences at some later point in one's life, future life, or afterlife and vice versa."
SASE_,"SASES.    	Self-Addressed, Stamped Envelopes."
SI_AS,"SILAS.    	""Silas Marner: The Weaver of Raveloe"" is a novel written by George Eliot and first published in 1861. There's an excellent BBC TV version of the tale (shown on PBS) starring Ben Kingsley in the title role, with Patsy Kensit playing Eppie, the young orphaned child that Marner takes under his wing."
LA_C,"LAIC.    	Something that is laic (or laical) is something relating to the laity, those members of the church who are not clergy. The term ""laic"" ultimately comes from the Greek ""laikos"" meaning ""of the people""."
STPE_ER,ST PETER.    	Several famous 'New Yorker' cartoons drawn by staff cartoonist Charles Barsotti feature St. Peter standing at the Pearly Gates of Heaven.
A_GORE,"AL GORE.    	Al Gore was born in Washington DC, the son of course of Al Gore, Sr., then a US Representative for the state of Tennessee. After deferring his military service in order to attend Harvard, Gore became eligible for the draft on graduation. Many of his classmates found ways of avoiding the draft, but he decided to serve, and even took the ""tougher"" option of joining the army as an enlisted man. Actor Tommy Lee Jones shared a house with Gore in college, and says that his buddy told him that even if he could find a way around the draft someone with less options than him would have to go in his place, and that was just wrong."
S_C,SOC.    	Sociology is a liberal arts major.
EISN_R,"EISNER.    	Michael Eisner took over as CEO of the Walt Disney Company in 1984. Eisner has been attributed with turning Disney around, as the company was floundering really since 1966 when Walt Disney died. Eisner had a good run, but ran foul of Walt Disney's nephew Roy Disney who led a revolt that resulted in Eisner's resignation in 2005."
ML_,"MLK.    	Martin Luther King, Jr.was only 35 years old when he won the Nobel Peace Prize, making him the youngest person so honored. He was given the award for his work to end racial segregation and discrimination using non-violent means. The following year he was awarded the American Liberties Medallion by the American Jewish Community."
_ALO,"LALO.    	Le Roi d'Ys' ('The King of Ys') is an opera by the French composer Édouard Lalo, with a libretto by Édouard Blau. The storyline is based on an old Breton legend about Ys, a drowned city."
EMMY_,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
M_G,"MAG.    	The National Geographic Society started as a club for academics and wealthy people interested in travel, founded in 1888 in Washington, D.C. The society's ""National Geographic Magazine"" was first published at the end of the same year. I've always thought it very cool that the logo of the society (you can see it on the National Geographic cable TV channel) is simply the rectangular yellow frame that appears in the margins around the front cover of the magazine."
AW_,"AWN.    	Awns are hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
L_ONI,"LEONI.    	Téa Leoni is an American actress. One of her early parts was in the great film ""A League of Their Own"" (a minor role, Racine at first base). She also played Sam Malone's fiancée on ""Cheers"" and opposite Adam Sandler in ""Spanglish"". My favorite of her more prominent roles was as Jane, in ""Fun with Dick and Jane""."
_ILE,"TILE.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Moshoer Butts. Butts determined how many tiles of each letter, and the point value of each tile, by analyzing letter distributions ... in publications like the New York Times."
KAR_A,"KARMA.    	Karma is religious concept with its basis in Indian faiths. Karma embraces the notion of cause and effect. Good deeds have good consequences at some later point in one's life, future life, or afterlife and vice versa."
IP_,"IPA.    	India Pale Ale is a style of beer that comes from England. The beer was originally intended for transportation from England to India, hence the name."
SAT_,"SATE.    	""Sate"" is a variant of the older word ""satiate"". Both terms can mean either to satisfy an appetite fully, or to eat to excess."
ROP_,"ROPE.    	Clue is another board game that we knew under a different name growing up in Ireland. Outside of North America, Clue is marketed as ""Cluedo"". Cluedo was the original name of the game, introduced in 1949 by the famous British board game manufacturer Waddingtons. There are cute differences between the US and UK versions. For example, the man who is murdered is called Dr. Black (Mr. Boddy in the US), one of the suspects is the Reverend Green (Mr. Green in the US), and the suspect weapons include a dagger (a knife in the US), a lead pipe (lead piping in the US) and a spanner (a wrench in the US). I think it's a fabulous game, a must during the holidays ..."
ROU_,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat, sometimes) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions are being used more and more these days."
ONC_,"ONCE.    	""The Raven"" by Edgar Allen Poe is one of the most famous poems ever written. It brought Poe a lot of celebrity within his own lifetime, as it was published not only in a collection of poems, but also in newspapers. it first appeared in the New York Evening Mirror in 1845."
I_UIT,"INUIT.    	The Inuit peoples live in the Arctic, in parts of the US, Russia, Greenland and Canada."
LEO_A,"LEONA.    	Leona Helmsley was a high-rolling real estate investor and hotel operator in New York City. She was convicted of income tax evasion in 1989 and sentenced to 16 years in jail. At her trial a witness quoted her as saying ""We don't pay taxes. Only the little people pay taxes ..."""
SO_P,SOUP.    	(57. See 34-Down : NAZI)
RI_S,"RIIS.    	Jacob Riis is famous for his photographs and newspaper articles that highlighted the plight of the impoverished in New York City. He wrote ""How the Other Half Lives"", originally an extensive article that appeared in ""Scribner's Magazine"" at Christmas 1889. The article had such an impact that Riis was commissioned to expand it into a book, which was published the following year."
ST_ETE,ST PETE.    	Tropicana Field is home to the Tampa Bay Rays of Major League Baseball.
CH_,"CHO.    	Margaret Cho is a very successful stand up comedian, but she is also a fashion designer with her own line of clothing. She also acts, and you might have seen her in the John Travolta/Nicholas Cage movie ""Face/Off"" in which she played John Travolta's FBI colleague."
_OPE,"ROPE.    	The word-guessing game called Hangman seems to have been played first in Victorian England. At one time it was known as 'Birds, Beasts and Fishes' as the words to be guessed had to be types of animal."
_MMO,"AMMO.    	The word 'munitions' describes materials and equipment used in war. The term derives from the Latin 'munitionem' meaning 'fortification, defensive wall'. Back in the 17th century, French soldiers referred to such materials as 'la munition', a Middle French term. This was misheard as 'l'ammunition', and as a result we ended up importing the word 'ammunition' (often shortened to 'ammo'), a term that we now use mainly to describe the material fired from a weapon."
ROX_,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him, and as his nickname was Roxy Rothafel, that's the name they used."
FE_A,"FEMA.    	Federal emergency management has been structured for over 200 years, but what we know today as the Federal Emergency Management Agency (FEMA) was created in 1979 in an Executive Order issued by President Jimmy Carter."
RA_,"RAM.    	Aries the Ram is the first astrological sign in the Zodiac, and is named after the constellation. Your birth sign is Aries if you were born between March 21 and April 20, but if you are an Aries you would know that! 'Aries' is the Latin word for 'ram'."
RA_D,"RAID.    	The US Special Forces unit that is popularly referred to as SEAL Team Six, is more correctly known as the US Naval Warfare Development Group (NSWDG). 'SEAL Team Six' was actually the name of the unit's predecessor, which was disbanded in 1987. The original group was created soon after the Iran hostage crisis of 1979. Two SEAL teams were deployed, and the name SEAL Team Six was used as a ruse in order to confuse the Russian intelligence services about the actual number of teams in existence."
SA_A,"SANA.    	Sana (also Sanaa) is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
TE_NA,"TEENA.    	Teena Mulder was the mother of Fox Mulder, the character played by David Duchovney on 'The X-Files'. Teena was played by Rebecca Toolan."
LA_D,"LARD.    	Fat, when extracted from the carcass of an animal, is called ""suet"". Untreated suet decomposes at room temperature quite easily so it has to be ""rendered"" or purified to make it stable. Rendered fat from pigs is what we call ""lard"". Rendered beef or mutton fat is known as ""tallow""."
CRA_,"CRAB.    	The word ""kvetch"" of course comes to us from Yiddish, with ""kvetshn"" meaning ""to complain"" or ""squeeze""."
ENDO_,"ENDOR.    	According to the First Book of Samuel, the Witch of Endor called up the ghost of the deceased Samuel."
Y_WS,"YEWS.    	The wood from the yew tree is the wood of choice for the longbow, a valued weapon in the history of England. The longbow is constructed with a core of heartwood (as the heartwood resists compression) tht has a sheath of sapwood (as the sapwood resists stretching). The yew was in such demand for longbows that for centuries yew trees were in short supply in Britain and the wood had to be imported from all over Europe."
_DIST,"ODIST.    	John Keats is famous for a writing a whole series of beautiful odes, in particular the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
I_UIT,"INUIT.    	The Inuit peoples live in the Arctic, in parts of the US, Russia, Greenland and Canada."
R_OS,"REOS.    	The REO Motor Company was founded by Ransom Eli Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
MA_E,MATE.    	9. Game with knights : CHESS
AL_A,"ALLA.    	The La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name, Teatro alla Scala in Italian."
MA_,"MAY.    	The first Kentucky Derby was run in 1875, a race modelled on the Epsom Derby in England and the Grand Prix de Paris (now called the 'Prix de l'Arc de Triomphe'). As such, it was run over 1&#189; miles. The American race was shortened in 1896, and is now run over 1&#188; miles."
_IR,"AIR.    	Nike was the Greek goddess of victory, often referred to as the Winged Goddess of Victory. The athletic shoe company Nike uses the 'Nike swoosh' as its logo, which is based on the goddess's wing."
QT_P,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tip"", with the Q standing for ""quality""."
LOLI_A,"LOLITA.    	Vladimir Nabokov's novel ""Lolita"" has a famously controversial storyline, dealing with a middle-aged man's obsession and sexual relationship with a 12-year-old girl. Although ""Lolita"" is considered a classic today, after Nabokov finished it in 1953 the edgy subject matter made it impossible for him to find a publisher in the US (where Nabokov lived). In 1955, he resorted to publishing it in English at a printing house in Paris. Publication was followed by bans and seizures all over Europe. A US printing house finally took on the project in 1958, by which time the title had such a reputation that it sold very quickly. It became the first book since ""Gone with the Wind"" to sell over 100,00 copies in the first three weeks in the stores."
JIL_,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
SA_,"SAE.    	The Society of Automotive Engineers (SAE) sets standards for motor oils, especially with regard to an oil's viscosity."
RABA_,"RABAT.    	Rabat is the capital city of Morocco. After WWII, the United States maintained a major Air Force Base in Rabat, part of Strategic Air Command (SAC). Responding to pressure by the Moroccan government of King Mohammed V, the USAF pulled out in 1963."
PD_,PDQ.    	PDQ: a slang term ... Pretty Damned Quick ... As Soon As Possible.
SE_,SEC.    	'Sec' is a term used in France for 'dry'.
OH_S,"OHMS.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every schoolkid knows as Ohm's Law."
X_R,"XER.    	The term Generation X originated in the UK where it was the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
CAR_,"CARL.    	Alfalfa's real name was Carl Switzer. He and his brother were quite the yoiung performers around his hometown in Illinois, singing and playing instruments. On a trip to California, the Switzer family were touring the Hal Roach movie studio and were fooling around in the studio cafeteria, basically giving an impromptu performance. Hal Roach happened to be there at the time, and signed both brothers up for roles in ""Our Gang"". Carl was to play ""Alfalfa"", and brother Harold played ""Slim"" (aka Deadpan"")."
U_C,"USC.    	The athletic teams of the University of Southern California are called the USC Trojans. The women's teams are also called the Trojans, but are sometimes referred to as Women of Troy."
I_LER,ILLER.    	It's a language that I just don't get ...
ME_D,"MEAD.    	Mead is a lovely drink, made from fermented honey and water."
_IKI,"WIKI.    	A wiki is a website in which users are allowed to create and edit content themselves. The term 'wiki' comes from the name of the first such site, introduced in 1994 and called WikiWikiWeb. 'Wiki' is a Hawaiian word for 'quick', and is used because comprehensive content is created very quickly a there are so many collaborators contributing to the site."
ATSE_,"AT SEA.    	(73. W.W. II carrier praised by Churchill for its ability to ""sting twice"" : USS WASP)"
ED_C,"EDUC.    	The No Child Left Behind Act was proposed by President George W. Bush in 2001 and was signed into law with overwhelming and bipartisan support. The act focuses on standards-based reform of education in public schools. While there is no question about the good intentions, the act has proved to be controversial in implementation. There are plans afoot to replace it, as we learned in President Obama's 2011 State of the Union Address."
_YRE,"LYRE.    	A lyre is a stringed instrument, most closely associated with Ancient Greece."
_ETER,"PETER.    	Peter Sellers was British comedian and actor, and a genius (in my humble opinion). In Britain, Sellers was famous on the radio as a star on 'The Goon Show', In the rest of the world, Sellers is perhaps best-known for playing Inspector Clouseau in 'The Pink Panther' series of films. Like so many of the greatest comic performers it seems, Sellers struggled with depression in his life off-camera."
ECH_,"ECHO.    	Amazon Echo is a voice-controlled hardware device that can be used to provide several services including playing radio programs and music, recording of shopping lists, and managing a calendar. The device just sits say in the home listening, until it hears a 'wake up' command."
RY_S,"RYES.    	The word ""delicatessen"" (or 'deli' for short) came into English from the German ""Delikatessen"" meaning ""delicious (delikat-) to eat (essen)""."
SO_P,"SOUP.    	Gazpacho is a cold soup, made with a tomato base. It originated in Andalusia in southern Spain."
SNE_D,"SNEAD.    	Sam Snead was probably the most successful golfer never to win a US Open title, as he won a record 82 PGA Tour events. He did win seven majors, but never the US Open. He was also quite the showman. He once hit the scoreboard at Wrigley Field stadium with a golf ball, by teeing off from home plate."
NO_,"NOV.    	All Saints' Day is November 1st each year. The day before All Saints' Day is All Hallows Eve, better known by the Scottish term, ""Halloween""."
_RAB,CRAB.    	Curmudgeon is one of my wife's favorite terms to describe me. A curmudgeon is a bad-tempered person full of resentment and stubborn notions. I am sure she means it very affectionately ...
USE_ET,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
R_BE,"RABE.    	David Rabe is an American playwright, a veteran of Vietnam. He is the author a Vietnam War Trilogy of plays:"
LY_,"LYS.    	""Lys"" is the French word for ""lily"", as in fleur-de-lys, the heraldic symbol often associated with the French monarchy."
_EMI,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
SE_I,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
GN_,"GNP.    	A country's Gross National Product (GNP) is the value of all services and products produced by its residents in a particular year. GNP includes all production wherever it is in the world, as long as the business is owned by residents of the country concerned. Gross Domestic Product (GDP) is different, and is the value of all services and goods produced within the borders of the country for the year."
HI_O,HI-HO.    	Sunshine Biscuits was an independent producer of cookies and crackers. In 1996 it was absorbed by the Keebler Company and Hi-Ho Crackers was on the list of brands that was discontinued because of the merger.
TEN_,"TENS.    	What we usually call a cash register here, we mostly call a ""till"" in Ireland and the UK. I haven't heard the word used much here."
C_T,"CAT.    	A 'meme' (short for 'mineme') is a cultural practice or idea that is passed on verbally or by repetition from one person to another. The term lends itself very well to the online world where links, emails, files etc. are so easily propagated."
ALET_,"ALETA.    	Aleta is the the wife of Prince Valiant in the long-running comic strip. Edward, Duke of Windsor, called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
Q_TAR,"QATAR.    	Qatar is a sovereign state in the Middle East occupying the Qatar Peninsula, itself located in the Arabian Peninsula. Qatar lies on the Persian Gulf and shares one land border, with Saudi Arabia to the south. Qatar has more oil and gas reserves per capita of population than any other country in the world. In 2010, Qatar had the fastest growing economy in the world, driven by the petrochemical industry. Qatar is scheduled to host the 2022 FIFA World Cup, although the nation's eligibility to do so is under question after a far-reaching bribery scandal was uncovered at the sport's governing body."
P_AS,PTAS.    	Parent-Teacher Association (PTA)
B_YN,"BRYN.    	I used to live not far from Bryn-mawr in Wales, the town with the highest elevation in the country. Appropriately enough, Bryn mawr is Welsh for ""big hill"". There is also a Bryn Mawr in Pennsylvania, named after its Welsh counterpart. At the Pennsylvania location there's a Brynn Mawr college, a private women's school that was the first American university to offer graduate degrees to women."
EIEI_,"E-I-E-I-O.    	There was an American version of the English children's song ""Old MacDonald Had a Farm"" (E-I-E-I-O), that was around in the days of WWI. The first line of the US version went ""Old Macdougal had a farm, in Ohio-i-o"". I think that the ""Old MacDougal"" version eventually bit the dust and ""Old MacDonald"" won out in American nursery schools."
ROU_,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat, sometimes) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions are being used more and more these days."
US_A,"USMA.    	The US Military Academy has a traditional hymn called 'The Corps'. There is a phrase in the lyrics of the hymn, 'the long gray line'. Graduates of the academy use this phrase to refer to themselves."
MO_IF,MOTIF.    	A motif is a recurring element in an artistic work or design.
ONE_,"ONER.    	A ""lulu"" or a ""oner"" is a remarkable person or object. The word ""lulu"" first appeared in an article about baseball in New Orleans back in 1886."
T_C,"TMC.    	The Movie Channel is owned by Showtime, which in turn is subsidiary of CBS. The channel's name is often abbreviated to 'TMC', although this is informal usage."
S_TAN,"SATAN.    	'Old Scratch' and 'Mr. Scratch' are names used in folklore for the Devil. The terms appear in the writings of Mark Twain, Washington Irving and even Charles Dickens."
ON_P,"ON KP.    	KP is a US military slang term, and stands for either ""kitchen police"" or ""kitchen patrol""."
Z_O,"ZOO.    	""If I Ran the Zoo"" is a book written by Dr. Seuss and published in 1950. Apparently this book is famous for using the word ""nerd"", the first time it had been seen in print."
OE_,"OEO.    	The Office of Economic Opportunity (OEO) was created during the Lyndon Johnson administration. The agency was responsible for administering the War on Poverty programs that were part of the President Johnson's Great Society agenda. The OEO was shut down by President Nixon, although some of the office's programs were transferred to other agencies. A few of the OEO's programs are still around today, like Head Start for example."
BON_,"BONN.    	After WWII, Bonn was chosen as the capital of West Germany, a choice promoted by Chancellor Konrad Adenauer who was from the area. After German reunification, the capital was moved to Berlin."
_ILO,"HILO.    	Hilo is the largest settlement on the big island of Hawai'i, with a population of over 43,000 (that's not very many!). Oh, I love the Big Island ..."
ED_,EDE.    	Ede is a small town in the Netherlands located between the cities of Arnhem and Utrecht.
TAB_E,"TABLE.    	These ""tabling"" and ""shelving"" idioms drive me crazy, because it is always misused. If a topic is shelved, it is set aside. If a topic is tabled, it is brought ""off the shelf"" and put 'on the table' for discussion. But, maybe it's just me ..."
CA_C,CALC.    	Calculus ... everyone's favorite ...
_XE,"EXE.    	In the Windows Operating System, a file with the extension .exe is an ""executable"" file."
AM_O,"AMMO.    	The word 'munitions' describes materials and equipment used in war. The term derives from the Latin 'munitionem' meaning 'fortification, defensive wall'. Back in the 17th century, French soldiers referred to such materials as 'la munition', a Middle French term. This was misheard as 'l'ammunition', and as a result we ended up importing the word 'ammunition' (often shortened to 'ammo'), a term that we now use mainly to describe the material fired from a weapon."
EVE_,EVER.    	... and they all lived happily ever after.
PA_DA,"PANDA.    	Panda's have a particularly short mating season, lasting only a few days per year. The zookeepers at San Diego Zoo like to give the pandas some well-deserved privacy during this time, so the popular Internet 'Panda Cam' is shut down for about a week."
L_NIN,"LENIN.    	Comintern is the abbreviated name of Communist International, an organization founded in Moscow in 1919. Comintern's objective was the overthrow of the bourgeoisie worldwide and the creation of an international Soviet republic."
N_EST,N-TEST.    	Nuclear test (N-test)
_OBRA,"COBRA.    	The archetypal snake charmer ""hypnotizes"" a cobra, charming it with music he plays with a flute-like instrument, so that the snake stands vertically, swaying to the music. The snake actually sways with the motion of the end of the instrument, as the charmer moves it from side to side."
BO_E,BONE.    	A boxer (dog) may chew on its bone.
L_LI,"LILI.    	'Lili' is 1953 musical film starring Leslie Caron in the title role, a naive French orphan girl. A famous song from the movie is 'Hi-Lili, Hi-Lo'."
ALAN_,"ALANA.    	Alana Stewart is a former model and actress. She had two famous husbands, but both marriages ended in divorce. Her first husband was actor George Hamilton, and her second was rock star Rod Stewart."
BBG_N,"BB GUN.    	A BB gun is an air pistol or rifle that shoots birdshot known as BBs. Birdshot comes in a number of different sizes, from size 9 (0.080"" in diameter) to size FF (.23""). 0.180"" diameter birdshot is size BB, which gives the airgun its name."
_MSK,OMSK.    	We come across Omsk in Siberia every so often. It was the location of the labor camp where Dostoevsky was imprisoned.
OSR_C,"OSRIC.    	In William Shakespeare's play ""Hamlet"", Osric is the courtier that Claudius dispatches to invite Hamlet to participate in a duel."
EFT_,"EFTS.    	Newts wouldn't be my favorite animals. They are found all over the world, living on land or in the water depending on the species, but always associated with water even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start off as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo another metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
A_HOL,"ATHOL.    	Athol, Massachusetts was originally called Pequoiag, and was settled in 1735. When the township was incorporated in 1762, the name was changed to Athol, reminiscent of the previous home back in Scotland one of the founders, Blair Athol. The L. S. Starrett Company was established there in 1881, manufacturing precision tools. The company is still going strong, and is the city's biggest employer. As such, it inspired Athol's nickname of ""Tool Town""."
MA_,"MAV.    	The Mavericks is the name of the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was prompted by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
_ARD,"LARD.    	Fat, when extracted from the carcass of an animal, is called ""suet"". Untreated suet decomposes at room temperature quite easily so it has to be ""rendered"" or purified to make it stable. Rendered fat from pigs is what we call ""lard"". Rendered beef or mutton fat is known as ""tallow""."
ATHO_,"ATHOL.    	Athol, Massachusetts was originally called Pequoiag, and was settled in 1735. When the township was incorporated in 1762, the name was changed to Athol, reminiscent of the previous home back in Scotland one of the founders, Blair Athol. The L. S. Starrett Company was established there in 1881, manufacturing precision tools. The company is still going strong, and is the city's biggest employer. As such, it inspired Athol's nickname of ""Tool Town""."
SAFA_I,"SAFARI.    	""Safari"" is a Swahili word, meaning ""journey"" or ""expedition""."
H_H,"HRH.    	One might call the Duke of Edinburgh (wife to Queen Elizabeth II) ""His Royal Highness""."
_DAY,"O'DAY.    	Anita O'Day was the stage name of the jazz singer Anita Colton. O'Day had problems with heroin and alcohol addiction leading to erratic behavior, and earning her the nickname 'The Jezebel of Jazz'."
