"Some ""CSI"" figs.   		3 letters",DAS.    	District Attorney (DA)
"""Swans Reflecting Elephants"" artist.   		4 letters","DALI.    	Swans Reflecting Elephants' is a painting that Salvador Dali completed in 1937. The title is somewhat self-explanatory. The scene features some swans on a lake, along with their reflections. In the reflection the swans take on the appearance of elephants, with the swans' necks becoming elephant trunks and wings becoming ears."
Backwoods parent.   		3 letters,MAW.    	I guess that's Maw and Paw ...
Testing stage.   		4 letters,"BETA.    	In the world of software development, the first tested issue of a new program is usually called the ""alpha"" version. Expected to have a lot of bugs that need to be fixed, the alpha release is usually distributed to a small number of testers. After reported bugs have been eliminated, the refined version is called a ""beta"" and is released to a wider audience, but with the program clearly labeled as ""beta"". The users generally check functionality and report further bugs that are encountered. The beta version feeds into a release candidate, the version that is tested just prior to the software being sold into the market, bug-free. Yeah, right ..."
Submarine sandwich.   		4 letters,"HERO.    	""Hero"" is another name for a submarine sandwich. The hero originated in New York City in the 1800s among Italian immigrants who wanted an Italian sandwich that reminded them of home. The name ""hero"" was coined in the 1930s, supposedly by a food critic in the ""New York Herald Tribune"" when he wrote that ""one had to be a hero"" to finish the gigantic sandwich. Hero is a prevalent term to this day in New York City, reserved for a submarine sandwich with an Italian flavor."
"""My Baby No ___ Aqui"" (Garth Brooks song).   		4 letters","ESTA.    	Country singer Garth Brooks retired from recording and performing in 2001, and then came out of retirement in 2009. You can go see him perform at the Encore Hotel and Casino on the Las Vegas Strip."
Internet address starter.   		4 letters,"HTTP.    	""http"" are the first letters in most Internet links. 'http' stands for HyperText Transfer Protocol."
___ Paese cheese.   		3 letters,"BEL.    	Bel Paese is a mild Italian cheese invented in the 1906. The name ""bel paese"" means beautiful country in Italian, and is taken from the title of a book written by Antonio Stoppani."
Pasta topper.   		5 letters,"PESTO.    	Pesto gets its name from the Latin word for ""crush"". The word ""pestle"", as in mortar and pestle, is derived from the same Latin root."
Smoked deli purchase.   		3 letters,"LOX.    	Lox is a cured salmon fillet, finely sliced. The term ""lox"" comes into English via Yiddish, and derives from the German word for salmon, namely 'Lachs'."
Actress Anderson.   		4 letters,"LONI.    	Loni Anderson's most-remembered role was Jennifer Marlowe on the sitcom ""WKRP in Cincinnati"". Anderson has been married four times, most famously to actor Burt Reynolds from 1988 to 1993."
"Omaha Beach craft, for short.   		3 letters","LST.    	LST stands for Landing Ship, Tank. LSTs were the large vessels used mainly in WWII that had doors at either ends, from which tanks and other vehicles could roll off and onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
Singer/songwriter Amos.   		4 letters,"TORI.    	Tori Amos is an American pianist and singer. She started playing the piano at two years old, and was composing piano pieces by age five. She was playing in piano bars (chaperoned by her father) when she was 14. I'm going to have to find some of her music (I lead such a sheltered life ...)!"
"In Tahitian it means ""good"".   		7 letters","MAI TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum. ""Maita'i"" is the Tahitian word for ""good""."
Target audience of Maxim.   		3 letters,"MEN.    	""Maxim"" is an international men's magazine featuring revealing photo spreads (non-nude in the US) of female celebrities and models."
"Pet care specialists, for short.   		4 letters","SPCA.    	Unlike in most developed countries, there is no ""umbrella"" organization in the US with the goal of preventing cruelty to animals. Instead there are independent organizations set up all over the nation using the name SPCA. Having said that, there is an organization called the American Society for the Prevention of Cruelty to Animals (ASPCA) that was originally intended to operate across the country, but really it now focuses its efforts in New York City."
Exercise with a portmanteau name.   		6 letters,"TAE BO.    	Tae Bo isn't an ancient martial art, and rather was developed as a form of aerobic exercise in the 1990s. The discipline was introduced by taekwondo expert Billy Blanks who gave it the name Tae Bo, a melding of ""taekwondo"" and ""boxing""."
Pros in power: Abbr..   		3 letters,EES.    	Electrical Engineers (EEs).
"""What, me worry?"" magazine.   		3 letters","MAD.    	""Mad"" magazine has been around since 1952, although back then it was more of a comic book than a magazine. The original founder and editor was Harvey Kurtzman and in order to convince him to stay, the publisher changed the format to a magazine in 1955. That's when the publication really took off in terms of popularity."
Sumac with a wide range.   		3 letters,"YMA.    	Yma Sumac was a Peruvian soprano, with a notable vocal range of five octaves."
"Nick of ""The Deep"".   		5 letters","NOLTE.    	The actor Nick Nolte got his first big break playing opposite Jacqueline Bisset and Robert Shaw in 'The Deep', released in 1976. Prior to that he had worked as a model, and in fact appeared in a magazine advertisement for Clairol in 1972 alongside fellow model, Sigourney Weaver."
Politico Palin.   		5 letters,"SARAH.    	When John McCain selected Sarah Palin as candidate for Vice President in the 2008 presidential election, she became the first Alaskan to go on the national ticket for a major party. She also became the first woman nominated for Vice President by the Republicans."
___ Rabbit.   		5 letters,"BR'ER.    	Br'er Rabbit and Br'er Fox are characters in the Uncle Remus stories, written by Joel Chandler Harris. The Uncle Remus stories are adaptations of African American folktales that Harris collected across the Southern States. ""Br'er"" is an abbreviated form of ""brother""."
Beaver's construction.   		3 letters,DAM.    	Beavers build dams so that they can live in and around the slower and deeper water that builds up above the dam. This deeper water provides more protection for the beavers from predators such as bears. Beavers are nocturnal animals and do all their construction work at night.
Tulsa sch.   		3 letters,"ORU.    	Oral Roberts University is a private school in Tulsa, Oklahoma. It was founded relatively recently, in 1963, by the late evangelist Oral Roberts."
Brewer's oven.   		4 letters,"OAST.    	An oast is a kiln used for drying hops as part of the brewing process. Such a structure might also be called an ""oast house""."
"Tesla, e.g.   		4 letters","SERB.    	Nikola Tesla was born in Serbia, but later moved to the US. Tesla's work on mechanical and electrical engineering was crucial to the development of alternating current technology, the same technology that is used by equipment at the backbone of modern power generation and distribution systems."
"""Will it play in ___?"".   		6 letters","PEORIA.    	The phrase, 'Will it play in Peoria?' is used to mean, 'Will it appeal to the mainstream?' It is believed that the expression originated as a corruption of, 'We shall play in Peoria', a line used by characters in the 1890 novel ""Five Hundred Dollars"" by Horatio Alger, Jr."
"Any singer of ""Hotel California"".   		5 letters","EAGLE.    	""Hotel California"" is the title song from a 1997 album released by the Eagles. The song is allegorical in nature, and tells of a luxury hotel where one can check in, but never check out. The hotel is a symbol for the California music industry of the seventies that destroyed so many people who were trapped by it. There is an unrelated Hotel California in San Francisco, my favorite of the city's ""boutique"" and reasonable priced places to stay."
"Black-and-white transmissions, briefly?.   		4 letters",APBS.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
"Words With Friends, e.g.   		3 letters","APP.    	'Words With Friends' is a word game application that can be played on smartphones and other electronic devices. 'Words With Friends' is basically Scrabble under a different name, I hear."
Veto.   		3 letters,"NIX.    	The use of 'nix' as a verb, meaning 'to shoot down', dates back to the early 1900s. Before that 'nix' was just a noun meaning 'nothing'. 'Nix' comes from the German 'nichts', which also means 'nothing'."
