_MC,"GMC.    	GMC is a division of General Motors (GM) established in 1901 that started out as ""GMC Truck""."
OU_,"OUI.    	In French, ""non"" (no) is the opposite to ""oui"" (yes)."
STE_N,STEIN.    	'Pigeons on the grass alas' is the most famous aria in the opera 'Four Saints in Three Acts. The opera was composed by Virgil Thomson with a libretto by Gertrude Stein.
_PS,"LPS.    	The world's first radio disk jockey (DJ) was one Ray Newby of Stockton, California who made his debut broadcast in 1909, would you believe? When he was 16 years old and a student, Newby started to play his records on a primitive radio located in the Herrold College of Engineering and Wireless in San Jose. The records played back then were mostly recordings of Enrico Caruso."
NA_IR,"NADIR.    	The nadir is the direction pointing immediately below a particular location (through to the other side of the Earth for example). The opposite direction, that pointing immediately above, is called the zenith."
D_LI,"DALI.    	""The Persistence of Memory"" is probably Salvador Dalí's most famous work, featuring the celebrated ""melting clocks"". And you can see it in the MoMA in New York City."
TI_O,"TITO.    	The Jackson 5 singing group was originally made up of brothers Tito, Jackie, Jermaine, Marlon and Michael."
ONE_,ONE L.    	'One L' is a name used in general for first year law students.
O_HS,"OCHS.    	Adolph Ochs was a former owner of our beloved 'The New York Times'. Ochs had purchased a controlling interest in 'The Chattanooga Times' when he was only 19 years of age, and took control of 'The New York Times' in 1896 when he was only 38 years old. It was Ochs who moved the paper's headquarters to a new building on Longacre Square in Manhattan, which the City later renamed to the famous 'Times Square' after the newspaper."
_MS,"HMS.    	HMS stands for His or Her Majesty's Ship and is a prefix used in the navies of some monarchies, most notably the UK's Royal Navy."
_RYX,"ORYX.    	The oryx is a large antelope species, mainly found in Africa but also in the Arabian Peninsula. One species was introduced by man into the White Sands Missile Range. As a result, the oryx is now considered an invasive species in the neighboring White Sands National Monument."
_ONAR,"SONAR.    	Dolphins do have 'ears', small openings on the side of their heads. However, it is believed that dolphins hear sounds underwater mainly with their lower jaws, conducting the sound to the middle ear. In addition, dolphin teeth are thought to aid in pinpointing an object underwater using sound waves."
S_NEW,"SINEW.    	Sinew is another name for a tendon. Tendons are bands of collagen that connect muscle to bone. Tendons are similar to ligaments and fasciae, which are also connective tissue made out of collagen, but ligaments join bone to bone, and fasciae connect muscle to muscle. We also use the term 'sinew' to mean muscular power."
CO_,"COS.    	The most familiar trigonometric functions are sine, cosine and tangent. Each of these is a ratio, a ratio of two sides of a right-angled triangle. The reciprocal of these three functions are secant, cosecant and cotangent. The reciprocal functions are simply the inverted ratios, the inverted sine, cosine and tangent."
AM_,"AMC.    	""The Walking Dead"" is a horror television show that made by AMC. There are lots of flesh-eating zombies featured, so I won't be seen 'dead' watching it ..."
BT_,"BTU.    	In the world of heating, ventilation and air conditioning (HVAC), the power of a heating or cooling unit can be measured in British Thermal Units (BTUs). This dated unit is the amount of energy required to heat a pound of water so that the water's temperature increases by one degree Fahrenheit."
LD_,"LDS.    	The Church of Jesus Christ of Latter-day Saints, often abbreviated to ""LDS"", is known colloquially as the Mormon Church."
A_E,-ASE.    	Lipase is an enzyme that breaks down fat. Most human lipases are secreted by the pancreas.
PA_,"PAC.    	A Political Action Committee (PAC) is a private group that works to influence the outcome of a particular election or group of elections. Any group becomes a PAC by law when it receives or spends more than $1,000 for the purpose of influencing the outcome of an election."
T_C,"TAC.    	When I was growing up in Ireland we played ""noughts and crosses"" ... our name for the game tic-tac-toe."
H_BO,"HOBO.    	No one seems to know for sure how the term ""hobo"" originated, although there are lots of colorful theories. My favorite is that ""hobo"" comes from the first letters in the words ""ho-meward bo-und"", but it doesn't seem very plausible. A kind blog reader tells me that according to Click and Clack from PBS's ""Car Talk"" (a great source!), ""hobo"" comes from ""hoe boy"". Hoe boys were young men with hoes looking for work after the Civil War. Hobos differed from ""tramps"" and ""bums"", in that ""bums"" refused to work, ""tramps"" worked when they had to, while ""hobos"" traveled in search of work."
E_U,"ECU.    	The ecu was an Old French coin, and when introduced in 1640, was worth three livres (an older coin, called a ""pound"" in English). The word ""ecu"" comes from the Latin ""scutum"" meaning shield. The original ecu used to have a coat of arms on it, a shield."
BE_ET,"BERET.    	Army Rangers belong to a Special Operations unit known as the 75th Ranger Regiment. The modern Army Rangers have roots that go back to Ethan Allen's Green Mountain Boys, a militia organization that served in the Revolutionary War."
_NKH,"ANKH.    	The ankh was the ancient Egyptian hieroglyphic character for ""eternal life"". The ankh wasn't just used in inscriptions but was often fashioned into amulets and as surrounds for mirrors (perhaps symbolizing a view into another world)."
E*T_ADE,"E*TRADE.    	E*Trade is mainly an online discount brokerage. It was founded in 1982 in Palo Alto, California, and I used to drive by its headquarters almost every day. The company is now run out of New York City. E*Trade produces those famous Super Bowl ads with the talking babies staring into a webcam."
DI_,"DIA.    	In Spanish, an example of a day (dia) would be Monday (lunes) or Tuesday (martes)."
_AM,PAM.    	PAM cooking oil was introduced in 1961 by Leon Rubin and Arthur Meyerhoff. The name 'PAM' is an acronym ... standing for 'Product of Arthur Meyerhoff' ...
OSCAR_,"OSCARS.    	Katharine Hepburn has been nominated for a Best Actress Oscar 12 times, and holds the record for Best Actress wins at four. She won for her roles in:"
TMA_,"T-MAN.    	A T-man is a law-enforcement agent of the US Treasury, and he/she tries to eliminate bad (counterfeit) notes."
D_D,"DAD.    	Ed O'Neill made it big on television playing Al Bundy on the sitcom ""Married ... with Children"", not a show I ever cared for. However, I really enjoy watching O'Neill playing Jay Pritchett on the excellent sitcom ""Modern Family""."
ER_S,"ERGS.    	An erg is a unit of energy or mechanical work. ""Erg"" comes from the Greek word ""ergon"" meaning ""work""."
_BS,ABS.    	Abdominal muscles (abs.)
_IT,"AIT.    	Aits are little islands found in a river. Aits aren't formed by erosion, but by the deposition of silt over time. As a result, aits often have a long and narrow shape running parallel to the banks as the sediment builds up with the flow of the water. Many of the islands in the River Thames in England have been given the name ""Ait"", like Raven's Ait in Kingston-upon-Thames, and Lot's Ait in Brentford."
IS_N,"ISBN.    	The International Standard Book Number (ISBN) was invented by one Gordon Foster who is now a professor at Trinity College Dublin in Ireland. The code was originally developed for booksellers, so that they had a unique number (and now a barcode) for each publication."
TM_N,T-MAN.    	A T-man is a law-enforcement agent of the US Treasury.
_SBN,"ISBN.    	The International Standard Book Number (ISBN) was invented by one Gordon Foster, who now is a professor at Trinity College, Dublin in Ireland. The code was originally developed for booksellers, so that they had a unique number (and now a bar code) for each publication."
E_ER,"EDER.    	The Eder is a river in Germany, a tributary of the Fulda River. The Eder has a dam near the small town of Waldeck which holds water in the large Edersee reservoir. This was one of the dams that was attacked by the RAF during WWII with the famous Barnes Wallis bouncing bombs. It was destroyed in the Dam Busters raid in 1943, but rebuilt the same year."
RA_,"RAT.    	The Chinese Zodiac is a scheme that relates each year to the attributes of a particular animal, in a 12-year cycle. So, the Chinese Zodiac has one sign for each of twelve years, whereas the Western Zodiac has one sign for each of the twelve months."
N_U,"NYU.    	New York University (NYU) is comprised of fifteen schools, one of which it the Tisch School of the Arts. The Tisch is famous for its acting program, with notable alumni such as Debra Messing, Christopher Guest and Josh Radnor."
EDI_H,"EDITH.    	The literal translation of ""La Vie en Rose"" is ""Life in pink"", but a better translation would be ""Life through rose-colored glasses"". Edith Piaf wrote the words to the song herself, to the melody by Louis Gugliemi. Edith Piaf became so associated with the song, that it appeared on almost every album she released. A 2007 biopic about Piaf's life was also called ""La Vie en rose""."
_UO,DUO.    	(65A. The White Stripes' genre : ROCK)
_EON,"PEON.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish, in which language it has the same meaning."
SUE_,"SUET.    	Fat, when extracted from the carcass of an animal is called ""suet"". Untreated suet decomposes at room temperature quite easily, so it has to be ""rendered"" or purified to make it stable. Rendered fat from pigs is what we call ""lard"". Rendered beef or mutton fat is known as ""tallow""."
I_F,"IMF.    	The International Monetary Fund (IMF) was established at the end of 1945 with 29 major economies supporting and funding an effort to stabilize economies across the globe after WWII. Headquartered in Washington, D.C., today the IMF has 187 member countries."
DIN_,"DINO.    	(11D. Pebbles, e.g. : FLINTSTONE)"
LIA_,"LIAM.    	'Taken' is a fabulous thriller movie released in 2008. It stars Liam Neeson as kind of an older James Bond type, and he is great in the role. I just heard the wonderful news that 'Taken II' has started filming."
STET_,"STETS.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
HR_,"HRE.    	Pepin the Short was Duke of the Franks from 751 to 768. Pepin expanded the Frankish Empire and then law dictated that he had to leave the Empire divided between his two sons, Carloman I and Charlemagne. Carloman I was given lands that were centered around Paris, and Charlemagne was given lands that completely surrounded his brothers territory. So it fell to Charlemagne to defend and extend the borders of the empire. It is because of this division of power that it's Charlemagne who we read about today, not Carloman I. It was Emperor Charlemagne who in effect founded the Holy Roman Empire."
KE_R,"KERR.    	Walter Kerr was a Broadway theater critic for the 'New York Herald Tribune' and the 'New York Times'. Together with his wife Jean, Kerr also wrote the Tony-winning musical 'Goldilocks', which premiered in 1958."
B_RET,"BERET.    	The term ""beatnik"" was coined by journalist Herb Caen in 1958 when he used it to describe the stereotypical young person of the ""beat generation"" that was oft associated with the writer Jack Kerouac. That stereotypical beatnik would be playing the bongos and rolling his or her own cigarettes. Male beatniks also tended to sport goatees and wear berets."
I_ANA,IVANA.    	Donald Trump's Taj Mahal Casino Resort opened up for business in 1990 in Atlantic City.
TAMP_,"TAMPA.    	The Tampa Bay Lightning are a team in the National Hockey League, commonly referred to as 'the Bolts'."
TOT_M,"TOTEM.    	Totem is the name given to any entity that watches over a group of people. As such, totems are usually the subjects of worship. So, ""totem poles"" are really misnamed as the poles are not intended to represent figures to be worshiped, but rather are heraldic in nature often celebrating the legends or notable events in the history of a tribe."
RB_S,RBIS.    	Runs Batted In.
SLA_,"SLAG.    	The better lead ores are processed in a blast furnace, to extract the metal. The ""waste"" from this process is called ""slag"". Slag does contain some lead and it can be processed further in a ""slag furnace"" to extract the residual metal. Slag furnaces also accept poorer lead ores as a raw material."
AA_P,"AARP.    	AARP is the official name now for the interest group that used to be called the American Association of Retired Persons. The name change reflects the current focus of the group on all Americans aged 50 or over, as opposed to just people who have retired."
ECO_E,"ECOLE.    	In France, an 'École des Beaux-Arts' is a school of fine arts. The most famous such school is the École nationale supérieure des Beaux-Arts located on the left bank of the Seine in Paris, across the river from the Musée du Louvre."
LO_B,"LOEB.    	The singer Lisa Loeb was discovered by actor Ethan Hawke, who lived just across the street from her in New York City. Hawke took a demo of her song ""Stay (I Missed You)"" and gave it to director Ben Stiller, who in turn used it over the ending credits of his 1994 movie ""Reality Bites"". The movie was a hit, the song went to number one, and Loeb became the first artist ever to hit that number one spot without having signed up with a record label. Good for her!"
_TETS,"STETS.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
T_CO,"TACO.    	Quinceañera is a celebration of a girl's fifteenth birthday, an event common in many parts of Latin America."
_IEU,"DIEU.    	Dieu, the French for God."
SI_,"SID.    	Sid Caesar achieved fame in the fifties on TV's ""Your Show of Shows"". To be honest, I know Sid Caesar mainly from the fun film version of the musical ""Grease"", in which he played Coach Calhoun."
_OPI,HOPI.    	Many of the Hopi nation live on a reservation that is actually located within the much larger Navajo reservation in Arizona.
SA_AH,"SARAH.    	When John McCain selected Sarah Palin as candidate for Vice President in the 2008 presidential election, she became the first Alaskan to go on the national ticket for a major party. She also became the first woman nominated for Vice President by the Republican Party."
KRI_,"KRIS.    	In the fun TV show from the late seventies and early eighties, 'Charlie's Angels', Farrah Fawcett-Majors played Jill Munroe. When Fawcett-Majors decided to move on from the show, a new character was introduced to fill her spot, her younger sister, Kris Munroe, played by Cheryl Ladd."
SO_,SOU.    	A sou is an old French coin. We use the term 'sou' to mean 'an almost worthless amount'.
_CNE,ACNE.    	Proactiv is an over-the-counter medication that is applied to acne. Its active ingredient is benzoyl peroxide.
FT_,"FTD.    	Back in 1910, fifteen florists from around America agreed to fulfill each others orders using the telegraph system, setting up what they called the Florists' Telegraph Delivery. The concept grew so large that in 1965 the group started to offer international service, and changed its name to Florists' Transworld Delivery."
GA_,"GAR.    	The fish known as a gar is very unusual in that it is often found in very brackish water. What is interesting about gar is that their swim bladders are vascularized so that they can actually function as lungs. So many species of gar can be seen coming to the surface and taking a gulp of air. This adaptation makes it possible for them to live in conditions highly unsuitable for other fish that must rely on their gills to get oxygen. Indeed, quite interesting ..."
_ICA,"MICA.    	Mica is a mineral, a sheet silicate. Thin sheets of mica are transparent and are used in place of glass in certain applications. This form of mica is called isinglass, and as it has a better thermal performance than glass it is a great choice for ""peepholes' in boilers and lanterns. Mica is also used in the electronics industry, making use of its unique electrical and thermal insulating properties."
SER_A,"SERTA.    	Serta was founded in 1931 when a group of 13 mattress manufacturers came together, essentially forming a cooperative. Today, the Serta company is owned by eight independent licensees in a similar arrangement."
_IG,"AIG.    	AIG is the American International Group, a giant insurance corporation (or I should say, ""was""). After repeated bailouts by American taxpayers, the company made some serious PR blunders by spending large amounts of money on executive entertainment and middle management rewards. These included a $444,000 California retreat, an $86,000 hunting trip in England, and a $343,000 getaway to a luxury resort in Phoenix. Poor judgment, I'd say ..."
IV_N,"IVAN.    	""The Brothers Karamazov"" is the last novel completed by Russian author Fyodor Dostoyevsky, as the author died just four months after it was published."
OS_,"OST.    	Ost is the German for ""east""."
A_S,"ABS.    	Pilates is a physical exercise system developed by, and named for, Joseph Pilates. Pilates introduced his system of exercises in 1883 in Germany."
NILL_,"NILLA.    	As one might expect, Nilla is a shortened from of ""vanilla"". However, you won't find any vanilla in Nilla cookies or wafers. They have always been flavored with vanillin, synthetic vanilla. Is nothing sacred ...?"
AI_,"AIG.    	AIG is the American International Group, a giant insurance corporation (or I should say, ""was""). After repeated bailouts by American taxpayers, the company made some serious PR blunders by spending large amounts of money on executive entertainment and middle management rewards. These included a $444,000 California retreat, an $86,000 hunting trip in England, and a $343,000 getaway to a luxury resort in Phoenix. Poor judgment, I'd say ..."
V_T,"VET.    	The verb 'to vet' comes from the term 'veterinarian'. The idea is that to 'vet' something is to subject it to careful examination, like a veterinarian checking out an animal."
Z_NC,"ZINC.    	The metal zinc is an essential trace element in the human diet. There are 2-4 grams of zinc in the body typically, with the highest concentrations in the eyes and the male prostate gland."
MARI_,"MARIA.    	When Columbus made his famous voyage of discovery, the largest of his three ships was the Santa Maria. The Santa Maria ran aground on the coast of Hispaniola on Christmas Day in 1492 and was lost. 39 of Columbus's men were left behind with the permission of the locals. These men stripped the timbers from the Santa Maria and used them to build a settlement they called La Navidad (Spanish for 'Christmas'). La Navidad is now the modern town of Môle-Saint-Nicolas in the Republic of Haiti."
AV_S,"AVES.    	Ventnor Avenue and Baltic Avenue are both properties in the US version of the game of Monopoly. The street names in the US version of Monopoly are locations in or around Atlantic City, New Jersey."
HA_,"HAT.    	A deerstalker is a hat that is associated with hunting, and stalking deer in particular, hence the name. The deerstalker is also very much associated with Sherlock Holmes, and by extension with the stereotypical detective."
EE_,"EEG.    	An electroencephalogram is a record of electrical activity caused by the firing of neurons within the brain. The EEG can be used to diagnose epilepsy, as well as to determine if a patient is ""brain dead""."
MO_ET,"MONET.    	Giverny is a commune in northern France, most famous as the location of artist Claude Monet's home. It was in Giverny that Monet painted his famous 'Water Lilies'."
INR_,"INRI.    	The letters on the cross on which Jesus died were INRI. INRI is an acronym, for the Latin ""Iesus Nazarenus, Rex Iudaeorum"", which translates into English as Jesus the Nazarene (or Galilean), King of the Jews (or Judeans)."
D_EU,"DIEU.    	Prie-dieu literally means ""pray (to) God"" in French. A prie-dieu is basically a padded kneeler, with an armrest in front and a shelf on which one placed books of prayer."
E_U,"ECU.    	The ecu was an Old French coin. When introduced in 1640, the ecu was worth three livres (an older coin, called a ""pound"" in English). The word ""ecu"" comes from the Latin ""scutum"" meaning ""shield"". The original ecu had a coat of arms on it, a shield."
MI_SK,"MINSK.    	Minsk is the capital of Belarus, formerly known as the Belorussion Soviet Socialist Republic."
ZAN_,"ZANE.    	Zane Grey sure did hit on the right niche. He wrote romanticized western novels and stories that really lent themselves to the big screen in the days when westerns were very popular movies. Incredibly, 110 films were made based on his work."
UN_X,"UNIX.    	I always think of an operating system as that piece of software that sits between the hardware on my computer and the programs that I choose to run. Developers of application programs don't really have to worry about being able to ""talk to"" the countless different types of hardware that can exist on a computer, they just need to talk to the handful of operating systems that are out there, like Windows, MAC and Unix. The operating system takes care of the rest."
A_ATE,"AGATE.    	Agate is a micro-crystalline form of quartz (so is related to sand/silica). Some agate samples have deposited layers that give a striped appearance, and these are called ""banded agate""."
O_S,OTS.    	Overtimes (OTs)
_OC,"DOC.    	Microsoft Word documents have the "".doc"" file extension, at least those prior to Microsoft Office 2007. The extension used now is "".docx""."
_INTA,"PINTA.    	As we all know, Christopher Columbus used three ships in his first voyage across the Atlantic: the Santa Maria, the Niña and the Pinta. The Pinta was the fastest of the three, and it was from the Pinta that the New World was first spotted, by a sailor called Rodrigo de Triana who was a lookout on the fateful day. Pinta was a nickname for the ship that translated as ""the painted one"". The Pinta's real name has been lost in mists of time."
SLA_,"SLAG.    	The better lead ores are processed in a blast furnace, to extract the metal. The ""waste"" from this process is called ""slag"". Slag does contain some lead and it can be processed further in a ""slag furnace"" to extract the residual metal. Slag furnaces also accept poorer lead ores as a raw material."
_UET,"SUET.    	Fat, when extracted from the carcass of an animal, is called ""suet"". Untreated suet decomposes at room temperature quite easily so it has to be ""rendered"" or purified to make it stable. Rendered fat from pigs is what we call ""lard"". Rendered beef or mutton fat is known as ""tallow""."
_RIE,ARIE.    	India.Arie is an American soul and R&B singer who was born India Arie Simpson.
K_REA,"KOREA.    	A demilitarized zone (DMZ) is usually a border between two countries where military activity is banned according to some treaty between interested parties. The most famous DMZ today has to be the buffer zone between North and South Korea. The Korean DMZ snakes right across the Korean peninsula near the 38th parallel. The center line of the DMZ is where the front was when the ceasefire came into effect in 1953 after the Korean War. According to the armistice signed, all troops had to move back 2,000 meters from the front line on both sides, creating the DMZ that is in place today. Paradoxically perhaps, the areas on either side of the DMZ form the most heavily militarized border in the world."
FL_,"FLA.    	The largest US states by population are, in order:"
SE_,SEL.    	A Frenchman might use a pinch of 'sel' (salt).
E_ON,"ELON.    	Elon is a city in the Piedmont region of North Carolina, close to the city of Burlington. Elon University is a private liberal arts school, founded in 1889."
_ERF,"SERF.    	Monty Python and the Holy Grail' was released as a movie in 1975, and was a great success. Some thirty years later the film's storyline was used as inspiration for the hit musical 'Spamalot'. I saw 'Spamalot' recently and wasn't that impressed. But, mine was very much a minority opinion ..."
HE_R,"HERR.    	Johann Wolfgang von Goethe was a German writer (among other things!). Goethe's most famous work is probably his play 'Faust'. This epic work was published in parts, starting in 1808. The work was only published in toto after his death in 1832."
JE_,JET.    	The color 'jet black' takes its name from the minor gemstone known as jet. The gemstone and the material it is made of takes its English name from the French name: 'jaiet'.
TG_F,"TGIF.    	""Thank God It's Friday"" (TGIF) is a relatively new expression that originated in Akron, Ohio. It was a catchphrase used first by disk jockey Jerry Healy of WAKR in the early seventies."
LA_,LAT.    	Latitude (lat.)
H_E,"HRE.    	Pepin the Short was the Duke of the Franks from 751 to 768. He expanded the Frankish Empire, and then had to divide it up by law between his two sons, Carloman I and Charlemagne. Carloman I was given lands that were centered around the Paris, and Charlemagne was given lands that completely surrounded his brothers territory. So, it fell to Charlemagne to defend, and extend, the borders of the empire, and it is Charlemagne that we read about today, not Carloman I. And it was Charlemagne who in effect founded the Holy Roman Empire."
PE_,"PEA.    	Shepherd's pie, also known as cottage pie, is one of my favorite dishes. It is a meat pie (although my wife makes a vegetarian version), with a crust made from mashed potato."
_OY,SOY.    	Soy sauce is made by fermenting soybeans with a mold in the presence of water and salt. Charming ...
_IA,"DIA.    	In Spain, the day (dia) might be Saturday (sábado) or Sunday (domingo)."
NY_,"NYU.    	New York University (NYU) is comprised of fifteen schools, one of which it the Tisch School of the Arts. The Tisch is famous for its acting program, with notable alumni such as Debra Messing, Christopher Guest and Josh Radnor."
LEN_,"LENT.    	In Latin, the Christian season that we now call Lent was termed ""quadragesima"", a reference to the forty days that Jesus spent in the desert before beginning his public ministry. When the church began its move in the Middle Ages towards using the vernacular, the term ""Lent"" was introduced. ""Lent"" comes from ""Lenz"", the German word for ""spring""."
RA_,"RAY.    	Ray Charles came up with his stage name by dropping the family name from his real moniker, Ray Charles Robinson. His life was a wild ride, well represented in the excellent biopic called 'Ray' released in 2004 and starring Jamie Foxx in the title role. Ray Charles was married twice and fathered 12 children with nine different women. As I said, a wild ride ..."
NY_,"NYU.    	Ross Geller is the character on ""Friends"" played by David Schwimmer. The role of Ross Geller was actually written with Schwimmer in mind, so the role was the first of the ""Friends"" to be cast."
A_C,"ANC.    	The African National Congress (ANC) started out as the South African Native National Congress in 1912 with the goal of improving the lot of Black South Africans. After years of turmoil, the ANC came to power in the first open election in 1964."
N_RY,"NARY.    	The adjective ""nary"" means ""not one""."
EE_,"EEG.    	An electroencephalogram (EEG) is a record of electrical activity caused by the firing of neurons within the brain. The EEG might be used to diagnose epilepsy, or perhaps to determine if a patient is ""brain dead""."
A_SAD,"ASSAD.    	Dr. Bashar al-Assad is the current President of the Syrian Arab Republic and the son of the former President Hafez al-Assad whom he replaced in 2001. President Assad is a medical doctor, speaks fluent English and conversational French. Assad was studying ophthalmology in London when he met his wife, who is an Englishwoman."
ARI_L,"ARIEL.    	In the 1989 Disney animated film ""The Little Mermaid"", the title character is given the name Ariel. In the original fairy tale by Hans Christian Andersen, which dates back to 1836, the Little Mermaid is given no name at all, so ""Ariel"" is a creation by Disney. There is of course a famous statue of the unnamed Little Mermaid sitting in Copenhagen Harbor in Andersen's native Denmark, although the statue is currently ""on tour"". It is visiting Shanghai on the occasion of Expo 2010, the first time it has left Copenhagen since its installation in 1913."
_ERR,"HERR.    	""Herr"" is German for ""Mister""."
SAT_R,"SATYR.    	The satyrs of Greek mythology came with a very high sex drive. They are often the ""rude"" subjects drawn on the side of old Greek vases."
_SBN,"ISBN.    	The International Standard Book Number (ISBN) was invented by one Gordon Foster who is now a professor at Trinity College Dublin in Ireland. The code was originally developed for booksellers, so that they had a unique number (and now a barcode) for each publication."
A_IEL,"ARIEL.    	In the 1989 Disney animated film ""The Little Mermaid"", the title character is given the name Ariel. In the original fairy tale by Hans Christian Andersen, which dates back to 1836, the Little Mermaid is given no name at all, so ""Ariel"" is a creation by Disney. There is of course a famous statue of the unnamed Little Mermaid sitting in Copenhagen Harbor in Andersen's native Denmark, although the statue is currently ""on tour"". It is visiting Shanghai on the occasion of Expo 2010, the first time it has left Copenhagen since its installation in 1913."
A_G,"AIG.    	AIG is the American International Group, a giant insurance corporation (or I should say, ""was""). After repeated bailouts by American taxpayers, the company made some serious PR blunders by spending large amounts of money on executive entertainment and middle management rewards. These included a $444,000 California retreat, an $86,000 hunting trip in England, and a $343,000 getaway to a luxury resort in Phoenix. Poor judgment, I'd say ..."
O_TER,OTTER.    	The fur of the sea otter is exceptionally thick. It is in fact the densest fur in the whole of the animal kingdom.
_WL,OWL.    	Woodsy Owl is an icon used by the US Forest Service. Woodsy's job is to promote the appreciation of nature and is associated with the tag-lines 'Give a hoot --- don't pollute!' and 'Lend a hand --- Care for the Land!'
ZA_E,"ZANE.    	Billy Zane is an actor from Chicago, Illinois. One of Zane's most prominent roles was the title character in the 1996 superhero film called 'The Phantom'. He also played the somewhat creepy bad guy in the 1989 thriller movie called 'Dead Calm'."
N_TS,"NETS.    	Basketball is truly an American sport. It was created in 1891 by a James Naismith at the YMCA in Springfield, Massachusetts. His goal was to create something active and interesting for his students in the gym. The first ""hoops"" were actually peach baskets, with the bottoms of the baskets intact. When a player got the ball into the ""net"", someone had to clamber up and get the ball back out again in order to continue the game!"
AST_A,"ASTRA.    	The motto of the State of Kansas is ""ad astra per aspera"", a Latin expression meaning ""to the stars through difficulties"". Kansas shares the same motto with quite a few other institutions, including an English grammar school, an Australian high school, and even Starfleet, the service to which the USS Enterprise belongs in the ""Star Trek"" series."
AL_AH,"ALLAH.    	The term 'Allah' comes from the Arabic 'al-' and 'ilah', meaning 'the' and 'deity'. So 'Allah' translates as 'God'."
DO_,"DOC.    	Michael Moore is a documentary filmmaker, famously from Flint, Michigan. Moore is known for several documentaries that have performed well at the box office, especially 'Fahrenheit 9/11' (2004), 'Bowling for columbine' (2002) and 'Sicko' (2007)."
_EN,"MEN.    	Cher's real name is Cherilyn Sarkisian, born in 1946. In her acting career, Cher was nominated for the Best Supporting Actress Oscar of 1984 for her performance in ""Silkwood"". She went further in 1988 and won the Best Actress Oscar for playing Loretta Castorini in ""Moonstruck""."
