"""J'accuse!"" reply.   		4 letters",MOI?.    	'J'accuse!' is the French for 'I accuse!'.
Gung-ho.   		4 letters,"AVID.    	""Kung ho"" is a Chinese expression meaning ""work together, cooperate"". The anglicized version ""gung ho"" was adopted by a Major Evans Carlson as an expression of combined spirit for his 2nd Marine Raider Battalion during WWII. From there the term spread throughout the Marine Corps and back to America where it persists to this day."
"Obloquy, e.g.   		5 letters","ABUSE.    	Obloquy is a such a lovely sounding word, yet it describes something far from lovely: abusive language. The word comes from Latin ""ob"" (against) and loqui (from ""to speak"")."
Short pants.   		6 letters,"CAPRIS.    	Capri pants first became popular on the island of Capri, apparently. They were invented in Europe in 1948, but only became stylish in the US in the sixties. Mary Tyler Moore often wore Capri pants on ""The Dick Van Dyke Show"" and to some extent she sparked a fashion trend. After a lull in the seventies and eighties there was a resurgence in sales after Uma Thurman wore them (and danced in them) in ""Pulp Fiction"". Can't stand the look of them myself ..."
Comedian Smirnoff.   		5 letters,"YAKOV.    	The Ukrainian-born comedian Yakov Pokhis is better known by his stage name, Yakov Smirnoff. Smirnoff was popular on television in the eighties, playing comedic roles with a thick, Russian accent. He is a smart cookie. He earned a master's degree in positive psychology from the University of Pennsylvania in 2006."
Lead-in to Victoria or Albert.   		4 letters,LAKE.    	Lake Victoria is the largest lake by surface area on the continent of Africa. It was named by English explorer John Hanning Speke in honor of Queen Victoria of the UK. Speke was the first European to set eyes on the lake.
___ metabolism.   		5 letters,"BASAL.    	One's basal metabolism refers to just the basic processes of the body, the one's essential to maintain life. The Basal Metabolic Rate is the number of calories needed to maintain that basal metabolism, sufficient energy to maintain function of the vital organs such as heart, lungs, kidneys. Excluded is the energy needed to move around, to eat, or to absorb food."
Stealthy fighters.   		6 letters,"NINJAS.    	The ninjas were around in Japan at the time of the samurai, but were very different type of warriors. The ninjas were covert operatives, specializing in the use of stealth to accomplish their missions. As they were a secretive cadre, they took on a mystical reputation with the public, often with the ability to become invisible or perhaps walk on water."
Game played on a world map.   		4 letters,"RISK.    	Risk is fabulous board game, first sold in France in 1957. The game was invented by a very successful French director of short films called Albert Lamorisse. The original French version was called ""La Conquete du Monde"" (The Conquest of the World). A game of Risk is a must during the holidays in our house ..."
"When Hamlet says ""Alas, poor Yorick! I knew him, Horatio"".   		5 letters","ACT V.    	In Shakespeare's 'Hamlet', there is a scene when Prince Hamlet holds in his hand the skull of the deceased court jester Yorick. Hamlet starts into a famous monologue at this point:"
Group with revolutionary ideas.   		5 letters,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
Mitch Albom title person.   		6 letters,"MORRIE.    	""Tuesday's with Morrie"" is a novel by Mitch Albom, first published in 1997. The story is a work of non-fiction, telling the tale of sociologist Morrie Schwartz and his students, one of whom is the author, Mitch Albom. Albom has frequent visits with his old professor when he discovers that Morrie is dying from ALS."
Mr.   		6 letters,"DC CAB.    	D.C. Cab' is a comedy movie released in 1983 starring Mr. T. I don't hear many good things about the film, although there is a special appearance by Irene Cara of 'Fame' fame ..."
"""Dona ___ Pacem"" (Latin hymn).   		5 letters","NOBIS.    	""Dona nobis pacem"" is Latin for ""Grant us peace""."
Successful turn in the game Battleship.   		3 letters,"HIT.    	Battleship was a game that we used to play as kids using pencil and paper. The game had been around at least since WWI, and was eventually turned into a board game by Milton Bradley in 1967."
"""Lord, we bless this food ...,"" e.g.   		5 letters",GRACE.    	A 'grace' is a short prayer recited before or after a meal.
Pioneering woman lawyer Bradwell.   		4 letters,"MYRA.    	Myra Bradwell started her law training soon after her husband was called to the bar, and apprenticed with a lawyer in her husband's law office. In 1892 she became the first female lawyer in the state of Illinois."
"1980s TV's ""Kate & ___"".   		5 letters","ALLIE.    	""Kate & Allie"" ran from 1984 to 1989, starring Susan Saint James as Kate, and Jane Curtin as Allie. Jane Curtin won two Emmy awards for her work on the series, while Susan Saint James ... did not."
Daughter in E.   		4 letters,"EVIE.    	""Howards End"" is a novel by E. M. Forster. Emma Thompson won an Oscar for playing Margaret Schlegel in the excellent 1992 film adaptation."
Chips with a Cool Ranch flavor.   		7 letters,"DORITOS.    	Doritos are a brand of flavored tortilla chips launched in 1964. The name ""Doritos"" means ""little bits of gold"" in Spanish."
"___ Highway (route through Whitehorse, Yukon).   		5 letters","ALCAN.    	The Alaska Highway is also known as the Alaska-Canadian Highway or ALCAN Highway. A highway connecting the contiguous United States to Alaska was proposed in the twenties, but the Canadian authorities didn't believe the project had much merit as the road would be used by very few of its citizens. The perceived importance of the route increased during WWII, and President Roosevelt deemed the road a strategic necessity so he made a deal with Canada. The cost of construction would be born by the US, but the road and related facilities were to be handed over to Canada at the end of the war. The project was accelerated when the Japanese invaded and occupied Kiska and Attu Islands in the Aleutians. The road of course has been improved and is still in use today, and forms part of what is popularly known as the Pan-American Highway, which runs from Prudhoe Bay, Alaska to the south of Argentina or Chile, depending on how the route is defined."
Some farm vehicles.   		6 letters,"DEERES.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'. The Deere company that John founded uses the slogan 'Nothing Runs Like a Deere', and has a leaping deer as its logo."
Ectomorphic.   		4 letters,"LEAN.    	The psychologist William Herbert Sheldon proposed a now-discredited theory that a person's intelligence, future achievement and temperament could be associated with particular body types. Sheldon proposed three 'somatotypes', a classification that is still used today:"
Fancy duds.   		3 letters,"TUX.    	The style of men's evening dress called a ""tuxedo"" was apparently first worn to a country club event in 1886 in New York. The use of a dark dinner jacket, without tails, became fashionable at the club with the members, and the tradition spread from there. The country club was located in Tuxedo Park, New York, giving the style of dress its name."
"""Singin' in the Rain"" director Stanley.   		5 letters","DONEN.    	Stanley Donen was the co-director of the 1952 musical ""Singin' in the Rain"". His partner in crime was the magnificent Gene Kelly. Donen also directed another great dance classic, 1951's ""Royal Wedding"", where famously he had Fred Astaire dancing on the ceiling. Decades later, when Lionel Richie released his song ""Dancing on the Ceiling"", it was Stanley Donen who directed the 1986 music video."
Dame of whodunits.   		5 letters,"MARSH.    	Dame Ngaio Marsh was a New Zealand crime writer. She is known as one of the four original ""Queens of Crime"", namely: Dorothy L. Sayers, Margery Allingham, Agatha Christie, and Marsh. All her novels features her hero, a British CID detective, Roderick Alleyn."
Extreme.   		6 letters,"ARRANT.    	""Arrant"" means ""out-and-out, complete"", and is a variant of ""errant""."
City by the Wasatch Mountains.   		5 letters,"OGDEN.    	Ogden, Utah was the first permanent settlement by people of European descent in what is now the state of Utah."
Actor Jonathan ___ Meyers.   		4 letters,"RHYS.    	Jonathan Rhys Meyers is an Irish actor. I remember as a young man in the lovely film ""Bend it Like Beckham"". He won a Golden Globe for playing the title role in the mini-series ""Elvis"", and played King Henry VIII in the TV drama ""The Tudors""."
Business review company with a 2012 I.P.O.   		4 letters,"YELP.    	yelp.com is a website that provides a local business directory and reviews of services. The site is sort of like Yellow Pages on steroids, and the term 'yelp' is derived from 'yel-low p-ages'."
Certain Wall Street type.   		4 letters,"BEAR.    	The terms ""bull"" and ""bear"" markets come from the way in which each animal attacks. A bull thrusts his horns upwards (an ""up"" market), whereas a bear swipes with his paws downward (a ""down"" market)."
Glasgow negations.   		4 letters,"NAES.    	Glasgow is the largest city in Scotland, and sits on the River Clyde."
Symbol of penance.   		5 letters,"ASHES.    	Palm Sunday is a celebration in the Christian tradition that falls on the Sunday before Easter Sunday. The day commemorates the triumphal entry of Jesus into Jerusalem, soon after he raised Lazarus from the dead. The faithful carry palms on the day, a reference to the palms scattered in front of Jesus by the welcoming crowd. In many churches, the palms are saved from Palm Sunday and then burned on Shrove Tuesday, The ash from the palms is then used to anoint the faithful as a sign of repentance on the next day, a day known as Ash Wednesday."
SiriusXM star.   		5 letters,"STERN.    	Howard Stern is one of the original ""shock jocks"" who seems now to have found his niche on uncensored satellite radio (SiriusXM). Apparently Stern is quite the chess player, and was invited to play in the 2010 US Chess Championships, albeit as a wildcard choice."
Tel ___.   		4 letters,"AVIV.    	The full name of Israel's second largest city is Tel Aviv-Yafo. Tel Aviv translates into ""Spring Mound"", a name chosen in 1910."
Partner of pieces.   		4 letters,"BITS.    	As in the phrase ""bits and pieces""."
Diamond complements.   		7 letters,"ENNEADS.    	Ennead is the Greek word for ""the nine"". There are nine players on a baseball team."
"Oregano, for one.   		4 letters","HERB.    	Oregano is a perennial herb that is in the mint family. Also known as wild marjoram, oregano is very much associated with the cuisine of southern Italy. Oregano's popularity surged in the US when soldiers returning from WWII in Europe brought with them an affinity for what they called 'the pizza herb'."
App with restaurant reviews.   		4 letters,"YELP.    	yelp.com is a website that provides a local business directory and reviews of services. The site is sort of like Yellow Pages on steroids, and the term 'yelp' is derived from 'yel-low p-ages'. I have a young neighbor here who used to work for yelp ..."
Critic who's a real thumb-body?.   		6 letters,"ROEPER.    	Richard Roeper is columnist and film critic for ""The Chicago Sun-Times"", and came to national attentions when he replaced Gene Siskel as co-host with Roger Ebert on the famous film review TV show. Roeper started work with Ebert in 2000, after Siskel died in 1999. Roeper stayed with the show right though 2008, even though Ebert had to bow out in 2006 as he recovered from cancer surgery."
"""Star Wars"" surname.   		6 letters","KENOBI.    	Sir Alec Guinness has played many great roles over a long a distinguished career, but nowadays is best known (sadly, I think) for playing the original Obi-Wan Kenobi in ""Star Wars"". In the prequel ""Star Wars"" trilogy, the young Obi-Wan is played by another British (actually Scottish) actor, Ewan McGregor."
World Cup chant.   		7 letters,"OLE OLE.    	""Ole Ole Ole!"" is chanted at soccer games by many Spanish speaking (or shouting) fans. I am very proud to claim that the fans of the Irish national team have adopted the chant as their own, and it can be heard practically non-stop when Ireland is playing (with some inventive melody behind it!)."
A vital sign.   		5 letters,"PULSE.    	One's 'pulse' is the rhythmic throbbing of arteries that is usually detected at the wrist or the neck. The contraction of the heart creates a pressure wave in the blood that moves the arterial walls, which is detected as the pulse."
Got a move on.   		4 letters,"HIED.    	To hie is to move quickly, to bolt."
"Ali, before he was Ali.   		4 letters","CLAY.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky, changing his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
Photo finish.   		5 letters,"MATTE.    	Matte', meaning flat and lusterless, comes from the Old French word 'mat' meaning beaten down and withered. In turn, the French 'mat' comes from the Latin 'maddus', meaning 'maudlin with drink'. Sometimes I wonder about these derivations ..."
Big name in root beer.   		7 letters,"A AND W.    	A&W is a brand of root beer that has been around since 1920, when Roy Allen partnered with Frank Wright to create the A&W moniker from their family names."
"Harris's role in ""The Right Stuff"".   		5 letters","GLENN.    	John Glenn is a retired Marine Corps pilot, astronaut and US Senator. As an astronaut, Glenn was the first American to orbit the earth, in 1962. He later became the oldest person to fly in space, in 1998 at the age of 77."
"Summer who sang ""Love to Love You Baby"".   		5 letters","DONNA.    	Donna Summer is known as ""The Queen of Disco"", with great hits like ""Love to Love You, Baby"", ""I Feel Love"" and ""Hot Stuff"". In the late sixties and early seventies, LaDonna Gaines (her real name) lived and worked in Germany. There she met and married an Austrian actor called Helmuth Sommer. They divorced not long after the marriage, but Donna kept his family name, just changing the ""o"" to ""u"" to give her the stage name of ""Donna Summer""."
"All the world's one, to the Bard.   		5 letters","STAGE.    	""As You Like It"" is one of Shakespeare's comedies, the tale of Rosalind fleeing from her Uncle's court, along with her cousin, Celia and the court jester, Touchstone. The play is perhaps most memorable for an oft-quoted monologue that starts with:"
___ Darya (river of central 58-Down).   		3 letters,AMU.    	(58. See 35-Down : ASIA)
Alley oops?.   		5 letters,"SPLIT.    	One might say ""oops"" at a bowling alley if one leaves two pins standing in a split."
"""Golly Gosh Oh ___"" (Conway Twitty song).   		3 letters","GEE.    	Conway Twitty was a country singer who crossed over to the rock and roll and pop genres. Twitty's real name was Harold Lloyd Jenkins, and he was named for the silent movie actor Harold Lloyd. There doesn't seem to be a definitive explanation for how Twitty chose his stage name, but one suggestion is that he combined the names of the cities of Conway, Arkansas and Twitty, Texas."
The hapless Corleone.   		5 letters,"FREDO.    	Fredo Corleone is a middle son in the family, and was considered the weak member of the family, and was reduced to the role of ""gopher"". He was with his father when Don Corleone was shot. He tried to retaliate, but dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
"Onetime teen idol who later hosted ""Pyramid"".   		6 letters","OSMOND.    	Donny Osmond hosted the game show ""Pyramid"" from 2002-2004. This was the most recent revival of the show which first aired in 1973. The host most commonly associated with ""Pyramid"" is Dick Clark, who anchored he show from 1973 to 1988."
Like zinfandel wines.   		3 letters,"DRY.    	Zinfandel is my favorite red wine varietal. It amazes me that the rich and heavy red Zinfandel comes from the same grape as does the blush, White Zinfandel varietal."
Writer Kafka.   		5 letters,"FRANZ.    	Franz Kafka was born in 1883 Prague, then part of Bohemia, today the capital of the Czech Republic. He is known today as one of the greatest novelists who worked in the German language, and even has an adjective named after him. Something that is ""kafkaesque"" is senseless, disorienting and may have menacing complexity. As it was for many great artists, Kafka's fame came after his death, when much of his work was published."
"Band with the 1994 platinum record ""Always"".   		8 letters","BON JOVI.    	Jon Bon Jovi was born John Francis Bongiovi, Jr., and he is the leader of the band that took his name, Bon Jovi."
Bills and coins.   		4 letters,CASH.    	Our word 'cash' comes from the Middle French 'caisse' meaning 'money box'.
___ Darya (river to the Aral Sea).   		3 letters,"AMU.    	The Amu Darya is a major river in Central Asia, also called the Oxus or Amu River."
Warhol or Wyeth.   		6 letters,"ARTIST.    	Andy Warhol went through a period of painting iconic American products, including Coca-Cola bottles and Campbell's Soup cans. In 1964 he participated in a gallery show called ""The American Supermarket"". Along with other pop artists he contributed works including a painting of a can of Campbell's soup. He priced the painting at $1,500, and sold autographed cans of soup for $6 a piece."
Sister brand of Alpha-Bits.   		4 letters,"OH'S.    	There used to be two varieties of Oh's made by Quaker Oats Company. One was Honey Nut Oh's, later known as Crunchy Nut Oh's, but it was phased out. The second type was called Crunchy Graham Oh's, and it is still available today as Honey Graham Oh's."
Mine entrance.   		4 letters,"ADIT.    	An adit is specific type of mine access, a horizontal shaft that extends into the mine. This can be compared with the more traditional vertical shaft that is used for access into most mines. Adits make sense when the ore is located inside a mountain or hill, as opposed to 'underground', as they allow the mine entrances to be on the valley floor."
Chicken tikka ___.   		6 letters,"MASALA.    	Chicken tikka masala is a dish, comprising chicken tikka (chunks of marinated chicken) served in a masala sauce. Masala is the Hindi word for ""mixture"", and describes a mixture of spices. A dish named ""masala"" uses the spices incorporated into a sauce that includes garlic, ginger, onions and chili paste. Although served as part of Indian cuisine, there seems to be a lot of evidence that chicken tikka masala was actually invented in an Indian restaurant in Britain."
Peace Nobelist Sakharov.   		6 letters,"ANDREI.    	Andrei Sakharov was a Soviet nuclear physicist, and in his later life a human rights activist. He participated in the USSR's program to develop the country's first atomic bomb, and was an even more crucial contributor to the development of the devastating hydrogen bomb. By the fifties, Sakharov was concerned about the consequences of his work, and in the sixties he started to become active, raising awkward questions not appreciated by the Soviet administration. He was banned from further work with the military as a consequence, and later found himself under constant police surveillance and harassment. He was then moved from Moscow and put into internal exile in Gorky. It was only under Mikhail Gorbachev's leadership, that he was able to return home to Moscow."
Fitting entertainment at an arcade?.   		6 letters,TETRIS.    	Tetris is a very addictive video game that was developed in the Soviet Union in 1984. The name Tetris comes from a melding of the prefix 'tetra-' (as all the game pieces have four segments) and 'tennis' (a favorite sport played by the developer). Since 2005 there have been more than 100 million copies of the game installed on cell phones alone.
Outback relative.   		5 letters,"VELDT.    	Also known as Veld, Veldt is the name given to large rural spaces in southern Africa. We might use the term ""boondocks"" for the same thing. The word comes from the German for ""field"". In Australia, the equivalent open spaces are called the Outback."
Moran and Gray.   		5 letters,"ERINS.    	Erin Moran is the lovely actress most famous for playing Joanie Cunningham on ""Happy Days"" and the resulting (short-lived) spin-off sitcom called ""Joanie Loves Chachi"". Long before she got he big break in ""Happy Days"", Moran played Jenny Jones on the children's drama ""Daktari"" from the late sixties."
"""Swan Lake"" heroine.   		6 letters","ODETTE.    	Swan Lake' is such a delightfully light and enjoyable ballet by Pyotr Ilyich Tchaikovsky. 'Swan Lake' tells the story of Odette, a princess turned into a swan by a sorcerer. The ballet also features Odile, Odette's 'evil twin'. Odile is disguised to look like Odette with the goal of tricking the prince to fall in love with her. In the ballet, the roles of Odette and Odile are played by the same ballerina."
Daiquiri fruit.   		6 letters,"BANANA.    	Daiquirí is a small village on the coast near Santiago, Cuba and a key location in the American invasion of Cuba in the Spanish-American War. Supposedly, the cocktail called a Daiquiri was invented by American mining engineers in a bar in nearby Santiago."
___ Cong.   		4 letters,VIET.    	The Viet Cong was the name of the political and military organization based in South Vietnam that fought the US and South Vietnamese government during the Vietnam War. The relationship of the Viet Cong with North Vietnam was always controversial.
Headless Horseman's wear.   		4 letters,"CAPE.    	The Headless Horseman is a character in Washington Irving's ""The Legend of Sleep Hollow""."
Primates vis-à-vis humans.   		5 letters,ORDER.    	Humans belong to the order of Primates.
Moolah.   		8 letters,DO RE MI.    	Do re mi is a slang term for cash.
"""I got ___ ..."".   		5 letters","A GAL.    	""I got a gal"" are the opening words to the wonderful song ""(I've Got a Gal in) Kalamazoo"", made famous by Glenn Miller and his Orchestra. Okay, before anyone points it out, I know, the actual opening is:"
Foe of Caesar.   		4 letters,"CATO.    	Cato the Younger was a politician in the late Roman Republic, noted for his moral integrity. He is also remembered for an extended conflict with Julius Caesar."
Actually.   		7 letters,"IN ESSE.    	The Latin term ""in esse"" is used to mean ""actually existing"", and translates as ""in being""."
Shark on some menus.   		4 letters,"MAKO.    	The shortfin mako shark does indeed appear on menus, and as a result the species is dying out in some parts of the world. The mako gets its own back sometimes though, and attacks on humans are not unknown. And the shark in Ernest Hemingway's ""The Old Man and the Sea"", that's a mako."
People of Lapland.   		4 letters,"SAMI.    	Lapland is a geographic region in northern Scandinavia, largely found within the Arctic Circle. Parts of Lapland are in Norway, Sweden and Finland. The people who are native to the region are called the Sami people. The Sami don't like to be referred to as 'Lapps' and they regard the term as insulting."
"Paul of ""Ant-Man"".   		4 letters",RUDD.    	I think Paul Rudd is a very talented actor. Rudd has played a variety of roles in movies but is probably best known on television for playing Phoebe Buffay's boyfriend and then husband on the sitcom 'Friends'.
"Motocross racers, for short.   		4 letters",ATVS.    	All-terrain vehicle (ATV)
You can pack it.   		4 letters,HEAT.    	'Packing' and 'packing heat' are underworld slang for 'carrying a gun'.
Interoffice email abbr..   		4 letters,ATTN.    	Attention (attn.)
"The Belmonts' frontman, in 1950s music.   		4 letters","DION.    	Perhaps the biggest hits for Dion and the Belmonts were 'A Teenager in Love' and ""The Wanderer""."
Dos Equis competitor.   		6 letters,CORONA.    	Corona is the top selling imported beer in the United States.
"Subject of Article III, Section 3 of the Constitution.   		7 letters","TREASON.    	Treason is a serious crime committed against the nation (or the sovereign). One who commits treason is termed a traitor. In the past, the term treason also applied to lesser crimes (like a woman killing her husband) so there was a differentiation between high treason against the king, and ""petit treason"", against a more common citizen."
Skating maneuver.   		4 letters,"LUTZ.    	In figure skating, a Lutz is a toe-pick-assisted jump that one starts skating backwards and ends skating backwards (there's more to it that I don't really understand!). The maneuver is named after Alois Lutz, an Austrian skater who first performed it in competition way back in 1913. Lutz wowed the crowd with a single jump, and today both men and women are landing triple Lutz jumps. No one has landed a clean quadruple Lutz in competition."
Bonn boulevard.   		7 letters,"STRASSE.    	After WWII, Bonn was chosen as the capital of West Germany, a choice promoted by Chancellor Konrad Adenauer who was from the area. After German reunification, the capital was moved to Berlin."
Capital NW of Jungfrau.   		4 letters,"BERN.    	Bern (sometimes 'Berne', especially in French) is the capital city of Switzerland. The official language of the city is German, but the language most spoken in Bern is a dialect known as Bernese German."
Ski resort vehicle.   		7 letters,"SNO-CAT.    	The brand name Sno-Cat is owned by the Tucker company. All ""snowcats"" are tracked vehicles built to work in snow, famously used in expeditions to the polar regions. The modern Sno-Cat from Tucker differs from its competitors in that it has four, independently-mounted tracks."
Object of early Christian condemnation.   		5 letters,"PAGAN.    	A pagan is someone who holds religious beliefs that are different from the main religions of the world. In classical Latin 'paganus' was a villager, a rustic."
It may be found often in a shop.   		5 letters,"LEMON.    	A lemon is an informal term given to something that is unsatisfactory or defective, most often applied to a car these days."
Broadway acronym.   		4 letters,"ANTA.    	The American National Theater and Academy (ANTA) is a not-for-profit producer and training organization. It was set up in 1935 to be the official national theater of the United States, but today its main focus is the National Theater Conservatory at the Denver Center for the Performing Arts."
Kind of nerve.   		5 letters,"ULNAR.    	The ulnar nerve runs alongside the ulna (one of the bones in the lower arm). The ulnar nerve is the largest unprotected (not surrounded by muscle or bone) nerve in the human body. The nerve can be touched under the skin at the outside of the elbow. Striking the nerve at this point causes and an electric-type shock, known as hitting one's ""funny bone"" or 'crazy bone'."
"""Unforgettable"" duettist Cole.   		7 letters","NATALIE.    	Natalie Cole is of course the daughter of Nat King Cole. Her mother was Maria Cole, a singer with the Duke Ellington Orchestra. The most famous version of the hit song ""Unforgettable"" was released in 1951 by Nat King Cole. In 1991, Natalie Cole recorded a version that was mixed with an earlier 1961 version sung by her father, creating an ""unforgettable"" father-daughter duet, 26 years after Nat King Cole had passed away."
Like Colt 45 and Mickey's.   		4 letters,MALT.    	Colt 45 is a brand of lager that first went on the market in 1963. It has a relatively high alcohol content (6.1%) and so is sometimes referred to as a malt liquor.
Acrobat's wear.   		7 letters,"UNITARD.    	A unitard is like a leotard, except that it has long legs and sometime long sleeves. It wouldn't be a good look for me ..."
Prefix with code or color.   		4 letters,"UNI-.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters. These binary codes are the way that our computers can understand what we mean when we type say a letter, or a number. Unicode is a more contemporary standard, and is like 'Ascii on steroids', encompassing more characters."
Nicks of rock.   		6 letters,"STEVIE.    	Singer Stevie Nicks came to fame as the lead singer of Fleetwood Mac. She has a very distinctive voice, heard at its best in the famous 1977 album ""Rumours""."
Gold ___ flour.   		5 letters,"MEDAL.    	Gold Medal is a brand of flour produced by General Mills. The line was introduced by a precursor company to General Mills named Washburn-Crosby in 1880, following a gold-medal win at the Millers' International Exhibition in Cincinnati."
"Hold with both arms, say.   		6 letters","NELSON.    	The full nelson and half nelson are wrestling holds in which one wrestler secures an opponent by encircling the opponent's arms under the armpits and around the neck. Some say the hold is named after Admiral Nelson, who was renowned for using encircling tactics in battle."
Barq's rival.   		5 letters,"DAD'S.    	Dad's root beer was developed by Ely Klapman and Barney Berns in 1937, and was given the name ""Dad's"" in honor of Klapman's father who used to make root beer for his family at home."
"Player of the villain in ""The Man Who Knew Too Much"".   		5 letters","LORRE.    	The marvelous actor Peter Lorre was born in what is now modern-day Slovakia. Lorre's real name was Laszlo Lowenstein. He started acting in Vienna when he was quite young, only 17 years old. When Hitler came to power, the Jewish Lowenstein headed to Paris and then London, eventually ending up in Hollywood. Lorre found himself typecast as the wicked foreigner in American movies, but I think he sneered and snarled his way to the bank."
"2,000 pounds.   		3 letters","TON.    	Here in the US, a ton is equivalent to 2,000 pounds. Over in the UK, a ton is 2,240 pounds. The UK unit is sometimes referred to as an Imperial ton or sometimes a 'long ton'. Folks over there refer to the US ton then as a 'short ton'. To further complicate matters, there is also a 'metric ton' or 'tonne', which is equivalent to 2,204 pounds. I wish we'd just stick to kilograms ..."
"Postcard printing process, for short.   		4 letters","ROTO.    	'Roto' is a short for 'rotogravure', a photomechanical process used for printing pictures and some typeset matter. By extension, a 'roto' was also a section of a paper printed using such a process, particularly a magazine section."
Range rover.   		5 letters,STEER.    	Nicely disguised wording ...
Bob of stand-up comedy.   		5 letters,"SAGET.    	Bob Saget is a real enigma to me. He made a name for himself playing very sugary roles in TV shows like ""Full House"" and ""America's Funniest Home Videos"", and yet in the world of stand-up comedy he is known for very blue and raunchy routines."
"""The Mod Squad"" role.   		4 letters","LINC.    	The 1999 movie ""The Mod Squad"" was an adaptation of the seventies television show of the same name. The part of Lincoln 'Linc' Hayes was played by Omar Epps, Claire Danes played Julie Barnes and Giovanni Ribisi played Peter Cochran."
Name in 2000 newspapers.   		5 letters,"ELIAN.    	The immigration status of young Cuban boy Elian Gonzalez was all over the news in 2000. Elian's mother drowned while trying to travel illegally to the US, while Elian and his mother's boyfriend survived the journey. The INS placed Elian in the care of paternal relatives in the US, who then petitioned to have the boy stay with them permanently, against the wishes of Elian's father back in Cuba. After court proceedings, the federal authorities forcibly removed Elian from his relatives in the US, and he was returned to his father who took him back to Cuba. Back in Cuba, Fidel Castro stepped in and befriended Elian, so he has influential sponsorship now in his homeland, as a result of his ordeal. Elian is now attending a military school in Cuba, and his father is working as a waiter in a restaurant."
Kournikova and others.   		5 letters,"ANNAS.    	Not only is Anna Kournikova a world class tennis player, but she is also a model. She apparently has a lot of fans because her name is one of the most commonly searched for terms on Google's search engine ..."
Give a dynamite finish?.   		4 letters,"RAZE.    	To ""raze"" ('rase', in UK English) is to level to the ground. How odd is it that ""raise"", a homophone of ""raze"", means to build up?"
___ fraîche.   		5 letters,"CREME.    	The French term 'crème fraîche' translates as 'fresh cream', although the the cream itself is soured with a bacterial culture."
"Medicare funder, briefly.   		4 letters",FICA.    	That FICA tax: the Federal Insurance Contributions Act tax. FICA was introduced in the 1930s as part of the New Deal.
Poe's middle name.   		5 letters,"ALLAN.    	Edgar Allan Poe lived a life of many firsts. He is considered to be the inventor of the detective-fiction genre, he was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849, he was found on the streets of Baltimore, delirious from either drugs or alcohol. He died a few days later in hospital, at 39 years of age."
