Standoff.   		7 letters,IMPASSE.    	Impasse is a French word for a blind alley or an impassable road.
"""The Simpsons"" voice man Hank.   		6 letters","AZARIA.    	Hank Azaria is one of my favorite American actors, someone who I think can really expertly portray a vast array of characters. I can't stand ""The Simpsons"" mind you, a show to which Azaria is inextricably linked, but, if you look at his role in ""The Birdcage"" as a flamboyant, gay houseboy, and his role in ""Shattered Glass"" as a stoic magazine editor, you'll get a taste for Azaria's extensive range."
Historical region of France.   		6 letters,"ARTOIS.    	Artois was a province in Northern France, right on the coast next to the Strait of Dover."
Very cold.   		5 letters,"GELID.    	'Gelid' is such a lovely word, and means 'icy cold'. 'Gelid' derives from the Latin 'gelum' meaning 'frost, intense cold'."
Herb that causes euphoria.   		6 letters,CATNIP.    	About 50% of all cats are affected in some way by the plant catnip. There is a terpenoid in the oil of the plant called nepetalactone that the cat inhales and that can cause anything from drowsiness to anxiety.
Hugo's Thénardier and others: Abbr..   		4 letters,"MMES.    	Madame Thénardier is one of the villains in Victor Hugo's ""Les Misérables""."
Academic paper?.   		7 letters,"DIPLOMA.    	Our word ""diploma"" comes from Greek via Latin, with an original meaning of ""state or official document"". The Greek word ""diploma"" described a license or a chart, and originally meant a ""paper doubled over"" from ""diploos"" the word for ""double""."
"""Family Matters"" neighbor.   		5 letters","URKEL.    	Steve Urkel is a character on the TV show 'Family Matters' that aired in the late eighties and nineties. The Urkel character was the archetypal 'geek', played by Jaleel White. Urkel was originally written into the show's storyline for just one episode, but before long Urkel was the show's most popular recurring character."
Choices of time.   		5 letters,"AM/PM.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
"Joy formerly of ""The View"".   		5 letters","BEHAR.    	Joy Behar is a comedian, and former co-host of the hit talk show 'The View'."
Home for a 52-Across.   		6 letters,TEEPEE.    	(52. Dweller in a 59-Across : CREE)
"Armand of ""Private Benjamin"".   		7 letters","ASSANTE.    	Armand Assante is an actor from New York City, the son of an Italian father and an Irish mother. Despite being an American, Assante is noted for playing non-Americans in movies. He played a Frenchman in 1980's 'Private Benjamin' and a Cuban bandleader in 1992's 'The Mambo Kings'."
Stalactite producer.   		4 letters,"DRIP.    	A stalactite is a mineral deposit that hangs from the roof of a cave, formed by continuous dripping of mineral-rich water. 'Stalactite' comes from the Greek word 'stalasso' meaning 'to drip'."
Metric distance: Abbr..   		3 letters,"KIL.    	A kilometer is a unit of length in the metric system, approximately equal to 3,281 feet. ""Kilometer"" is an American spelling. In the rest of the world the French spelling of ""kilometre"" is used."
Dealy-bobs.   		6 letters,"GIZMOS.    	The word ""gizmo"" (also 'gismo') was originally slang used by both the US Navy and the Marine Corps, but the exact origin seems unknown. Nowadays, ""gizmo"" is a general term used for a device or a part when the correct name escapes one (so I use it a lot ...). Oh, and Gizmo is the name of the dog belonging to my son and his fiancee."
Indigo and others.   		4 letters,"DYES.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. And that blue is relatively close to ""navy"" blue."
Libra's symbol.   		6 letters,"SCALES.    	The constellation of Libra is named for the scales held by the goddess of justice, and is the only sign of the zodiac that isn't named for a living creature."
Barrymore and Kennedy.   		6 letters,"ETHELS.    	Ethel Barrymore was one of the famous Barrymore family of actors. Ethel was the sister of John and Lionel Barrymore. Ethel was a close friend of Winston Churchill, and some even say that Winston proposed marriage to her."
Mideast bigwig.   		6 letters,"SULTAN.    	Sultan is an Islamic title, with the word ""sultan"" originally meaning ""strength"" or ""power"". The word then became a title for some Muslim rulers who claimed to have extensive authority. Sultans ruled over ""sultanates"", and were married to ""sultanas""."
Eskimo boat.   		5 letters,"UMIAK.    	The umiak is a type of boat used by Eskimo people. The term ""umiak"" means ""woman's boat"", whereas ""kayak"" means ""man's boat""."
Friars Club event.   		5 letters,"ROAST.    	The Friars Club is a private show-business club in New York City that has roots dating back to 1904. Back then the club was called the Press Agents Association. Within a few years the name was changed to reflect its broadening membership of actors and musicians. The name 'Friar' was chosen as it comes from the Latin for 'brother', deemed to a good name for a fraternal organization."
Animal with a snout.   		5 letters,"TAPIR.    	All four species of tapir are endangered. Even though the tapir looks much like a pig, it is more closely related to the horse and the rhinoceros."
"Word before ""Boy,"" ""Love"" and ""Come Back"" in titles to #1 songs.   		4 letters",BABY.    	'Baby Boy' is a song recorded in 2003 by Beyoncé Knowles.
Like Mrs.   		6 letters,"BLONDE.    	Dagwood Bumstead's wife is the famous ""Blondie""."
"___ Men (""Who Let the Dogs Out"" group).   		4 letters","BAHA.    	The Baha Men are so called because they hail from ... the Bahamas. Their big hit was ""Who Let the Dogs Out?"" which has been ranked as third in a list of the world's most annoying songs!"
Bygone computer brand.   		5 letters,AMIGA.    	Amiga is a line of desktop computers that was made by Commodore in the eighties and nineties.
"Actor Bridges of ""The Big Lebowski"".   		4 letters","JEFF.    	The first major role for Jeff Bridges was in the wonderful 1971 movie, ""The Last Picture Show"". My favorite Bridges movie though is 1984's ""Starman"" in which he played a very charming alien opposite Karen Allen. As an amateur photographer myself, I also appreciate Jeff Bridges' photographic work. I own his book of fabulous images called ""Pictures: Photographs by Jeff Bridges""."
"John Lennon's ""Dear ___"".   		4 letters","YOKO.    	Yoko Ono was born into a prosperous Japanese family, and is actually a descendant of one of the emperors of Japan. Her father moved around the world for work, and she lived the first few years of her life in San Francisco. The family returned to Japan, before moving on to New York, Hanoi and back to Japan just before WWII, in time to live through the great fire-bombing of Tokyo in 1945. Immediately after the war, the family was far from prosperous. While Yoko's father was being held in a prison camp in Vietnam, her mother had to resort to begging and bartering to feed her children. When her father was repatriated, life started to return to normal and Yoko was able to attend university. She was the first woman to be accepted into the philosophy program of Gakushuin University."
"""It's hard to be humble when you're as great as I am"" speaker.   		12 letters","MUHAMMAD ALI.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky. Clay changed his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
Armstrong blew it.   		6 letters,"CORNET.    	Louis Armstrong was born in New Orleans in 1900. He had a poor upbringing, and only stayed in school till he was 11 years old. When he died in 1971, the honorary pallbearers at his funeral included Bing Crosby, Ella Fitzgerald, Dizzy Gillespie, Count Basie, Frank Sinatra and Johnny Carson. What a talent that man had ..."
Any of the Bee Gees brothers.   		4 letters,"GIBB.    	The Brothers Gibb (hence, the Bee Gees) were born in England, but grew up and started their musical careers in Australia. They moved back to Manchester in the north of England, and then hit the big time."
Rosenberg and Roosevelt.   		6 letters,"ETHELS.    	Julius and Ethel Rosenberg were convicted of spying for the Soviet Union and passing on secrets about the atomic bomb. The pair were executed, the first civilians to receive capital punishment in the US for such a crime. In recent years papers have surfaced that demonstrate the guilt of Julius, but cast doubt on the degree of involvement of his wife."
Bye lines?.   		5 letters,"CIAOS.    	""Ciao"" is the Italian for ""'bye"". ""Arrivederci"" is more formal, and translates better as ""goodbye""."
Illinois home of Black Hawk College.   		6 letters,"MOLINE.    	Black Hawk College is a community college with campuses in Moline and Galva, Illinois."
Neighbor of McGuire A.F.B.   		6 letters,"FT DIX.    	Fort Dix is the name commonly used for what is now more correctly called Joint Base McGuire -Dix-Lakehurst, a US Army base located near Trenton, New Jersey. Fort Dix was established in 1917 by the Army, and was consolidated with nearby Air Force and Navy facilities in 2009."
"The ""U"" of U.S.S.R.   		5 letters","UNION.    	The former Soviet Union was created in 1922, not long after the Russian Revolution of 1917 that overthrew the Tsar. The new Soviet Union was roughly equivalent geographically to the old Russian Empire, and was comprised of fifteen Soviet Socialist Republics."
"Perfume, in a way.   		5 letters",CENSE.    	To cense is to perfume with incense. Such a lovely word ...
Urban contemporary.   		5 letters,"TRITT.    	Travis Tritt is a country singer from Marietta, Georgia. Keith Urban is a country singer from New Zealand."
"German philosopher who wrote ""The true is the whole"".   		5 letters","HEGEL.    	Georg Wilhelm Friedrich Hegel was a German philosopher, one of the founders of the German idealism movement. 'Idealism', in the context of the movement, was the principle that objects did not have properties in themselves, but rather that an object's properties depended on the person perceiving the object."
Mint family plant.   		6 letters,CATNIP.    	About 50% of all cats are affected in some way by the plant catnip. There is a terpenoid in the oil of the plant called nepetalactone that the cat inhales and that can cause anything from drowsiness to anxiety.
Bitmap images.   		4 letters,"GIFS.    	A bitmap is an image file format used to store digital images. Basically, each pixel in a bitmap file is stored as a 'bit' of information, hence the name 'bitmap'. In 1987, CompuServe introduced a new type of image file called the Graphics Interchange Format (GIF). A GIF image takes the same information as a bitmap, and then compresses it, resulting in a smaller file size. However, during compression the image may lose some resolution."
Moravian capital.   		4 letters,BRNO.    	Brno is the second largest city in the Czech Republic (after Prague).
River waterfall.   		5 letters,SAULT.    	'Sault' is an old French word for a waterfall or rapids.
Chaos.   		6 letters,"BEDLAM.    	Bethlem Royal Hospital is a facility in London in the UK for treating mental illness. The original facility was a hospital way back in the 1300s, and had the name 'Bedlam'. In the 1700s and 1800s the hospital actually made money out of its patients as it charged a penny to members of the public allowing them to visit the hospital and view the unfortunate inmates in their cells. Tens of thousands of such paid visits were made each year. Our word 'bedlam' meaning uproar and confusion is derived from the hospital's name, and it reflects the cruel and inhumane treatment endured by the inmates in days gone by."
Frito-Lay snack.   		7 letters,"CHEETOS.    	Cheetos snacks were developed by the same guy who created Fritos, hence the name. They've been on the market since 1948, and up until the turn of the century the name was written ""Chee-tos"". Oh, and Cheetos contain pork enzymes, so vegetarians beware!"
Biology div.   		5 letters,"ENTOM.    	Entomology is the branch of zoology concerned with the study of insects. The etymology of entomology (!) is the Greek ""entomon"" (meaning ""insect"") and ""logia"" (meaning ""study of""). In turn, the Greek word for insect, ""entomos"", literally means ""having a notch or cut"", in deference to the observation by Aristotle that insects have segmented bodies."
London borough with Wembley Stadium.   		5 letters,"BRENT.    	Wembley is a town that falls within the London Borough of Brent, and is home to Wembley Stadium and the Wembley Arena. Brent takes its name from the River Brent which runs through the area."
Showy peacock feature.   		4 letters,"TAIL.    	The female peafowl, the peahen, has very dull plumage compared to the extravagant display on the tail of the peacock. The young of a peacock and peahen is known as a peachick (there's a surprise!)."
It's carried at a karaoke bar.   		4 letters,"TUNE.    	Kara-te, means ""open hand"", and kara-oke, means ""open orchestra""."
Suffix with Kafka or Zola.   		6 letters,"-ESQUE.    	Franz Kafka was born in 1883 in Prague, then part of Bohemia, and today the capital of the Czech Republic. He is known as one of the greatest novelists who worked in the German language, and even has an adjective named after him. Something that is ""kafkaesque"" is senseless, disorienting and may have menacing complexity. As it was for many great artists, Kafka's fame came after his death, when much of his work was published."
___ Lewis and the News.   		4 letters,"HUEY.    	Huey Lewis and the News are a local band out here in the Bay Area, based in San Francisco. When the movie ""Ghostbusters"" came out in 1984, the band sued Ray Parker, Jr. who wrote the film's theme song, claiming that it was very similar to their own song, ""I Want a New Drug"". The case was settled out of court and the following year ""Huey Lewis and the News"" made the most of an opportunity to write a movie theme themselves. Their smash hit ""The Power of Love"" was written for ""Back to the Future"", and propelled the band into stardom."
"Top-grossing concert act of 1989, '94 and '05, with ""the"".   		6 letters","STONES.    	Even though Mick Jagger and Keith Richards have been the driving force behind the Rolling Stones for decades, they didn't start the group. The band was the idea of guitarist and harmonica player Brian Jones, and it was he who invited Richards and Jagger to join, as well as Ian Stewart, Bill Wyman and Charlie Watts to make an original lineup of six musicians. Jones called the band ""Rollin' Stone"" back then in 1962, named for the song by Muddy Waters. Jones was the leader, manager and decision maker for the first few years until songs written by Richards and Jagger became hits and he started to lose artistic control. In 1967, Jones was arrested for drug possession, and again in 1968. When his trouble with the law prevented him from getting a US work visa, Jones wasn't able to accompany the Stones on a 1969 US tour. That was the last straw, it seems, and Jones and the Stones parted company. Famously, one month later, Jones was found dead, at the bottom of his swimming pool."
Red Wing or Blackhawk.   		5 letters,NHLER.    	The Detroit Red Wings and Chicago Blackhawks play in the National Hockey League (NHL).
Jays and Rays.   		5 letters,"ALERS.    	The Toronto Blue Jays, founded in 1977, is the only team outside the US to win a World Series, doing so in 1992 and 1993. And now that the Montreal Expos have relocated to Washington, the Blue Jays are the only Major League Baseball team headquartered outside of the US."
Número of countries bordering Guatemala.   		6 letters,"CUATRO.    	In Spanish, the number (número) of countries bordering Guatemala is four (cuatro). Those bordering countries are Mexico, Belize, Honduras and El Salvador."
Old copier.   		5 letters,"MIMEO.    	A mimeograph is a cheap printing press that applies ink to paper through a stencil wrapped around a rotating drum. Mimeographs are still around, but have largely been replaced by offset printers and photocopiers."
"Barely making, with ""out"".   		5 letters","EKING.    	To ""eke out"" means to ""make something go further or last longer"". So, you can eke out your income by cutting back on expenses. I always have a problem with the definition that 'eke out' means to 'barely get by'. Close but no cigar, I say ..."
Union enemies.   		5 letters,"SCABS.    	We first started calling strikebreakers ""scabs"" in the early 1800s, and before that a scab was a person who refused to join a trade union (back as early 1777). The word probably comes from the use of ""scab"" as a skin disease, and so is a term that is meant to insult."
One hanging around a party?.   		6 letters,"PINATA.    	Today piñatas are usually made from cardboard, brightly decorated with papier-mâché. Piñatas originated in Mexico, probably among the Aztecs or Mayans. Traditionally a piñata was made out of a clay pot adorned with feathers and ribbons, and filled with small treasures. During religious ceremonies the clay pots would be suspended and broken open so that the contents would spill onto the ground at the feet of a god as an offering."
Memorable J.F.K.   		6 letters,"BEATLE.    	The Beatles were already a huge commercial success by the time they set off on their first US tour in 1964. The band left Heathrow airport outside London, waved off by about 4,000 screaming fans. They landed at New York's JFK Airport and were greeted by another vociferous mob, this time of about 3,000 people. Two days later they made their first live appearance on American television, on ""The Ed Sullivan Show"". About 74 million people watched, which back then was over 40% of the American population!"
Operculum.   		3 letters,"LID.    	In a fish, the operculum is the name given to the bony flap that covers the gills."
Time's 1986 Woman of the Year.   		6 letters,"AQUINO.    	Corazon Aquino was the first woman to hold the office of President of the Philippines. She led the popular revolt against President Ferdinand Marcos in 1986 which led to the restoration of democracy in the country. She came to lead the movement against Marcos upon the assassination of her husband, the most visible opponent of Marcos. She took to the role reluctantly, proclaiming herself a ""plain housewife"". I lived in the Philippines for a couple of years when Aquino's successor Ferdinand Ramos was in power. Based on what I learned there, President Aquino had transformed the country."
How many TV programs are aired nowadays.   		5 letters,"IN HD.    	In the digital world, resolution of a display, television, image etc. is defined by the number of pixels that can be displayed in a standard area (say a square inch). The emphasis today is on producing larger area displays/televisions, i.e increasing the number of pixels simply by increasing the size of the screen. In the past couple of decades the emphasis was on adding more pixels within the same screen size to increase resolution. This would just be wasted effort these days as further increases in resolution cannot be perceived by the eye. Now that TVs are capable of displaying such high resolutions, broadcasters are responding by producing a video signal of higher resolution that they call high-definition television, HDTV."
Indiana University campus site.   		6 letters,"KOKOMO.    	The city of Kokomo, Indiana was named after a member of the Miami Native American nation called Ma-Ko-Ko-Mo, which translates to 'Black Walnut'."
Urgent.   		7 letters,"EXIGENT.    	Something exigent is urgent, coming from the Latin 'exigentia' meaning 'urgency'."
Application letters.   		3 letters,NMI.    	No Middle Initial ...
Pegasus appeared in this company's logo.   		5 letters,"MOBIL.    	Mobil was founded as part of the the break up of Standard Oil in 1911. The company was originally called Socony (Standard Oil Company of New York). Socony merged with Magnolia Petroleum Company in the thirties and adopted Magnolia's Pegasus emblem, and it has been used ever since. Mobil merged with Exxon in 1999 but the Mobil brand and Pegasus are alive and well."
Many-headed challenge for Hercules.   		5 letters,"HYDRA.    	In Greek mythology, the Lernaean Hydra was a sea snake that had multiple heads. Heracles had to slay the Hydra of Lerna as the second of his Twelve Labors."
Title shared by works of Ovid and D.   		6 letters,"AMORES.    	Ovid wrote a book of poems called 'Amores', as did the author D. H. Lawrence."
Relatives of guinea pigs.   		7 letters,AGOUTIS.    	The term 'agouti' is used for some rodents in Central and south America who have fur with bands of light and dark pigmentation.
Some Dior designs.   		7 letters,"A-LINES.    	Christian Dior was a French fashion designer. As WWII approached, Dior was called up by the French military, drawing a temporary halt to his career in fashion. He left the army in 1942 and for the duration of the war designed clothes for wives of Nazi officers and French collaborators. After the war his designs became so popular that he helped reestablish Paris as the fashion center of the world."
"""Psycho"" setting.   		5 letters","MOTEL.    	Bates Motel and house were constructed on the backlot of Universal Studios for the 1960 movie 'Psycho'. They are still standing, and for me are the highlight of the backlot tour that is available to visitors."
Darth Vader locale.   		10 letters,"DEATH STAR.    	In the 'Star Wars' universe, a Death Star is a huge space station that is the size of a moon. A Death Star is armed with a superlaser that can destroy entire planets."
Grp.   		7 letters,"US ARMY.    	The Department of the Army's emblem and seal includes a rattlesnake holding a scroll in its mouth. On the scroll are the words ""This We'll Defend"". The Army seal originated during the American Revolution, when it was used to authenticate official documents."
De ___ (from the start).   		4 letters,"NOVO.    	""De novo"" is Latin for ""anew"", just as we use it in English."
___ New Guinea.   		5 letters,PAPUA.    	Papua New Guinea is a country occupying the eastern half of the island of New Guinea (the western side of the island is part of Indonesia).
City near Mt.   		6 letters,"NAPLES.    	Mount Vesuvius is on the Bay of Naples, just over five miles from the city of Naples. The most famous of its eruptions took place in AD 79, the one which destroyed the Roman cities of Pompeii and Herculaneum. Today Vesuvius is considered to be one of the most dangerous volcanoes in the world, largely because it is at the center of the most densely populated volcanic region in the world, with 3 million people living nearby."
Singer Damone.   		3 letters,"VIC.    	Vic Damone is a singer from Brooklyn, New York. As a young man Damone started taking voice lessons, inspired by his favorite singer, Frank Sinatra. Decades later, Sinatra said that Damone had 'the best pipes in the business'."
"Classic poem that begins ""I think that I shall never see"".   		5 letters",TREES.    	The American journalist and poet Joyce Kilmer is primarily known for his 1913 poem titled 'Trees'. The original text of the poem is:
Regarding.   		5 letters,"ANENT.    	'Anent' is a preposition meaning 'regarding, concerning'."
Certain huckster.   		5 letters,"CARNY.    	""Carny"" is American slang, and is short for ""carnival worker""."
Classic novel with biblical parallels.   		12 letters,"EAST OF EDEN.    	John Steinbeck considered ""East of Eden"" his magnus opus. Most of the storyline takes place near Salinas, just south of where I live in the Bay Area. Two of the characters in the story are brothers Cal and Aron, representative of the biblical Cain and Abel."
"""Don't ___, don't tell"" (bygone military policy).   		3 letters","ASK.    	The official US policy on gays serving on the military from 1993 to 2011 was known as 'don't ask, don't tell'. In effect, this policy outlawed discrimination against closeted gay service members while at the same time barring openly gay persons from serving in the military. Unauthorized investigations of suspected gay servicemen and servicewomen led to the policy being extended to 'don't ask, don't tell, don't pursue, don't harass'. 'Don't ask, don't tell' was repealed in 2011."
Sleuth Lupin.   		6 letters,"ARSENE.    	Arsène Lupin is a character created by the French writer Maurice Leblanc. Leblanc was writing in the days of Sir Arthur Conan Doyle, and his gentleman detective, Lupin, is as popular in the French-speaking world as Sherlock Holmes is in English."
Port on the Panay Gulf.   		6 letters,"ILOILO.    	Iloilo City is the capital of the Iloilo province in the Philippines, and is known as one of the most desirable places to live in the country."
Walk with flair.   		6 letters,"SASHAY.    	To sashay is to strut along in a showy manner. 'Sashay' is an Anglicized form of the French word 'chassé', a sliding step in square dancing."
Title woman in a Harry Belafonte song.   		7 letters,MATILDA.    	'Matilda' is a calypso song recorded by Harry Belafonte in 1953.
German granny.   		3 letters,OMA.    	'Oma' is a informal word for 'grandma' in German.
Valise.   		3 letters,BAG.    	'Valise' is a French word for 'suitcase'.
Most Prestwick Airport patrons.   		5 letters,SCOTS.    	Prestwick Airport is located just over 30 miles from the city of Glasgow in Scotland. Elvis Presley landed in Prestwick in 1960 on a US Army transport that refuelled there. The locals are very proud of the fact that this was the only time Elvis Presley ever set foot in the UK.
Red giant.   		6 letters,"C STAR.    	A carbon star is a star with an atmosphere rich in carbon, more carbon than oxygen. Such an atmosphere is very 'sooty' and as such might appear very red in color when viewed through a telescope."
Author of the 1968 work named in the circled letters (reading clockwise).   		5 letters,"WOLFE.    	""The Electric Kool-Aid Acid Test"" is described as a ""nonfiction novel"" by Tom Wolfe, first published in 1968. It tells the story of a group of guys driving across the country in a brightly painted school bus, gaining all kinds of insights with the ""benefit"" of LSD and other psychedelic drugs. Apparently there is a movie adaptation of the novel in the works. Trippy, man ..."
