"With 61-Across, physicist who studied supersonics.   		5 letters",ERNST.    	(61A. See 13-Down : MACH)
Thomas who lampooned Boss Tweed.   		4 letters,"NAST.    	Thomas Nast was an American caricaturist and cartoonist. He was the creator of the Republican Party elephant, the Democratic Party's donkey, Uncle Sam and the image of the plump and jocular Santa Claus that we use today."
Scandalous company with a tilted-E logo.   		5 letters,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
TV warrior princess.   		4 letters,"XENA.    	Lucy Lawless is a New Zealand actress (and singer), famous for playing the title role in TV's ""Xena: Warrior Princess"". Lawless first played the Xena character in a made-for-TV movie called ""Hercules and the Amazon Women"", and later played the character again in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around the character, with Lawless retained for the role."
One of the Lennons.   		4 letters,SEAN.    	Sean Lennon is the only child of John Lennon and Yoko Ono. Sean's godfather is Elton John.
Locale of London Stansted Airport.   		5 letters,"ESSEX.    	Essex is a county in England, referred to as one of the 'home counties'."
"""BUtterfield 8"" novelist.   		6 letters","O'HARA.    	BUtterfield 8' (note the capitalization of both the 'B' and the 'U') is a film released in 1960 starring Elizabeth Taylor and Laurence Harvey. The title of the movie, and of the John O'Hara novel on which the film is based, is actually a telephone number. Up to the mid-sixties, telephone exchanges were given names rather than numbers. BUtterfield 8 was an exchange in the wealthy Upper East Side of Manhattan, and dialling of BU-8 was equivalent to 28-8, the first three digits of a 7-digit phone number."
"___ Longoria, 2008 A.L.   		4 letters",EVAN.    	Evan Longoria plays baseball for the Tampa Bay Rays. Evan would like everyone to know that he is no relation to Eva Longoria the actress.
Pennsylvania and others: Abbr..   		3 letters,"RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over one hundred years in a row."
AOL alternative.   		3 letters,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
2014 biblical title role for Russell Crowe.   		4 letters,"NOAH.    	The 2014 epic film 'Noah' stars Russell Crowe in the title role, and is based on the biblical story of 'Noah's Ark'. The film was largely shot in Southern Iceland. Scenes that included the ark itself were shot in Upper Brookville, New York at the Planting Fields Arboretum."
Swiss banks may be affiliated with it.   		4 letters,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the river is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are celebrated in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
Rice-shaped pasta.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
"Goya's ""Duchess of ___"".   		4 letters",ALBA.    	María Cayetana de Silva was the 13th duchess of Alba. She was a favorite subject of the Spanish painter Francisco Goya. The duchess is the subject in the famous portraits known as 'La maja desnuda' (The Nude Maja) and 'La maja vestida' (The Clothed Maja). 'Maja' translates from Spanish as 'beautiful lady'.
Casino staple.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Young's partner in accounting.   		5 letters,"ERNST.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
"Actress Durance who played Lois Lane on ""Smallville"".   		5 letters","ERICA.    	Erica Durance is an actress from Calgary, Alberta. Durance played Lois Lane in the TV show 'Smallville' and now plays the lead in the medical drama 'Saving Hope'."
Sporty Pontiac.   		3 letters,"GTO.    	The Pontiac GTO was produced by GM from 1964 to 1974, and again by a GM subsidiary in Australia from 2004 to 2006. The original GTO's design is credited to Pontiac chief engineer at the time John DeLorean, who later was found the DeLorean Motor Company."
Org.   		3 letters,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
Witch trials city.   		5 letters,"SALEM.    	Salem is a seaport on the Massachusetts coast. It is noted as the location of the Salem Witch Trials of 1692, an event that the city commemorates during the run-up to Halloween every year in October."
Doc bloc.   		3 letters,HMO.    	Health Maintenance Organization (HMO)
"Obama whose Secret Service code name is ""Rosebud"".   		5 letters","SASHA.    	Sasha is the younger of the two Obama children, born in 2001. She is the youngest child to reside in the White House since John F. Kennedy, Jr. moved in with his parents as a small infant. Sasha's Secret Service code name is ""Rosebud"", and her older sister, Malia, has the code name ""Radiance""."
"33 1/3, e.g., for a record: Abbr..   		3 letters","RPM.    	The first standard set for rotational speed of gramophone records was 78 rpm, but like so many things it seems, the US version of ""78"" was slightly different from that for the rest of the world. The US record was designed to play at 78.26 rpm, whereas the standard in the rest of the world was 77.92 rpm. So, imported records played on American equipment didn't sound quite as they were intended."
"Marie Curie, e.g.: Abbr..   		3 letters",MME.    	The equivalent of 'Mrs.' in French is 'Mme.' (Madame) and in Spanish is 'Sra.' (Señora).
Skosh.   		3 letters,"TAD.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
Devil's deck.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Hanged Man and the Lovers."
"1970 #1 hit with the lyric ""Easy as ..."".   		3 letters","ABC.    	""ABC"" topped the charts for the Jackson 5 in 1970, and might perhaps be called the Jackson 5's signature tune."
Virgil contemporary.   		4 letters,"OVID.    	Ovid and Virgil were poets who lived in Ancient Rome about the same time, although they apparently met only a few times."
College org.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of the new school's curriculum."
Kit ___ bar.   		3 letters,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
"One of 2,297 for Hank Aaron, in brief.   		3 letters",RBI.    	Run batted in (RBI)
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
A.L.   		3 letters,"TOR.    	The Toronto Blue Jays baseball franchise was founded in 1977. The Blue Jays are the only team based outside the US to have won a World Series, doing so in 1992 and 1993. And since the Montreal Expos relocated to Washington, the Blue Jays are the only Major League Baseball team now headquartered outside of the US."
Houston baseballer.   		5 letters,ASTRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
Onetime Mideast grp.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Homer Simpson's Indian friend.   		3 letters,"APU.    	The fictional store, Kwik-E-Mart, is operated by Apu Nahasapeemapetilon, on ""The Simpsons"" TV show. The convenience store owner doesn't seem to be making much use of his Ph. D. in computer science that he earned in the US. His undergraduate degree is from Caltech (the Calcutta Technical Institute), where he graduated top of his class ... of seven million students ..."
One of the Home Counties.   		5 letters,"ESSEX.    	The Home Counties are the counties that surround the city of London, and don't include London itself. It's not an official designation and has been in use since the 1800s."
"Musical anagram of AGRA, fittingly.   		4 letters","RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar was perhaps the most famous raga virtuoso (to us Westerners)."
Where you gotta go?.   		3 letters,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
American ___.   		5 letters,"SAMOA.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
"""Be on the lookout"" signal, in brief.   		3 letters",APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
___ of Sharon.   		4 letters,ROSE.    	Rose of Sharon is a name given to several species of flowering plants.
About 90% of its land is owned communally.   		5 letters,"SAMOA.    	The official name for the South Pacific country is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
Bacon product.   		5 letters,"ESSAY.    	The English philosopher and statesman Francis Bacon wrote a celebrated and respected collection of essays called 'The Essayes', first published in 1597. My favorite of these essays is 'Of Simulation and Dissimulation', which observes:"
Handbag monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. Saint-Laurent started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together and started his own fashion house. A remarkable story ..."
N.L. Central team: Abbr..   		3 letters,"STL.    	The St. Louis Cardinals were originally called the 'Brown Stockings', changing their name to the 'Perfectos' in 1899. That obviously didn&#8217;t go down well with the locals, as the owners changed it one year later to the Cardinals."
"""A Series of Unfortunate Events"" villainess.   		4 letters",ESME.    	Esmé Squalor is an antagonist in the series of children's books called 'A Series of Unfortunate Events' by Lemony Snicket.
Poet banished in A.D.   		4 letters,OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
Simon of the stage.   		4 letters,"NEIL.    	Neil Simon is one of my favorite playwrights. Simon has written over thirty plays and about thirty screenplays. He has received more nominations for Oscars and Tony Awards than any other writer. My favorite play penned by Simon has to be 'Brighton Beach Memoirs', but the list of his great stage works seems endless and includes 'Barefoot in the Park', 'The Odd Couple', 'Sweet Charity', 'Plaza Suite', 'California Suite', 'Biloxi Blues' and 'The Goodbye Girl'."
Jar for stews.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
Palm fruit.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
___ Jima.   		3 letters,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there ever since."
Girl Scout cookie with toasted coconut.   		5 letters,"SAMOA.    	Depending on which bakery makes the particular variety of Girl Scout cookie, the name can vary. For example, Little Brownie Bakers makes the Samoa cookies, while ABC Bakers uses the same recipe and calls the cookies Caramel Delites. The assumption is that these cookies have the exotic name of ""Samoa"" because they contain the tropical ingredients of coconut and cocoa."
Houston athlete.   		5 letters,ASTRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
___ Beta Kappa.   		3 letters,"PHI.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for ""philosophia biou kybernētēs"", which translates into ""philosophy is the guide of life"". The symbol of the Phi Beta Kappa Society is a golden key."
Head docs?.   		4 letters,"ENTS.    	Ear, Nose and Throat specialist (ENT)"
"Where many people solve crosswords, for short.   		3 letters",LAV.    	Really ...?
Ben & Jerry's alternative.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
Warrior princess of TV.   		4 letters,"XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the title role."
Wildebeest.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
White-tailed raptor.   		4 letters,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
"""Collages"" author.   		3 letters","NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
Troubadour's love song.   		4 letters,ALBA.    	The alba is a old type of love song or poem from southern France. It specifically deals with the longing and frustration felt by lovers who must separate for fear of being discovered by their spouses. Naughty stuff ...
"That, in Tijuana.   		3 letters","ESO.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
"""Little"" Dickens character.   		4 letters","NELL.    	""The Old Curiosity Shop"" by Charles Dickens tells the story of little 14-year-old Nell Trent and her grandfather who live in the Old Curiosity Shop in London. If you visit London, there actually is an ""Old Curiosity Shop"", in Westminster. It is an establishment selling odds and ends, old curiosities, and is believed to have been the inspiration for the shop in the Dickens story. The building has been around since the 1500s, but the name ""The Old Curiosity Shop"" was added after the book was published."
"Roseanne's husband on ""Roseanne"".   		3 letters","DAN.    	Actor John Goodman will forever be remembered as Dan Conner, the on-screen husband of Roseanne Barr in the sitcom ""Roseanne"". Goodman went to Missouri State University where he studied drama and was a compatriot of Kathleen Turner. The role that I most enjoyed played by Goodman was Speaker of the House Glen Allen Walken on the great show 'The West Wing'."
Bordeaux buddies.   		4 letters,"AMIS.    	Bordeaux is perhaps the wine producing capital of the world. Wine has been produced in the area since the eighth century. Bordeaux has an administrative history too. During WWII, the French government relocated from Paris to the port city of Bordeaux when it became clear that Paris was soon to fall to the Germans. After the German's took France, the capital was famously moved to Vichy."
Puma rival.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as it it is the Latin word for ""to fly"", and suggested the concept of aviation."
Macbeth or Macduff.   		4 letters,"SCOT.    	Macduff eventually kills Macbeth, at the end of Shakespeare's play."
Man-eater.   		4 letters,"OGRE.    	An ogre is a monster of mythology and folktales that has the appearance of a man, and which eats human beings. The term 'ogre' comes to us via French from the name of the Etruscan god Orcus, who feasted on the flesh of humans."
Reebok rival.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as it it is the Latin word for ""to fly"", and suggested the concept of aviation."
"""___ Almighty"" (2007 film).   		4 letters","EVAN.    	Steve Carell's movie ""Evan Almighty"" was actually a sequel, to Jim Carrey's ""Bruce Almighty"". ""Evan Almighty"" is a cute enough film, with Evan mutating into a Noah character who goes as far as building an ark in his front yard."
"A, in Amiens.   		3 letters","UNE.    	Amiens is a city in the north of France, in the region known as Picardy."
Crime-fighting Eliot.   		4 letters,"NESS.    	Eliot Ness was the Treasury agent charged with the task of bringing down the notorious Chicago gangster Al Capone. When Ness took on the job in 1930, Chicago law-enforcement agents were renowned for being corrupt, for being on the take. Ness handpicked 50 prohibition agents who he thought he could rely on, later reducing the group to a cadre of 15 and ultimately just 11 trusted men. That group of 11 earned the nickname ""The Untouchables"", the agents who couldn't be bought."
Cardinals' home: Abbr..   		3 letters,"STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
Sitarist Shankar.   		4 letters,"RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is most famous for his sitar playing."
Two-time Cy Young winner Lincecum.   		3 letters,TIM.    	Tim Lincecum is pitcher for the San Francisco Giants baseball team. Lencecum won the National League's Cy Young Award in 2008 and again in 2009.
"The Cavs, on scoreboards.   		3 letters","CLE.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970."
Muesli morsel.   		3 letters,"OAT.    	""Muesli"" is a Swiss-German term describing a breakfast serving of oats, nuts, fruit and milk. Delicious ..."
Sex columnist Savage.   		3 letters,DAN.    	Dan Savage is an author and journalist who is famous for writing a sex advice column under the title 'Savage Love'. 'Savage Love' is directed towards the gay community and is syndicated in several dozen newspapers across the world.
It's a loch.   		4 letters,"NESS.    	Loch Ness is one of the two most famous lakes in Scotland. Loch Ness is famous for its 'monster', and Loch Lomond is famous for the lovely song 'The Bonnie Banks o' Loch Lomond'. Oh, ye'll tak' the high road, and I'll tak' the low road ..."
I.S.P.   		3 letters,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
Buggy people?.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a subgroup of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
Kennedy matriarch.   		4 letters,"ROSE.    	Rose Fitzgerald Kennedy was the mother of President John F. Kennedy, and eight other children.She lived to a very ripe old age, passing away in 1995 when she was 104 years old."
Fool's deck.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment in games. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
Breyers competitor.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
Former Mideast org.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Letter after phi.   		3 letters,CHI.    	The Greek letter 'chi' is the one that looks like our 'X'.
Big ___.   		3 letters,"BEN.    	Big Ben is the name commonly used for the large bell in the Clock Tower of the Palace of Westminster (aka the Houses of Parliament). Big Ben's official name is the Great Bell, and there is some debate about the origins of the nickname. It may be named after Sir Benjamin Hall who oversaw the bell's installation, or perhaps the English heavyweight champion of the day Benjamin Caunt."
1969 Peace Prize grp.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
"Nonproduct ad, for short.   		3 letters",PSA.    	Public service announcement (PSA).
Quaker ___ Bran.   		3 letters,"OAT.    	The Quaker Oats Company was founded in 1901 when four oat mills merged, including the Quaker Mill Company of Ravenna, Ohio. Quaker Mill's owner Henry Parsons Crowell played the key role in the new company and remained at the helm until 1943."
Polo competitor.   		4 letters,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
Bankrupted company led by Kenneth Lay.   		5 letters,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
Astrophysicist ___ deGrasse Tyson.   		4 letters,NEIL.    	Neil deGrasse Tyson is an astrophysicist who is noted for his ability to communicate science to the masses. Tyson is well known for his appearances on the great PBS show 'Nova'.
Big bankruptcy of 2001.   		5 letters,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
Letters on a Cardinal's cap.   		3 letters,"STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That name change obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
"""Tombstone"" role.   		4 letters","EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
Rock's Steely ___.   		3 letters,"DAN.    	Steely Dan's heyday was in the seventies, when they toured for a couple of years, but mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993, and they are still going strong today."
Salinger dedicatee.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Map inits.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Champagne article.   		3 letters,"UNE.    	Champagne is a historic province in the northeast of France, famous of course for its sparkling white wine."
England's Isle of ___.   		3 letters,"ELY.    	The Isle of Ely in England isn't an island as we would usually know it, and instead is the name of the area surrounding the city of Ely. Centuries ago however, the region was in fact an island surrounded by a fen, a type of swamp. The name is said to derive from 'Island of Eels', a reference to the large number of eels caught in the area's rivers."
Actor Chaney.   		3 letters,"LON.    	Lon Chaney, Sr. played a lot of crazed-looking characters in the days of silent movies. He did much of his own make-up work, developing the grotesque appearances that became his trademark, and earning himself the nickname ""the man of a thousand faces"". Most famous of all was his portrayal of ""The Phantom of the Opera"" in 1925."
