Tinker to ___ to Chance (classic double play).   		5 letters,EVERS.    	Baseball's Sad Lexicon' is a poem written by Franklin Pierce Adams in 1910:
King Arthur's resting place.   		6 letters,"AVALON.    	Avalon is a legendary island featured in the Arthurian legends. The name Avalon probably comes from the word ""afal"", the Welsh word for ""apple"", reflecting the fact that the island was noted for its beautiful apples. Avalon is where King Arthur's famous sword (Excalibur) was forged, and supposedly where Arthur was buried."
Crack filler.   		5 letters,"CAULK.    	The term ""caulk"" comes from old Norman French ""cauquer"", and described the action of filling gaps with lime. 'Caulk'has the same root as our word ""chalk""."
"John Paul II, e.g.   		4 letters","POLE.    	Pope John Paul II led the Catholic Church from 1978 until 2005, a period of over 26 years. That made him the second longest serving Pope in history, after Pius IX who reigned for over 31 years in the mid 1800s. Paradoxically, John Paul II's predecessor was John Paul I who only ruled for 33 days. John Paul II was a native of Poland, and was the first non-Italian Pope to lead the church since 1523."
Dakar's land.   		7 letters,"SENEGAL.    	The Republic of Senegal is a country on the far western coast of Africa. For many years Senegal was a French colony, gaining independence in 1960. The capital of Senegal is Dakar, a city located on the Cap-Vert Peninsula that juts out into the Atlantic Ocean."
"Many homecoming attendees, informally.   		5 letters","ALUMS.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil. 'Alum' is an informal term used for either an alumna or an alumnus."
Oktoberfest collectibles.   		6 letters,"STEINS.    	Oktoberfest is a 16-day beer festival in Munich that actually starts in September. About six million people attend every year, making it the largest fair in the world. I've been there twice, and it really is a great party ..."
"""The Name of the Rose"" setting.   		5 letters","ABBEY.    	Umberto Eco is an Italian writer, probably best known for his novel ""The Name of the Rose"" published in 1980. In 1986, ""The Name of the Rose"" was adapted into a movie with the same title starring Sean Connery."
Eco-chic clothing option.   		4 letters,"HEMP.    	Hemp is a hardy, fast-growing plant that has many uses mainly due to the strength of the fibers in the plant's stalks. Hemp is used to make rope, paper and textiles. There is of course a variety of hemp that is grown to make drugs, most famously cannabis."
Some tubers.   		6 letters,IDAHOS.    	Idaho is also sometimes called the Potato State due to the popularity of potatoes as a crop. Idaho produces almost one-third of all potatoes grown in the country.
Relative of ocher.   		5 letters,TOPAZ.    	Topaz and ocher are yellow/orange/brown colors.
Genetic variant.   		6 letters,"ALLELE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
Parisian pronoun.   		3 letters,"LUI.    	In French, 'lui' is the word for ""him"" and 'elle' is the word for ""her""."
Timber wolf.   		4 letters,"LOBO.    	The timber wolf is also known as the gray wolf, tundra wolf or lobo."
Three-time A.L.   		5 letters,OLIVA.    	Tony Oliva is a former Major League baseball player who played his whole career for the Minnesota Twins.
Cannon loader.   		6 letters,RAMROD.    	A ramrod is a 'stick' that is inserted into the barrel of an older firearm in order to pack the bullet or ball tightly against the charge of gunpowder. A ramrod can also be used to push a cleaning rag through the barrel of a gun.
"Wooley of ""Rawhide"".   		4 letters","SHEB.    	As well as having his huge hit in 1958 called ""The Purple People Eater"", Sheb Wooley played Ben Miller in the movie ""High Noon"" and co-starred in the TV's ""Rawhide"", playing the role of Pete Nolan. Wooley also wrote the theme song for the long-running television show ""Hee Haw""."
Antiknock additive.   		5 letters,"ETHYL.    	The Ethyl Corporation produced the controversial anti-knock fuel additive known as Ethyl, actually tetra-ethyl lead (and we are still living with the consequences)."
Tailless cat.   		4 letters,"MANX.    	I've seen Manx cats by the dozen on their native island. They're found all over the Isle of Man (hence the name ""Manx"") located in the middle of the Irish Sea. Manx cats have no tails, they really don't ..."
Coin with a hole in it.   		5 letters,"KRONE.    	""Krone"" translates into English as ""crown"", and was the name given to coins that bore the image of the monarch. Today, the krone is the name given to the currency of Norway and of Denmark. Some of the Norwegian and Danish kroner have holes in the middle, giving them a ""doughnut"" or ""torus"" shape."
It's not used to make matzo.   		5 letters,"YEAST.    	Matzo is a unleavened bread, that is very brittle. The bread is crushed, creating Matzo meal that is then formed into balls using eggs and oil as a binder. The balls are usually served in a chicken stock."
Radar screen dot.   		4 letters,"BLIP.    	Scientists have been using radio waves to detect the presence of objects since the late 1800s, but it was the demands of WWII that accelerated the practical application of the technology. The British called their system RDF standing for Range and Direction Finding. The system used by the US Navy was called Radio Detection And Ranging, which was shortened to the acronym RADAR."
Vice ___.   		5 letters,"VERSA.    	""Vice versa"" is a Latin phrase meaning ""with position turned"". We always pronounce this term ""incorrectly"". In Latin, a ""c"" is always a hard sound, and a ""v"" is pronounced like a ""w"". The pronunciation should be something like ""wee-kay wehr-sa""."
False god.   		4 letters,"BAAL.    	The name 'Baal' was used for several gods and sometimes human officials by ancient Semitic peoples. In the Hebrew Bible, Baal is notably cited as a false god. As a result, we sometimes use the term 'baal' today to mean a false god or an idol."
"Helpful website feature, for short.   		4 letters",FAQS.    	Most websites have a page listing answers to Frequently Asked Questions (FAQ). There is a link to this blog's FAQs at the top-right of every page.
Controversial 1715 measure of Parliament.   		8 letters,"RIOT ACT.    	The Riot Act was a British law that was in force from 1715 to 1967. According to the Riot Act, government entities could declare any gathering of twelve or more people 'unlawful'. Our expression 'read the Riot Act' is derived from the requirement for the authorities to read out the Riot Act proclamation to a unlawful assembly before the Act could be enforced."
"Like ""All the President's Men,"" originally, per the M.P.A.A.   		7 letters","R-RATED.    	""All the President's Men"" is a marvelous book by 'The Washington Post' journalists Carl Bernstein and Bob Woodward. The book tells the remarkable tale of the investigation undertaken by Woodward and Bernstein into the Watergate scandal. The pair followed ""All the President's Men"" with a sequel called 'The Final Days' which told of President Nixon's final months in office. One of my favorite movies of all time is the 1976 film adaption of ""All the President's Men"" that stars Robert Redford and Dustin Hoffman."
R&B's ___ Hill.   		3 letters,"DRU.    	Dru Hill is an R&B singing group from Baltimore, Maryland. Dru Hill was formed in 1992, and is still going strong today. The name 'Dru Hill' comes from Druid Hill Park which is found on the west side of Baltimore."
"'40s beach blasts, briefly.   		7 letters","N-TESTS.    	The testing of US nuclear weapons by the US at Bikini Atoll in the middle of 1946 went by the codename ""Operation Crossroads"". The tests used A-bombs and were designed to measure the effect of blasts on navy vessels. There were three tests planned, but the third had to be cancelled as the Navy couldn't decontaminate the ships used in the second test."
___ Loa.   		5 letters,"MAUNA.    	Mauna Loa on the ""big island"" of Hawaii is the largest volcano on the planet (in terms of volume). The name ""Mauna Loa"" is Hawaiian for ""Long Mountain""."
Some campaigns win them.   		5 letters,"CLIOS.    	The Clio Awards are the Oscars of the advertising world and are named after Clio, the Greek Muse of History. Clio was also the recorder of great deeds, the proclaimer and celebrator of great accomplishments and a source of inspiration and genius. The Clio Awards were first presented in 1959."
Assn.   		3 letters,"AFI.    	The American Film Institute (AFI) was founded in 1967 by the National Endowment for the Arts (NEA). One of the AFI's more visible programs is the '100 Year Series', including lists of Best Movies in several categories and a list of the Best Movie Quotes in 100 years of movie-making."
One going for the big bucks?.   		6 letters,"BRONCO.    	A ""bronco"" (also ""bronc"") is a horse that is untamed. In Mexican Spanish ""bronco"" is a word for ""horse"", and in the original Spanish ""bronco"" means ""rough, rude""."
1990s compacts.   		4 letters,"GEOS.    	Geos were small vehicles manufactured by General Motors mainly in the nineties. Geos were designed to compete head-to-head with the small imports that were gaining market share at the time in the US. Some Geo models that you might remember are the Metro, the Prizm and the Storm. The cars were actually built as joint-ventures with Japanese manufacturers. The Prizm was a GM/Toyota project, the Metro was GM/Suzuki, and the Storm was GM/Isuzu."
Craving.   		5 letters,"JONES.    	Back in the late 60s, 'Jones' was a slang term for an intense desire or an addiction. This usage probably came from an earlier meaning for 'Jones' as a synonym for 'heroin'. The etymology of the heroin meaning is very unclear."
Not yet delivered.   		8 letters,"IN UTERO.    	""In utero"" is a Latin term meaning ""in the uterus"". The Latin ""uterus"" translates as both ""womb"" and ""belly"". The Latin word was derived from the Greek ""hystera"" also meaning womb, which gives us the words ""hysterectomy"", and ""hysterical""."
Something one might hang in a street.   		3 letters,UEY.    	U-turn (Uey)
Greek goddess of vengeance.   		7 letters,"NEMESIS.    	Nemesis was a Greek goddess, the goddess of retribution. Her role was to make pay those individuals who were either haughty or arrogant. In modern parlance, one's nemesis is one's sworn enemy, often someone who is the exact opposite in character but someone who still shares some important characteristics. A nemesis is often someone one cannot seem to beat in competition."
"Local life forms, collectively.   		5 letters",BIOTA.    	The biota of a region is the total collection of flora and fauna found there.
Cheese burg?.   		5 letters,"GOUDA.    	Gouda is a cheese that originated in the Dutch city of the same name, although today Gouda is produced all over the world and very little of it comes from the Netherlands. Gouda is often smoke-cured, given it a yellowish-brown outer skin and that characteristic smoky taste."
Singer Streisand.   		6 letters,"BARBRA.    	Barbra Streisand has recorded 31 top-ten albums since 1963, more than any other female recording artist. In fact, she has had an album in the top ten for the last five decades, a rare achievement in itself."
"""Necktie"".   		5 letters",NOOSE.    	Necktie' is a slang term for a hangman's noose.
"Word on either side of ""à"".   		3 letters","VIS.    	We use the French phrase ""vis-a-vis"" to mean ""with regard to"" or ""in relation to"". The literal translation from the French is ""face to face"". When we imported the phrase into English in the mid-1700s, it had two other meanings that were more faithful to the original. Firstly, it could be a ""face to face"" meeting (not so today), and secondly, it was a type of carriage in which the occupants faced each other."
Spelling start?.   		5 letters,"ABRA-.    	The incantation ""abracadabra"" has a long history. It was used as far back as the 2nd century AD in Ancient Rome when the word was prescribed by a physician to be worn on an amulet to help his emperor recover from disease. ""Abracadabra"" is Aramaic, and roughly translates as ""I will create as I speak""."
Wagnerian heroine.   		6 letters,"ISOLDE.    	According to the legend of King Arthur, Tristan was a Knight of the Round Table from Cornwall in the south of England. Tristan was sent by his Cornish king to fetch an Irish princess called Iseult from her homeland, but Tristan and Iseult instead fall in love. Most famously, the couple's story was retold as the opera 'Tristan and Isolde' by Richard Wagner."
Brat Pack member Rob.   		4 letters,"LOWE.    	The actor Rob Lowe is one of the 'founding members' of the so-called Brat Pack, having appeared in the movie 'St. Elmo's Fire'. He is currently playing a regular character on the TV show 'Parks and Recreation'. My favorite of his roles though, was playing Sam Seaborn on Aaron Sorkin's great drama series 'The West Wing'. When 'The West Wing' first aired, Seaborn was billed as the show's main character, but outstanding performances from the rest of the cast and some great writing meant that Lowe's role became 'one of many'. This led to some dissatisfaction on Lowe's part, and eventually he quit the show."
Peruvian author Mario Vargas ___.   		5 letters,"LLOSA.    	Mario Vargas Llosa is a Peruvian writer of renown, one of the most significant authors from Latin America by all accounts. Llosa is also very active politically, and in 1990 ran unsuccessfully for the Peruvian presidency."
"Yorba ___, Calif.   		5 letters","LINDA.    	Yorba Linda is a city in Orange County, California. It is an affluent community, and is regularly listed as the richest city in the country based on median household income. Yorba Linda is also home to the Richard Nixon Presidential Library and Museum."
Sine ___ non.   		3 letters,"QUA.    	""Sine qua non"" is a Latin phrase that we use to mean ""the essential element or condition"". The literal translation is ""without which not"". One might say, for example, ""a challenging crossword is the sine qua non of a good newspaper"". Well, crossword fans might say that anyway ..."
It means nothing.   		5 letters,"ZILCH.    	We use the term 'zilch' to mean 'nothing'. Our current usage evolved in the sixties, before which the term was used to describe 'meaningless speech'. There was a comic character called Mr. Zilch in the 1930s in 'Ballyhoo' magazine. Mr. Zilch's name probably came from the American college slang 'Joe Zilch' that was used in the early 1900s for 'an insignificant person'."
"Calrissian of ""Star Wars"".   		5 letters",LANDO.    	The actor Billy Dee Williams is most famous for playing the character Lando Calrissian in two of the 'Stars Wars' movies.
FedEx unit: Abbr..   		3 letters,CTN.    	Carton (ctn.)
About a quarter of a calorie.   		5 letters,"JOULE.    	James Joule was an English physicist who spent much of his life working in the family brewing business. Joule used his work in the brewery to study the relationship between heat and mechanical work. In honor of his achievements, his name is used for the unit of energy/work in the International System of Units (i.e. the joule)."
Vast prairie.   		5 letters,"LLANO.    	""Llano"" is the Spanish word for ""plain""."
Ladies' service org.   		4 letters,"YWCA.    	The Young Women's Christian Association (YWCA) was founded in the mid-1800s about 50 years after the YMCA, although the two organizations have always been independent of each other. Having said that, some YWCA and YMCA organizations have amalgamated at the local level and often share facilities. The YWCA is quite the organization, and is the largest women's group in the whole world."
___ gland.   		7 letters,"ADRENAL.    	The adrenal glands, as one might expect from the name, sit on top of the kidneys. Their main function is to secrete hormones that have a role to play in times of stress, the best-known of which is epinephrine (aka adrenaline)."
Caffeine-laden nuts.   		5 letters,"KOLAS.    	The nut of the kola tree has a bitter taste, and is loaded with caffeine. Despite the taste, the nut is habitually chewed in some cultures, especially in West Africa where the tree is commonly found in the rainforest. Of course in the US we best know the kola nut as a flavoring used in cola drinks."
British fellow.   		5 letters,"BLOKE.    	A 'bloke' in Britain is a chap, a fellow. The origin of the term seems to be unclear."
Soviet labor camp.   		5 letters,"GULAG.    	The Gulag was a government agency in the Soviet Union that administered forced labor camps. The term 'gulag' was used for the camps themselves, especially when used for political dissidents. 'GULag' is actually an acronym standing for the Russian 'Chief Administration of Corrective Labor Camps and Colonies'."
___ clef.   		4 letters,"BASS.    	Clef is the French word for ""key"". In music, a clef is used to indicate the pitch of the notes written on the stave. The bass clef is also known as the F-clef."
Medicare section that covers flu shots.   		6 letters,PART B.    	Medicare is divided into four parts:
Composure.   		6 letters,"APLOMB.    	'Aplomb' is such a lovely word, meaning confidence and assurance. It is a French word that literally means ""perpendicularity"", or ""on the plumb line"". The idea is that someone with aplomb is poised, upright, balanced."
"""Lemon Tree"" singer Lopez.   		5 letters","TRINI.    	Trini Lopez is a noted singer and guitarist from Dallas, Texas. He is perhaps best known for his international hit ""If I Had a Hammer"" from 1963, as well as ""Lemon Tree"" from 1965."
"Board of directors hirees, for short.   		4 letters",CEOS.    	Chief Executive Officer(CEO)
"""The Tourist"" novelist Steinhauer.   		4 letters","OLEN.    	Olen Steinhauer wrote the espionage thriller ""The Tourist"", published in 2009. It's about a CIA agent who specializes in black ops. George Clooney's production company has purchased the film rights and the word is that a movie may be in the works soon with Clooney in the lead role. The 2010 espionage movie ""The Tourist"" starring Angelina Jolie and Johnny Depp is a different project altogether (and a pretty predictable and forgettable film, by the way) that bears no relation to the Steinhauer novel."
Dynasty founded by Yu the Great.   		4 letters,"HSIA.    	The Xia (also 'Hsia') Dynasty was the first Chinese Dynasty, lasting from about 2070 to 1600 BCE."
First to stab Caesar.   		5 letters,"CASCA.    	Julius Caesar was assassinated on the 15th (the ides) of March, 44 BC. He was attacked by a group of sixty people in the Roman Senate, and was stabbed 23 times. The first to strike a blow was Servilius Casca, who attacked Caesar from behind and stabbed him in the neck."
Green-hatted Nintendo character.   		5 letters,"LUIGI.    	Mario Bros. started out as an arcade game back in 1983, developed by Nintendo. The more famous of the two brothers, Mario, had already appeared in an earlier arcade game ""Donkey Kong"". Mario was given a brother called Luigi, and the pair have been around ever since. In the game, Mario and Luigi are Italian American plumbers from New York City."
Corn syrup brand.   		4 letters,"KARO.    	Karo is a brand of corn syrup, an industrially manufactured sweetener derived from corn."
"Westminster, e.g.   		5 letters",ABBEY.    	The correct name for the Gothic church we know as Westminster Abbey is the Collegiate Church of St. Peter at Westminster. The Abbey is a favored location for coronations and royal weddings and burials. The last royal wedding in the Abbey was the marriage between Prince William and Kate Middleton in April 2011.
"Moriarty, to Holmes.   		7 letters","NEMESIS.    	Nemesis was a Greek goddess, the goddess of retribution. Her role was to make pay those individuals who were either haughty or arrogant. In modern parlance, one's nemesis is one's sworn enemy, often someone who is the exact opposite in character but someone who still shares some important characteristics. A nemesis is often someone one cannot seem to beat in competition."
"Place first, second or third, say.   		5 letters","MEDAL.    	In the Ancient Olympic Games, the winner of an event was awarded an olive wreath. When the games were revived in 1896, the winners were originally given a silver medal and an olive branch, with runners-up receiving a bronze medal and a laurel branch. The tradition of giving gold, silver and bronze medals began at the 1904 Summer Olympic Games held in St. Louis, Missouri."
Mauna Loa coffee.   		4 letters,"KONA.    	Kona coffee is cultivated on the Big Island of Hawaii, on the slopes of Mauna Loa and Hualalai, two of the five active volcanoes on the island. Coffee plants were brought to Kona in 1828 and late in the 19th century, coffee became a viable and worthwhile crop. Today Kona is a one of the most expensive and popular coffees in the world."
Smartphone preceded by the Pre.   		4 letters,"TREO.    	The Treo is a smartphone that was originally developed by a company called Handspring. Handspring was bought by Palm Inc. Subsequently, the Treo was phased out and replaced by the Palm Pre."
Vice ___.   		5 letters,"VERSA.    	""Vice versa"" is a Latin phrase meaning ""with position turned"". We always pronounce this term ""incorrectly"". In Latin, a ""c"" is always a hard sound, and a ""v"" is pronounced like a ""w"". The pronunciation should be something like ""wee-kay wehr-sa""."
Con artist's mark.   		4 letters,"RUBE.    	A 'rube' is person lacking sophistication, often described as ""a country bumpkin"". The term derives from the masculine name 'Reuben', which was considered back in the early 1800s to be a typical name used in rural areas."
Tennis world since 1968.   		8 letters,"OPEN ERA.    	In the sport of tennis, the Grand Slam tournaments were opened up to professional players, and not just amateurs, in 1968. So, the period since 1968 has been called ""The Open Era""."
Part of E = mc^2.   		6 letters,"ENERGY.    	In Albert Einstein's famous equation E=mc&#178;, 'E' stands for energy, 'm' stands for mass, and 'c' stands for the speed of light."
Certain DNA test.   		5 letters,"AMNIO.    	Amniocentesis is the prenatal test which involves the removal of a small amount of the amniotic fluid surrounding the fetus using a hypodermic needle. The fluid naturally contains some fetal cells, the DNA of which can then be tested to determine the sex of the child and to check for the presence of genetic abnormalities."
Gillette products.   		5 letters,"ATRAS.    	Fortunately for crossword constructors, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Like ostrich meat.   		4 letters,"LEAN.    	The ostrich is a flightless bird that is native to Africa. The ostrich is extensively farmed, mainly for its feathers but also for its skin/leather and meat."
Carry's partner.   		4 letters,CASH.    	The term 'cash and carry' implies that goods are sold for cash and no delivery service is supplied.
Pickup spot?.   		4 letters,NAPE.    	Some animals pick up their young by the nape of the neck.
Wonder product.   		5 letters,"BREAD.    	Wonder Bread was introduced in 1921, a bread produced by the Taggart Baking company of Indianapolis. Back then Wonder Bread was unsliced, with the sliced version being introduced nationally in the 1930s."
Cool in the mid-1960s.   		3 letters,"MOD.    	""Mod"" is short for ""modernist"", and describes a subculture that originated in London in the late fifties. Young men who called themselves mods tended to wear tailored suits, listen to pop music and drive around on Italian motor scooters. Mods came into conflict with another subculture that emerged at the same time in the UK called the rockers. Rockers were into rock and roll music, and drove motorcycles I remember as a young kid in school having to declare myself as either a mod or a rocker. I don't think our ""gangs"" back then were quite the same as they are today though ..."
Small job for a gardener?.   		6 letters,"BONSAI.    	The term ""bonsai"" is used more correctly to describe the Japanese art of growing carefully shaped trees in containers, although it has come to be used as the name for all miniature trees in pots."
Four-time Pro Bowler Ahmad.   		6 letters,"RASHAD.    	Ahmad Rashād is a former football player who now works with NBC as a sportscaster. Ahmad proposed marriage to actress Phylicia Ayers-Allen on national television in 1985. Phylicia, who played Bill Cosby's wife on 'The Cosby Show', accepted the proposal and became Rashād's third wife."
"___ Webster, Twain's ""celebrated jumping frog"".   		5 letters","DAN'L.    	The Celebrated Jumping Frog of Calaveras County' is a short story by Mark Twain, first published in 1865. It was this publication that launched Twain's career as a writer as it brought him national attention. The title character is a frog that's given the name 'Dan'l Webster'."
Medicare component.   		6 letters,PART B.    	Medicare is divided into four parts:
People output.   		5 letters,"ISSUE.    	There used to be a 'People' page in each issue of 'Time' magazine. This page was spun-off in 1974 as a publication of its own, which we now call 'People' magazine."
___ Xing (street sign).   		3 letters,PED.    	Pedestrian crossing (Ped Xing)
Big tech review site.   		4 letters,"CNET.    	c-net is an excellent technology website. c-net started out in 1994 as a television network specializing in technology news. The host of 'American Idol', Ryan Seacrest, started off his career as a host on a c-net show."
Actress Close.   		5 letters,"GLENN.    	The marvelous actress Glenn Close has consistently produced great performances on the stage, television and in film. Close's first film role was in 1982's 'The World According to Garp', in which she played Jenny Fields, the title character's mother. Close has been nominated for an Academy Award six times, and ties the record for an actress with the most nominations without ever winning (along with Deborah Kerr and Thelma Ritter)."
Flight board column: Abbr..   		4 letters,ARRS.    	Arrival (arr.)
Qualifying race.   		4 letters,"HEAT.    	The term ""heat"", meaning a qualifying race, dates back to the 1660s. Originally a heat was a run given to a horse to prepare it for a race, to ""heat"" it up."
