MO_?,MOI?.    	'J'accuse!' is the French for 'I accuse!'.
A_RANT,"ARRANT.    	""Arrant"" means ""out-and-out, complete"", and is a variant of ""errant""."
_GDEN,"OGDEN.    	Ogden, Utah was the first permanent settlement by people of European descent in what is now the state of Utah."
RH_S,"RHYS.    	Jonathan Rhys Meyers is an Irish actor. I remember as a young man in the lovely film ""Bend it Like Beckham"". He won a Golden Globe for playing the title role in the mini-series ""Elvis"", and played King Henry VIII in the TV drama ""The Tudors""."
Y_LP,"YELP.    	yelp.com is a website that provides a local business directory and reviews of services. The site is sort of like Yellow Pages on steroids, and the term 'yelp' is derived from 'yel-low p-ages'."
BEA_,"BEAR.    	The terms ""bull"" and ""bear"" markets come from the way in which each animal attacks. A bull thrusts his horns upwards (an ""up"" market), whereas a bear swipes with his paws downward (a ""down"" market)."
NAE_,"NAES.    	Glasgow is the largest city in Scotland, and sits on the River Clyde."
AS_ES,"ASHES.    	Palm Sunday is a celebration in the Christian tradition that falls on the Sunday before Easter Sunday. The day commemorates the triumphal entry of Jesus into Jerusalem, soon after he raised Lazarus from the dead. The faithful carry palms on the day, a reference to the palms scattered in front of Jesus by the welcoming crowd. In many churches, the palms are saved from Palm Sunday and then burned on Shrove Tuesday, The ash from the palms is then used to anoint the faithful as a sign of repentance on the next day, a day known as Ash Wednesday."
S_ERN,"STERN.    	Howard Stern is one of the original ""shock jocks"" who seems now to have found his niche on uncensored satellite radio (SiriusXM). Apparently Stern is quite the chess player, and was invited to play in the 2010 US Chess Championships, albeit as a wildcard choice."
AV_V,"AVIV.    	The full name of Israel's second largest city is Tel Aviv-Yafo. Tel Aviv translates into ""Spring Mound"", a name chosen in 1910."
BIT_,"BITS.    	As in the phrase ""bits and pieces""."
ENNEAD_,"ENNEADS.    	Ennead is the Greek word for ""the nine"". There are nine players on a baseball team."
H_RB,"HERB.    	Oregano is a perennial herb that is in the mint family. Also known as wild marjoram, oregano is very much associated with the cuisine of southern Italy. Oregano's popularity surged in the US when soldiers returning from WWII in Europe brought with them an affinity for what they called 'the pizza herb'."
YEL_,"YELP.    	yelp.com is a website that provides a local business directory and reviews of services. The site is sort of like Yellow Pages on steroids, and the term 'yelp' is derived from 'yel-low p-ages'. I have a young neighbor here who used to work for yelp ..."
ROEP_R,"ROEPER.    	Richard Roeper is columnist and film critic for ""The Chicago Sun-Times"", and came to national attentions when he replaced Gene Siskel as co-host with Roger Ebert on the famous film review TV show. Roeper started work with Ebert in 2000, after Siskel died in 1999. Roeper stayed with the show right though 2008, even though Ebert had to bow out in 2006 as he recovered from cancer surgery."
KENO_I,"KENOBI.    	Sir Alec Guinness has played many great roles over a long a distinguished career, but nowadays is best known (sadly, I think) for playing the original Obi-Wan Kenobi in ""Star Wars"". In the prequel ""Star Wars"" trilogy, the young Obi-Wan is played by another British (actually Scottish) actor, Ewan McGregor."
_LEOLE,"OLE OLE.    	""Ole Ole Ole!"" is chanted at soccer games by many Spanish speaking (or shouting) fans. I am very proud to claim that the fans of the Irish national team have adopted the chant as their own, and it can be heard practically non-stop when Ireland is playing (with some inventive melody behind it!)."
PUL_E,"PULSE.    	One's 'pulse' is the rhythmic throbbing of arteries that is usually detected at the wrist or the neck. The contraction of the heart creates a pressure wave in the blood that moves the arterial walls, which is detected as the pulse."
H_ED,"HIED.    	To hie is to move quickly, to bolt."
CL_Y,"CLAY.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky, changing his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
M_TTE,"MATTE.    	Matte', meaning flat and lusterless, comes from the Old French word 'mat' meaning beaten down and withered. In turn, the French 'mat' comes from the Latin 'maddus', meaning 'maudlin with drink'. Sometimes I wonder about these derivations ..."
_ANDW,"A AND W.    	A&W is a brand of root beer that has been around since 1920, when Roy Allen partnered with Frank Wright to create the A&W moniker from their family names."
GLE_N,"GLENN.    	John Glenn is a retired Marine Corps pilot, astronaut and US Senator. As an astronaut, Glenn was the first American to orbit the earth, in 1962. He later became the oldest person to fly in space, in 1998 at the age of 77."
DO_NA,"DONNA.    	Donna Summer is known as ""The Queen of Disco"", with great hits like ""Love to Love You, Baby"", ""I Feel Love"" and ""Hot Stuff"". In the late sixties and early seventies, LaDonna Gaines (her real name) lived and worked in Germany. There she met and married an Austrian actor called Helmuth Sommer. They divorced not long after the marriage, but Donna kept his family name, just changing the ""o"" to ""u"" to give her the stage name of ""Donna Summer""."
STA_E,"STAGE.    	""As You Like It"" is one of Shakespeare's comedies, the tale of Rosalind fleeing from her Uncle's court, along with her cousin, Celia and the court jester, Touchstone. The play is perhaps most memorable for an oft-quoted monologue that starts with:"
_MU,AMU.    	(58. See 35-Down : ASIA)
S_LIT,"SPLIT.    	One might say ""oops"" at a bowling alley if one leaves two pins standing in a split."
GE_,"GEE.    	Conway Twitty was a country singer who crossed over to the rock and roll and pop genres. Twitty's real name was Harold Lloyd Jenkins, and he was named for the silent movie actor Harold Lloyd. There doesn't seem to be a definitive explanation for how Twitty chose his stage name, but one suggestion is that he combined the names of the cities of Conway, Arkansas and Twitty, Texas."
FRED_,"FREDO.    	Fredo Corleone is a middle son in the family, and was considered the weak member of the family, and was reduced to the role of ""gopher"". He was with his father when Don Corleone was shot. He tried to retaliate, but dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
OSMO_D,"OSMOND.    	Donny Osmond hosted the game show ""Pyramid"" from 2002-2004. This was the most recent revival of the show which first aired in 1973. The host most commonly associated with ""Pyramid"" is Dick Clark, who anchored he show from 1973 to 1988."
_RY,"DRY.    	Zinfandel is my favorite red wine varietal. It amazes me that the rich and heavy red Zinfandel comes from the same grape as does the blush, White Zinfandel varietal."
_RANZ,"FRANZ.    	Franz Kafka was born in 1883 Prague, then part of Bohemia, today the capital of the Czech Republic. He is known today as one of the greatest novelists who worked in the German language, and even has an adjective named after him. Something that is ""kafkaesque"" is senseless, disorienting and may have menacing complexity. As it was for many great artists, Kafka's fame came after his death, when much of his work was published."
BONJOV_,"BON JOVI.    	Jon Bon Jovi was born John Francis Bongiovi, Jr., and he is the leader of the band that took his name, Bon Jovi."
CAS_,CASH.    	Our word 'cash' comes from the Middle French 'caisse' meaning 'money box'.
AM_,"AMU.    	The Amu Darya is a major river in Central Asia, also called the Oxus or Amu River."
ART_ST,"ARTIST.    	Andy Warhol went through a period of painting iconic American products, including Coca-Cola bottles and Campbell's Soup cans. In 1964 he participated in a gallery show called ""The American Supermarket"". Along with other pop artists he contributed works including a painting of a can of Campbell's soup. He priced the painting at $1,500, and sold autographed cans of soup for $6 a piece."
_HS,"OH'S.    	There used to be two varieties of Oh's made by Quaker Oats Company. One was Honey Nut Oh's, later known as Crunchy Nut Oh's, but it was phased out. The second type was called Crunchy Graham Oh's, and it is still available today as Honey Graham Oh's."
AD_T,"ADIT.    	An adit is specific type of mine access, a horizontal shaft that extends into the mine. This can be compared with the more traditional vertical shaft that is used for access into most mines. Adits make sense when the ore is located inside a mountain or hill, as opposed to 'underground', as they allow the mine entrances to be on the valley floor."
M_SALA,"MASALA.    	Chicken tikka masala is a dish, comprising chicken tikka (chunks of marinated chicken) served in a masala sauce. Masala is the Hindi word for ""mixture"", and describes a mixture of spices. A dish named ""masala"" uses the spices incorporated into a sauce that includes garlic, ginger, onions and chili paste. Although served as part of Indian cuisine, there seems to be a lot of evidence that chicken tikka masala was actually invented in an Indian restaurant in Britain."
A_DREI,"ANDREI.    	Andrei Sakharov was a Soviet nuclear physicist, and in his later life a human rights activist. He participated in the USSR's program to develop the country's first atomic bomb, and was an even more crucial contributor to the development of the devastating hydrogen bomb. By the fifties, Sakharov was concerned about the consequences of his work, and in the sixties he started to become active, raising awkward questions not appreciated by the Soviet administration. He was banned from further work with the military as a consequence, and later found himself under constant police surveillance and harassment. He was then moved from Moscow and put into internal exile in Gorky. It was only under Mikhail Gorbachev's leadership, that he was able to return home to Moscow."
T_TRIS,TETRIS.    	Tetris is a very addictive video game that was developed in the Soviet Union in 1984. The name Tetris comes from a melding of the prefix 'tetra-' (as all the game pieces have four segments) and 'tennis' (a favorite sport played by the developer). Since 2005 there have been more than 100 million copies of the game installed on cell phones alone.
_ELDT,"VELDT.    	Also known as Veld, Veldt is the name given to large rural spaces in southern Africa. We might use the term ""boondocks"" for the same thing. The word comes from the German for ""field"". In Australia, the equivalent open spaces are called the Outback."
_RINS,"ERINS.    	Erin Moran is the lovely actress most famous for playing Joanie Cunningham on ""Happy Days"" and the resulting (short-lived) spin-off sitcom called ""Joanie Loves Chachi"". Long before she got he big break in ""Happy Days"", Moran played Jenny Jones on the children's drama ""Daktari"" from the late sixties."
ODE_TE,"ODETTE.    	Swan Lake' is such a delightfully light and enjoyable ballet by Pyotr Ilyich Tchaikovsky. 'Swan Lake' tells the story of Odette, a princess turned into a swan by a sorcerer. The ballet also features Odile, Odette's 'evil twin'. Odile is disguised to look like Odette with the goal of tricking the prince to fall in love with her. In the ballet, the roles of Odette and Odile are played by the same ballerina."
BAN_NA,"BANANA.    	Daiquirí is a small village on the coast near Santiago, Cuba and a key location in the American invasion of Cuba in the Spanish-American War. Supposedly, the cocktail called a Daiquiri was invented by American mining engineers in a bar in nearby Santiago."
V_ET,VIET.    	The Viet Cong was the name of the political and military organization based in South Vietnam that fought the US and South Vietnamese government during the Vietnam War. The relationship of the Viet Cong with North Vietnam was always controversial.
C_PE,"CAPE.    	The Headless Horseman is a character in Washington Irving's ""The Legend of Sleep Hollow""."
OR_ER,ORDER.    	Humans belong to the order of Primates.
DORE_I,DO RE MI.    	Do re mi is a slang term for cash.
AGA_,"A GAL.    	""I got a gal"" are the opening words to the wonderful song ""(I've Got a Gal in) Kalamazoo"", made famous by Glenn Miller and his Orchestra. Okay, before anyone points it out, I know, the actual opening is:"
_ATO,"CATO.    	Cato the Younger was a politician in the late Roman Republic, noted for his moral integrity. He is also remembered for an extended conflict with Julius Caesar."
IN_SSE,"IN ESSE.    	The Latin term ""in esse"" is used to mean ""actually existing"", and translates as ""in being""."
MA_O,"MAKO.    	The shortfin mako shark does indeed appear on menus, and as a result the species is dying out in some parts of the world. The mako gets its own back sometimes though, and attacks on humans are not unknown. And the shark in Ernest Hemingway's ""The Old Man and the Sea"", that's a mako."
SAM_,"SAMI.    	Lapland is a geographic region in northern Scandinavia, largely found within the Arctic Circle. Parts of Lapland are in Norway, Sweden and Finland. The people who are native to the region are called the Sami people. The Sami don't like to be referred to as 'Lapps' and they regard the term as insulting."
R_DD,RUDD.    	I think Paul Rudd is a very talented actor. Rudd has played a variety of roles in movies but is probably best known on television for playing Phoebe Buffay's boyfriend and then husband on the sitcom 'Friends'.
AT_S,ATVS.    	All-terrain vehicle (ATV)
HE_T,HEAT.    	'Packing' and 'packing heat' are underworld slang for 'carrying a gun'.
AT_N,ATTN.    	Attention (attn.)
DIO_,"DION.    	Perhaps the biggest hits for Dion and the Belmonts were 'A Teenager in Love' and ""The Wanderer""."
C_RONA,CORONA.    	Corona is the top selling imported beer in the United States.
TREA_ON,"TREASON.    	Treason is a serious crime committed against the nation (or the sovereign). One who commits treason is termed a traitor. In the past, the term treason also applied to lesser crimes (like a woman killing her husband) so there was a differentiation between high treason against the king, and ""petit treason"", against a more common citizen."
L_TZ,"LUTZ.    	In figure skating, a Lutz is a toe-pick-assisted jump that one starts skating backwards and ends skating backwards (there's more to it that I don't really understand!). The maneuver is named after Alois Lutz, an Austrian skater who first performed it in competition way back in 1913. Lutz wowed the crowd with a single jump, and today both men and women are landing triple Lutz jumps. No one has landed a clean quadruple Lutz in competition."
ST_ASSE,"STRASSE.    	After WWII, Bonn was chosen as the capital of West Germany, a choice promoted by Chancellor Konrad Adenauer who was from the area. After German reunification, the capital was moved to Berlin."
BE_N,"BERN.    	Bern (sometimes 'Berne', especially in French) is the capital city of Switzerland. The official language of the city is German, but the language most spoken in Bern is a dialect known as Bernese German."
SNOCA_,"SNO-CAT.    	The brand name Sno-Cat is owned by the Tucker company. All ""snowcats"" are tracked vehicles built to work in snow, famously used in expeditions to the polar regions. The modern Sno-Cat from Tucker differs from its competitors in that it has four, independently-mounted tracks."
_AGAN,"PAGAN.    	A pagan is someone who holds religious beliefs that are different from the main religions of the world. In classical Latin 'paganus' was a villager, a rustic."
_EMON,"LEMON.    	A lemon is an informal term given to something that is unsatisfactory or defective, most often applied to a car these days."
ANT_,"ANTA.    	The American National Theater and Academy (ANTA) is a not-for-profit producer and training organization. It was set up in 1935 to be the official national theater of the United States, but today its main focus is the National Theater Conservatory at the Denver Center for the Performing Arts."
UL_AR,"ULNAR.    	The ulnar nerve runs alongside the ulna (one of the bones in the lower arm). The ulnar nerve is the largest unprotected (not surrounded by muscle or bone) nerve in the human body. The nerve can be touched under the skin at the outside of the elbow. Striking the nerve at this point causes and an electric-type shock, known as hitting one's ""funny bone"" or 'crazy bone'."
NATALI_,"NATALIE.    	Natalie Cole is of course the daughter of Nat King Cole. Her mother was Maria Cole, a singer with the Duke Ellington Orchestra. The most famous version of the hit song ""Unforgettable"" was released in 1951 by Nat King Cole. In 1991, Natalie Cole recorded a version that was mixed with an earlier 1961 version sung by her father, creating an ""unforgettable"" father-daughter duet, 26 years after Nat King Cole had passed away."
M_LT,MALT.    	Colt 45 is a brand of lager that first went on the market in 1963. It has a relatively high alcohol content (6.1%) and so is sometimes referred to as a malt liquor.
_NITARD,"UNITARD.    	A unitard is like a leotard, except that it has long legs and sometime long sleeves. It wouldn't be a good look for me ..."
UN_,"UNI-.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters. These binary codes are the way that our computers can understand what we mean when we type say a letter, or a number. Unicode is a more contemporary standard, and is like 'Ascii on steroids', encompassing more characters."
STE_IE,"STEVIE.    	Singer Stevie Nicks came to fame as the lead singer of Fleetwood Mac. She has a very distinctive voice, heard at its best in the famous 1977 album ""Rumours""."
M_DAL,"MEDAL.    	Gold Medal is a brand of flour produced by General Mills. The line was introduced by a precursor company to General Mills named Washburn-Crosby in 1880, following a gold-medal win at the Millers' International Exhibition in Cincinnati."
NE_SON,"NELSON.    	The full nelson and half nelson are wrestling holds in which one wrestler secures an opponent by encircling the opponent's arms under the armpits and around the neck. Some say the hold is named after Admiral Nelson, who was renowned for using encircling tactics in battle."
D_DS,"DAD'S.    	Dad's root beer was developed by Ely Klapman and Barney Berns in 1937, and was given the name ""Dad's"" in honor of Klapman's father who used to make root beer for his family at home."
L_RRE,"LORRE.    	The marvelous actor Peter Lorre was born in what is now modern-day Slovakia. Lorre's real name was Laszlo Lowenstein. He started acting in Vienna when he was quite young, only 17 years old. When Hitler came to power, the Jewish Lowenstein headed to Paris and then London, eventually ending up in Hollywood. Lorre found himself typecast as the wicked foreigner in American movies, but I think he sneered and snarled his way to the bank."
TO_,"TON.    	Here in the US, a ton is equivalent to 2,000 pounds. Over in the UK, a ton is 2,240 pounds. The UK unit is sometimes referred to as an Imperial ton or sometimes a 'long ton'. Folks over there refer to the US ton then as a 'short ton'. To further complicate matters, there is also a 'metric ton' or 'tonne', which is equivalent to 2,204 pounds. I wish we'd just stick to kilograms ..."
_OTO,"ROTO.    	'Roto' is a short for 'rotogravure', a photomechanical process used for printing pictures and some typeset matter. By extension, a 'roto' was also a section of a paper printed using such a process, particularly a magazine section."
_TEER,STEER.    	Nicely disguised wording ...
S_GET,"SAGET.    	Bob Saget is a real enigma to me. He made a name for himself playing very sugary roles in TV shows like ""Full House"" and ""America's Funniest Home Videos"", and yet in the world of stand-up comedy he is known for very blue and raunchy routines."
LIN_,"LINC.    	The 1999 movie ""The Mod Squad"" was an adaptation of the seventies television show of the same name. The part of Lincoln 'Linc' Hayes was played by Omar Epps, Claire Danes played Julie Barnes and Giovanni Ribisi played Peter Cochran."
ELI_N,"ELIAN.    	The immigration status of young Cuban boy Elian Gonzalez was all over the news in 2000. Elian's mother drowned while trying to travel illegally to the US, while Elian and his mother's boyfriend survived the journey. The INS placed Elian in the care of paternal relatives in the US, who then petitioned to have the boy stay with them permanently, against the wishes of Elian's father back in Cuba. After court proceedings, the federal authorities forcibly removed Elian from his relatives in the US, and he was returned to his father who took him back to Cuba. Back in Cuba, Fidel Castro stepped in and befriended Elian, so he has influential sponsorship now in his homeland, as a result of his ordeal. Elian is now attending a military school in Cuba, and his father is working as a waiter in a restaurant."
_NNAS,"ANNAS.    	Not only is Anna Kournikova a world class tennis player, but she is also a model. She apparently has a lot of fans because her name is one of the most commonly searched for terms on Google's search engine ..."
RA_E,"RAZE.    	To ""raze"" ('rase', in UK English) is to level to the ground. How odd is it that ""raise"", a homophone of ""raze"", means to build up?"
CREM_,"CREME.    	The French term 'crème fraîche' translates as 'fresh cream', although the the cream itself is soured with a bacterial culture."
_ICA,FICA.    	That FICA tax: the Federal Insurance Contributions Act tax. FICA was introduced in the 1930s as part of the New Deal.
ALLA_,"ALLAN.    	Edgar Allan Poe lived a life of many firsts. He is considered to be the inventor of the detective-fiction genre, he was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849, he was found on the streets of Baltimore, delirious from either drugs or alcohol. He died a few days later in hospital, at 39 years of age."
ARTU_O,"ARTURO.    	Arturo Toscanini was an Italian conductor of classical music. Toscanini took up the baton for the first time under sensational circumstances in 1886. He was attending a performance of ""Aida"" in Rio de Janeiro as the assistant chorus master, on a night when a substitute conductor was leading the orchestra. The substitute was in charge because the lead conductor had been forced to step down by striking performers who would not work with him. The disgruntled lead conductor led the audience in booing the unfortunate substitute, forcing him off the stage. The another substitute attempted to lead the performance, but he could not overcome the hostility of the crowd. The musicians themselves begged Toscanini to take up the baton, for the first time in his life, simply because he knew the score by heart. After over an hour of mayhem, Toscanini led the company in a remarkable performance, to marvelous acclaim. His conducting career was launched."
LE_S,"LENS.    	The lens in the eye can change shape, and in so doing change it's focal length allowing it to focus on objects at different distances. The shape of the lens changes due to the action of the cilliary muscles."
P_AIT,"PLAIT.    	Pippi Longstocking appears as the heroine in a series of books written by Swedish author Astrid Lindgren. Lindgren is quite the activist, very well known in the circles working for children's and animal rights, and specifically she has campaigned heavily against corporal punishment."
TOS_,"TOSS.    	The term ""deep six"" is of course nautical in origin. The actual expression from the days of taking soundings with a lead weight on a line would have been ""by the deep six"" meaning that the depth was 6 fathoms, or 36 feet. If something is deep sixed, it is deemed to be sunk so deeply it can't be recovered."
DR_,DRS.    	American Medical Association (AMA)
A_ETHA,"ARETHA.    	I think Aretha Franklin, the Queen of Soul, had a tough life. Franklin had her first son when she was just 13-years-old, and her second at 15. In 2008, 'Rolling Stone' magazine ranked Franklin as number one in their list of the greatest singers of all time."
_ALAI,"DALAI.    	Starting with the fifth Dalai Lama in the 17th century, the Buddhist leader spent the winter in the magnificent Potola Palace in the Tibetan capital city of Lhasa. In 1959, however, the current Dalai Lama (the 14th) had to flee Tibet when the Tibetan people rebelled against Chinese occupation in 1959. Since then, he has resided in Dharamsala in Northern India, as a guest of the Indian people."
SE_RS,"SEARS.    	Sears made a big splash in the world's newspapers in 1974 when it completed its new headquarters in Chicago, the Sears Tower. At 110 stories, it was the tallest building in the world, and remained so until the Petronas Twin Towers in Kuala Lumpur were completed in 1996. Sears moved out of the building in 1993, but had the rights to the name on the building until early 2009. I don't think many people outside of Chicago know that since 2009, the building is actually called the Willis Tower, after the new owners."
SHAL_,"SHALE.    	The organic matter in oil shale that is insoluble in organic solvents is known as kerogen. Ultimately, kerogen turns into oil and natural gas."
_AKO,"MAKO.    	The shortfin mako shark can appear on restaurant menus, and as a result the species is dying out in some parts of the world. The mako gets its own back sometimes though, and attacks on humans are not unknown. And the shark in Ernest Hemingway's ""The Old Man and the Sea"", that's a mako."
T_PEKA,"TOPEKA.    	Topeka is the capital of Kansas, and is located on the Kansas River in the northeast of the state. The name 'Topeka' was chosen in 1855 and translates from the Kansa and the Ioway languages as 'to dig good potatoes'. The reference isn't to the common potato but rather to the herb known as the prairie potato (also 'prairie turnip'), which was an important food for many Native Americans."
RHOM_,"RHOMB.    	Rhomb is an alternative name for a rhombus, a 4-sided figure with sides of equal length, but angles at the corners that aren't right angles. So, that would make a rhombus a ""diamond"" shape."
