One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
"A lines, e.g.   		6 letters","SERIFS.    	Serifs are details on the ends of characters in some typefaces. Typefaces without serifs are known as sans-serif (using the French word ""sans"" meaning ""without""). Some people say that serif fonts are easier to read on paper, whereas sans-serif fonts work better on a computer screen. I'm not so sure though ..."
Smile like Snidely Whiplash.   		5 letters,"SNEER.    	Dudley Do-Right appeared on the Rocky and Bullwinkle Show, a cartoon that appeared on television in a couple of different versions from 1959-1964. Dudley was a bungling Mountie who struggled with his nemesis, the evil Snidely Whiplash, while pursuing the romantic intentions of Nell Fenwick (who always seemed to prefer Dudley's horse!)."
Church chorus?.   		5 letters,"AMENS.    	The word 'amen' is translated as 'so be it'. 'Amen' is said to be of Hebrew origin, but it is likely to be also influenced by Aramaic and Arabic."
"Town, in Germany.   		5 letters","STADT.    	""Stadt"" is the German word for ""city"" or ""town""."
"Missouri city, informally.   		6 letters","ST JOE.    	The city of Saint Joseph in Missouri was the westernmost point in the US that was accessible by rail after the Civil War. As such, it was a final stopping-off point as people headed out to the Wild West. The city takes its name from its founder, fur trader Joseph Robidoux. Robidoux apparently like things named after himself and his family, as eight of the main streets downtown were named after his children, and another was named for his second wife!"
Allegorical painting from Picasso's Blue Period.   		6 letters,"LA VIE.    	Picasso's Blue Period refers to his works completed between 1901 and 1904. All his paintings in the era were basically monochromatic, using different shades of blue. HIs best-known work from the period is 'The Old Guitarist', which you can see at the Art Institute of Chicago."
Part of a geom.   		3 letters,SEG.    	A part of a geometric (geom.) line can be called a segment (seg.).
Bankrupt.   		4 letters,"RUIN.    	Our word 'bankruptcy' comes from the Italian 'banca rotta', which translates as 'broken bench'. This etymology may stem from the practice of breaking the bench or counter of moneychanger's place of business in order to signify insolvency."
Degrees for attys.   		4 letters,"LLDS.    	The honorary degree of Legum Doctor (LL.D.) translates from the Latin as Doctor of Laws, a plural. This practice of using the plural originated in Cambridge University in England, as one was awarded an LL.D. after having been taught both Canon Law and Civil Law."
Oblong pastries.   		7 letters,"ECLAIRS.    	The name for the pastry known as an éclair is clearly French in origin. The French word for lightning is 'éclair', but no one seems to be too sure how it came to be used for the rather delicious bakery item."
Some 4-Across output.   		6 letters,X-RAYS.    	(4A. Centaurus A is one : RADIO GALAXY)
"""The Star-Spangled Banner"" opening.   		5 letters",O SAY.    	'O say can you see by the dawn's early light' us the opening line of 'The Star-Spangled Banner' by Francis Scott Key.
"Junípero ___, founder of San Francisco.   		5 letters","SERRA.    	Junípero Serra was a Spanish missionary, a founder of several missions out here in California. Among those associated with Serra is the Mission in Carmel, where Serra's remains are buried, and Mission San Juan Capistrano, the chapel of which is believed to be the oldest standing building in the state."
"Some bunts or flies, for short.   		4 letters",SACS.    	Sacrifice (sac.)
The Clintons' degs.   		3 letters,JDS.    	The law degree abbreviated to J.D. stands for Juris Doctor.
"""B.C."" animal that goes ZOT!.   		8 letters","ANTEATER.    	""B.C."" is a comic strip that was drawn by Johnny Hart, and now since Hart's passing, is produced by his grandson. Hart introduced ""B.C."" in 1958. One of the non-human characters in the strip is the Anteater, who sucks up ants with his sticky tongue making a ""ZOT"" sound. Hart's Anteater is the inspiration for Peter the Anteater, the team mascot for UC Irvine. Johnny Hart's other famous comic strip is the brilliant ""The Wizard of Id""."
"American Revolution's ""Mad Anthony"".   		5 letters","WAYNE.    	Mad Anthony Wayne was a US Army general during the Revolutionary War. Wayne's military exploits and wild personality led to him being nicknamed 'Mad'. The alter-ego of the superhero Batman is Bruce Wayne, a name that was chosen from Scottish king Robert the Bruce and Revolutionary War general Mad Anthony Wayne."
What the U.S.   		3 letters,"WWI.    	Prior to the outbreak of World War II, what we now know as World War I was referred to as 'the World War' or 'the Great War'."
Newswoman Paula.   		4 letters,"ZAHN.    	Paula Zahn has worked as a journalist and news anchor with ABC, NBC, Fox News and CNN. She is currently the host of a true crime show on the Discovery Channel called 'On the Case with Paula Zahn'. Outside of her work on television, Zahn is an accomplished cellist and has even played at Carnegie Hall with the New York Pops Orchestra."
"Rosenfeld who wrote the best seller ""Live Now, Age Later"".   		7 letters",ISADORE.    	Isadore Rosenfeld is a medical doctor who has written a textbook for doctors as well as several bestselling books for the general public. Rosenfeld also serves as a medical consultant for Fox TV and appears every Sunday morning on the show 'Sunday House Calls'.
Halle Berry was once runner-up for this.   		8 letters,"MISS USA.    	The beautiful and talented actress Halle Berry is the only African American woman to win a best Actress Oscar, which she received for her performance in the 2001 movie ""Monster's Ball"". She also won a Golden Raspberry Award for Worst Actress in 2005 for playing the title role in ""Catwoman"", and she very graciously accepted the award in person. Good for her!"
Lines from Homer and Erasmus.   		6 letters,"ADAGES.    	Homer was a famous poet of Ancient Greece, believed to be the author of the two classic epic poems, the ""Iliad"" and the ""Odyssey"". However, some scholars believe that Homer did not actually exist, but rather he is the personification of oral tradition that was passed down through the ages. One nice bit of advice attributed to Homer is:"
End of a dictionary.   		4 letters,"ZEES.    	The letter named ""zed"" has been around since about 1400, and derives from the Greek letter zeta. The spelling and pronunciation of ""zee"" used in America today first popped up in the 1670s."
Part of U.S.C.G.A.: Abbr..   		4 letters,"ACAD.    	The Coast Guard Academy (USCGA) is located in New London, Connecticut. The USCGA was founded in 1876 as the School of Instruction of the Revenue Cutter Service. The main training vessel used by the academy is the USCGC Eagle, a tall ship formerly known as the Horst Wessel that was received from Germany in 1946 as a war reparation."
"Skip, as a sound.   		5 letters","ELIDE.    	'To elide' is to pass over, omit or slur a syllable when speaking."
Like Athena.   		4 letters,"WISE.    	The Greek goddess Athena is often associated with wisdom (among other attributes). In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise""."
"""The Joy Luck Club"" author.   		7 letters","AMY TAN.    	Amy Tan lives not too far from here, in Sausalito just north of San Francisco. Tan is an American writer of Chinese descent whose most successful work is ""The Joy Luck Club"". ""The Joy Luck Club"" was made into a movie produced by Oliver Stone in 1993. The novel and movie tell of four Chinese-American immigrant families in San Francisco who start the Joy Luck Club, a group playing Mahjong for money and eating delicious food."
"Mitchell with the platinum album ""Blue"".   		4 letters",JONI.    	Joni Mitchell is a Canadian singer and songwriter from Fort MacLeod in Alberta. Mitchell is perhaps best known for her recordings 'Big Yellow Taxi' and 'Woodstock'.
Hamlet.   		4 letters,"BURG.    	'Burg' is an informal term used in the US for a smaller town, from the German word 'burg' meaning a fortified city."
Kind of cocktail with a kick?.   		7 letters,"MOLOTOV.    	Vyacheslav Molotov was a prominent Soviet politician and protégé of Joseph Stalin. During the Winter War of WWII, between the Soviet Union and Finland, Molotov claimed in radio broadcasts that Finland was not being bombed, but rather that the Soviet Union was dropping food to relieve famine. With a sense of irony, the Finns started to call the Soviet bombs ""Molotov bread baskets"". The Finns also improvised incendiary bombs using bottles and a gasoline-based fuel, and called these devices ""Molotov cocktails"", a name that persists to this day."
Screen unit.   		5 letters,"PIXEL.    	A pixel is a dot, the base element that goes to make up a digital image."
Wee bit.   		5 letters,"SKOSH.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
Titles for attorneys: Abbr..   		4 letters,"ESQS.    	The title ""esquire"" is of British origin and is used differently today depending on whether one is in the US or the UK. Here in America the term is usually reserved for those practicing the law (both male and female). In the UK, ""esquire"" is a term of gentle respect reserved for a male who has no other title that one can use. So a mere commoner like me might receive a letter from the bank say, addressed to W. E. Butler Esq."
6 Series cars.   		4 letters,"BMWS.    	The acronym BMW stands for Bayerische Motoren Werke, which translates into Bavarian Motor Works. BMW was making aircraft engines during WWI, but had to cease that activity according to the terms of the Treaty of Versailles. The company then started making motorcycles, and then moved into automobile production starting in 1928. BMW moved back into aircraft engine manufacturing during the build-up of the Luftwaffe prior to WWII."
___ Nostra.   		4 letters,COSA.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. The Italian authorities established that 'Cosa Nostra' was also used in Sicily when they penetrated the Sicilian Mafia in the 1980s. The term 'Mafia' seems to be just a literary invention that has become popular with the public.
"Song by the #1 band on VH1's ""100 Greatest One Hit Wonders"".   		8 letters",MACARENA.    	'Macarena' is a dance song in Spanish that was a huge hit worldwide for Los Del Río in 1995-1996.
Coin with F.D.R.'s image.   		4 letters,"DIME.    	President Roosevelt was a major driver in the founding of the National Foundation for Infantile Paralysis. The Foundation's most successful fund raising campaign was to encourage the public to just send a dime to support the charity, so that even before the Foundation officially changed its name, the public were already calling it March of Dimes. After President Roosevelt passed away in office, Congress passed legislation calling for a new design for the dime, one featuring the image of FDR. The Roosevelt dime was introduced in 1946, on the day that would have been the President's 64th birthday."
President who was an electrician by profession.   		6 letters,"WALESA.    	Lech Walesa worked as an electrician in the Gdansk Shipyards in Poland. Walesa was active in the trade union movement in the days when unions were not welcome behind the Iron Curtain. His efforts resulted in the founding of Solidarity, the first independent trade union in Soviet-controlled territory. For his work, Walesa was awarded the Nobel Peace Prize in 1983, and in 1990 he became the first democratically elected President of Poland. He has lost support in Poland in recent years, but he is a very popular booking on the international speaking circuit."
"Beetle's boss, in the comics.   		5 letters","SARGE.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
G.P.A.   		3 letters,EFS.    	Grade point average (GPA)
BlackBerry routers.   		7 letters,"IPHONES.    	Some kind readers of the blog worked out the meaning of this clue for me. The iPhone has been a huge commercial success relative to the competing BlackBerry device. One might say that the iPhone ""routed"" the BlackBerry, was overwhelmingly successful."
Arafat successor.   		5 letters,"ABBAS.    	Mahmoud Abbas took over as Chairman of the Palestine Liberation Organization in 2004 after the death of Yasser Arafat. Abbas is also the President of the Palestinian National Authority, equivalent to ""head of state""."
Pol.   		3 letters,"LIB.    	William Ewart Gladstone was the leader of the Liberal party and Prime Minister of Britain on four different occasions. Gladstone resigned in 1894. At the time of his resignation he was 84 years old, making him the oldest person to serve in the office."
"Item often ""eaten"" by a tree in ""Peanuts"".   		4 letters","KITE.    	Charlie Brown is the main character in the long-running comic strip called 'Peanuts', created by Charles Schulz. Charlie has several persistent frustrations in his life, including an inability to fly a kite. The focus of his kite-flying frustration is the dreaded Kite-Eating Tree."
Milton who led Uganda to independence.   		5 letters,"OBOTE.    	Milton Obote was the political leader who led Uganda to independence from British colonial rule in 1962. Oboto served as Prime Minister and then President of the country, until he was overthrown by Idi Amin in 1971."
"Typist's stat, in brief.   		3 letters",WPM.    	Words per minute (WPM)
It may contain aspartame.   		9 letters,"DIET SODA.    	The artificial sweetener called aspartame was discovered by a chemist working for Searle in 1965, but it took 15 years for the company to be granted approval for its sale. I wonder why ...???"
"Outdoor meal with a grill, informally.   		3 letters",BBQ.    	It is believed that our word 'barbecue' comes from the Taíno people of the Caribbean in whose language 'barbacoa' means 'sacred fire pit'.
Dodeca- halved.   		5 letters,"HEXA-.    	The prefix 'dodeca-' indicates 12, and the prefix 'hexa-' denotes 6."
City that rivaled ancient Sparta.   		5 letters,"ARGOS.    	Argos is one of the oldest cities in Greece, and indeed in Europe, having been continuously inhabited for over 7,000 years. In ancient times, Argos was a rival city-state to the powerful Sparta."
Chinese money.   		4 letters,"YUAN.    	The Korean Won, the Chinese Yuan, and the Japanese Yen (all of which are Asian currencies) take their names from the Chinese written character that represents ""round shape""."
Great Sphinx locale.   		4 letters,"GIZA.    	The Great Sphinx of Giza is a huge limestone statue of a mythical creature with the body of a lion and the head of a human. It is the largest monolithic statue in the world. Famously, the Great Sphinx is missing its nose and beard."
Hit David Bowie single and album of 1983.   		11 letters,"LET'S DANCE.    	David Bowie's great hit ""Let's Dance"" was released in 1983, and was his only record to make it to number one on both sides of the Atlantic."
"""America's Most Wanted"" host John.   		5 letters",WALSH.    	John Walsh is the host and creator of the TV show 'America's Most Wanted'. Walsh was inspired to become an anti-crime activist after his six-year-old son Adam was brutally murdered in 1981.
"""It's the ___ Wonderful Time of the Year"".   		4 letters","MOST.    	It's the Most Wonderful Time of the Year"" is a Christmas song that was first recorded by Andy Williams, in 1963."
Largest minority in Croatia.   		5 letters,"SERBS.    	Serbs are an ethnic group native to the Balkans in southeastern Europe. Although Serbs exist as a minority group in many countries in the region, they are the majority ethnic group in Serbia, in Montenegro and in Bosnia and Herzegovina."
"""Poor Richard's Almanack"" collection.   		6 letters","ADAGES.    	Poor Richard's Almanack was an annual publication authored by none other than Benjamin Franklin. The first edition hit the shelves in 1732, and was very, very successful, selling about 10,000 copies a year. Apparently Napoleon Bonaparte was a big fan."
A line in an A-line?.   		3 letters,HEM.    	An A-line skirt is one that fits snugly at the hips and flares toward the hem.
Wise man.   		5 letters,"SOLON.    	Solon was an Athenian statesman and lawmaker in Ancient Greece. He gave his name to our contemporary word ""solon"" meaning ""a wise lawmaker""."
"With 53-Down, pioneering mechanical breathing apparatus.   		4 letters",AQUA.    	53. See 52-Down : LUNG
Capital near the Great Rift Valley.   		7 letters,"NAIROBI.    	Nairobi is the capital and largest city in the African nation of Kenya. The city is named for the Nairobi River, which in turn takes its name from the Maasai 'Enkare Nairobi' meaning 'Cool Water'. Nairobi was founded in 1899 as a stop on the Kenya-Uganda railroad, at a time when the country was a British colony."
Treat similar to a Yodel.   		5 letters,HO HO.    	Ho Hos snack cakes were first produced in San Francisco in 1967; not the best thing to come out of the sixties I'd say ...
Kind of tape.   		3 letters,"VHS.    	The video standard known as VHS is more fully referred to as the Video Home System. VHS was one of many standards touted by various manufacturers in the seventies. The biggest rival to VHS was of course Betamax, but we all knew which of the two standards won the final round in that fight."
"*Musical that includes the song ""Take a Chance on Me"".   		10 letters","MAMMA MIA!.    	The hit musical 'Mamma Mia!' was written to showcase the songs of ABBA. I'm a big fan of ABBA's music, so I've seen this show a couple of times and just love it. 'Mamma Mia!' is such a big hit on the stage that on any given day there are at least seven performances going on somewhere in the world. There is a really interesting film version of the show that was released in 2008. I think the female lead Meryl Streep is wonderful in the movie, but the male leads ... not so much! By the way, one can tell the difference between 'Mamma Mia' the ABBA song and 'Mamma Mia!' the musical, by noting the difference in the punctuation in the titles."
___ bean.   		4 letters,FAVA.    	Fava bean is an alternative name for the broad bean.
