ASS_,ASST.    	Personal Digital Assistant (PDA)
TA_S,"TARS.    	'Tarmac' and 'macadam' are short for ""tarmacadam"". In the 1800s, Scotsman John Loudon McAdam developed a style of road known as ""macadam"". Macadam had a top-layer of crushed stone and gravel laid over larger stones. The macadam also had a convex cross-section so that water tended to drain to the sides. In 1901, a significant improvement was made by English engineer Edgar Purnell Hooley who introduced tar into the macadam, improving the resistance to water damage and practically eliminating dust. The ""tar-penetration macadam"" is the basis of what we now call Tarmac."
_POT,"SPOT.    	The Dalmatian breed of dog originated in Dalmatia, in the Republic of Croatia. Here in the US Dalmatians are known as ""firehouse dogs'. This association dates back to the use of Dalmatians in firehouses to guard the valuable horses that pulled the fire engines."
AB_AM,"ABRAM.    	Norm Abram is the master carpenter who appeared on the PBS show 'This Old House', and who later starred in the spinoff series called 'The New Yankee Workshop'."
ASA_A,"ASADA.    	The name of the dish called 'Carne Asada' translates from Spanish as ""roasted meat""."
P_OH,"POOH.    	A. A. Milne's 'Winnie-the-Pooh' has been translated into many languages, and is one of the few modern titles for which there is a Latin version. Alexander Lenard had 'Winnie ille Pu' published in 1958, and two years later it made it to the New York Times Best Seller List, the only book in the Latin language ever to get that honor."
O_HO,"OCHO.    	In Spanish, 'cuatro y cuatro' (four plus four) is 'ocho' (eight)."
SP_T,"SPOT.    	The Great Red Spot oft seen in photographs of Jupiter is a actually a huge storm in the planet's atmosphere. It is believed that this storm has been raging for at least 180 years, and it's not certain if and when it will abate."
S_X,"SIX.    	The numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. There are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
A_EX,AMEX.    	Amex is short for American Express. There are more transactions conducted in the US (in dollar terms) using the Amex card than any other.
_IT,"WIT.    	Philip Stanhope, 4th Earl of Chesterfield was an English statesman and man of wit. He is often quoted, with a few examples being:"
EMI_S,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, emir can also be written as emeer, amir and ameer (watch out for those spellings in crosswords!)."
S_LEO,ST LEO.    	The first pope named Leo is now known as Pope Saint Leo the Great. Leo I is famous for meeting with the feared Attila the Hun and persuading him to turn back his invading force that was threatening to overrun Western Europe.
_EPE,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
_OV,"TOV.    	'Tov' is the Hebrew word for 'good', as in 'mozel tov', meaning 'good luck'."
WI_,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary Father Jacques Marquette recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' ... 'oui'. In the early 1800s this was anglicized to 'Wisconsin'."
_ENOIR,"RENOIR.    	Pierre-Auguste Renoir was a French painter, very much at the forefront of the Impressionist movement. Renoir was a prolific artist, with several thousand works attributed to him. The largest collection of Renoirs is actually in the United States. You can see 181 of his paintings at the Barnes Foundation just outside Philadelphia."
_BRO,"EBRO.    	The Ebro is the longest, and also the most voluminous river in Spain."
S_ANS,"STANS.    	Stan Lee did just about everything at 'Marvel Comics' over the years, from writing to being president and chairman of the board."
D_LE,DELE.    	Dele is the editorial instruction to delete something from a document.
IB_X,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
AB_CI,"ABACI.    	The abacus was used as a counting frame long before man had invented a numerical numbering system. It is a remarkable invention, particularly when one notes that it is still widely used today across Africa and Asia."
A_RAM,"ABRAM.    	According to the Book of Genesis, God said to Abram:"
SYS_,"SYST.    	GPS stands for Global Positioning System. The US military have been working on the satellite technology used in GPS since the days of the first Russian satellite in space, Sputnik. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS available to the public for the common good. He was moved to do this after the Soviet Union shot down KAL flight 007 carrying 269 people, when it accidentally strayed into Soviet airspace."
JA_B,"JAMB.    	A door jamb is the vertical portion of a door frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
_OG,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"", the garment worn in Ancient Rome. ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
LE_LA,"LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era."
R_ATA,"REATA.    	'Reata' is the Spanish word for 'lasso'. We tend to use the spelling 'riata' in English, but sometimes can use the original Spanish word."
OSS_,"OSSA.    	Mt. Ossa in Greece is located between Mt. Pelion in the south, and the famed Mt. Olympus in the north. Mount Ossa is also known as Kissavos."
ADL_I,"ADLAI.    	Adlai Stevenson ran unsuccessfully against Eisenhower in 1952. Some years later he served under President Kennedy as Ambassador to the United Nations. He was always noted for his eloquence, and had a famous exchange in a Security Council meeting during the Cuban missile crisis. ""I am prepared to wait for my answer until Hell freezes over!"""
REN_,"RENT.    	The commercial game of Monopoly is supposedly a remake of 'The Landlord's Game' created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
K_EV,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
NIT_O,"NITRO.    	Trinitrotoluene (TNT) was first produced in 1863 by the German chemist Joseph Wilbrand, who developed it for use as a yellow dye. TNT is relatively difficult to detonate so it was on the market as a dye for some years before its more explosive properties were discovered."
LIO_,"LION.    	Apparently the lion became associated with English royal family when Eleanor of Aquitaine married Henry II. The lion appears on the coat of arms of the Eleanor's family, the Duchy of Aquitaine. The lion most famously came to the fore with Richard I, also known as Richard the Lionheart. Richard was Henry and Eleanor's son."
BETT_,"BETTE.    	Bette Greene is an American author, a writer of books for children and young adults. ""Summer of My German Soldier"" was published in 1973, and is a novel based on her own life growing up as a Jewish girl in the South during WWII. The German soldier in the title is an escaped POW that she befriends and protects."
O_ONE,"OZONE.    	Ozone gets its name from the Greek word ozein, meaning ""to smell"". It was given this name as ozone's formation during lightning storms was detected by the gas's distinctive smell. Famously, there is a relatively high concentration of the gas in the 'ozone layer' in the Earth's stratosphere. This ozone layer provides a vital function for animal life on the planet as it absorbs most of the sun's UV radiation."
SE_ENA,SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
ROSI_,ROSIE.    	We don't get to see Rosie O'Donnell on the screen very much these days. She had a very successful chat show that ran from 1996 to 2002. My favorite performance of hers on the big screen is in a supporting role to Meg Ryan in the 1993 movie 'Sleepless in Seattle'.
DE_P,"DEPP.    	Johnny Depp had his big break as an actor on television, in the eighties television show '21 Jump Street'. Depp's first film success came when he played the title role in 1990's 'Edward Scissorhands'. He has twice been named Sexiest Man Alive by 'People' magazine."
ARA_AHO,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
_CI,"MCI.    	MCI was a giant telecom company that suffered a similar fate to Enron, and around about the same time. MCI's stock price fell in 2000 and in maneuvers designed to protect the price, the company committed illegal acts. The larger-than-life CEO back then, Bernie Ebbers, is now serving a 25-year sentence in Louisiana."
AD_ER,"ADLER.    	Alfred Adler was one of the group of medical professionals that founded the psychoanalytic movement. Today Adler is less famous than his colleague, Sigmund Freud."
NOT_,"NOTA.    	'Nota bene' is the Latin for ""note well"""
K_RMA,"KARMA.    	Karma is religious concept with its basis in Indian faiths. Karma embraces the concept of cause and effect. Good deeds have good consequences at some later point in one's life, or future life, or afterlife, and vice versa."
_ER,"SER.    	There are two verbs in Spanish that translate into English as 'to be': 'ser' and 'estar'. I'm not a Spanish speaker, and couldn't explain the difference until a kind blog reader from Texas contacted me. ""Ser"" is used for ""to be"" when describing permanent status, as in ""I am Irish"". ""Estar"" is used for temporary status, as in ""I am thirsty"". I wonder which form of the verb I should use for ""I am overweight"" ...?"
CA_TE,"CASTE.    	Many creatures organize themselves into a social structure, a phenomenon known as ""eusociality"". Examples of such creatures would be ants, bees and wasps, where there are queens, workers and soldiers. The groups within such a hierarchical structure are known as castes. The word ""caste"" was borrowed from the class divisions in Indian society (although the word ""caste"" and hierarchical concept was actually introduced by the Portuguese)."
AL_,"ALG.    	Algeria is a huge country, the second largest in Africa (only Sudan is larger), and the largest country on the Mediterranean. The capital of Algeria is Algiers, and the country takes its name from the city."
_PS,"EPS.    	An extended play record (EP) contains more music than a single, but less than an LP."
_ST,"AST.    	Atlantic Standard Time is four hours behind Greenwich Mean Time, and one hour ahead of Eastern Standard Time. It makes sense that Bermuda should fall in the Atlantic Standard Time Zone, as Bermuda lies just over 600 miles east of North Carolina. I've visited it, and it is a lovely spot. Bermuda is the oldest remaining overseas territory that Britain has left, and it is the most populous."
KT_,"KTS.    	A karat (also 'carat', the spelling outside of North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold. "
_IEV,"KIEV.    	The Orange Revolution of 2004/2005 was a series of protests that followed a supposedly corrupt election in Ukraine. Largely as a result of the civil upheaval there was a revote, which international observers deemed to be fair. The result remained unchanged, with Viktor Yushchenko being elected Ukrainian president for another term."
RA_TT,"RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
_AME,"DAME.    	The old English nursery rhyme 'Baa, Baa, Black Sheep' is usually sung as:"
OLE_,"OLES.    	Flamenco is a style of Spanish music and dance. The origin of the word ""flamenco"" isn't clearly understood, but the explanation that seems most credible to me is that it comes from Flanders in Northern Europe. Given that ""flamenco"" is the Spanish word for ""Flemish"" and Flanders is home to the Flemish people it makes perfect sense, doesn't it?"
ELOI_E,"ELOISE.    	Kay Thompson wrote the ""Eloise"" series of children's books. Kay Thompson actually lived at the Plaza Hotel in New York, the setting she would choose for her ""Eloise"" stories. Eloise started out as a hit song for Thompson, a success that she parlayed into the book franchise."
OSSI_,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist."
TERR_,"TERRA.    	'Terra' is the Latin for 'land, ground'."
E_S,EIS.    	'Eis' is the German word for 'ice'.
CAE_,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
ZI_I,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, ziti is a particularly large and long tube with square-cut ends."
_CE,BCE.    	BCE can stand for:
_AM,"I AM.    	Anything pertaining the philosophy of the great Rene Descartes can be given the adjective ""Cartesian"". He made the famous statement, in Latin, ""Cogito ergo sum"" ... ""I think, therefore I am""."
IP_DS,"IPODS.    	The iPod is Apple's signature line of portable media players. The iPod first hit the market in 2001 with a hard drive-based device, now known as the iPod Classic. Later models all use flash memory, allowing a smaller form factor. The smallest of the flash-based models is the iPod Shuffle, which was introduced in 2005."
A_RON,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name ""Akron"" comes from the Greek word meaning ""summit"". Indeed, Akron is the county seat of Summit County."
PERO_,"PEROT.    	Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Back in 1992, Perot ran as an independent candidate for US president. He founded the Reform Party in 1995, and ran as the Reform Party candidate for president in 1996."
E_D,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
ART_,ARTS.    	The term 'ballet' came into English via French from the Latin 'ballare' meaning 'to dance'.
H_L,"HDL.    	HDL (high-density lipoprotein) is a compound that is used to transport fats around the body. When HDL is combined with (is transporting) cholesterol, it is often called ""good cholesterol"". This is because HDL seems to remove cholesterol from where it should not be, say on the wall of arteries, and transports it to the liver for re-use or disposal. Important stuff ..."
CA_OL,"CAROL.    	'Wassail' is ale or mulled wine used for toasting at festivals, especially Christmas. The term 'wassail' comes from Old Norse 'ves heill' meaning 'be healthy'. The term can also be used to describe a Christmas carol that is sung while 'wassailing', drinking wassail during the December festival."
PE_OT,"PEROT.    	Henry Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Ross Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Perot ran as an independent candidate in the US Presidential elections of 1992 and 1996."
EMI_S,"EMIRS.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But we all probably knew that already ..."
S_IN,SHIN.    	Pain along the inner edge of the tibia (shinbone) is referred to as 'shin splints'. It is a common injury incurred by runners.
TA_S,"TASS.    	(57D. Kazakhstan, once: Abbr. : SSR)"
T_OPS,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
TE_ON,"TETON.    	Grand Teton National Park is located just south of Yellowstone NP, and a must-see if you are visiting the latter. The park is named after the tallest peak in the magnificent Teton Range known as Grand Teton. The origins of the name ""Teton"" is not very clear, although my favorite story is that it was named by French trappers, as the word ""tetons"" in French means ""breasts""!"
SMOR_,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called ""Tramping and Trailing with the Girl Scouts"". Girl Scouts always did corner the market on cookies and the like!"
BA_R,"BARR.    	Before Bob Barr joined the Libertarian party, he served as one of Georgia's Republican Representatives in the US House. Barr came to prominence during the Clinton administration when he was one of the leaders of the movement to impeach the President, and the first representative to call for the President's resignation after the Monica Lewinsky scandal broke."
G_YA,"GOYA.    	Francisco Goya was a Spanish painter, often called the last of the Old Masters and the first of the moderns. Two of Goya's most famous works are ""The Nude Maja"" and ""The Clothed Maja""."
T_OPS,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
HA_,"HAI.    	The Hai River that flows through Beijing is known in Chinese as the 'Hai He', literally 'Sea River'."
_AINE,"CAINE.    	""Educating Rita"" is a stage play by the great Willy Russel. It opened in 1980, starring Julie Walters as the female lead. Three years later, the play was made into a film of the same name, again starring Julie Walters, playing a working class young lady trying to better herself by studying literature. Michael Caine plays the male lead in the film, the professor. The film and play is set in Liverpool in England, but was actually shot in the famous Trinity College, in Dublin, with some scenes shot on the campus of University College Dublin, my old school. In fact, a friend of mine made some extra cash for herself as an extra. See if you can spot her in the movie, riding her bicycle ..."
DOH_,"DOHA.    	Doha is the capital city of the state of Qatar located on the Persian Gulf. The name ""Doha"" translates from Arabic as ""the big tree""."
_DIC,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
O_SA,"OSSA.    	Mount Ossa in Greece is located between Mt. Pelion in the south, and the famed Mt. Olympus in the north. Mount Ossa is also known as Kissavos."
LOTT_,"LOTTO.    	Originally ""Lotto"" was a type of card game, with ""lotto"" being the Italian for ""a lot"". We've used ""lotto"" to mean a gambling game since the late 1700s."
B_Z,"BOZ.    	Charles Dickens used the pen-name Boz early in his career. He had already established himself as the most famous novelist of the Victorian Era when he came to visit America in 1842. He was honored by 3,000 of New York's elite at a ""Boz Ball"" in the Park Theater."
Z_T,"ZIT.    	The slang term 'zit', meaning ""pimple"", came into the language in 1966, but no one seems to know its exact derivation."
DEL_,"DELE.    	Dele is the editorial instruction to delete something from a document, and is often written in red."
S_UT,"SMUT.    	'Smut' means 'dirt, smudge' and more recently 'pornographic material'. The term comes from the Yiddish 'schmutz', which is a slang word used in English for dirt, as in 'dirt on one's face'."
N_P,"NAP.    	Back in the early 1800s, folks took 'nine winks' when getting a few minutes of sleep during the day. Dr. William Kitchiner extended this concept in his 1821 self-help book 'The Art of Invigorating and Prolonging Life'. He suggested 'A Forty Winks Nap', which we seem to have been taking ever since. Mind you, I'm up to about eighty winks most days ..."
_FC,PFC.    	Private First Class (PFC).
LI_AS,"LIRAS.    	The word ""lira"" is used in a number of countries for currency. ""Lira"" comes from the Latin for ""pound"" and is derived from a British pound sterling, the value of a Troy pound of silver. For example, the lira (plural 'lire') was the official currency of Italy before the country changed over to the euro."
AC_A,"ACTA.    	Actum (plural ""acta"") is the Latin word for ""deed"". ""Acta"" is used in English to describe many official records, including minutes, proceedings etc."
_ANTA,"SANTA.    	'His cheeks were like roses, his nose like a cherry!"" is a line from 'A Visit from St. Nicholas'."
A_ADA,"ASADA.    	The name of the dish called 'Carne Asada' translates from Spanish as ""roasted meat""."
KAT_,"KATE.    	Kate Jackson is known for playing one of the original ""Charlie's Angels"", Sabrina Duncan (she was always my favorite Angel!). The shooting schedule for the show prevented her from taking other roles, including one that was taken instead by Meryl Streep, the title role in ""Kramer vs Kramer"" released in 1979."
STAN_,"STANS.    	The suffix '-stan' in many place names is Persian for 'place of'. One example is 'Pakistan', the Place of the Pure. 'Pakistan' is a relatively recent name, first coined in 1933. It comes from the abbreviation PAKSTAN, standing for Punjab - Afghan Province - Kashmir - Sindh - BaluchisTAN, all regions in the north of India. The 'I' was added to Pakistan to make it easier to pronounce, and to fit the translation 'Land of the Pure'."
ATHE_A,"ATHENA.    	The Athena Parthenos ('Athena the Virgin' in English) was a massive statue of the goddess Athena made from gold, silver and ivory, which stood in the Parthenon in Athens. It was created by the sculptor Phidias around 447 BC. About 150 years later, the gold was stripped from the statue to pay troops. It was finally removed by the Romans in the 5th century AD. There is a replica of Athena in the city of Nashville, Tennessee that stands over 40 feet tall."
_SS,"SSS.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System (SSS). In the event that a draft is held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objectors available for noncombatant service), 4-A (registrants who have completed military service) and 4-D (ministers of religion)."
AMI_I,"AMICI.    	Amici is the Italian word for ""friends"" (singular ""amico"")."
AL_,"ALG.    	Algeria is a huge country, the second largest in Africa (only Sudan is larger), and the largest country on the Mediterranean. The capital of Algeria is Algiers, and the country takes its name from the city."
JAM_,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
CRE_E,"CRETE.    	Minos was the King of Crete in Greek mythology, and the son of Zeus and Europa. Minos had an elaborate labyrinth built under the island, designed by the architect Daedalus and his son Icarus (who famously died trying to escape from the island by ""flying"" away). In the labyrinth, King Minos kept the Minotaur, a dreadful creature with the head of a bull on the body of a man."
CA_OL,"CAROL.    	The word 'carol' came into English via the Old French word 'carole', which was a 'dance in a ring'. When 'carol' made it into English, about 1300 AD, the term was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
EE_,"E'EN.    	Using poetic terminology, morn's (morning's) counterpart is e'en (evening)."
LI_,"LIL.    	Rapper Lil Wayne's real name is ... Dwayne Carter, Jr."
O_SIE,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
S_UD,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"", which described a whole herd of horses."
LE_TO,LENTO.    	A lento passage is a piece of music that has a slow tempo.
A_SENAL,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
AVATA_,"AVATAR.    	The Sanskrit word ""avatar"" describes the concept of a deity descending into earthly life and taking on a persona. It's easy to see how in the world of ""online presences"" one might use the word avatar to describe one's online identity."
FDI_,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
PEL_SI,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
TO_H,"TOSH.    	Daniel Tosh is a stand-up comedian and host of 'Tosh.0', a video clip show on Comedy Central."
P_C,PFC.    	Private First Class (PFC)
UHUR_,"UHURA.    	American actress Zoe Saldana played the Na'vi princess in 'Avatar', and Uhura in the 2009 movie 'Star Trek'. Saldana seems to pick the right movies, as she is the only actress to have three different films in the top twenty at the box office for three consecutive weeks ('Avatar', 'The Losers' and 'Death at a Funeral')."
CA_,"CAR.    	The first Indy 500 race was held on Memorial Day in 1911. The winner that day was one Ray Harroun. He had seen someone using a rear view mirror on a horse-drawn vehicle, and decided to fit one on his Marmon ""Wasp"" motor car. Supposedly that was the first ever use of a rear view mirror on a motor vehicle."
EE_,"E'EN.    	'Gloaming' is an alternative word for twilight or dusk, and is often used poetically. The word is particularly associated with Scottish poetry, and notably the work of Robert Burns."
EGG_,"EGGS.    	All Saints' Day is November 1st each year. The day before All Saints' Day is All Hallows Eve, better known by the Scottish term ""Halloween""."
CAIR_,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
TY_A,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
_RIGAMI,ORIGAMI.    	Origami is the traditional Japanese art form of paper folding. The best-known example of the craft is the paper crane. The word 'origami' is derived from 'ori' (folding) and 'kami' (paper).
TORA_,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
ORC_,"ORCS.    	According to the author Tolkien, Orcs are small humanoids that live in his fantasy world of Middle-earth (also called 'Mordor'). They are very ugly and dirty, and are fond of eating human flesh."
DR_Y,"DRAY.    	A dray is a side-less, 4-wheeled cart used for hauling goods."
_TUD,"STUD.    	Stud poker is the name given to many variants of the game, all characterized by the dealer giving each player a mix of cards face-down and face-up. The cards facing downwards are called ""hole cards"", cards only visible to the individuals who hold that particular hand. That gives rise to the phrase ""ace in the hole"", a valuable holding that only the player with the ace is aware of."
